Date,Open,High,Low,Close,Adj Close,Volume
2000-04-24,60.812500,63.562500,60.375000,61.687500,61.687500,9020800
2000-04-25,62.968750,66.593750,62.843750,64.937500,64.937500,9775800
2000-04-26,65.000000,69.000000,64.156250,64.375000,64.375000,10033800
2000-04-27,64.000000,69.125000,63.125000,67.500000,67.500000,9493600
2000-04-28,67.875000,71.125000,66.500000,69.656250,69.656250,9783600
2000-05-01,70.250000,72.656250,65.468750,65.875000,65.875000,11828800
2000-05-02,66.000000,68.375000,62.000000,62.750000,62.750000,5751500
2000-05-03,62.250000,64.625000,60.250000,62.312500,62.312500,5944400
2000-05-04,62.250000,65.000000,59.750000,61.750000,61.750000,5512900
2000-05-05,62.000000,63.000000,60.062500,60.500000,60.500000,4657000
2000-05-08,60.750000,61.812500,58.312500,58.375000,58.375000,3208100
2000-05-09,58.625000,60.500000,53.750000,55.437500,55.437500,5577300
2000-05-10,54.875000,55.875000,51.062500,53.000000,53.000000,5539600
2000-05-11,54.500000,60.000000,52.625000,58.437500,58.437500,5408200
2000-05-12,58.875000,62.875000,58.875000,60.750000,60.750000,6645700
2000-05-15,61.000000,63.250000,58.562500,63.125000,63.125000,5216100
2000-05-16,63.875000,66.187500,62.000000,64.625000,64.625000,5589800
2000-05-17,65.937500,66.750000,63.625000,65.500000,65.500000,4146400
2000-05-18,65.500000,66.187500,64.062500,64.750000,64.750000,2546500
2000-05-19,64.812500,65.187500,59.812500,60.562500,60.562500,3805800
2000-05-22,60.562500,62.000000,56.687500,60.625000,60.625000,4429800
2000-05-23,61.937500,62.875000,58.250000,58.375000,58.375000,4367600
2000-05-24,58.687500,60.812500,57.312500,60.312500,60.312500,6124000
2000-05-25,64.000000,67.750000,63.500000,64.625000,64.625000,10389400
2000-05-26,65.250000,66.500000,64.000000,64.625000,64.625000,2680700
2000-05-30,69.500000,69.875000,67.562500,68.750000,68.750000,6656300
2000-05-31,70.000000,72.750000,69.500000,69.937500,69.937500,10162700
2000-06-01,72.000000,74.125000,71.500000,73.500000,73.500000,9352600
2000-06-02,80.562500,81.875000,76.187500,79.250000,79.250000,10515000
2000-06-05,78.500000,82.500000,76.750000,81.187500,81.187500,4723800
2000-06-06,78.500000,81.000000,76.500000,77.062500,77.062500,6316200
2000-06-07,77.062500,78.000000,74.437500,76.750000,76.750000,6144800
2000-06-08,79.000000,80.937500,78.875000,80.750000,80.750000,10405500
2000-06-09,82.000000,82.937500,80.000000,80.000000,80.000000,5134900
2000-06-12,81.000000,82.000000,78.375000,79.500000,79.500000,5907900
2000-06-13,78.562500,83.687500,78.250000,82.500000,82.500000,11638300
2000-06-14,83.500000,83.625000,78.500000,80.375000,80.375000,8444600
2000-06-15,79.500000,80.250000,77.000000,78.000000,78.000000,6029500
2000-06-16,78.000000,78.250000,75.062500,77.375000,77.375000,6044000
2000-06-19,77.375000,81.500000,76.875000,81.500000,81.500000,10751800
2000-06-20,81.000000,90.500000,80.625000,89.875000,89.875000,12141300
2000-06-21,88.500000,94.500000,87.500000,90.750000,90.750000,8218700
2000-06-22,93.000000,93.000000,84.125000,86.875000,86.875000,8742700
