"Year","symbol","Gross.Revenue","COGS.DA","Gross.Income","Non.Product.Cost.SGA","Interest.Expenses","Pretax.Income","Net.Income","EBITDA","Cash.ST.Investments","Total.Accounts.Receivable","Inventories","Total.Current.Assets","Net.Property","Total.Assets","Total.Liabilities","Total.Shareholder.Equity","Total.Equity","Debt.To.Asset","Debt.To.Equity","Equity.Multiplier","Gross.Profit.Margin","Interest.Coverage","Net.Profit.Margin","Operating.Margin","Return.On.Sales","Asset.Turnover","Return.On.Asset","Return.On.Equity"
"2015","CX",2.2574e+11,1.5215e+11,7.359e+10,4.69e+10,1.978e+10,2.7e+09,2400000,4.207e+10,1.543e+10,3.244e+10,1.772e+10,7.367e+10,2.1419e+11,5.4226e+11,3.9084e+11,1.3872e+11,1.5143e+11,0.720761258436912,2.58099451891963,3.58092848180678,0.325994506954904,2.12689585439838,1.06317001860548e-05,0.186364844511385,0.186364844511385,0.416294766348246,0.447675204149657,1.60309288913817
"2016","CX",2.4995e+11,1.6224e+11,8.77e+10,5.216e+10,2.149e+10,1.688e+10,1.338e+10,5.153e+10,1.162e+10,3.54e+10,1.81e+10,8.844e+10,2.3019e+11,5.9973e+11,4.1684e+11,1.6301e+11,1.8289e+11,0.695046104080169,2.27918420908743,3.27918420908743,0.350870174034807,2.39785946952071,0.0535307061412282,0.206161232246449,0.206161232246449,0.416770880229437,0.494663235907834,1.62209187200506
"2017","CX",2.5744e+11,1.707e+11,8.673e+10,5.412e+10,1.93e+10,1.311e+10,1.176e+10,4.857e+10,1.374e+10,3.556e+10,1.885e+10,7.148e+10,2.3216e+11,5.6769e+11,3.607e+11,1.7611e+11,2.0699e+11,0.635381986647642,1.74259626068892,2.74259626068892,0.336894033561218,2.51658031088083,0.045680546923555,0.18866532007458,0.18866532007458,0.453486938293787,0.416032534000694,1.14100927207524
"2018","CX",2.603e+11,1.7271e+11,8.759e+10,5.483e+10,1.389e+10,1.314e+10,8.68e+09,5.165e+10,6.09e+09,3.545e+10,2.129e+10,6.737e+10,2.4615e+11,5.7468e+11,3.6047e+11,1.8325e+11,2.1421e+11,0.62725342799471,1.68278791839783,2.68278791839783,0.336496350364964,3.71850251979842,0.0333461390703035,0.19842489435267,0.19842489435267,0.452947727430918,0.438074599641154,1.17526124327426
"2019","CX",2.5279e+11,1.7337e+11,7.942e+10,5.375e+10,1.369e+10,3.93e+09,1.06e+09,4.578e+10,1.488e+10,3.486e+10,1.868e+10,8.647e+10,2.2438e+11,5.5449e+11,3.5056e+11,1.7555e+11,2.0393e+11,0.632220599109091,1.71902123277595,2.71902123277595,0.314173820166937,3.34404674945216,0.00419320384508881,0.181098935875628,0.181098935875628,0.455896409313062,0.397237030553728,1.08009592052046
2015,CX,225740000000,152150000000,73590000000,46900000000,19780000000,2700000000,2400000,42070000000,15430000000,32440000000,17720000000,73670000000,214190000000,542260000000,390840000000,138720000000,151430000000,0.7207612584369122,2.580994518919633,3.5809284818067755,0.3259945069549039,2.126895854398382,1.0631700186054753e-5,0.18636484451138477,0.18636484451138477,0.41629476634824625,0.44767520414965667,1.6030928891381684
2016,CX,249950000000,162240000000,87700000000,52160000000,21490000000,16880000000,13380000000,51530000000,11620000000,35400000000,18100000000,88440000000,230190000000,599730000000,416840000000,163010000000,182890000000,0.6950461040801694,2.2791842090874295,3.2791842090874295,0.35087017403480697,2.397859469520707,0.05353070614122825,0.20616123224644928,0.20616123224644928,0.4167708802294366,0.4946632359078337,1.6220918720050581
2017,CX,257440000000,170700000000,86730000000,54120000000,19300000000,13110000000,11760000000,48570000000,13740000000,35560000000,18850000000,71480000000,232160000000,567690000000,360700000000,176110000000,206990000000,0.6353819866476422,1.7425962606889223,2.7425962606889223,0.33689403356121816,2.516580310880829,0.045680546923555006,0.18866532007458048,0.18866532007458048,0.4534869382937871,0.41603253400069373,1.1410092720752396
2018,CX,260300000000,172710000000,87590000000,54830000000,13890000000,13140000000,8680000000,51650000000,6090000000,35450000000,21290000000,67370000000,246150000000,574680000000,360470000000,183250000000,214210000000,0.6272534279947101,1.6827879183978338,2.682787918397834,0.3364963503649635,3.7185025197984163,0.033346139070303496,0.19842489435267,0.19842489435267,0.4529477274309181,0.43807459964115403,1.1752612432742562
2019,CX,252790000000,173370000000,79420000000,53750000000,13690000000,3930000000,1060000000,45780000000,14880000000,34860000000,18680000000,86470000000,224380000000,554490000000,350560000000,175550000000,203930000000,0.6322205991090912,1.7190212327759524,2.7190212327759524,0.31417382016693696,3.344046749452155,0.004193203845088809,0.181098935875628,0.181098935875628,0.45589640931306247,0.3972370305537283,1.080095920520457
2015,AA,11220000000,9820000000,1400000000,4000000,2000000,NA,NA,1770000000,5700000,5400000,1170000000,2570000000,9390000000,16410000000,4900000000,9440000000,11510000000,0.29859841560024375,0.4257167680278019,1.425716768027802,0.12477718360071301,885,NA,0.15775401069518716,0.15775401069518716,0.6837294332723949,0.23072578569590207,0.3289496214830368
2016,AA,9330000000,8620000000,7900000,3400000,2300000,NA,NA,1100000000,8300000,8400000,1160000000,3180000000,9330000000,16740000000,9040000000,5650000000,7700000000,0.5400238948626045,1.174025974025974,2.174025974025974,8.467309753483387e-4,478.2608695652174,NA,0.11789924973204716,0.11789924973204716,0.557347670250896,0.2115362744388499,0.4598853550787464
2017,AA,11780000000,9760000000,2020000000,3200000,1400000,1160000000,2700000,2460000000,1480000000,1040000000,1450000000,4240000000,9140000000,17450000000,10650000000,4520000000,6800000000,0.6103151862464183,1.5661764705882353,2.5661764705882355,0.17147707979626486,1757.142857142857,2.292020373514431e-4,0.20882852292020374,0.20882852292020374,0.6750716332378224,0.3093427610320505,0.7938281147072473
2018,AA,13520000000,10820000000,2690000000,2900000,1200000,1630000000,2000000,3150000000,1190000000,100000000,1820000000,4330000000,8330000000,16130000000,8540000000,5620000000,7590000000,0.5294482331060136,1.1251646903820818,2.1251646903820816,0.1989644970414201,2625,1.4792899408284024e-4,0.23298816568047337,0.23298816568047337,0.838189708617483,0.27796591068239906,0.590723338512134
2019,AA,10500000000,9290000000,1200000000,3700000,1100000,NA,NA,1610000000,9200000,6000000,1640000000,3530000000,7920000000,14630000000,8750000000,4110000000,5890000000,0.5980861244019139,1.4855687606112054,2.4838709677419355,0.11428571428571428,1463.6363636363637,NA,0.15333333333333332,0.15333333333333332,0.7177033492822966,0.21364444444444444,0.5306652329749104
2015,ABLT,194870000,145510000,49360000,48650000,NA,NA,NA,4040000,NA,23760000,36540000,62740000,25000000,114840000,84540000,29360000,30300000,0.7361546499477534,2.79009900990099,3.79009900990099,0.25329706984143274,NA,NA,0.02073176989788064,0.02073176989788064,1.6968826192964124,0.012217562760161197,0.04630577252069016
2016,ABLT,184270000,134280000,49980000,47330000,NA,2070000,1270000,5730000,NA,22980000,31340000,56640000,24790000,107050000,73740000,32360000,33310000,0.6888369920597851,2.213749624737316,3.213749624737316,0.2712324306723829,NA,0.006892060563303847,0.031095674824985077,0.031095674824985077,1.721345165810369,0.01806475275419033,0.058055592384751574
2017,ABLT,200530000,144790000,55750000,49750000,NA,6080000,4960000,9120000,NA,30130000,35120000,67250000,25650000,118610000,81650000,36020000,36960000,0.6883905235646236,2.2091450216450217,3.2091450216450217,0.2780132648481524,NA,0.02473445369770109,0.045479479379643944,0.045479479379643944,1.6906668914931287,0.026900319399688667,0.08632702608217188
2018,ABLT,202590000,146640000,55960000,53720000,NA,2180000,8300000,5680000,5450000,30000000,31760000,68730000,25670000,126880000,83360000,42580000,43520000,0.6569987389659521,1.9154411764705883,2.9154411764705883,0.27622291327311316,NA,0.04096944567846389,0.028036921861888543,0.028036921861888543,1.596705548549811,0.01755923118533204,0.05119290562488348
2019,ABLT,204810000,146270000,58540000,64220000,NA,NA,NA,NA,1750000,27980000,33840000,65870000,27270000,132570000,93790000,37760000,38780000,0.7074752960700007,2.418514698298092,3.418514698298092,0.28582588740784143,NA,NA,NA,NA,1.5449196650825978,NA,NA
2015,ACH,152300000000,NA,2670000000,NA,NA,NA,NA,NA,27190000000,6140000000,24280000000,76940000000,113470000000,229220000000,NA,45280000000,59530000000,NA,NA,3.85049554846296,0.017531188443860802,NA,NA,NA,NA,0.664427187854463,NA,NA
2016,ACH,168520000000,156570000000,11950000000,6160000000,5940000000,1880000000,301930000,13880000000,28960000000,8200000000,20010000000,74180000000,105110000000,212540000000,150920000000,40330000000,59990000000,0.7100781029453279,2.515752625437573,3.542923820636773,0.07091146451459768,2.3367003367003365,0.0017916567766437218,0.08236411108473772,0.08236411108473772,0.7928860449797686,0.10387887591947635,0.36803494395608444
2017,ACH,208730000000,192090000000,16650000000,8220000000,5850000000,3700000000,1500000000,16430000000,36030000000,9610000000,24670000000,82400000000,119090000000,239870000000,162920000000,45220000000,76500000000,0.6792012340017509,2.129673202614379,3.1355555555555554,0.07976812149667034,2.8085470085470083,0.007186317251952283,0.07871412829971734,0.07871412829971734,0.8701796806603577,0.09045732743378143,0.2836339755757013
2018,ACH,213490000000,198150000000,15340000000,8210000000,5790000000,2870000000,684830000,16390000000,24300000000,9240000000,23330000000,67170000000,121160000000,229170000000,151650000000,59770000000,77170000000,0.6617358292970285,1.9651418945185952,2.9696773357522352,0.07185348259871657,2.830742659758204,0.003207784907958218,0.07677174574921541,0.07677174574921541,0.93157917703015225,0.08241032822777505,0.24473208396992624
2019,ACH,215530000000,202050000000,13480000000,7370000000,5580000000,2040000000,716350000,15790000000,14060000000,8270000000,21830000000,54490000000,133360000000,227150000000,147770000000,61140000000,79110000000,0.6505392912172573,1.8679054481102262,2.871318417393503,0.06254349742495244,2.8297491039426523,0.0033236672388994573,0.07326126293323436,0.07326126293323436,0.9488443759630201,0.07721104196763413,0.22169748682781057
