"Year","symbol","Gross.Revenue","COGS.DA","Gross.Income","Non.Product.Cost.SGA","Interest.Expenses","Pretax.Income","Net.Income","EBITDA","Cash.ST.Investments","Total.Accounts.Receivable","Inventories","Total.Current.Assets","Net.Property","Total.Assets","Total.Liabilities","Total.Shareholder.Equity","Total.Equity","Debt.To.Asset","Debt.To.Equity","Equity.Multiplier","Gross.Profit.Margin","Interest.Coverage","Net.Profit.Margin","Operating.Margin","Return.On.Sales","Asset.Turnover","Return.On.Asset"
"2015","apd",9.89e+09,6.94e+09,2.95e+09,1.08e+09,110100000,1.73e+09,1.28e+09,2.81e+09,206400000,1.84e+09,657800000,2.91e+09,9.64e+09,1.744e+10,1.006e+10,7.25e+09,7.38e+09,0.576834862385321,1.36314363143631,2.36314363143631,0.298281092012133,25.5222524977293,0.129423660262892,0.28412537917088,0.28412537917088,0.567087155963303,0.501025946687577
"2016","apd",7.5e+09,5.18e+09,2.33e+09,756600000,96400000,1.55e+09,1.1e+09,2.43e+09,1.29e+09,1.65e+09,347800000,4.32e+09,8.26e+09,1.803e+10,1.082e+10,7.08e+09,7.21e+09,0.600110926234054,1.50069348127601,2.50069348127601,0.310666666666667,25.207468879668,0.146666666666667,0.324,0.324,0.415973377703827,0.778896
"2017","apd",8.19e+09,5.75e+09,2.44e+09,771100000,105100000,1.42e+09,1.13e+09,2.53e+09,3.68e+09,1.63e+09,335400000,5.88e+09,8.44e+09,1.847e+10,8.28e+09,1.009e+10,1.019e+10,0.448294531672983,0.812561334641806,1.81256133464181,0.297924297924298,24.0723120837298,0.137973137973138,0.308913308913309,0.308913308913309,0.443421765024364,0.696657975046253
"2018","apd",8.93e+09,6.19e+09,2.74e+09,825300000,115300000,2.02e+09,1.46e+09,2.89e+09,2.98e+09,1.58e+09,396100000,5.08e+09,9.92e+09,1.918e+10,8e+08,1.086e+10,1.118e+10,0.0417101147028154,0.0715563506261181,1.71556350626118,0.306830907054871,25.0650477016479,0.163493840985442,0.323628219484882,0.323628219484882,0.465589155370177,0.695093980931696
"2019","apd",8.92e+09,5.98e+09,2.94e+09,822900000,153400000,2.29e+09,1.76e+09,3.2e+09,2.41e+09,1.62e+09,388300000,4.62e+09,1.034e+10,1.894e+10,7.55e+09,1.105e+10,1.139e+10,0.398627243928194,0.662862159789289,1.66286215978929,0.329596412556054,20.8604954367666,0.197309417040359,0.358744394618834,0.358744394618834,0.470960929250264,0.76172856884313
"2015","ALB",2.83e+09,1.97e+09,860230000,389630000,81650000,310740000,302430000,730680000,213730000,495550000,439510000,1.83e+09,2.32e+09,9.6e+09,6.2e+09,3.25e+09,3.4e+09,0.645833333333333,1.82352941176471,2.82352941176471,0.303968197879859,8.94892835272505,0.106865724381625,0.258190812720848,0.258190812720848,0.294791666666667,0.875841626190863
"2016","ALB",2.68e+09,1.71e+09,970580000,460940000,65180000,515260000,441540000,735810000,2.27e+09,543110000,450260000,3.31e+09,2.36e+09,8.16e+09,4.22e+09,3.8e+09,3.94e+09,0.517156862745098,1.07106598984772,2.07106598984772,0.36215671641791,11.288892298251,0.164753731343284,0.274555970149254,0.274555970149254,0.32843137254902,0.835961461349967
"2017","ALB",3.07e+09,1.95e+09,1.12e+09,500920000,115350000,446800000,54850000,819490000,1.14e+09,619390000,592780000,2.48e+09,2.49e+09,7.75e+09,3.93e+09,3.67e+09,3.82e+09,0.507096774193548,1.02879581151832,2.02879581151832,0.364820846905537,7.10437798006068,0.0178664495114007,0.266934853420195,0.266934853420195,0.396129032258065,0.673858343324598
"2018","ALB",3.37e+09,2.15e+09,1.22e+09,496740000,52410000,794700000,693560000,925010000,555320000,697890000,700540000,2e+08,3.02e+09,7.58e+09,3.82e+09,3.59e+09,3.76e+09,0.503957783641161,1.01595744680851,2.01595744680851,0.362017804154303,17.6494943713032,0.205804154302671,0.274483679525223,0.274483679525223,0.444591029023747,0.617384656024091
"2019","ALB",3.59e+09,2.33e+09,1.26e+09,573460000,52870000,562950000,533230000,898810000,613110000,752450000,768980000,2.23e+09,5.04e+09,9.86e+09,5.77e+09,3.93e+09,4.09e+09,0.585192697768763,1.41075794621027,2.41075794621027,0.350974930362117,17.0003782863628,0.148532033426184,0.250364902506964,0.250364902506964,0.364097363083164,0.687631737804641
"2015","AVY",5.97e+09,4.33e+09,1.64e+09,1.11e+09,60400000,408900000,274400000,717600000,176400000,964700000,478700000,1.78e+09,847900000,4.13e+09,3.17e+09,965700000,965700000,0.767554479418886,3.28259293776535,4.27669048358704,0.274706867671692,11.8807947019868,0.045963149078727,0.120201005025126,0.120201005025126,1.4455205811138,0.0831541291044839
"2016","AVY",6.09e+09,4.39e+09,1.7e+09,1.1e+09,59800000,477100000,320700000,779100000,212700000,1.03e+09,519100000,1.9e+09,915200000,4.4e+09,3.47e+09,925500000,925500000,0.788636363636364,3.7493246893571,4.75418692598595,0.279146141215107,13.0284280936455,0.0526600985221675,0.127931034482759,0.127931034482759,1.38409090909091,0.0924296472453428
