symbol,date,open,high,low,close,volume,adjusted
AA,2010-01-04,39.577412,40.58667,39.409199,40.009949,10773700,37.018944
AA,2010-01-08,39.553379,40.899059,39.52935,40.899059,13835200,37.841591
AA,2010-01-11,42.028469,42.292801,41.163391,41.93235,31810900,38.797623
AA,2010-01-15,37.871281,38.087551,37.150379,37.558891,13905100,34.751122
AA,2010-01-22,34.074539,34.074539,32.03199,32.200199,35155400,29.793018
AA,2010-01-25,33.065281,33.281551,31.983931,32.17617,18389600,29.770792
AA,2010-01-29,31.55139,31.9599,30.30183,30.590191,17872900,28.303379
AA,2010-02-01,31.21497,32.17617,31.02273,32.10408,16677500,29.704086
AA,2010-02-05,31.02273,31.69557,30.30183,31.671539,18303700,29.368334
AA,2010-02-08,31.671539,32.512589,31.070789,31.383181,16398500,29.100948
AA,2010-02-12,32.03199,32.24826,31.69557,31.91184,19208600,29.59116
AA,2010-02-19,32.56065,32.897072,32.320351,32.512589,11889200,30.148228
AA,2010-02-22,32.873039,32.921101,32.296322,32.536621,9648900,30.170506
AA,2010-02-26,32.10408,32.128109,31.527361,31.9599,10302100,29.635725
AA,2010-03-01,31.83975,32.224232,31.69557,31.983931,13145900,29.65801
AA,2010-03-05,32.536621,33.545879,32.41647,33.257519,16957400,30.838976
AA,2010-03-08,33.641998,33.69006,32.945129,33.113338,13512400,30.705288
AA,2010-03-12,33.041248,33.281551,32.608711,32.680801,12004100,30.304197
AA,2010-03-15,32.608711,32.680801,32.080051,32.464531,9779900,30.103659
AA,2010-03-19,34.266781,34.939621,33.810211,34.266781,18574900,31.774843
AA,2010-03-22,33.786179,34.723351,33.401699,34.459019,12933300,31.953108
AA,2010-03-26,34.338871,34.699322,33.90633,34.29081,13387800,31.797129
AA,2010-03-29,34.723351,34.89156,34.43499,34.699322,9919100,32.175934
AA,2010-04-05,35.011711,35.5644,34.819469,35.396191,13025000,32.822121
AA,2010-04-09,35.3241,35.420219,34.098572,34.57917,23392200,32.06451
AA,2010-04-12,34.867531,35.49231,34.723351,35.011711,23807100,32.465599
AA,2010-04-16,34.170658,34.266781,33.1614,33.425731999999996,21650000,30.994959
AA,2010-04-19,33.08931,33.113338,32.41647,32.969158,15692300,30.571594
AA,2010-04-23,33.30558,34.074539,33.065281,33.90633,10201800,31.440617
AA,2010-04-26,34.026482,34.338871,33.69006,33.76215,9058500,31.306915
AA,2010-04-30,32.993191,33.113338,32.128109,32.272289,12193800,29.9254
AA,2010-05-03,32.440498,32.536621,31.16691,31.599449,18977100,29.301487
AA,2010-05-07,29.14839,29.74914,28.16316,28.836,30292500,26.802921
AA,2010-05-10,30.15765,30.42198,29.74914,30.253771,16191200,28.120735
AA,2010-05-14,30.42198,30.42198,29.36466,29.70108,16724800,27.607008
AA,2010-05-17,29.532869,29.62899,28.3554,29.0763,16150900,27.026274
AA,2010-05-21,26.168671,27.514351,25.9524,27.27405,18176600,25.351093
AA,2010-05-24,27.177931,27.442261,26.60121,26.649269,9277600,24.770363
AA,2010-05-28,28.331369,28.331369,27.730619,27.970921,8737200,25.998835
AA,2010-06-04,26.529119,27.057779,25.976431,26.048519,12658600,24.211971
AA,2010-06-07,26.120609,26.28882,25.231501,25.255529,11803100,23.474888
AA,2010-06-11,26.793449,27.370171,26.6733,27.29808,7630900,25.373428
AA,2010-06-14,27.75465,28.067039,27.177931,27.250019,7419100,25.328758
AA,2010-06-18,26.88957,27.105841,26.48106,26.69733,8917900,24.815037
AA,2010-06-21,27.46629,29.124359,27.442261,28.16316,26325900,26.177521
AA,2010-06-25,26.841511,27.105841,26.40897,26.985689,11928900,25.083063
AA,2010-06-28,26.913601,27.08181,26.433001,26.505091,7943400,24.636356
AA,2010-07-02,24.46254,24.46254,23.74164,24.030001,6447900,22.335768
AA,2010-07-09,25.80822,26.36091,25.640011,26.28882,8759600,24.435335
AA,2010-07-12,26.433001,26.433001,25.66404,26.120609,16272700,24.278978
AA,2010-07-16,25.76016,25.832251,25.01523,25.01523,11756400,23.251534
AA,2010-07-19,25.231501,25.66404,24.774929,25.42374,11118200,23.631241
AA,2010-07-23,26.120609,26.721359,25.640011,26.55315,10444800,24.681023
AA,2010-07-26,26.769421,27.322109,26.457029,26.985689,11002200,25.083063
AA,2010-07-30,26.312851,27.105841,26.096581,26.841511,9422300,24.949051
AA,2010-08-02,27.27405,28.187189,27.22599,28.13913,10792000,26.155176
AA,2010-08-06,27.514351,28.187189,27.514351,27.850771,7307400,25.95451
AA,2010-08-09,27.922859,28.23525,27.82674,28.01898,6054800,26.111265
AA,2010-08-13,25.640011,25.92837,25.42374,25.567921,6422700,23.827089
AA,2010-08-16,25.375681,25.68807,25.231501,25.471800000000002,6065900,23.737516
AA,2010-08-20,25.32762,25.447769,25.111349,25.39971,7006400,23.670336
AA,2010-08-23,25.640011,25.68807,24.87105,24.919109,7162900,23.222456
AA,2010-08-27,24.39045,24.895081,23.957911,24.79896,10162400,23.110487
AA,2010-08-30,24.7509,25.13538,24.60672,24.630751,9118300,22.953728
AA,2010-09-03,26.457029,26.60121,26.00046,26.14464,6922300,24.364546
AA,2010-09-10,26.96166,27.322109,26.74539,26.841511,6512400,25.013968
AA,2010-09-13,27.34614,27.850771,27.22599,27.68256,10247900,25.79775
AA,2010-09-17,27.20196,27.250019,26.6733,26.841511,9452600,25.013968
AA,2010-09-20,27.033751,27.49032,26.769421,27.34614,7771100,25.484232
AA,2010-09-24,28.836,29.43675,28.76391,29.316601,12843300,27.320532
AA,2010-09-27,29.22048,29.22048,28.73988,29.00421,11123400,27.029413
AA,2010-10-01,29.41272,29.797199,29.316601,29.388691,9570200,27.387722
AA,2010-10-04,29.172421,29.316601,28.379431,28.643761,12942400,26.693501
AA,2010-10-08,30.2778,31.55139,30.2778,30.97467,30284300,28.865715
AA,2010-10-11,31.335119,31.455271,30.83049,31.070789,9715900,28.955284
AA,2010-10-15,31.791691,31.935869,30.68631,31.55139,17044300,29.403162
AA,2010-10-18,31.527361,31.69557,30.90258,31.57542,7723000,29.425564
AA,2010-10-22,30.782431,30.87855,30.34989,30.56616,7794200,28.485016
AA,2010-10-25,31.09482,31.35915,30.83049,30.95064,8543800,28.843321
AA,2010-10-29,30.397949,31.791691,30.22974,31.57542,16339900,29.425564
AA,2010-11-01,31.69557,31.935869,31.118851,31.35915,7852500,29.224016
AA,2010-11-05,32.84901,33.83424,32.48856,33.641998,13374600,31.422634
AA,2010-11-08,33.401699,33.61797,33.01722,33.545879,9425300,31.332859
AA,2010-11-12,32.84901,32.969158,32.007961,32.41647,11548500,30.277954
AA,2010-11-15,32.800949,32.897072,32.17617,32.200199,7672700,30.075943
AA,2010-11-19,31.91184,32.344379000000004,31.455271,32.152142,7472400,30.031059
AA,2010-11-22,32.007961,32.152142,31.50333,31.935869,7264400,29.82906
AA,2010-11-26,31.55139,31.719601,31.383181,31.647511,2318700,29.559719
AA,2010-11-29,31.407209,32.080051,31.239,31.935869,9096100,29.82906
AA,2010-12-03,33.497822,34.242748,33.37767,34.194691,10436200,31.93886
AA,2010-12-06,34.05051,34.386929,33.954391,34.218719,7631300,31.961319
AA,2010-12-10,33.954391,34.314838,33.738121,34.242748,5465400,31.983749
AA,2010-12-13,34.531109,34.843498,34.314838,34.50708,6981300,32.230644
AA,2010-12-17,34.819469,35.083801,34.65126,34.987679,8935800,32.679543
AA,2010-12-20,35.059769,35.516338,34.627232,35.49231,8993600,33.150883
AA,2010-12-27,36.645748,36.7659,36.117088,36.597691,5590800,34.183334
AA,2010-12-31,36.5256,37.246498,36.405449,36.982170000000004,5971200,34.54245
AA,2011-01-03,38.015461,38.9286,37.919338,37.9674,17378200,35.462681
AA,2011-01-07,39.52935,39.577412,38.688301,39.45726,15107100,36.854256
AA,2011-01-10,40.154129,40.154129,39.409199,39.625469,24682600,37.011383
AA,2011-01-14,37.943371,38.616211,37.847252,38.375912,17067100,35.84425
AA,2011-01-21,38.616211,38.9286,37.895309,37.943371,11634000,35.440224
AA,2011-01-24,38.135609,39.721588,38.015461,39.481289,17326200,36.876705
AA,2011-01-28,39.76965,39.76965,38.448002,38.760391,11796700,36.203365
AA,2011-01-31,38.880539,39.817711,38.880539,39.817711,11986800,37.190926
AA,2011-02-04,41.668018000000004,41.78817,40.875031,41.18742,7606100,38.537022
AA,2011-02-07,41.64399,41.980412,41.523842,41.619961000000004,10878900,38.941742
AA,2011-02-11,41.163391,41.884289,40.778912,41.740108,9083200,39.054146
AA,2011-02-14,41.812199,42.485039,41.71608,42.268768,9653900,39.548798
AA,2011-02-18,42.220711,42.24474,41.163391,41.523842,9515700,38.851799
AA,2011-02-25,40.466518,40.58667,39.649502,40.082039,7862400,37.502781
AA,2011-02-28,40.394428,40.682789,40.05801,40.490551,9034300,37.884998
AA,2011-03-04,40.298309,40.370399,39.337109,39.84174,7741800,37.277935
AA,2011-03-07,39.84174,40.250252,38.64024,39.048752,8885200,36.535988
AA,2011-03-11,37.198441,38.760391,37.05426,38.520088,9494700,36.04134
AA,2011-03-14,38.32785,38.808449,38.207699,38.736359,7414900,36.243694
AA,2011-03-18,39.24099,39.24099,38.544121,38.71233,10423000,36.221214
AA,2011-03-21,39.361141,39.793678,39.072781,39.76965,7769200,37.210487
