Date,Open,High,Low,Close,Adj Close,Volume
2015-04-23,16.330000,16.330000,15.350000,15.990000,12.106110,51100
2015-04-24,15.990000,16.000000,15.500000,16.000000,12.113679,577300
2015-04-27,16.000000,16.000000,15.600000,15.600000,11.810838,29000
2015-04-28,15.610000,15.640000,15.300000,15.620000,11.825980,19100
2015-04-29,15.650000,15.650000,15.250000,15.250000,11.545851,16300
2015-04-30,15.000000,15.000000,14.410000,14.410000,10.909883,495900
2015-05-01,14.520000,14.750000,14.500000,14.550000,11.015878,32700
2015-05-04,14.420000,14.710000,14.420000,14.600000,11.053733,19100
2015-05-05,14.630000,14.700000,14.100000,14.250000,10.788746,12500
2015-05-06,14.250000,14.330000,14.150000,14.300000,10.826601,2000
2015-05-07,14.450000,14.490000,14.100000,14.200000,10.750891,23900
2015-05-08,14.200000,14.250000,13.800000,13.840000,10.478333,15000
2015-05-11,13.850000,14.250000,12.900000,13.090000,9.910504,112100
2015-05-12,13.240000,13.450000,13.000000,13.000000,9.842365,523700
2015-05-13,13.050000,13.050000,12.800000,12.800000,9.690944,29300
2015-05-14,12.250000,12.800000,12.240000,12.580000,9.524381,86200
2015-05-15,12.660000,13.000000,12.660000,12.790000,9.683372,25600
2015-05-18,13.000000,13.250000,12.570000,12.650000,9.577379,35000
2015-05-19,12.600000,12.640000,12.250000,12.450000,9.425958,84600
2015-05-20,12.250000,12.350000,11.990000,12.200000,9.236680,94900
2015-05-21,12.170000,12.700000,12.170000,12.570000,9.516809,99600
2015-05-22,12.630000,12.740000,12.500000,12.620000,9.554665,41900
2015-05-26,12.650000,13.100000,12.650000,13.000000,9.842365,21600
2015-05-27,13.250000,13.420000,13.120000,13.400000,10.145206,111000
2015-05-28,13.300000,13.450000,13.200000,13.400000,10.145206,39800
2015-05-29,13.500000,13.710000,13.500000,13.700000,10.372341,51200
2015-06-01,14.000000,14.000000,13.600000,13.600000,10.296628,23400
2015-06-02,13.600000,14.000000,13.600000,13.760000,10.417766,56500
2015-06-03,13.840000,13.850000,13.760000,13.800000,10.448049,13400
2015-06-04,13.800000,13.850000,13.790000,13.790000,10.440477,39200
2015-06-05,13.800000,13.870000,13.790000,13.870000,10.501045,38300
2015-06-08,14.000000,14.070000,14.000000,14.000000,10.599471,181300
2015-06-09,14.030000,14.030000,13.990000,14.000000,10.599471,60000
2015-06-10,14.000000,14.050000,14.000000,14.050000,10.637324,57200
2015-06-11,14.050000,14.110000,14.000000,14.050000,10.637324,283000
2015-06-12,14.050000,14.220000,14.050000,14.220000,10.766034,329500
2015-06-15,14.220000,14.500000,14.220000,14.500000,10.978023,22100
2015-06-16,14.500000,14.820000,14.500000,14.820000,11.220296,46600
2015-06-17,14.900000,15.250000,14.900000,15.150000,11.470140,136400
2015-06-18,15.200000,15.450000,15.200000,15.400000,11.659416,54900
2015-06-19,15.350000,15.350000,15.000000,15.120000,11.447427,13800
2015-06-22,14.820000,15.050000,14.820000,14.970000,11.333861,13500
2015-06-23,14.900000,15.000000,14.750000,14.850000,11.243011,28900
2015-06-24,14.750000,14.750000,14.500000,14.730000,11.152157,29200
2015-06-25,14.730000,14.730000,14.500000,14.720000,11.144586,20800
2015-06-26,14.720000,14.720000,14.260000,14.500000,10.978023,63900
2015-06-29,14.500000,14.500000,11.600000,13.000000,9.842365,250500
2015-06-30,12.990000,13.250000,12.670000,13.000000,9.842365,43600
2015-07-01,13.000000,13.000000,12.570000,12.570000,9.516809,18000
2015-07-02,12.550000,12.700000,12.500000,12.700000,9.615233,17600
2015-07-06,12.720000,12.780000,12.710000,12.770000,9.668230,1900
2015-07-07,12.750000,13.000000,12.660000,13.000000,9.842365,30500
2015-07-08,13.000000,13.000000,12.920000,12.980000,9.827222,10300
2015-07-09,13.000000,13.010000,12.850000,12.860000,9.736370,5400
2015-07-10,12.880000,12.880000,12.500000,12.800000,9.690944,33000
2015-07-13,12.500000,12.500000,12.500000,12.500000,9.463812,2100
2015-07-14,12.500000,12.530000,12.200000,12.530000,9.486526,2800
2015-07-15,12.500000,12.750000,12.500000,12.750000,9.653089,6900
2015-07-16,12.530000,12.530000,12.210000,12.470000,9.441099,8400
2015-07-17,12.470000,13.000000,12.470000,12.750000,9.653089,19100
2015-07-20,12.800000,12.850000,12.380000,12.650000,9.577379,18500
2015-07-21,12.650000,12.650000,12.400000,12.500000,9.463812,20400
2015-07-22,12.390000,12.400000,12.150000,12.350000,9.350245,4600
2015-07-23,12.240000,12.350000,12.080000,12.200000,9.236680,5400
2015-07-24,12.250000,12.250000,11.360000,11.360000,8.600714,29300
2015-07-27,11.610000,11.690000,11.210000,11.260000,8.525002,29300
2015-07-28,10.900000,11.150000,10.250000,10.950000,8.290298,19400
2015-07-29,10.940000,11.440000,10.940000,11.300000,8.555287,13700
2015-07-30,11.300000,11.300000,10.900000,10.900000,8.252445,8600
2015-07-31,10.900000,11.200000,10.710000,11.200000,8.479577,31400
2015-08-03,10.600000,10.610000,9.500000,10.150000,7.684615,21900
2015-08-04,10.230000,10.250000,9.940000,10.000000,7.571051,24600
2015-08-05,10.000000,10.150000,9.950000,10.000000,7.571051,26800
2015-08-06,9.970000,10.250000,9.930000,10.250000,7.760326,5300
2015-08-07,10.010000,10.250000,10.000000,10.170000,7.699757,6500
2015-08-10,10.250000,10.250000,10.000000,10.150000,7.684615,1000
2015-08-11,10.010000,10.200000,9.950000,10.000000,7.571051,3600
2015-08-12,10.100000,10.200000,9.930000,10.200000,7.722471,18300
2015-08-13,9.920000,10.100000,9.920000,10.100000,7.646760,2900
2015-08-14,10.250000,10.250000,10.000000,10.230000,7.745185,1600
2015-08-17,10.230000,10.230000,10.000000,10.000000,7.571051,7300
2015-08-18,10.030000,10.150000,10.000000,10.030000,7.593763,16000
2015-08-19,10.000000,10.200000,9.950000,10.000000,7.571051,28800
2015-08-20,9.750000,10.050000,9.750000,9.900000,7.495339,23800
2015-08-21,9.900000,9.970000,9.800000,9.850000,7.457485,21200
2015-08-24,9.500000,9.850000,9.350000,9.500000,7.192497,17600
2015-08-25,9.750000,9.750000,8.750000,9.300000,7.041077,21800
2015-08-26,9.160000,9.180000,8.760000,8.950000,6.776090,13000
2015-08-27,9.000000,9.000000,8.850000,8.900000,6.738235,2400
2015-08-28,8.820000,9.350000,8.660000,9.000000,6.813945,9500
2015-08-31,9.340000,9.340000,9.260000,9.260000,7.010792,1600
2015-09-01,8.800000,9.000000,8.700000,8.950000,6.776090,21400
2015-09-02,8.900000,9.000000,6.520000,7.850000,5.943274,87500
2015-09-03,7.500000,7.600000,7.450000,7.500000,5.678288,17400
2015-09-04,7.540000,7.650000,7.450000,7.550000,5.716143,12500
2015-09-08,7.520000,7.520000,7.000000,7.400000,5.602577,37000
2015-09-09,7.180000,7.300000,7.000000,7.250000,5.489011,12400
2015-09-10,7.250000,7.250000,6.360000,7.000000,5.299736,52800
2015-09-11,7.200000,7.200000,6.260000,6.350000,4.807617,61200
2015-09-14,6.570000,7.500000,6.450000,7.310000,5.534437,20500
2015-09-15,7.380000,7.550000,7.000000,7.100000,5.375445,4000
2015-09-16,7.500000,7.500000,6.850000,7.400000,5.602577,16100
2015-09-17,7.300000,7.750000,7.300000,7.600000,5.753998,40300
2015-09-18,7.500000,7.750000,7.400000,7.400000,5.602577,6900
2015-09-21,7.400000,7.700000,7.300000,7.450000,5.640432,18300
2015-09-22,7.480000,7.550000,7.480000,7.550000,5.716143,21200
2015-09-23,7.410000,7.410000,7.100000,7.350000,5.564722,4500
2015-09-24,7.250000,7.250000,7.150000,7.250000,5.489011,900
2015-09-25,7.200000,7.350000,7.100000,7.200000,5.451156,28700
2015-09-28,7.160000,7.200000,6.800000,6.800000,5.148314,11200
2015-09-29,6.250000,6.750000,6.010000,6.300000,4.769762,22900
2015-09-30,6.400000,6.650000,6.400000,6.600000,4.996892,347200
2015-10-01,6.670000,6.750000,6.100000,6.250000,4.731906,27500
2015-10-02,6.250000,6.250000,6.230000,6.250000,4.731906,10600
2015-10-05,6.000000,6.050000,5.250000,5.810000,4.398780,11100
2015-10-06,5.750000,6.250000,5.750000,6.250000,4.731906,2700
2015-10-07,5.950000,5.950000,5.810000,5.810000,4.398780,3900
2015-10-08,6.000000,6.250000,5.750000,5.900000,4.466919,8600
2015-10-09,5.900000,6.150000,5.850000,5.900000,4.466919,14700
2015-10-12,5.880000,6.000000,5.500000,5.800000,4.391209,6000
2015-10-13,5.700000,5.700000,5.600000,5.600000,4.239789,6800
2015-10-14,5.500000,6.000000,5.450000,6.000000,4.542629,9100
2015-10-15,5.780000,6.000000,5.780000,5.980000,4.527487,3900
2015-10-16,5.970000,6.000000,5.970000,6.000000,4.542629,2100
2015-10-19,5.970000,6.000000,5.940000,6.000000,4.542629,800
2015-10-20,5.950000,6.000000,5.750000,5.970000,4.519917,330200
2015-10-21,5.800000,5.900000,5.580000,5.740000,4.345784,8500
2015-10-22,5.750000,5.750000,5.740000,5.740000,4.345784,300
2015-10-23,5.700000,5.870000,5.610000,5.650000,4.277644,61100
2015-10-26,5.750000,5.750000,5.430000,5.600000,4.239789,4800
2015-10-27,5.600000,5.600000,5.250000,5.460000,4.133793,10500
2015-10-28,5.490000,5.500000,5.250000,5.250000,3.974801,20700
2015-10-29,5.250000,5.350000,4.800000,4.900000,3.709815,80900
2015-10-30,4.850000,4.850000,4.320000,4.500000,3.406972,88000
2015-11-02,4.500000,4.500000,4.360000,4.360000,3.300978,9500
2015-11-03,4.360000,4.500000,4.350000,4.370000,3.308548,10200
2015-11-04,4.350000,4.350000,4.140000,4.350000,3.293406,7900
2015-11-05,4.250000,4.500000,4.250000,4.360000,3.300978,21100
2015-11-06,4.300000,4.440000,4.250000,4.440000,3.361547,23100
