Date,Open,High,Low,Close,Adj Close,Volume
2015-04-23,11.030000,11.260000,10.900000,11.120000,10.828219,2920300
2015-04-24,10.880000,10.970000,10.610000,10.650000,10.370551,4087900
2015-04-27,10.980000,11.270000,10.860000,10.930000,10.643206,4398000
2015-04-28,11.200000,11.490000,11.150000,11.430000,11.130086,4443500
2015-04-29,11.420000,11.800000,11.290000,11.620000,11.315100,3288200
2015-04-30,11.170000,11.400000,10.990000,11.330000,11.032709,3263600
2015-05-01,11.080000,11.490000,11.070000,11.430000,11.130086,2066200
2015-05-04,11.580000,11.730000,11.420000,11.470000,11.169037,2490000
2015-05-05,11.730000,11.800000,11.370000,11.490000,11.188510,2287900
2015-05-06,11.640000,11.690000,11.100000,11.160000,10.867170,2773900
2015-05-07,10.780000,11.250000,10.760000,11.240000,10.945070,4489200
2015-05-08,11.100000,11.450000,10.980000,11.260000,10.964547,3191800
2015-05-11,11.410000,11.580000,10.960000,11.140000,10.847696,3032900
2015-05-12,11.110000,11.240000,10.980000,11.120000,10.828219,2648500
2015-05-13,11.330000,11.400000,11.160000,11.200000,10.906120,4036400
2015-05-14,11.320000,11.740000,11.270000,11.380000,11.081398,2707600
2015-05-15,10.940000,11.270000,10.900000,10.980000,10.691893,3877700
2015-05-18,11.030000,11.090000,10.830000,10.920000,10.633468,2198000
2015-05-19,10.580000,10.680000,10.400000,10.420000,10.146587,3469700
2015-05-20,10.460000,10.530000,10.320000,10.350000,10.078425,2286500
2015-05-21,10.320000,10.430000,10.220000,10.240000,9.971310,1871200
2015-05-22,10.260000,10.280000,9.880000,9.960000,9.698656,2506400
2015-05-26,9.720000,9.720000,9.520000,9.600000,9.348104,2997800
2015-05-27,9.380000,9.520000,9.320000,9.420000,9.172826,3143700
2015-05-28,9.340000,9.640000,9.330000,9.600000,9.348104,3252600
2015-05-29,9.640000,9.730000,9.530000,9.580000,9.328629,1866500
2015-06-01,9.660000,9.720000,9.280000,9.370000,9.124138,2210800
2015-06-02,9.370000,9.510000,9.300000,9.400000,9.153350,1979200
2015-06-03,9.380000,9.380000,9.120000,9.210000,8.968337,2663400
2015-06-04,8.880000,8.980000,8.710000,8.850000,8.617784,5443800
2015-06-05,8.650000,8.870000,8.620000,8.720000,8.491195,2144000
2015-06-08,8.700000,8.720000,8.430000,8.720000,8.491195,2750300
2015-06-09,9.580000,9.660000,9.240000,9.300000,9.055975,4979100
2015-06-10,9.660000,9.670000,9.360000,9.450000,9.202039,3063500
2015-06-11,9.440000,9.450000,8.980000,9.000000,8.763846,2308600
2015-06-12,9.190000,9.270000,9.060000,9.060000,8.822273,2487400
2015-06-15,8.900000,9.100000,8.760000,9.020000,8.783322,3650500
2015-06-16,8.930000,9.050000,8.830000,8.910000,8.676208,2282900
2015-06-17,8.880000,9.220000,8.770000,9.190000,8.948861,3075800
2015-06-18,9.400000,9.790000,9.400000,9.600000,9.348104,3961100
2015-06-19,9.690000,9.750000,9.240000,9.270000,9.026763,8862700
2015-06-22,9.170000,9.210000,8.970000,8.980000,8.744370,2865700
2015-06-23,8.920000,9.110000,8.880000,8.940000,8.705421,2652000
2015-06-24,8.950000,9.040000,8.860000,8.960000,8.724897,1907100
2015-06-25,9.040000,9.130000,8.960000,9.020000,8.783322,1545900
2015-06-26,8.980000,9.180000,8.970000,9.110000,8.870960,1754200
2015-06-29,9.160000,9.280000,9.090000,9.130000,8.890435,1516800
2015-06-30,8.980000,9.210000,8.890000,8.950000,8.715158,2885500
2015-07-01,8.830000,8.830000,8.370000,8.450000,8.228278,2524400
2015-07-02,8.430000,8.830000,8.410000,8.810000,8.578832,3097500
2015-07-06,8.660000,8.970000,8.630000,8.850000,8.617784,2442600
2015-07-07,8.610000,8.670000,8.350000,8.410000,8.189328,3402300
2015-07-08,8.460000,8.560000,8.030000,8.070000,7.858248,2704000
2015-07-09,8.250000,8.330000,8.090000,8.190000,7.975100,1384500
2015-07-10,8.200000,8.260000,8.040000,8.100000,7.887463,1751400
2015-07-13,8.010000,8.150000,7.870000,8.110000,7.897200,2145300
2015-07-14,8.280000,8.390000,8.240000,8.270000,8.053001,1883700
2015-07-15,8.260000,8.370000,8.080000,8.110000,7.897200,2017300
2015-07-16,7.990000,8.100000,7.940000,7.970000,7.760873,1342300
2015-07-17,7.880000,7.920000,7.460000,7.490000,7.293468,3993900
2015-07-20,6.960000,7.080000,6.700000,6.740000,6.563148,5814700
2015-07-21,6.870000,7.010000,6.730000,6.830000,6.650786,3150400
2015-07-22,6.670000,6.870000,6.600000,6.750000,6.572885,3482600
2015-07-23,6.880000,6.960000,6.470000,6.550000,6.378133,3974800
2015-07-24,6.200000,6.800000,6.120000,6.780000,6.602098,7682100
2015-07-27,6.650000,6.840000,6.290000,6.360000,6.193119,5307900
2015-07-28,6.390000,6.500000,6.260000,6.320000,6.154169,3311600
2015-07-29,6.200000,6.550000,6.100000,6.470000,6.300231,4064200
2015-07-30,6.170000,6.300000,6.040000,6.070000,5.910728,4411100
2015-07-31,6.260000,6.330000,6.030000,6.120000,5.959416,3015600
2015-08-03,6.000000,6.020000,5.850000,5.910000,5.754926,3128000
2015-08-04,5.920000,6.000000,5.670000,5.780000,5.628337,2949100
2015-08-05,5.880000,5.960000,5.640000,5.680000,5.530962,2248500
2015-08-06,5.740000,5.990000,5.680000,5.830000,5.677025,2941700
2015-08-07,5.890000,6.060000,5.680000,5.730000,5.579649,2963300
2015-08-10,5.780000,6.300000,5.710000,6.290000,6.124955,3495200
2015-08-11,6.290000,6.400000,6.070000,6.380000,6.212595,3417700
2015-08-12,6.490000,6.990000,6.490000,6.950000,6.767637,5458000
2015-08-13,6.580000,6.700000,6.260000,6.300000,6.134693,3762600
2015-08-14,6.490000,6.560000,6.230000,6.250000,6.086005,2005800
2015-08-17,6.600000,6.800000,6.520000,6.730000,6.553410,3716300
2015-08-18,6.620000,6.840000,6.560000,6.750000,6.572885,2814100
2015-08-19,6.860000,7.570000,6.860000,7.470000,7.273993,6173200
2015-08-20,7.900000,8.570000,7.850000,8.290000,8.072476,8409000
2015-08-21,8.820000,8.880000,8.000000,8.130000,7.916675,7799400
2015-08-24,8.000000,8.310000,7.940000,8.300000,8.082214,12711000
2015-08-25,8.450000,8.460000,7.640000,7.700000,7.497958,5939600
2015-08-26,7.570000,7.600000,7.120000,7.180000,6.991602,5561700
2015-08-27,7.170000,7.630000,7.120000,7.610000,7.410320,7191400
2015-08-28,7.740000,8.200000,7.670000,8.120000,7.906938,5496500
2015-08-31,7.840000,8.160000,7.590000,8.120000,7.906938,4640900
2015-09-01,8.250000,8.370000,7.580000,7.610000,7.410320,4170800
2015-09-02,7.600000,7.730000,7.380000,7.610000,7.410320,2708700
2015-09-03,7.450000,8.020000,7.430000,7.670000,7.468745,3379700
2015-09-04,7.510000,7.720000,7.340000,7.600000,7.400582,2203100
2015-09-08,7.600000,7.950000,7.500000,7.800000,7.595334,3576400
2015-09-09,7.660000,7.800000,7.430000,7.510000,7.312943,2923500
2015-09-10,7.610000,7.810000,7.550000,7.620000,7.420057,3356200
2015-09-11,7.340000,7.410000,6.830000,7.380000,7.186355,4712000
2015-09-14,7.370000,7.560000,7.180000,7.340000,7.147405,2862100
2015-09-15,7.330000,7.730000,7.320000,7.540000,7.342156,3541500
2015-09-16,7.740000,8.010000,7.740000,7.950000,7.741398,5822000
2015-09-17,7.990000,8.310000,7.850000,8.250000,8.033526,6813300
2015-09-18,8.450000,8.600000,8.290000,8.500000,8.276966,6391200
2015-09-21,8.240000,8.560000,8.170000,8.370000,8.150378,3400200
2015-09-22,8.090000,8.330000,7.990000,8.160000,7.945888,2809000
2015-09-23,8.180000,8.240000,7.820000,7.850000,7.644022,2386800
2015-09-24,8.080000,8.450000,8.060000,8.380000,8.160115,3681900
2015-09-25,8.200000,8.230000,7.820000,8.060000,7.848512,3932200
2015-09-28,7.760000,7.770000,7.320000,7.380000,7.186355,4096300
2015-09-29,7.550000,7.920000,7.540000,7.700000,7.497958,2800600
2015-09-30,7.570000,8.220000,7.570000,8.190000,7.975100,3964200
2015-10-01,8.270000,8.350000,7.940000,7.970000,7.760873,3924600
