Date,Open,High,Low,Close,Adj Close,Volume
2015-04-23,3.860000,3.980000,3.830000,3.930000,3.716425,9838600
2015-04-24,3.920000,3.950000,3.820000,3.830000,3.621859,7614800
2015-04-27,3.870000,3.990000,3.810000,3.900000,3.688055,10736800
2015-04-28,3.940000,4.100000,3.890000,4.040000,3.820447,15790500
2015-04-29,3.980000,4.080000,3.910000,4.000000,3.782620,14656300
2015-04-30,3.910000,3.930000,3.800000,3.820000,3.612402,13657800
2015-05-01,3.790000,3.840000,3.750000,3.810000,3.602946,6971400
2015-05-04,3.870000,3.890000,3.810000,3.830000,3.621859,5977100
2015-05-05,3.880000,3.900000,3.770000,3.790000,3.584033,5724100
2015-05-06,3.830000,3.830000,3.690000,3.690000,3.489468,7082500
2015-05-07,3.660000,3.770000,3.650000,3.760000,3.555663,7640700
2015-05-08,3.800000,3.820000,3.690000,3.820000,3.612402,6833300
2015-05-11,3.820000,3.890000,3.800000,3.880000,3.669142,5038000
2015-05-12,3.890000,3.980000,3.890000,3.950000,3.735337,7148800
2015-05-13,4.010000,4.070000,3.980000,4.040000,3.820447,9223400
2015-05-14,4.070000,4.090000,3.970000,3.980000,3.763707,6163700
2015-05-15,3.960000,4.040000,3.930000,3.960000,3.744794,5052800
2015-05-18,3.980000,4.040000,3.930000,3.930000,3.716425,5178100
2015-05-19,3.900000,3.920000,3.850000,3.850000,3.640773,7015300
2015-05-20,3.880000,3.880000,3.820000,3.820000,3.612402,5042700
2015-05-21,3.820000,3.850000,3.810000,3.830000,3.621859,2923300
2015-05-22,3.830000,3.830000,3.780000,3.780000,3.574577,4019800
2015-05-26,3.720000,3.730000,3.610000,3.620000,3.423271,11441800
2015-05-27,3.620000,3.630000,3.570000,3.600000,3.404358,10891500
2015-05-28,3.580000,3.620000,3.550000,3.610000,3.413814,6333300
2015-05-29,3.570000,3.630000,3.560000,3.590000,3.394902,3532700
2015-06-01,3.610000,3.640000,3.570000,3.570000,3.375989,4216200
2015-06-02,3.600000,3.700000,3.600000,3.690000,3.489468,4129800
2015-06-03,3.650000,3.700000,3.570000,3.590000,3.394902,4180100
2015-06-04,3.550000,3.570000,3.520000,3.520000,3.328706,4891800
2015-06-05,3.490000,3.500000,3.400000,3.450000,3.262511,7477000
2015-06-08,3.470000,3.490000,3.400000,3.460000,3.271967,4489500
2015-06-09,3.480000,3.500000,3.350000,3.370000,3.186857,9337300
2015-06-10,3.460000,3.460000,3.390000,3.420000,3.234140,4789200
2015-06-11,3.400000,3.410000,3.190000,3.240000,3.063923,16382500
2015-06-12,3.220000,3.290000,3.200000,3.240000,3.063923,5391800
2015-06-15,3.230000,3.300000,3.190000,3.250000,3.073380,6135300
2015-06-16,3.240000,3.250000,3.160000,3.180000,3.007184,9246800
2015-06-17,3.160000,3.300000,3.150000,3.300000,3.120662,7508400
2015-06-18,3.400000,3.430000,3.300000,3.300000,3.120662,7204400
2015-06-19,3.250000,3.310000,3.190000,3.200000,3.026097,18806400
2015-06-22,3.160000,3.230000,3.160000,3.200000,3.026097,5415200
2015-06-23,3.160000,3.240000,3.160000,3.200000,3.026097,4888500
2015-06-24,3.170000,3.210000,3.160000,3.180000,3.007184,5024300
2015-06-25,3.180000,3.200000,3.070000,3.080000,2.912618,8174300
2015-06-26,3.070000,3.110000,3.030000,3.040000,2.888861,6118400
2015-06-29,3.050000,3.080000,2.920000,2.940000,2.793833,9348200
2015-06-30,2.930000,3.050000,2.910000,3.000000,2.850849,8448200
2015-07-01,2.980000,3.020000,2.900000,2.920000,2.774827,6684800
2015-07-02,2.930000,2.970000,2.900000,2.960000,2.812838,4871800
2015-07-06,2.910000,2.990000,2.900000,2.960000,2.812838,7032500
2015-07-07,2.890000,2.950000,2.800000,2.890000,2.746318,14306800
2015-07-08,2.900000,2.990000,2.820000,2.840000,2.698804,6110900
2015-07-09,2.900000,2.910000,2.800000,2.830000,2.689301,5667500
2015-07-10,2.840000,2.850000,2.680000,2.710000,2.575267,9660900
2015-07-13,2.680000,2.690000,2.540000,2.620000,2.489742,11930000
2015-07-14,2.630000,2.680000,2.610000,2.620000,2.489742,5056500
2015-07-15,2.590000,2.620000,2.500000,2.520000,2.394713,11070700
2015-07-16,2.520000,2.610000,2.480000,2.530000,2.404217,10412100
2015-07-17,2.510000,2.540000,2.370000,2.390000,2.271177,9915000
2015-07-20,2.280000,2.280000,2.100000,2.120000,2.014600,17204400
2015-07-21,2.170000,2.250000,2.120000,2.150000,2.043109,11588000
2015-07-22,2.110000,2.220000,2.070000,2.160000,2.052612,22205300
2015-07-23,2.200000,2.210000,2.020000,2.040000,1.938577,13983000
2015-07-24,2.000000,2.060000,1.910000,2.050000,1.948081,28031600
2015-07-27,2.060000,2.150000,1.940000,1.950000,1.853052,13414900
2015-07-28,1.990000,2.060000,1.950000,2.010000,1.910069,12899300
2015-07-29,2.020000,2.050000,1.960000,1.990000,1.891063,12133000
2015-07-30,1.970000,2.000000,1.830000,1.860000,1.767527,10669800
2015-07-31,1.930000,1.990000,1.870000,1.960000,1.862555,9924400
2015-08-03,1.990000,1.990000,1.870000,1.900000,1.805538,9666900
2015-08-04,1.960000,1.960000,1.800000,1.820000,1.729515,12384900
2015-08-05,1.840000,1.870000,1.720000,1.740000,1.653492,10014400
2015-08-06,1.740000,1.850000,1.720000,1.800000,1.710510,12069000
2015-08-07,1.810000,1.970000,1.800000,1.870000,1.777030,14848600
2015-08-10,1.920000,2.080000,1.860000,2.080000,1.976589,13735900
