Date,Open,High,Low,Close,Adj Close,Volume
2015-04-23,51.750000,51.910000,51.509998,51.509998,46.463539,580100
2015-04-24,51.650002,51.930000,51.599998,51.910000,46.824345,582600
2015-04-27,52.049999,52.310001,51.869999,51.959999,46.869446,754800
2015-04-28,51.930000,52.110001,51.439999,51.840000,46.761204,667500
2015-04-29,55.000000,55.980000,54.509998,54.610001,49.259834,2607500
2015-04-30,54.509998,56.840000,54.509998,55.590000,50.143818,1710300
2015-05-01,55.520000,56.209999,55.459999,56.160000,50.657974,1104000
2015-05-04,56.299999,56.910000,56.060001,56.639999,51.090950,637800
2015-05-05,57.439999,57.540001,56.419998,56.869999,51.298409,1260400
2015-05-06,57.080002,57.790001,56.919998,57.720001,52.065136,1258600
2015-05-07,57.650002,58.000000,57.419998,57.700001,52.047104,759200
2015-05-08,58.110001,58.490002,57.939999,58.200001,52.498112,682200
2015-05-11,58.200001,58.980000,58.169998,58.310001,52.597336,1153900
2015-05-12,58.230000,58.450001,57.990002,58.259998,52.552227,924400
2015-05-13,58.849998,59.900002,58.500000,59.830002,53.968422,2301200
2015-05-14,59.959999,60.619999,59.779999,60.509998,54.581802,1290800
2015-05-15,60.389999,60.580002,59.860001,60.520000,54.590820,1128400
2015-05-18,60.400002,60.490002,60.049999,60.209999,54.311188,1070200
2015-05-19,60.299999,61.020000,60.029999,61.000000,55.023796,768900
2015-05-20,61.000000,61.209999,60.680000,61.029999,55.050850,728800
2015-05-21,60.990002,62.130001,60.799999,61.959999,55.889748,1456600
2015-05-22,61.869999,62.779999,61.529999,62.580002,56.448997,1229700
2015-05-26,62.400002,62.419998,61.750000,62.080002,55.997986,854000
2015-05-27,62.040001,63.419998,62.040001,63.180000,56.990211,1084300
2015-05-28,63.200001,63.349998,62.700001,62.810001,56.656460,882800
2015-05-29,62.630001,62.840000,61.759998,61.910000,55.844646,927000
2015-06-01,61.970001,62.119999,61.110001,61.880001,56.153179,1077900
2015-06-02,61.610001,61.660000,60.639999,60.770000,55.145901,1008700
2015-06-03,60.750000,61.139999,60.639999,61.139999,55.481663,955200
2015-06-04,60.599998,60.790001,59.680000,60.560001,54.955353,493700
2015-06-05,60.560001,61.110001,60.169998,60.799999,55.173126,728700
2015-06-08,60.820000,60.970001,60.610001,60.689999,55.073307,659800
2015-06-09,60.810001,61.369999,60.599998,61.230000,55.563328,692700
2015-06-10,61.360001,62.290001,61.340000,62.049999,56.307442,1042700
2015-06-11,61.950001,62.770000,61.900002,62.169998,56.416328,1141900
2015-06-12,61.990002,62.730000,61.959999,62.090000,56.343735,738600
2015-06-15,61.730000,61.750000,60.980000,61.070000,55.418148,949700
2015-06-16,61.189999,61.810001,60.980000,61.799999,56.080574,542500
2015-06-17,61.790001,62.639999,61.689999,62.450001,56.670429,567800
2015-06-18,62.590000,63.150002,62.200001,62.619999,56.824699,1107600
