Date,Open,High,Low,Close,Adj Close,Volume
2015-04-23,4.970000,5.020000,4.950000,5.010000,3.450265,38800
2015-04-24,5.010000,5.020000,5.000000,5.000000,3.443377,4500
2015-04-27,5.060000,5.110000,5.050000,5.060000,3.484698,79200
2015-04-28,5.170000,5.190000,5.150000,5.180000,3.567339,19100
2015-04-29,5.070000,5.100000,5.060000,5.080000,3.498471,26700
2015-04-30,4.820000,4.820000,4.790000,4.820000,3.319416,3600
2015-05-01,5.040000,5.040000,5.010000,5.040000,3.470925,45600
2015-05-04,5.210000,5.260000,5.200000,5.250000,3.615546,37700
2015-05-05,5.310000,5.320000,5.280000,5.290000,3.643093,17200
2015-05-06,5.560000,5.580000,5.500000,5.520000,3.801489,19300
2015-05-07,5.420000,5.460000,5.390000,5.400000,3.718848,37900
2015-05-08,5.330000,5.330000,5.320000,5.330000,3.670641,10200
2015-05-11,5.290000,5.400000,5.290000,5.330000,3.670641,31100
2015-05-12,5.350000,5.430000,5.330000,5.420000,3.732621,36200
2015-05-13,5.570000,5.610000,5.570000,5.580000,3.842810,18600
2015-05-14,5.570000,5.590000,5.530000,5.560000,3.829036,11000
2015-05-15,5.470000,5.470000,5.400000,5.450000,3.753282,3500
2015-05-18,5.430000,5.470000,5.430000,5.470000,3.767055,6500
2015-05-19,5.410000,5.410000,5.370000,5.410000,3.725734,40400
2015-05-20,5.430000,5.440000,5.380000,5.420000,3.732621,26800
2015-05-21,5.380000,5.420000,5.380000,5.410000,3.725734,20800
2015-05-22,5.290000,5.360000,5.290000,5.310000,3.656868,15700
2015-05-26,5.190000,5.220000,5.170000,5.170000,3.560453,21400
2015-05-27,5.190000,5.210000,5.190000,5.210000,3.587999,32600
2015-05-28,5.280000,5.280000,5.090000,5.180000,3.567339,101800
2015-05-29,5.300000,5.340000,5.300000,5.330000,3.670641,30200
2015-06-01,5.400000,5.400000,5.350000,5.370000,3.698188,32600
2015-06-02,5.200000,5.260000,5.200000,5.250000,3.615546,18400
2015-06-03,5.250000,5.290000,5.230000,5.240000,3.608659,17300
2015-06-04,5.020000,5.020000,4.920000,4.930000,3.395170,19600
2015-06-05,4.870000,4.970000,4.870000,4.970000,3.422717,14500
2015-06-08,5.110000,5.110000,4.950000,5.020000,3.457151,19700
2015-06-09,4.810000,4.860000,4.810000,4.850000,3.340076,47100
2015-06-10,4.980000,5.050000,4.970000,5.050000,3.477812,6900
2015-06-11,5.010000,5.080000,5.010000,5.070000,3.491585,6800
2015-06-12,5.050000,5.050000,5.010000,5.020000,3.457151,24600
