Date,Open,High,Low,Close,Adj Close,Volume
2015-04-23,8.020000,8.340000,8.020000,8.270000,6.709778,440047
2015-04-24,8.400000,8.490000,8.220000,8.390000,6.807139,701119
2015-04-27,8.410000,8.440000,8.160000,8.210000,6.661098,648557
2015-04-28,8.230000,8.460000,8.170000,8.440000,6.847706,684509
2015-04-29,8.280000,8.570000,8.200000,8.380000,6.799026,835870
2015-04-30,8.230000,8.390000,8.199900,8.300000,6.734119,564835
2015-05-01,8.300000,8.340000,8.180000,8.310000,6.742232,285328
2015-05-04,8.400000,9.145000,8.380000,9.070000,7.358851,1146424
2015-05-05,9.120000,9.250000,8.730000,8.770000,7.115449,999515
2015-05-06,8.730000,9.230000,8.730000,9.040000,7.334511,939221
2015-05-07,9.020000,9.030000,8.640000,8.940000,7.253375,872200
2015-05-08,9.200000,10.060000,9.200000,10.030000,8.137736,1120777
2015-05-11,10.090000,10.170000,9.290000,9.340000,7.577911,1144087
2015-05-12,9.580000,9.990000,9.510000,9.690000,7.861880,881662
2015-05-13,9.810000,9.900000,9.590000,9.770000,7.926788,571134
2015-05-14,10.070000,10.320000,9.830000,9.960000,8.080942,628224
2015-05-15,9.930000,10.050000,9.720000,9.770000,7.926788,394829
2015-05-18,9.730000,9.740000,9.290000,9.350000,7.586026,655751
2015-05-19,9.370000,9.560000,9.270000,9.440000,7.659046,399988
2015-05-20,9.450000,9.595000,9.130000,9.500000,7.707726,775580
2015-05-21,9.310000,9.330000,8.950000,9.080000,7.366964,597889
2015-05-22,9.060000,9.090000,8.530000,8.540000,6.928840,656517
2015-05-26,8.560000,8.560000,8.200000,8.240000,6.685438,462012
2015-05-27,8.180000,8.530000,8.080000,8.510000,6.904500,662031
2015-05-28,8.350000,8.350000,8.120000,8.240000,6.685438,291576
2015-05-29,8.210000,8.300000,8.005000,8.120000,6.588078,448950
2015-06-01,8.120000,8.150000,8.000000,8.040000,6.523170,419830
2015-06-02,8.190000,8.730000,8.190000,8.680000,7.042428,921453
2015-06-03,8.630000,8.780000,8.480000,8.760000,7.107335,449560
2015-06-04,8.710000,8.740000,8.505000,8.540000,6.928840,222292
2015-06-05,8.430000,8.470000,8.240000,8.350000,6.774686,358472
2015-06-08,8.530000,8.550000,8.316500,8.400000,6.815252,288179
2015-06-09,8.550000,8.810000,8.550000,8.730000,7.082994,358467
2015-06-10,8.960000,9.190000,8.820000,8.870000,7.196581,299089
2015-06-11,8.940000,9.100000,8.875000,9.080000,7.366964,402963
2015-06-12,9.010000,9.110000,8.810000,9.030000,7.326396,337116
2015-06-15,8.915000,9.160000,8.880000,9.000000,7.302057,402731
2015-06-16,8.990000,9.170000,8.850000,9.100000,7.383191,402307
2015-06-17,9.010000,9.090000,8.690000,8.830000,7.164128,459201
2015-06-18,8.870000,9.100000,8.800000,9.050000,7.342624,291623
2015-06-19,8.640000,8.650000,8.010000,8.030000,6.515057,796015
2015-06-22,7.920000,8.250000,7.550000,8.110000,6.579964,716276
2015-06-23,8.260000,8.420000,8.230000,8.380000,6.799026,559114
2015-06-24,8.370000,8.580000,8.330000,8.470000,6.872046,264121
2015-06-25,8.460000,8.470000,8.260000,8.380000,6.799026,178528
2015-06-26,8.600000,8.880000,8.550000,8.700000,7.058654,323719
2015-06-29,8.680000,8.770000,8.490000,8.570000,6.953180,407429
2015-06-30,8.740000,8.790000,8.520000,8.660000,7.026200,428213
2015-07-01,8.640000,8.730000,8.220000,8.280000,6.717892,477101
2015-07-02,8.310000,8.470000,8.200000,8.260000,6.701665,245692
2015-07-06,7.820000,8.280000,7.810000,8.100000,6.571851,367114
2015-07-07,7.880000,8.100000,7.720000,8.050000,6.531284,482625
2015-07-08,7.910000,8.140000,7.910000,8.060000,6.539398,283629
2015-07-09,8.170000,8.340000,8.040000,8.090000,6.563737,228881
2015-07-10,8.260000,8.490000,8.210000,8.390000,6.807139,465539
2015-07-13,8.430000,8.430000,8.110000,8.230000,6.677325,401890
2015-07-14,8.030000,8.440000,8.010000,8.310000,6.742232,417317
2015-07-15,8.310000,8.450000,8.190000,8.310000,6.742232,371409
2015-07-16,8.400000,8.450000,8.250000,8.350000,6.774686,290956
2015-07-17,8.280000,8.300000,8.010000,8.050000,6.531284,552544
2015-07-20,7.900000,7.920000,7.625000,7.650000,6.206748,434114
2015-07-21,7.700000,7.890000,7.620000,7.720000,6.263542,668961
2015-07-22,7.710000,7.870000,7.630000,7.740000,6.279768,609382
2015-07-23,7.760000,7.980000,7.570000,7.600000,6.166181,541575
2015-07-24,7.560000,7.570000,7.080000,7.090000,5.752398,780603
2015-07-27,6.560000,6.700000,6.400000,6.420000,5.208801,958649
2015-07-28,6.580000,7.190000,6.420000,7.150000,5.801079,1040685
2015-07-29,7.270000,7.270000,6.950000,7.020000,5.695604,797381
2015-07-30,7.070000,7.070000,6.650000,6.760000,5.484656,738969
2015-07-31,6.940000,7.390000,6.840000,7.250000,5.882212,928779
2015-08-03,7.200000,7.310000,6.590000,6.650000,5.395408,743554
2015-08-04,6.750000,6.890000,6.660000,6.830000,5.541449,724834
2015-08-05,7.020000,7.225000,6.950000,7.190000,5.833532,663035
2015-08-06,7.560000,7.710000,7.370000,7.560000,6.133727,815178
2015-08-07,7.650000,7.850000,7.360000,7.390000,5.995800,502240
2015-08-10,7.440000,7.975000,7.410000,7.780000,6.312222,764608
2015-08-11,7.700000,7.700000,7.380000,7.610000,6.174294,526183
2015-08-12,7.750000,7.920000,7.520000,7.820000,6.344676,549938
2015-08-13,7.900000,7.940000,7.630000,7.640000,6.198635,440259
2015-08-14,7.660000,7.820000,7.600000,7.770000,6.304109,482616
2015-08-17,7.690000,7.930000,7.660000,7.730000,6.271655,377098
2015-08-18,7.620000,7.670000,7.320000,7.440000,6.036367,418662
2015-08-19,7.280000,7.435000,7.130000,7.340000,5.955233,631186
2015-08-20,7.210000,7.628900,7.160000,7.550000,6.125614,335212
2015-08-21,7.420000,7.450000,7.200000,7.200000,5.841645,478271
2015-08-24,6.640000,7.080000,6.470000,6.860000,5.565789,395762
2015-08-25,7.090000,7.175000,6.870000,6.890000,5.590130,291081
2015-08-26,6.990000,7.185000,6.750000,7.140000,5.792965,569309
2015-08-27,7.200000,7.800000,7.200000,7.740000,6.279768,640875
2015-08-28,7.660000,7.830000,7.430000,7.480000,6.068820,429921
2015-08-31,7.300000,7.900000,7.150000,7.760000,6.295995,585885
2015-09-01,7.680000,7.970000,7.500000,7.820000,6.344676,1150888
2015-09-02,7.830000,7.860000,7.530000,7.830000,6.352789,546912
2015-09-03,7.760000,8.020000,7.650000,7.860000,6.377130,695126
2015-09-04,7.750000,8.070000,7.640000,8.020000,6.506944,611607
2015-09-08,8.140000,8.160000,7.890000,7.960000,6.458263,452836
2015-09-09,8.030000,8.360000,8.000000,8.080000,6.555624,904871
2015-09-10,7.990000,8.190000,7.940000,8.110000,6.579964,812152
2015-09-11,8.070000,8.140000,7.780000,7.840000,6.360903,418218
2015-09-14,7.910000,8.155000,7.620000,8.130000,6.596191,494503
2015-09-15,7.920000,8.000000,7.780000,7.900000,6.409583,374836
2015-09-16,7.910000,8.330000,7.910000,8.280000,6.717892,306815
2015-09-17,8.040000,8.260000,7.925000,7.970000,6.466377,569630
2015-09-18,7.670000,8.150000,7.620000,7.730000,6.271655,702830
2015-09-21,7.860000,8.090000,7.780000,7.840000,6.360903,436069
2015-09-22,7.700000,7.820000,7.590000,7.690000,6.239202,571901
2015-09-23,7.820000,8.020000,7.720000,7.860000,6.377130,492471
2015-09-24,7.690000,8.070000,7.565000,8.060000,6.539398,837432
2015-09-25,8.130000,8.490000,8.110000,8.390000,6.807139,994939
2015-09-28,8.310000,8.320000,7.865000,7.880000,6.393356,474704
2015-09-29,7.870000,8.060000,7.750000,7.970000,6.466377,715832
2015-09-30,8.270000,8.475000,8.160000,8.430000,6.839593,771389
2015-10-01,8.450000,8.750000,8.400000,8.720000,7.074881,682583
2015-10-02,8.630000,9.145000,8.510000,9.100000,7.383191,750757
2015-10-05,9.100000,9.245000,8.920000,9.190000,7.456211,816625
