Date,Open,High,Low,Close,Adj Close,Volume
2015-04-23,57.189999,58.282001,57.007999,57.953999,48.342697,2699500
2015-04-24,57.972000,58.953999,57.869999,58.888000,49.121807,2612000
2015-04-27,58.948002,59.110001,57.658001,57.709999,48.139168,3453000
2015-04-28,57.410000,57.762001,56.652000,57.568001,48.020721,2579500
2015-04-29,57.762001,58.540001,57.257999,58.299999,48.631317,2321500
2015-04-30,58.403999,58.428001,57.358002,57.493999,47.958992,3720000
2015-05-01,57.962002,59.212002,57.534000,58.900002,49.131813,2690500
2015-05-04,58.764000,59.458000,58.675999,58.759998,49.015030,2145000
2015-05-05,58.877998,59.105999,57.956001,58.042000,48.416111,2902000
2015-05-06,58.049999,59.088001,57.976002,58.919998,49.148499,3096500
2015-05-07,58.880001,60.310001,57.928001,60.018002,50.064400,5851500
2015-05-08,62.098000,62.666000,61.068001,62.172001,51.861176,5826000
2015-05-11,62.341999,62.599998,61.161999,61.678001,51.449104,4730500
2015-05-12,61.304001,61.492001,60.622002,60.664001,50.603264,3069000
2015-05-13,60.282001,61.250000,60.208000,61.068001,52.231777,2431000
2015-05-14,61.125999,61.374001,60.521999,60.858002,52.052158,3494000
2015-05-15,60.793999,61.557999,60.521999,61.346001,52.469547,3747000
2015-05-18,61.374001,61.948002,61.208000,61.514000,52.613232,3205500
2015-05-19,61.653999,62.082001,61.304001,62.049999,53.071674,3025500
2015-05-20,62.020000,62.599998,61.660000,62.192001,53.193130,3211000
2015-05-21,62.278000,64.113998,61.931999,63.417999,54.241734,5429500
2015-05-22,63.854000,64.477997,63.020000,64.183998,54.896904,3883500
2015-05-26,63.810001,64.108002,63.402000,63.818001,54.583862,3857500
2015-05-27,63.972000,64.419998,63.445999,64.265999,54.967037,3289500
2015-05-28,64.300003,64.638000,63.658001,64.330002,55.021782,3170500
2015-05-29,64.414001,64.533997,63.175999,63.175999,54.034760,4641000
2015-06-01,63.346001,63.998001,62.813999,63.321999,54.159626,3301000
2015-06-02,63.363998,64.265999,63.237999,63.854000,54.614651,2634500
2015-06-03,64.033997,64.737999,63.467999,64.363998,55.050854,3247000
2015-06-04,63.984001,64.379997,63.563999,63.694000,54.477791,4398000
2015-06-05,63.403999,64.246002,63.200001,63.574001,54.375172,3168000
2015-06-08,63.534000,63.995998,63.015999,63.063999,53.938953,1880500
2015-06-09,62.938000,63.520000,62.827999,63.118000,53.985146,1668000
2015-06-10,63.458000,64.367996,63.366001,64.084000,54.811367,1777000
2015-06-11,64.108002,64.795998,63.722000,63.852001,54.612946,2527000
2015-06-12,63.689999,63.976002,63.202000,63.231998,54.082653,1686500
2015-06-15,62.832001,63.599998,62.400002,63.518002,54.327267,2345000
2015-06-16,63.560001,64.362000,63.000000,64.164001,54.879795,2503000
2015-06-17,63.692001,63.700001,62.282001,63.335999,54.171597,4303500
2015-06-18,63.369999,65.029999,63.369999,64.250000,54.953342,2587700
2015-06-19,64.120003,64.300003,62.959999,63.240002,54.089493,3696500
2015-06-22,63.509998,64.190002,63.090000,64.190002,54.902035,2793300
2015-06-23,64.300003,64.580002,63.630001,63.639999,54.431618,1383700
