Date,Open,High,Low,Close,Adj Close,Volume
2015-04-23,2.240000,2.360000,2.110000,2.230000,2.230000,19300
2015-04-24,2.150000,2.330000,2.140000,2.230000,2.230000,7400
2015-04-27,2.210000,2.360000,2.190000,2.190000,2.190000,42200
2015-04-28,2.110000,2.250000,2.110000,2.190000,2.190000,25700
2015-04-29,2.230000,2.230000,2.190000,2.190000,2.190000,4000
2015-04-30,2.200000,2.330000,2.110000,2.270000,2.270000,20700
2015-05-01,2.300000,2.350000,2.120000,2.340000,2.340000,13900
2015-05-04,2.160000,2.300000,2.160000,2.270000,2.270000,1300
2015-05-05,2.270000,2.270000,2.130000,2.170000,2.170000,1900
2015-05-06,2.230000,2.230000,2.170000,2.170000,2.170000,1500
2015-05-07,2.190000,2.200000,2.160000,2.190000,2.190000,7300
2015-05-08,2.120000,2.220000,2.110000,2.200000,2.200000,7900
2015-05-11,2.350000,2.350000,2.110000,2.110000,2.110000,2300
2015-05-12,2.030000,2.190000,2.030000,2.080000,2.080000,5300
2015-05-13,2.080000,2.080000,2.010000,2.030000,2.030000,8700
2015-05-14,2.340000,2.340000,2.010000,2.050000,2.050000,1200
2015-05-15,2.050000,2.290000,2.050000,2.100000,2.100000,11000
2015-05-18,2.100000,2.100000,2.100000,2.100000,2.100000,200
2015-05-19,2.080000,2.110000,2.080000,2.100000,2.100000,3800
2015-05-20,2.100000,2.280000,2.100000,2.150000,2.150000,7700
2015-05-21,2.100000,2.100000,2.070000,2.080000,2.080000,2700
2015-05-22,2.130000,2.350000,2.130000,2.230000,2.230000,13000
2015-05-26,2.050000,2.160000,2.030000,2.110000,2.110000,2200
2015-05-27,2.110000,2.300000,2.100000,2.220000,2.220000,8700
2015-05-28,2.280000,2.280000,2.100000,2.280000,2.280000,3000
2015-05-29,2.270000,2.270000,2.200000,2.200000,2.200000,5400
2015-06-01,2.110000,2.160000,2.020000,2.120000,2.120000,13600
2015-06-02,2.120000,2.120000,2.080000,2.080000,2.080000,300
