Date,Open,High,Low,Close,Adj Close,Volume
2015-04-23,9.005533,9.138883,8.881074,9.014423,8.787517,19995400
2015-04-24,9.067763,9.263342,9.014423,9.227782,8.995504,19943500
2015-04-27,9.263342,9.530041,9.263342,9.307792,9.073500,16295700
2015-04-28,9.347263,9.430473,9.245563,9.273299,9.039876,9653900
2015-04-29,9.254807,9.338017,9.236317,9.301036,9.066915,12221300
2015-04-30,9.264053,9.282544,8.857248,8.894231,8.670350,19626000
2015-05-01,8.903477,8.958950,8.746302,8.838758,8.616273,10908400
2015-05-04,8.949704,9.005177,8.875740,9.005177,8.778503,10103700
2015-05-05,9.005177,9.134615,8.940458,8.995932,8.769490,8574500
2015-05-06,9.014423,9.106878,8.903477,8.931213,8.706401,7632100
2015-05-07,8.921968,9.134615,8.866494,9.032914,8.805542,10750000
2015-05-08,9.106878,9.384246,9.088387,9.365754,9.130004,15183600
2015-05-11,9.365754,9.411983,9.282544,9.328773,9.093953,10854300
2015-05-12,9.254807,9.384246,9.254807,9.282544,9.048889,12441500
2015-05-13,9.402737,9.411983,9.310281,9.347263,9.111979,9178300
2015-05-14,9.411983,9.615385,9.393491,9.569157,9.328286,8103400
2015-05-15,9.541420,9.689349,9.504437,9.689349,9.445454,9397600
2015-05-18,9.596893,9.661613,9.402737,9.495193,9.256184,9630000
2015-05-19,9.504437,9.541420,9.411983,9.439719,9.202106,8934900
2015-05-20,9.421227,9.522929,9.328773,9.356509,9.120992,8619400
2015-05-21,9.227071,9.347263,9.134615,9.282544,9.048889,29478100
2015-05-22,9.208580,9.264053,9.032914,9.032914,8.805542,12266600
2015-05-26,9.005177,9.014423,8.820267,8.903477,8.679362,19202000
2015-05-27,8.940458,9.134615,8.894231,9.134615,8.904683,22132000
2015-05-28,9.023668,9.051405,8.783284,8.811021,8.589234,25825500
2015-05-29,8.811021,8.829512,8.598372,8.598372,8.381939,18636500
2015-06-01,8.607618,8.681582,8.441198,8.487426,8.273785,19953000
2015-06-02,8.468935,8.884985,8.468935,8.709319,8.490092,17221700
2015-06-03,8.727811,8.801775,8.505918,8.515162,8.300823,14885800
2015-06-04,8.505918,8.589128,8.404216,8.450444,8.237734,12196700
2015-06-05,8.367233,8.607618,8.339497,8.552145,8.336874,13621400
2015-06-08,8.598372,8.626109,8.515162,8.598372,8.381939,10325500
2015-06-09,8.607618,8.690828,8.570636,8.635355,8.417991,7915100
2015-06-10,8.737056,8.931213,8.727811,8.829512,8.607260,16408000
2015-06-11,8.774038,8.894231,8.755548,8.857248,8.634297,10874200
2015-06-12,8.801775,8.875740,8.783284,8.838758,8.616273,4689400
2015-06-15,8.727811,8.783284,8.672338,8.690828,8.472067,7331700
2015-06-16,8.672338,8.857248,8.663092,8.811021,8.589234,8045000
2015-06-17,8.811021,8.995932,8.727811,8.931213,8.706401,18720400
2015-06-18,8.958950,9.014423,8.931213,8.940458,8.715413,5864300
2015-06-19,8.940458,8.986687,8.857248,8.857248,8.634297,5910900
2015-06-22,8.940458,9.005177,8.903477,8.940458,8.715413,5866900
2015-06-23,8.977441,9.042160,8.903477,8.940458,8.715413,10495500
2015-06-24,8.940458,8.958950,8.690828,8.727811,8.508119,10406000
2015-06-25,8.755548,8.829512,8.727811,8.792530,8.571208,7057700
2015-06-26,8.774038,8.866494,8.746302,8.783284,8.562195,11966100
2015-06-29,8.598372,8.644601,8.348742,8.348742,8.138592,15458800
2015-06-30,8.441198,8.496672,8.376479,8.468935,8.255759,11179700
2015-07-01,8.524408,8.542899,8.367233,8.376479,8.165630,7346000
2015-07-02,8.385725,8.524408,8.376479,8.468935,8.255759,4686300
2015-07-06,8.339497,8.385725,8.182323,8.247042,8.039452,11504100
2015-07-07,8.200813,8.348742,7.997411,8.302515,8.093528,15064600
2015-07-08,8.274778,8.274778,8.025148,8.043639,7.841168,11943300
2015-07-09,8.210059,8.321006,8.145340,8.145340,7.940309,14324400
2015-07-10,8.293269,8.394970,8.247042,8.330252,8.120566,8042200
2015-07-13,8.357988,8.441198,8.330252,8.404216,8.192669,5449400
2015-07-14,8.404216,8.478181,8.376479,8.413462,8.201682,6293700
2015-07-15,8.376479,8.422708,8.284023,8.293269,8.084515,7480900
2015-07-16,8.339497,8.348742,8.247042,8.274778,8.066490,7593900
2015-07-17,8.284023,8.330252,8.219305,8.330252,8.120566,8675100
2015-07-20,8.302515,8.376479,8.210059,8.330252,8.120566,8670400
2015-07-21,8.330252,8.441198,8.173077,8.182323,7.976361,15951400
2015-07-22,8.321006,8.478181,8.182323,8.191568,7.985374,20886100
2015-07-23,8.237796,8.247042,7.840237,8.015903,7.814130,27496600
2015-07-24,7.951183,7.969675,7.414941,7.424186,7.237308,40011400
2015-07-27,7.396450,7.451923,7.109837,7.239275,7.057051,25344200
2015-07-28,7.350222,7.729290,7.294748,7.729290,7.534732,29675800
2015-07-29,7.710799,7.914201,7.655325,7.867973,7.669924,16639200
2015-07-30,7.830991,7.849482,7.562870,7.692307,7.498680,16736900
2015-07-31,7.867973,7.877219,7.720045,7.858728,7.660912,10289300
2015-08-03,7.794009,7.803255,7.683062,7.757027,7.561770,9745700
2015-08-04,7.775518,7.803255,7.553624,7.572115,7.381514,14824400
2015-08-05,7.738535,7.738535,7.405695,7.414941,7.228295,14036000
2015-08-06,7.414941,7.636834,7.414941,7.627589,7.435591,10134300
2015-08-07,7.618343,7.923447,7.590607,7.877219,7.678937,17718300
2015-08-10,7.923447,8.034393,7.886465,8.034393,7.832155,12990800
2015-08-11,7.923447,7.941938,7.470414,7.470414,7.282372,20479800
2015-08-12,7.414941,7.507396,7.294748,7.470414,7.282372,20563600
2015-08-13,7.470414,7.507396,7.322485,7.387204,7.201257,8442500
2015-08-14,7.350222,7.498151,7.350222,7.433432,7.246321,8145000
2015-08-17,7.368713,7.470414,7.331731,7.350222,7.165205,7927400
2015-08-18,7.340976,7.461169,7.285503,7.461169,7.273360,12554800
2015-08-19,7.396450,7.461169,7.248521,7.248521,7.066064,17947500
2015-08-20,7.174556,7.183802,6.897189,6.915680,6.741602,21312400
2015-08-21,6.767752,6.804734,6.425666,6.425666,6.263922,35687600
2015-08-24,5.658284,6.434911,5.658284,6.323965,6.164781,25771900
2015-08-25,6.730769,6.730769,6.379438,6.388683,6.227870,15559900
2015-08-26,6.527367,6.601331,6.286982,6.545858,6.381089,17154200
2015-08-27,6.601331,7.109837,6.601331,7.100592,6.921859,25253300
2015-08-28,6.897189,7.174556,6.897189,7.100592,6.921859,14697400
2015-08-31,7.054364,7.285503,6.860207,7.267012,7.084090,15373400
2015-09-01,6.952663,7.082100,6.693787,6.721524,6.552333,21317600
2015-09-02,6.832470,6.989645,6.675296,6.980400,6.804692,13746900
2015-09-03,6.952663,7.183802,6.943417,6.998890,6.822718,14805300
2015-09-04,6.767752,6.980400,6.721524,6.795488,6.624435,12103700
2015-09-08,6.961908,7.072855,6.887944,7.035873,6.858769,10823000
2015-09-09,7.156065,7.239275,6.980400,6.989645,6.813705,15122200
2015-09-10,6.980400,7.193048,6.869452,7.174556,6.993961,13099500
2015-09-11,7.128328,7.174556,7.026627,7.146820,6.966923,8269900
2015-09-14,7.128328,7.276258,7.045118,7.248521,7.066064,6576700
2015-09-15,7.239275,7.331731,7.174556,7.267012,7.084090,7124200
2015-09-16,7.368713,7.673817,7.294748,7.609097,7.417565,17106300
2015-09-17,7.470414,7.562870,7.294748,7.405695,7.219283,23832700
2015-09-18,7.359468,7.359468,7.082100,7.119083,6.939885,17454900
2015-09-21,7.146820,7.174556,7.026627,7.082100,6.903833,7395000
2015-09-22,6.915680,6.952663,6.767752,6.786242,6.615423,12331600
2015-09-23,6.776997,6.804734,6.407175,6.490385,6.327012,22802000
2015-09-24,6.360947,6.573595,6.148299,6.481139,6.317999,26646400
2015-09-25,6.564349,6.610577,6.370193,6.444157,6.281947,13154400
2015-09-28,6.240755,6.370193,6.120562,6.129807,5.975511,13928300
2015-09-29,6.203772,6.351701,6.083580,6.259245,6.101691,16380400
2015-09-30,6.388683,6.462648,6.213018,6.462648,6.299973,14650600
2015-10-01,6.481139,6.629068,6.370193,6.490385,6.327012,13720700
2015-10-02,6.342455,6.610577,6.296228,6.592086,6.426153,13109000
2015-10-05,6.656805,6.906435,6.647559,6.795488,6.624435,17297600
2015-10-06,6.795488,6.887944,6.758506,6.869452,6.696538,10980000
2015-10-07,7.008136,7.202293,6.961908,7.202293,7.021000,20027400
2015-10-08,7.165311,7.377959,7.137574,7.331731,7.147180,18284200
2015-10-09,7.405695,7.525887,7.239275,7.276258,7.093103,16384300
2015-10-12,7.211538,7.387204,7.054364,7.128328,6.948897,16860200
2015-10-13,6.998890,7.239275,6.943417,7.146820,6.966923,10356900
2015-10-14,7.156065,7.359468,7.063610,7.359468,7.174219,12137600
2015-10-15,7.359468,7.359468,7.156065,7.193048,7.011988,12096800
2015-10-16,7.220784,7.322485,7.109837,7.303994,7.120142,7730300
2015-10-19,7.174556,7.285503,7.119083,7.174556,6.993961,20683600
2015-10-20,7.146820,7.248521,7.100592,7.156065,6.975936,10836600
2015-10-21,7.082100,7.174556,6.924926,6.924926,6.750615,13090200
2015-10-22,6.841716,6.860207,6.425666,6.471893,6.308986,39846700
2015-10-23,6.536613,6.536613,6.231509,6.453403,6.290960,32184800
2015-10-26,6.444157,6.508876,6.213018,6.231509,6.074652,19707000
2015-10-27,6.148299,6.240755,5.907914,6.028107,5.876370,30054100
2015-10-28,6.028107,6.268491,6.009615,6.120562,5.966498,14699300
2015-10-29,6.083580,6.120562,5.954142,5.991124,5.840319,9478400
2015-10-30,6.028107,6.065089,5.759985,5.833950,5.687100,18613400
2015-11-02,5.852441,5.991124,5.787722,5.880177,5.732164,8414500
2015-11-03,5.852441,5.981879,5.713758,5.944896,5.795254,15727100
2015-11-04,5.944896,6.222263,5.917160,5.935651,5.786242,19365300
2015-11-05,5.889423,5.981879,5.704512,5.963387,5.813280,16157100
2015-11-06,5.815459,5.917160,5.612056,5.750740,5.605985,12070700
2015-11-09,5.750740,5.778476,5.491864,5.528846,5.389677,16488300
2015-11-10,5.519600,5.575074,5.362426,5.510355,5.371651,15300500
2015-11-11,5.593565,5.612056,5.427145,5.491864,5.353625,11586100
2015-11-12,5.427145,5.538092,5.408654,5.436390,5.299548,10576200
2015-11-13,5.417900,5.464127,5.112796,5.122041,4.993112,16552100
2015-11-16,5.085059,5.232988,4.604290,5.186760,5.056201,23908900
2015-11-17,5.122041,5.575074,5.122041,5.454882,5.317574,24726200
2015-11-18,5.473373,5.547337,5.362426,5.510355,5.371651,13119900
2015-11-19,5.612056,5.649038,5.427145,5.584320,5.443754,12444200
2015-11-20,5.584320,5.889423,5.575074,5.732248,5.587959,17717300
2015-11-23,5.676775,5.769231,5.612056,5.612056,5.470792,9106600
2015-11-24,5.593565,5.741494,5.593565,5.676775,5.533882,11067400
2015-11-25,5.649038,5.769231,5.593565,5.769231,5.624011,7784100
2015-11-27,5.741494,5.778476,5.676775,5.769231,5.624011,4954900
2015-11-30,5.787722,5.917160,5.759985,5.824704,5.678087,15190300
2015-12-01,5.880177,5.898669,5.741494,5.778476,5.633023,18954000
2015-12-02,5.750740,5.824704,5.621302,5.630548,5.488818,17968600
2015-12-03,5.658284,5.676775,5.473373,5.519600,5.380664,14448400
2015-12-04,5.482618,5.556583,5.408654,5.510355,5.371651,15304200
2015-12-07,5.501110,5.501110,5.306952,5.334689,5.200407,18891100
2015-12-08,5.251479,5.251479,5.057323,5.103550,4.975086,20214800
2015-12-09,5.103550,5.232988,5.094305,5.168269,5.038176,13455500
2015-12-10,5.094305,5.196006,5.085059,5.094305,4.966073,18660400
2015-12-11,5.029586,5.029586,4.752219,4.761465,4.641611,34635900
2015-12-14,4.715237,4.761465,4.576553,4.632027,4.515431,20183300
2015-12-15,4.724482,4.853920,4.724482,4.807693,4.686676,13757000
2015-12-16,4.835429,4.974113,4.733728,4.946376,4.821868,20636400
2015-12-17,4.964867,5.011095,4.890903,4.946376,4.821868,21024000
2015-12-18,4.909393,4.937130,4.798447,4.835429,4.713714,18588700
2015-12-21,4.992604,4.992604,4.724482,4.752219,4.632598,12954800
2015-12-22,4.770710,4.937130,4.752219,4.890903,4.767791,12857600
2015-12-23,4.909393,5.260725,4.890903,5.260725,5.128304,14293400
2015-12-24,5.260725,5.306952,5.196006,5.214497,5.083241,3437400
2015-12-28,4.927885,5.140532,4.927885,5.020340,4.893971,5642400
