Date,Open,High,Low,Close,Adj Close,Volume
2015-04-23,1.940000,1.950000,1.820000,1.870000,1.507251,32700
2015-04-24,1.870000,1.870000,1.800000,1.830000,1.475010,63200
2015-04-27,1.830000,1.830000,1.760000,1.780000,1.434709,92200
2015-04-28,1.780000,1.850000,1.780000,1.810000,1.458890,81400
2015-04-29,1.800000,1.850000,1.760000,1.850000,1.491130,155500
2015-04-30,1.800000,1.800000,1.750000,1.760000,1.418589,51400
2015-05-01,1.750000,1.750000,1.710000,1.720000,1.386348,25500
2015-05-04,1.750000,1.780000,1.730000,1.730000,1.394409,25800
2015-05-05,1.770000,1.820000,1.760000,1.760000,1.418589,58600
2015-05-06,1.800000,1.800000,1.760000,1.780000,1.434709,119800
2015-05-07,1.730000,1.770000,1.720000,1.770000,1.426649,108500
2015-05-08,1.770000,1.860000,1.750000,1.860000,1.499191,225300
2015-05-11,1.760000,1.830000,1.740000,1.800000,1.450829,92800
2015-05-12,1.780000,1.840000,1.770000,1.820000,1.466950,23400
2015-05-13,1.910000,1.920000,1.850000,1.880000,1.515311,116400
2015-05-14,1.880000,1.930000,1.880000,1.880000,1.515311,74900
2015-05-15,1.880000,1.950000,1.880000,1.930000,1.555611,34800
2015-05-18,1.980000,1.980000,1.900000,1.900000,1.531431,65900
2015-05-19,1.890000,1.900000,1.820000,1.830000,1.475010,39800
2015-05-20,1.830000,1.830000,1.760000,1.790000,1.442769,25800
2015-05-21,1.790000,1.790000,1.730000,1.730000,1.394409,37100
2015-05-22,1.770000,1.790000,1.740000,1.750000,1.410529,20700
2015-05-26,1.750000,1.770000,1.720000,1.730000,1.394409,36000
2015-05-27,1.710000,1.750000,1.700000,1.720000,1.386348,30900
2015-05-28,1.690000,1.760000,1.680000,1.750000,1.410529,45600
2015-05-29,1.780000,1.780000,1.720000,1.750000,1.410529,26800
2015-06-01,1.780000,1.830000,1.760000,1.800000,1.450829,23900
2015-06-02,1.770000,1.780000,1.630000,1.670000,1.346047,48400
2015-06-03,1.680000,1.760000,1.680000,1.710000,1.378288,47100
2015-06-04,1.670000,1.670000,1.630000,1.650000,1.329927,20700
