Date,Open,High,Low,Close,Adj Close,Volume
2015-04-23,2.600000,2.760000,2.600000,2.720000,2.720000,7900
2015-04-24,2.800000,3.000000,2.800000,3.000000,3.000000,7200
2015-04-27,2.920000,3.400000,2.840000,2.880000,2.880000,10500
2015-04-28,2.800000,3.200000,2.800000,2.800000,2.800000,6200
2015-04-29,2.960000,2.960000,2.840000,2.920000,2.920000,3600
2015-04-30,3.120000,3.120000,2.880000,2.880000,2.880000,4400
2015-05-01,2.600000,2.880000,2.520000,2.880000,2.880000,300
2015-05-04,2.800000,3.280000,2.800000,3.200000,3.200000,7000
2015-05-05,3.400000,3.400000,2.920000,2.920000,2.920000,2200
2015-05-06,3.040000,3.720000,2.920000,3.600000,3.600000,8300
2015-05-07,4.920000,4.920000,2.440000,3.360000,3.360000,12700
2015-05-08,3.720000,3.840000,3.240000,3.240000,3.240000,2700
2015-05-11,3.160000,3.160000,2.920000,2.920000,2.920000,600
2015-05-12,2.960000,3.600000,2.960000,3.360000,3.360000,1700
2015-05-13,3.240000,3.320000,3.240000,3.280000,3.280000,500
2015-05-14,3.280000,3.280000,3.280000,3.280000,3.280000,0
2015-05-15,3.040000,3.200000,2.920000,2.960000,2.960000,2600
2015-05-18,3.160000,3.200000,3.160000,3.200000,3.200000,500
2015-05-19,3.040000,3.280000,3.040000,3.280000,3.280000,300
2015-05-20,3.360000,3.360000,3.320000,3.320000,3.320000,1600
2015-05-21,3.600000,3.600000,3.360000,3.400000,3.400000,4200
2015-05-22,2.960000,3.520000,2.960000,3.520000,3.520000,4700
2015-05-26,3.480000,3.600000,3.400000,3.400000,3.400000,11600
2015-05-27,3.400000,3.520000,3.400000,3.520000,3.520000,8600
2015-05-28,3.440000,4.040000,3.440000,3.640000,3.640000,17200
2015-05-29,3.800000,3.800000,3.600000,3.640000,3.640000,5900
2015-06-01,3.560000,4.000000,3.560000,3.920000,3.920000,4300
2015-06-02,4.000000,4.000000,3.560000,3.920000,3.920000,900
2015-06-03,3.640000,3.840000,3.640000,3.640000,3.640000,3500
2015-06-04,3.720000,3.760000,3.680000,3.760000,3.760000,9300
2015-06-05,3.760000,3.800000,3.280000,3.280000,3.280000,17800
2015-06-08,3.400000,3.720000,3.400000,3.680000,3.680000,1700
2015-06-09,3.520000,3.680000,3.520000,3.680000,3.680000,1100
2015-06-10,3.760000,3.760000,3.440000,3.760000,3.760000,500
2015-06-11,3.760000,3.760000,3.760000,3.760000,3.760000,1300
2015-06-12,3.680000,3.800000,3.680000,3.800000,3.800000,3600
2015-06-15,3.600000,3.760000,3.600000,3.760000,3.760000,200
2015-06-16,3.760000,3.800000,3.480000,3.760000,3.760000,2700
2015-06-17,3.760000,3.880000,3.760000,3.880000,3.880000,6500
2015-06-18,3.880000,3.920000,3.880000,3.920000,3.920000,3200
2015-06-19,3.960000,4.000000,3.880000,3.960000,3.960000,9800
2015-06-22,3.960000,4.000000,3.960000,4.000000,4.000000,100
2015-06-23,4.000000,4.000000,3.960000,4.000000,4.000000,3100
2015-06-24,3.880000,4.000000,3.880000,3.960000,3.960000,2700
2015-06-25,3.960000,4.080000,3.960000,4.000000,4.000000,7600
2015-06-26,3.320000,4.000000,3.240000,4.000000,4.000000,6900
2015-06-29,4.000000,4.000000,3.800000,4.000000,4.000000,4900
2015-06-30,4.000000,4.000000,3.840000,3.840000,3.840000,0
2015-07-01,3.840000,3.840000,3.840000,3.840000,3.840000,100
2015-07-02,3.840000,4.160000,3.800000,4.160000,4.160000,2500
2015-07-06,4.080000,4.120000,4.080000,4.120000,4.120000,1300
2015-07-07,4.080000,4.280000,4.080000,4.280000,4.280000,6200
2015-07-08,4.120000,4.200000,4.120000,4.120000,4.120000,4700
2015-07-09,4.080000,4.200000,4.080000,4.200000,4.200000,2300
2015-07-10,4.200000,4.280000,4.200000,4.240000,4.240000,5500
2015-07-13,4.360000,4.640000,4.360000,4.640000,4.640000,4900
2015-07-14,4.640000,4.640000,4.440000,4.600000,4.600000,800
2015-07-15,4.280000,4.600000,4.280000,4.440000,4.440000,1200
2015-07-16,4.360000,4.680000,4.360000,4.680000,4.680000,4200
2015-07-17,4.680000,4.720000,4.440000,4.640000,4.640000,1800
2015-07-20,4.720000,4.720000,4.600000,4.680000,4.680000,800
2015-07-21,4.680000,4.680000,4.640000,4.640000,4.640000,0
2015-07-22,4.760000,4.800000,4.120000,4.720000,4.720000,3900
2015-07-23,4.800000,4.800000,4.720000,4.720000,4.720000,5000
2015-07-24,4.720000,4.720000,4.120000,4.320000,4.320000,4400
2015-07-27,4.720000,4.720000,4.560000,4.640000,4.640000,300
2015-07-28,4.640000,4.640000,4.640000,4.640000,4.640000,0
2015-07-29,4.360000,4.360000,3.640000,4.200000,4.200000,900
2015-07-30,4.040000,4.040000,3.760000,3.960000,3.960000,1200
2015-07-31,3.960000,4.320000,3.960000,4.320000,4.320000,1900
2015-08-03,4.320000,4.320000,4.320000,4.320000,4.320000,0
2015-08-04,3.640000,4.120000,3.640000,4.120000,4.120000,200
2015-08-05,3.760000,4.000000,3.520000,4.000000,4.000000,900
2015-08-06,3.800000,3.800000,3.520000,3.760000,3.760000,100
2015-08-07,3.840000,4.120000,3.840000,4.040000,4.040000,9600
2015-08-10,4.120000,4.120000,4.120000,4.120000,4.120000,0
2015-08-11,4.080000,4.080000,4.080000,4.080000,4.080000,0
2015-08-12,4.040000,4.080000,4.040000,4.080000,4.080000,500
2015-08-13,3.960000,4.080000,3.880000,4.080000,4.080000,500
2015-08-14,4.080000,4.080000,4.080000,4.080000,4.080000,0
2015-08-17,4.080000,4.080000,4.080000,4.080000,4.080000,0
2015-08-18,4.080000,4.080000,4.080000,4.080000,4.080000,0
2015-08-19,4.080000,4.080000,4.080000,4.080000,4.080000,0
2015-08-20,4.080000,4.080000,4.080000,4.080000,4.080000,0
2015-08-21,4.080000,4.080000,4.080000,4.080000,4.080000,0
2015-08-24,3.520000,3.520000,3.520000,3.520000,3.520000,300
2015-08-25,3.520000,3.520000,3.520000,3.520000,3.520000,0
2015-08-26,3.480000,3.520000,3.480000,3.520000,3.520000,200
2015-08-27,3.400000,3.400000,3.400000,3.400000,3.400000,200
2015-08-28,3.800000,4.240000,3.800000,4.200000,4.200000,5200
2015-08-31,4.360000,4.360000,4.240000,4.240000,4.240000,400
2015-09-01,3.680000,4.240000,3.680000,3.880000,3.880000,400
2015-09-02,4.120000,4.120000,4.000000,4.000000,4.000000,200
2015-09-03,4.000000,4.000000,4.000000,4.000000,4.000000,0
2015-09-04,4.040000,4.040000,4.040000,4.040000,4.040000,500
2015-09-08,4.040000,4.040000,4.040000,4.040000,4.040000,0
2015-09-09,3.640000,3.960000,3.640000,3.960000,3.960000,0
2015-09-10,3.960000,3.960000,3.960000,3.960000,3.960000,0
2015-09-11,4.040000,4.120000,4.040000,4.040000,4.040000,3400
2015-09-14,3.760000,4.000000,3.760000,4.000000,4.000000,2500
2015-09-15,4.000000,4.000000,4.000000,4.000000,4.000000,0
2015-09-16,3.800000,3.800000,3.800000,3.800000,3.800000,300
2015-09-17,3.760000,4.040000,3.760000,4.000000,4.000000,1400
2015-09-18,4.000000,4.000000,4.000000,4.000000,4.000000,0
2015-09-21,3.640000,3.640000,3.640000,3.640000,3.640000,0
2015-09-22,3.600000,3.600000,3.600000,3.600000,3.600000,100
2015-09-23,3.600000,3.600000,3.600000,3.600000,3.600000,300
2015-09-24,3.760000,3.920000,3.760000,3.920000,3.920000,300
2015-09-25,3.720000,4.040000,3.720000,4.000000,4.000000,4100
2015-09-28,3.640000,4.000000,2.800000,2.800000,2.800000,3300
