Date,Open,High,Low,Close,Adj Close,Volume
2015-04-23,50.433651,50.980053,50.286209,50.823936,47.003086,820900
2015-04-24,50.867302,51.110146,50.728535,50.797920,46.979027,884400
2015-04-27,50.997398,51.153511,50.693844,51.040764,47.203609,2023100
2015-04-28,51.084129,51.335648,50.702515,51.257587,47.404129,1194300
2015-04-29,51.014744,52.194275,50.806591,51.977451,48.069878,943300
2015-04-30,51.803989,52.038162,51.231571,51.439724,47.572578,746300
2015-05-01,51.682568,52.367737,51.647877,52.237640,48.310505,966400
2015-05-04,52.237640,52.766697,52.228970,52.359062,48.422806,776500
2015-05-05,52.523849,52.836079,51.439724,51.465740,47.596642,564200
2015-05-06,51.751953,51.908066,51.136166,51.604511,47.724972,518800
2015-05-07,51.431049,51.743279,51.084129,51.561146,47.684868,603400
2015-05-08,52.038162,53.000866,52.038162,52.862099,48.888020,1745800
2015-05-11,51.500435,52.688637,51.413704,52.627926,48.671459,2427700
2015-05-12,52.098873,52.194275,49.436253,50.104076,46.337330,4496400
2015-05-13,50.112751,51.248917,49.254120,51.058109,47.219646,2966400
2015-05-14,51.335648,51.335648,50.338249,50.555073,46.754433,1300400
2015-05-15,50.442326,50.633129,50.277538,50.615784,46.810581,719800
2015-05-18,50.563747,50.563747,49.774502,50.034691,46.273170,839700
2015-05-19,49.913269,50.199478,49.470947,49.731136,45.992439,777800
2015-05-20,49.869904,49.869904,49.462273,49.653080,45.920246,505400
2015-05-21,49.609715,50.199478,49.453598,50.121422,46.353382,703400
2015-05-22,50.104076,50.650478,49.991325,50.529053,46.730373,774800
2015-05-26,50.251518,50.485691,49.939289,50.060711,46.297234,890900
2015-05-27,50.078056,50.381615,49.783173,50.260189,46.481720,785000
2015-05-28,50.078056,50.268864,49.930614,50.234173,46.457645,853500
2015-05-29,50.156113,50.216827,49.384216,49.583694,45.856079,1216900
2015-06-01,49.696445,49.696445,48.950565,49.089333,45.398888,1131700
2015-06-02,49.002602,49.340851,48.716393,48.941891,45.262527,2242900
2015-06-03,49.106678,49.956635,48.803123,49.904598,46.152863,971400
2015-06-04,49.514309,49.783173,48.915871,48.976582,45.294605,719700
2015-06-05,48.898525,49.176064,48.438854,48.629662,44.973763,727100
2015-06-08,48.490894,48.629662,48.100609,48.204685,44.580742,967700
2015-06-09,48.274067,48.421509,47.701649,47.814396,44.219791,945600
2015-06-10,48.256721,48.404163,47.736340,48.178665,44.556683,1288000
2015-06-11,48.282742,48.681702,47.970512,48.152645,44.532616,824000
2015-06-12,48.039894,48.117954,47.632263,47.753685,44.163647,836900
2015-06-15,47.502167,47.649609,47.302689,47.614918,44.035305,802800
2015-06-16,47.536861,48.117954,47.380745,48.022549,44.412300,591700
2015-06-17,48.143970,48.534260,47.753685,48.248047,44.620846,560700
2015-06-18,48.438854,48.699047,48.152645,48.404163,44.765221,680000
2015-06-19,48.256721,48.568951,47.623592,47.649609,44.067394,1149500
2015-06-22,47.857761,47.944492,47.658283,47.892456,44.291981,526800
2015-06-23,47.909801,47.996532,47.597572,47.710320,44.123535,771900
2015-06-24,47.666954,47.901127,46.409367,46.435387,42.944466,1392000
2015-06-25,46.617519,46.773636,46.079792,46.149178,42.679768,1132200
2015-06-26,46.166523,46.530788,46.149178,46.383347,43.050247,1650000
2015-06-29,45.984390,46.097137,44.882915,44.900261,41.673740,848600
2015-06-30,45.281872,45.715527,44.388550,45.576756,42.301620,1949800
2015-07-01,45.741543,45.741543,44.813530,44.917606,41.689835,1615200
2015-07-02,45.065048,45.143105,44.267128,44.631397,41.424202,1001100
2015-07-06,43.980919,44.388550,43.538593,43.625324,40.490417,1161700
2015-07-07,43.625324,43.686035,42.610580,43.356461,40.240875,1436400
2015-07-08,42.974850,43.044231,42.176929,42.254986,39.218559,718000
2015-07-09,42.810062,43.000866,42.142239,42.211620,39.178303,884800
2015-07-10,42.662621,43.009541,42.523849,42.948830,39.862534,731300
2015-07-13,43.183002,43.547268,43.052906,43.521248,40.393826,574500
2015-07-14,43.408501,44.154381,43.174328,44.145706,40.973400,999600
2015-07-15,43.876842,44.189072,43.521248,43.625324,40.490417,1079500
2015-07-16,43.720730,43.824806,43.477882,43.599308,40.466263,631700
2015-07-17,43.408501,43.434517,43.026886,43.148308,40.047680,1111900
2015-07-20,43.070251,43.321770,42.836079,42.896790,39.814236,1103600
2015-07-21,42.931484,43.200348,42.428448,42.489159,39.435898,664400
2015-07-22,42.428448,42.653946,42.228970,42.350391,39.307102,678000
2015-07-23,42.584560,42.671291,42.176929,42.376408,39.331253,805100
2015-07-24,42.254986,42.480484,41.300953,41.474415,38.494068,999100
2015-07-27,41.127495,41.396358,40.823936,40.954033,38.011086,873700
2015-07-28,41.101475,41.916740,40.954033,41.838680,38.832165,847900
2015-07-29,42.020817,42.194275,41.569817,41.691238,38.695309,891900
2015-07-30,41.725933,42.272331,41.352993,41.951431,38.936813,755700
2015-07-31,42.150909,42.254986,41.708588,42.098873,39.073662,834800
2015-08-03,42.107544,42.307026,41.474415,42.029488,39.009258,1327600
2015-08-04,41.994797,42.714657,41.630527,42.228970,39.194405,835100
2015-08-05,42.489159,42.888119,42.029488,42.064182,39.041462,971700
2015-08-06,41.942757,43.607979,41.578491,42.558544,39.500305,1720200
2015-08-07,42.402428,42.541199,41.032089,41.084129,38.131840,1088800
2015-08-10,41.387684,42.792713,41.162186,42.688637,39.621040,1365800
2015-08-11,42.176929,42.176929,41.786644,41.899391,38.888508,980100
2015-08-12,41.387684,41.656548,40.945358,41.101475,38.147938,1078600
2015-08-13,40.936687,40.954033,40.147442,40.312229,37.415398,1254400
2015-08-14,40.338249,40.477016,40.138767,40.329575,37.431503,1144200
2015-08-17,40.841282,41.465740,40.329575,41.387684,38.413567,765100
2015-08-18,41.274937,41.491760,40.962708,41.162186,38.204277,786600
2015-08-19,40.867302,40.988724,40.208153,40.728535,37.801800,962000
2015-08-20,40.468342,40.537727,39.809193,39.809193,36.948521,690800
2015-08-21,39.470947,39.783173,38.707718,38.716393,35.934238,1563000
2015-08-24,37.077190,38.725063,36.660885,37.415440,34.726776,2191900
2015-08-25,38.438854,38.473549,34.804855,34.917606,32.408428,3230000
2015-08-26,35.516045,35.576756,34.215092,34.926281,32.416481,4302300
