Date,Open,High,Low,Close,Adj Close,Volume
2015-04-23,6.290000,6.290000,6.260000,6.280000,5.891686,1200
2015-04-24,6.220000,6.390000,6.220000,6.390000,5.994883,15000
2015-04-27,6.350000,6.350000,6.320000,6.320000,5.929213,2800
2015-04-28,6.370000,6.490000,6.370000,6.490000,6.088702,12200
2015-04-29,6.490000,6.490000,6.450000,6.450000,6.060511,4500
2015-04-30,6.490000,6.490000,6.420000,6.480000,6.088702,2600
2015-05-01,6.480000,6.500000,6.440000,6.490000,6.098097,4700
2015-05-04,6.480000,6.500000,6.430000,6.470000,6.079304,30100
2015-05-05,6.430000,6.450000,6.340000,6.440000,6.051117,2600
2015-05-06,6.430000,6.510000,6.430000,6.510000,6.116889,8400
2015-05-07,6.520000,6.570000,6.520000,6.520000,6.126285,8500
2015-05-08,6.500000,6.640000,6.430000,6.640000,6.239039,45400
2015-05-11,6.670000,6.860000,6.630000,6.760000,6.351792,16000
2015-05-12,6.750000,6.750000,6.610000,6.620000,6.220246,7800
2015-05-13,6.610000,6.610000,6.510000,6.520000,6.126285,1600
2015-05-14,6.550000,6.600000,6.500000,6.500000,6.107493,5700
2015-05-15,6.540000,6.600000,6.510000,6.570000,6.173266,2800
2015-05-18,6.570000,6.570000,6.570000,6.570000,6.173266,0
2015-05-19,6.570000,6.600000,6.520000,6.600000,6.201454,1700
2015-05-20,6.540000,6.580000,6.540000,6.580000,6.182662,800
2015-05-21,6.600000,6.770000,6.600000,6.690000,6.286019,4600
2015-05-22,6.740000,6.760000,6.670000,6.760000,6.351792,2000
2015-05-26,6.660000,6.700000,6.420000,6.600000,6.201454,35700
2015-05-27,6.570000,6.750000,6.570000,6.610000,6.210850,5100
2015-05-28,6.620000,6.630000,6.620000,6.620000,6.220246,1000
2015-05-29,6.600000,6.700000,6.570000,6.700000,6.295416,1200
2015-06-01,6.760000,6.760000,6.720000,6.730000,6.323604,2300
2015-06-02,6.780000,6.780000,6.710000,6.710000,6.304812,4200
2015-06-03,6.700000,6.780000,6.700000,6.750000,6.342397,3000
2015-06-04,6.750000,6.790000,6.510000,6.710000,6.304812,81100
2015-06-05,6.630000,6.750000,6.600000,6.600000,6.201454,7600
2015-06-08,6.770000,6.770000,6.740000,6.740000,6.333000,3900
2015-06-09,6.660000,6.750000,6.660000,6.740000,6.333000,2400
2015-06-10,6.740000,6.850000,6.740000,6.850000,6.436358,17600
2015-06-11,6.830000,6.950000,6.810000,6.810000,6.398774,23200
2015-06-12,6.750000,6.750000,6.580000,6.630000,6.229643,13100
2015-06-15,6.560000,6.580000,6.510000,6.540000,6.145077,4600
2015-06-16,6.560000,6.580000,6.540000,6.580000,6.182662,1600
2015-06-17,6.540000,6.540000,6.330000,6.510000,6.116889,10800
2015-06-18,6.570000,6.570000,6.420000,6.480000,6.088702,3600
2015-06-19,6.440000,6.500000,6.420000,6.500000,6.107493,2700
2015-06-22,6.360000,6.460000,6.360000,6.430000,6.041719,32600
2015-06-23,6.340000,6.450000,6.340000,6.440000,6.051117,9200
2015-06-24,6.420000,6.460000,6.420000,6.460000,6.069907,4500
2015-06-25,6.470000,6.550000,6.450000,6.550000,6.154474,4000
2015-06-26,6.450000,6.900000,6.450000,6.900000,6.483338,8600
2015-06-29,6.460000,6.460000,6.190000,6.220000,5.844400,38900
2015-06-30,6.270000,6.270000,6.250000,6.250000,5.872590,8100
2015-07-01,6.210000,6.420000,6.190000,6.400000,6.013531,13100
2015-07-02,6.270000,6.350000,6.200000,6.250000,5.872590,5000
2015-07-06,6.300000,6.450000,6.300000,6.380000,5.994740,700
2015-07-07,6.420000,6.490000,6.390000,6.400000,6.013531,6000
2015-07-08,6.500000,6.730000,6.360000,6.360000,5.975948,6700
2015-07-09,6.490000,6.490000,6.400000,6.400000,6.013531,2000
2015-07-10,6.450000,6.470000,6.350000,6.390000,6.004134,5100
2015-07-13,6.230000,6.390000,6.120000,6.220000,5.844400,22400
2015-07-14,6.210000,6.210000,6.140000,6.140000,5.769231,3300
2015-07-15,6.220000,6.220000,6.220000,6.220000,5.853934,1900
2015-07-16,6.160000,6.170000,6.120000,6.150000,5.788054,6200
2015-07-17,6.130000,6.130000,5.800000,6.020000,5.665706,50400
2015-07-20,5.910000,6.080000,5.910000,5.960000,5.609236,3300
