Date,Open,High,Low,Close,Adj Close,Volume
2015-04-23,1.420000,1.500000,1.400000,1.440000,1.313580,60800
2015-04-24,1.500000,1.500000,1.410000,1.430000,1.304458,51100
2015-04-27,1.470000,1.490000,1.400000,1.430000,1.304458,40400
2015-04-28,1.400000,1.480000,1.400000,1.450000,1.322702,21800
2015-04-29,1.420000,1.478000,1.420000,1.456000,1.328175,33700
2015-04-30,1.420000,1.500000,1.420000,1.420000,1.295336,81500
2015-05-01,1.450000,1.450000,1.420000,1.420000,1.295336,10300
2015-05-04,1.450000,1.450000,1.410000,1.420000,1.295336,29000
2015-05-05,1.410000,1.420000,1.390000,1.407000,1.283477,17900
2015-05-06,1.390000,1.480000,1.380000,1.400000,1.277091,57500
2015-05-07,1.330000,1.390000,1.260000,1.340000,1.222359,106400
2015-05-08,1.348000,1.348000,1.310000,1.310000,1.194993,15700
2015-05-11,1.300000,1.370000,1.300000,1.350000,1.231481,34600
2015-05-12,1.310000,1.340000,1.310000,1.340000,1.222359,16500
2015-05-13,1.360000,1.370000,1.356000,1.370000,1.249725,12400
2015-05-14,1.410000,1.430000,1.340000,1.370000,1.249725,25500
2015-05-15,1.394000,1.394000,1.324000,1.378000,1.257023,37700
2015-05-18,1.490000,1.620000,1.470000,1.610000,1.468655,312700
2015-05-19,1.630000,1.630000,1.550000,1.573000,1.434903,154000
2015-05-20,1.610000,1.850000,1.580000,1.760000,1.605486,624200
2015-05-21,1.820000,1.880000,1.640000,1.720000,1.568998,244400
2015-05-22,1.680000,1.850000,1.680000,1.850000,1.687585,202000
2015-05-26,1.920000,2.130000,1.880000,2.000000,1.824416,520700
2015-05-27,2.000000,2.200000,2.000000,2.100000,1.915637,433000
2015-05-28,2.200000,2.420000,2.160000,2.250000,2.052469,453000
2015-05-29,2.390000,2.390000,2.080000,2.250000,2.052469,435800
2015-06-01,2.420000,2.520000,2.330000,2.490000,2.271398,438100
2015-06-02,2.520000,2.860000,2.510000,2.650000,2.417352,688200
2015-06-03,2.740000,2.750000,2.520000,2.600000,2.371741,381200
2015-06-04,2.520000,2.650000,2.270000,2.470000,2.253154,448900
2015-06-05,2.480000,2.620000,2.410000,2.570000,2.344375,185200
2015-06-08,2.620000,2.720000,2.530000,2.680000,2.444718,249500
2015-06-09,2.720000,2.727000,2.450000,2.500000,2.280520,266800
2015-06-10,2.500000,2.600000,2.360000,2.440000,2.225788,255900
2015-06-11,2.330000,2.540000,2.330000,2.490000,2.271398,129700
2015-06-12,2.480000,2.650000,2.380000,2.550000,2.326131,168600
2015-06-15,2.540000,2.650000,2.500000,2.590000,2.362619,191300
2015-06-16,2.610000,2.650000,2.580000,2.620000,2.389985,81200
2015-06-17,2.620000,2.620000,2.550000,2.570000,2.344375,55200
2015-06-18,2.570000,2.570000,2.400000,2.430000,2.216666,180200
2015-06-19,2.420000,2.490000,2.270000,2.360000,2.152811,362200
2015-06-22,2.300000,2.350000,2.170000,2.200000,2.006858,328400
2015-06-23,2.220000,2.250000,2.090000,2.150000,1.961248,133000
2015-06-24,2.100000,2.280000,2.050000,2.190000,1.997736,205700
2015-06-25,2.160000,2.280000,2.080000,2.110000,1.924759,116600
2015-06-26,2.150000,2.230000,2.060000,2.070000,1.888271,30700
2015-06-29,2.030000,2.030000,1.950000,1.980000,1.806172,120300
2015-06-30,2.000000,2.120000,1.990000,2.050000,1.870027,53100
2015-07-01,2.030000,2.090000,2.000000,2.000000,1.824416,94500
2015-07-02,1.980000,2.040000,1.950000,2.000000,1.824416,44900
2015-07-06,1.950000,1.980000,1.770000,1.830000,1.669341,121300
2015-07-07,1.810000,1.880000,1.710000,1.760000,1.605486,84100
2015-07-08,1.780000,1.792000,1.610000,1.740000,1.587242,131700
2015-07-09,1.730000,1.800000,1.670000,1.730000,1.578120,96000
2015-07-10,1.760000,1.860000,1.740000,1.820000,1.660219,65700
2015-07-13,1.900000,1.980000,1.820000,1.940000,1.769684,106300
2015-07-14,1.950000,1.950000,1.820000,1.860000,1.696707,80300
2015-07-15,1.500000,1.500000,1.230000,1.380000,1.258847,615900
2015-07-16,1.370000,1.390000,1.200000,1.280000,1.167626,294300
2015-07-17,1.190000,1.250000,1.180000,1.220000,1.112894,123700
2015-07-20,1.250000,1.250000,1.110000,1.130000,1.030795,127800
2015-07-21,1.110000,1.140000,1.080000,1.120000,1.021673,66700
2015-07-22,1.070000,1.240000,1.070000,1.240000,1.131138,89500
2015-07-23,1.230000,1.230000,1.150000,1.170000,1.067284,39300
2015-07-24,1.170000,1.170000,1.080000,1.100000,1.003429,92400
2015-07-27,1.070000,1.100000,1.050000,1.090000,0.994307,68500
2015-07-28,1.120000,1.160000,1.070000,1.120000,1.021673,54500
2015-07-29,1.120000,1.133000,1.090000,1.100000,1.003429,67400
2015-07-30,1.100000,1.130000,1.070000,1.130000,1.030795,33900
2015-07-31,1.130000,1.130000,1.090000,1.100000,1.003429,21100
2015-08-03,1.100000,1.110000,1.080000,1.110000,1.012551,37000
2015-08-04,1.120000,1.120000,1.080000,1.100000,1.003429,71300
2015-08-05,1.100000,1.100000,1.070000,1.090000,0.994307,46200
2015-08-06,1.100000,1.100000,1.050000,1.050000,0.957819,33200
2015-08-07,1.050000,1.060000,1.000000,1.030000,0.939574,54200
2015-08-10,1.030000,1.120000,1.010000,1.080000,0.985185,77400
2015-08-11,1.080000,1.090000,1.010000,1.030000,0.939574,21600
2015-08-12,1.030000,1.090000,1.010000,1.010000,0.921330,92900
2015-08-13,1.020000,1.070000,1.020000,1.030000,0.939574,39500
2015-08-14,1.030000,1.047000,1.020000,1.038000,0.946872,16900
2015-08-17,1.070000,1.080000,0.990000,1.070000,0.976063,71100
2015-08-18,1.090000,1.090000,1.010000,1.050000,0.957819,18000
2015-08-19,1.060000,1.090000,1.000000,1.090000,0.994307,37700
2015-08-20,1.020000,1.080000,1.010000,1.030000,0.939574,53000
