Date,Open,High,Low,Close,Adj Close,Volume
2015-04-23,4.280000,4.340000,4.230000,4.290000,3.999912,3485400
2015-04-24,4.240000,4.260000,4.090000,4.100000,3.822760,3842900
2015-04-27,4.150000,4.350000,4.140000,4.320000,4.027884,3319600
2015-04-28,4.470000,4.540000,4.430000,4.490000,4.186388,4801600
2015-04-29,4.550000,4.680000,4.420000,4.620000,4.307598,4537200
2015-04-30,4.440000,4.600000,4.350000,4.570000,4.260979,4229200
2015-05-01,4.550000,4.550000,4.350000,4.410000,4.111798,3145700
2015-05-04,4.420000,4.490000,4.340000,4.410000,4.111798,1884600
2015-05-05,4.560000,4.580000,4.360000,4.400000,4.102474,2943900
2015-05-06,4.310000,4.340000,4.110000,4.120000,3.841407,3827400
2015-05-07,3.770000,3.910000,3.550000,3.710000,3.459132,12030100
2015-05-08,3.680000,3.750000,3.620000,3.710000,3.459132,5732800
2015-05-11,3.560000,3.700000,3.540000,3.680000,3.431160,4824500
2015-05-12,3.580000,3.670000,3.540000,3.660000,3.412513,4541700
2015-05-13,3.810000,3.950000,3.760000,3.860000,3.598989,7721900
2015-05-14,3.840000,3.880000,3.790000,3.860000,3.598989,5209000
2015-05-15,3.750000,3.940000,3.750000,3.840000,3.580341,4116400
2015-05-18,3.830000,3.900000,3.760000,3.820000,3.561693,2804600
2015-05-19,3.650000,3.690000,3.610000,3.620000,3.375217,5446100
2015-05-20,3.570000,3.630000,3.550000,3.580000,3.337922,4890200
2015-05-21,3.560000,3.590000,3.520000,3.540000,3.300627,2810400
2015-05-22,3.550000,3.570000,3.440000,3.460000,3.226037,3032000
2015-05-26,3.360000,3.430000,3.320000,3.360000,3.132798,4307100
2015-05-27,3.340000,3.400000,3.300000,3.340000,3.114151,4041600
2015-05-28,3.320000,3.460000,3.310000,3.460000,3.226037,2711400
2015-05-29,3.460000,3.490000,3.410000,3.410000,3.179418,1973700
2015-06-01,3.450000,3.490000,3.300000,3.320000,3.095504,2814100
2015-06-02,3.390000,3.560000,3.380000,3.550000,3.309951,4469100
2015-06-03,3.490000,3.500000,3.380000,3.380000,3.151446,4643200
2015-06-04,3.290000,3.330000,3.240000,3.270000,3.048885,3460200
2015-06-05,3.140000,3.210000,3.120000,3.190000,2.974294,3781400
2015-06-08,3.250000,3.250000,3.120000,3.240000,3.020913,2306100
2015-06-09,3.310000,3.330000,3.200000,3.230000,3.011589,3594300
2015-06-10,3.340000,3.350000,3.250000,3.270000,3.048885,4233900
2015-06-11,3.260000,3.260000,3.200000,3.210000,2.992941,1869300
2015-06-12,3.210000,3.250000,3.150000,3.160000,2.946322,2683300
2015-06-15,3.160000,3.200000,3.110000,3.140000,2.927675,4827000
2015-06-16,3.120000,3.150000,3.050000,3.070000,2.862408,4263400
2015-06-17,3.050000,3.180000,3.010000,3.180000,2.964970,4703700
2015-06-18,3.280000,3.300000,3.170000,3.200000,2.983618,6134500
2015-06-19,3.200000,3.310000,3.140000,3.150000,2.936999,12913200
2015-06-22,3.110000,3.210000,3.100000,3.190000,2.974294,3309000
2015-06-23,3.140000,3.190000,3.100000,3.120000,2.909027,3803000
2015-06-24,3.130000,3.230000,3.130000,3.170000,2.955646,5214300
2015-06-25,3.170000,3.200000,3.150000,3.170000,2.955646,1848400
2015-06-26,3.180000,3.310000,3.180000,3.260000,3.039560,4241700
2015-06-29,3.290000,3.370000,3.200000,3.210000,2.992941,5015900
2015-06-30,3.210000,3.300000,3.180000,3.230000,3.011589,5598300
2015-07-01,3.180000,3.200000,3.000000,3.000000,2.797142,4781900
2015-07-02,3.060000,3.160000,3.040000,3.150000,2.936999,3663600
2015-07-06,3.150000,3.260000,3.130000,3.250000,3.030237,5050900
2015-07-07,3.230000,3.330000,3.160000,3.160000,2.946322,6970200
2015-07-08,3.200000,3.250000,3.060000,3.070000,2.862408,3889100
2015-07-09,3.150000,3.160000,3.020000,3.150000,2.936999,6211300
2015-07-10,3.150000,3.180000,3.020000,3.070000,2.862408,5344500
2015-07-13,3.110000,3.270000,3.100000,3.120000,2.909027,4632900
2015-07-14,3.130000,3.200000,3.120000,3.120000,2.909027,2432100
2015-07-15,3.160000,3.240000,3.110000,3.120000,2.909027,3019000
2015-07-16,3.130000,3.180000,3.090000,3.100000,2.890379,2102100
2015-07-17,3.070000,3.090000,3.010000,3.080000,2.871732,5377100
2015-07-20,2.820000,2.920000,2.710000,2.840000,2.647960,7025400
