Date,Open,High,Low,Close,Adj Close,Volume
2015-04-23,3.280000,3.470000,3.280000,3.460000,3.197582,8900200
2015-04-24,3.530000,3.630000,3.500000,3.630000,3.354689,11698200
2015-04-27,3.620000,3.700000,3.490000,3.510000,3.243790,5182700
2015-04-28,3.550000,3.580000,3.430000,3.440000,3.179099,4208100
2015-04-29,3.400000,3.410000,3.330000,3.340000,3.086683,3571200
2015-04-30,3.320000,3.400000,3.270000,3.360000,3.105166,4275600
2015-05-01,3.380000,3.400000,3.300000,3.380000,3.123649,2383300
2015-05-04,3.340000,3.420000,3.310000,3.400000,3.142133,4232100
2015-05-05,3.410000,3.560000,3.390000,3.520000,3.253031,7810800
2015-05-06,3.520000,3.520000,3.370000,3.370000,3.114408,5014000
2015-05-07,3.340000,3.340000,3.260000,3.300000,3.049717,2978100
2015-05-08,3.400000,3.530000,3.350000,3.480000,3.216065,8112600
2015-05-11,3.500000,3.550000,3.420000,3.420000,3.160616,4708500
2015-05-12,3.430000,3.470000,3.340000,3.360000,3.105166,3147400
2015-05-13,3.350000,3.350000,3.240000,3.270000,3.021992,5401400
2015-05-14,3.280000,3.360000,3.250000,3.350000,3.095924,3419700
2015-05-15,3.340000,3.370000,3.290000,3.330000,3.077441,2130500
2015-05-18,3.320000,3.320000,3.220000,3.220000,2.975784,8272000
2015-05-19,3.200000,3.220000,3.090000,3.120000,2.883368,3738400
2015-05-20,3.130000,3.180000,3.070000,3.160000,2.920335,4596000
2015-05-21,3.080000,3.120000,3.040000,3.100000,2.883133,3857700
2015-05-22,3.100000,3.120000,2.980000,2.990000,2.780829,6361800
2015-05-26,2.950000,2.960000,2.840000,2.870000,2.669223,15471700
2015-05-27,2.820000,2.930000,2.780000,2.890000,2.687824,7480900
2015-05-28,2.840000,2.850000,2.770000,2.810000,2.613421,9031300
2015-05-29,2.800000,2.840000,2.770000,2.770000,2.576219,4193100
2015-06-01,2.760000,2.820000,2.730000,2.810000,2.613421,8479400
2015-06-02,2.850000,2.920000,2.850000,2.890000,2.687824,4447500
2015-06-03,2.870000,2.940000,2.830000,2.850000,2.650623,4014000
2015-06-04,2.850000,2.870000,2.780000,2.800000,2.604120,1619300
2015-06-05,2.790000,2.820000,2.750000,2.780000,2.585520,3116400
2015-06-08,2.770000,2.780000,2.730000,2.770000,2.576219,2747500
2015-06-09,2.790000,2.850000,2.760000,2.770000,2.576219,3853300
2015-06-10,2.850000,2.890000,2.690000,2.720000,2.529717,7175700
