Date,Open,High,Low,Close,Adj Close,Volume
2015-04-23,3.330000,3.470000,3.330000,3.420000,3.219632,172800
2015-04-24,3.410000,3.420000,3.310000,3.380000,3.181975,259700
2015-04-27,3.440000,3.500000,3.390000,3.410000,3.210217,292900
2015-04-28,3.450000,3.550000,3.420000,3.470000,3.266701,554600
2015-04-29,3.490000,3.530000,3.460000,3.500000,3.294945,417400
2015-04-30,3.450000,3.470000,3.360000,3.370000,3.172561,327100
2015-05-01,3.360000,3.480000,3.320000,3.460000,3.257288,277400
2015-05-04,3.510000,3.540000,3.390000,3.390000,3.191389,248600
2015-05-05,3.410000,3.440000,3.350000,3.400000,3.200804,185400
2015-05-06,3.330000,3.420000,3.240000,3.270000,3.078420,401400
2015-05-07,3.280000,3.330000,3.200000,3.230000,3.050090,384300
2015-05-08,3.220000,3.370000,3.220000,3.340000,3.153964,236800
2015-05-11,3.350000,3.350000,3.210000,3.310000,3.125634,317200
2015-05-12,3.360000,3.360000,3.250000,3.320000,3.135078,313600
2015-05-13,3.360000,3.400000,3.190000,3.230000,3.050090,760800
2015-05-14,3.260000,3.370000,3.250000,3.280000,3.097305,330100
2015-05-15,3.400000,3.490000,3.290000,3.440000,3.248394,699700
2015-05-18,3.440000,3.440000,3.300000,3.320000,3.135078,403000
2015-05-19,3.300000,3.300000,3.160000,3.170000,2.993432,487700
2015-05-20,3.170000,3.200000,3.090000,3.090000,2.917889,372000
2015-05-21,3.100000,3.140000,3.060000,3.070000,2.899002,389400
2015-05-22,3.090000,3.120000,3.050000,3.110000,2.936774,424300
2015-05-26,3.050000,3.170000,2.990000,3.140000,2.965103,640800
2015-05-27,3.000000,3.190000,2.990000,3.040000,2.870674,330400
2015-05-28,3.050000,3.080000,3.000000,3.010000,2.842344,492200
2015-05-29,3.020000,3.060000,2.930000,2.930000,2.766801,1096800
2015-06-01,3.000000,3.060000,2.950000,2.970000,2.804572,534300
2015-06-02,3.000000,3.110000,2.980000,3.060000,2.889560,458000
2015-06-03,3.040000,3.050000,3.000000,3.010000,2.842344,350200
2015-06-04,2.980000,3.000000,2.970000,2.980000,2.814016,239300
2015-06-05,2.970000,3.010000,2.930000,2.960000,2.795129,353400
2015-06-08,3.050000,3.050000,2.960000,2.990000,2.823458,451500
2015-06-09,3.000000,3.010000,2.940000,2.940000,2.785560,339500
2015-06-10,2.980000,3.000000,2.950000,2.990000,2.832933,316600
2015-06-11,2.980000,2.990000,2.940000,2.940000,2.785560,181500
2015-06-12,2.960000,2.970000,2.930000,2.970000,2.813983,246600
2015-06-15,2.940000,3.060000,2.930000,2.990000,2.832933,530800
2015-06-16,2.960000,2.980000,2.840000,2.860000,2.709763,520300
2015-06-17,2.850000,3.000000,2.850000,2.980000,2.823458,509700
2015-06-18,3.000000,3.060000,2.950000,2.970000,2.813983,337900
2015-06-19,2.980000,2.990000,2.760000,2.760000,2.615015,1230700
2015-06-22,2.800000,3.050000,2.800000,3.000000,2.842408,757700
2015-06-23,2.970000,3.010000,2.910000,3.000000,2.842408,695800
2015-06-24,2.970000,3.020000,2.940000,2.960000,2.804509,436400
2015-06-25,2.950000,3.010000,2.880000,2.910000,2.757136,518700
2015-06-26,2.870000,2.900000,2.740000,2.800000,2.652915,3435400
2015-06-29,2.770000,2.920000,2.770000,2.920000,2.766610,556000
2015-06-30,2.870000,2.900000,2.760000,2.760000,2.615015,474600
2015-07-01,2.780000,2.800000,2.560000,2.590000,2.453946,715900
2015-07-02,2.620000,2.690000,2.580000,2.680000,2.539218,561800
2015-07-06,2.670000,2.720000,2.590000,2.590000,2.453946,529500
2015-07-07,2.580000,2.600000,2.350000,2.390000,2.264452,989900
2015-07-08,2.450000,2.550000,2.390000,2.520000,2.387623,543000
2015-07-09,2.540000,2.560000,2.420000,2.480000,2.359085,427100
2015-07-10,2.500000,2.520000,2.430000,2.490000,2.368598,212000
2015-07-13,2.540000,2.660000,2.420000,2.660000,2.530309,310100
2015-07-14,2.630000,2.630000,2.490000,2.490000,2.368598,313100
2015-07-15,2.510000,2.530000,2.360000,2.360000,2.244936,395700
2015-07-16,2.360000,2.420000,2.350000,2.380000,2.263960,379100
2015-07-17,2.390000,2.400000,2.220000,2.230000,2.121274,627700
2015-07-20,2.150000,2.170000,1.990000,2.000000,1.902488,1201900
2015-07-21,2.110000,2.250000,2.090000,2.180000,2.073712,1174600
2015-07-22,2.170000,2.170000,2.110000,2.130000,2.026150,714100
2015-07-23,2.200000,2.200000,2.050000,2.080000,1.978588,609500
2015-07-24,2.080000,2.250000,2.040000,2.250000,2.140299,651700
2015-07-27,2.200000,2.330000,2.140000,2.150000,2.045175,636500
2015-07-28,2.170000,2.200000,2.130000,2.170000,2.064198,460900
2015-07-29,2.200000,2.300000,2.170000,2.200000,2.092736,344300
2015-07-30,2.150000,2.250000,2.150000,2.230000,2.121274,330600
2015-07-31,2.250000,2.280000,2.180000,2.210000,2.102250,324200
2015-08-03,2.200000,2.200000,2.130000,2.130000,2.026150,275700
2015-08-04,2.290000,2.290000,2.110000,2.180000,2.073712,274000
2015-08-05,2.180000,2.230000,2.000000,2.000000,1.902488,579800
2015-08-06,2.020000,2.380000,2.020000,2.380000,2.263960,676100
2015-08-07,2.400000,2.530000,2.250000,2.250000,2.149330,570300
2015-08-10,2.270000,2.420000,2.220000,2.350000,2.244855,392900
2015-08-11,2.500000,2.500000,2.310000,2.380000,2.273513,426100
2015-08-12,2.440000,2.540000,2.430000,2.540000,2.426355,500800
2015-08-13,2.490000,2.540000,2.350000,2.370000,2.263960,337500
2015-08-14,2.450000,2.460000,2.260000,2.370000,2.263960,307700
2015-08-17,2.400000,2.500000,2.320000,2.370000,2.263960,392600
2015-08-18,2.390000,2.390000,2.200000,2.230000,2.130225,331200
2015-08-19,2.370000,2.430000,2.320000,2.390000,2.283065,351000
2015-08-20,2.530000,2.710000,2.450000,2.640000,2.521881,708100
2015-08-21,2.760000,2.790000,2.540000,2.580000,2.464565,532400
2015-08-24,2.580000,2.590000,2.280000,2.360000,2.254408,534800
2015-08-25,2.350000,2.400000,2.250000,2.290000,2.187541,262300
2015-08-26,2.220000,2.270000,2.140000,2.160000,2.063356,381200
2015-08-27,2.200000,2.340000,2.110000,2.300000,2.197092,430000
2015-08-28,2.390000,2.550000,2.350000,2.410000,2.302171,479400
2015-08-31,2.450000,2.450000,2.300000,2.380000,2.273513,207500
2015-09-01,2.400000,2.450000,2.320000,2.350000,2.244855,240300
2015-09-02,2.350000,2.380000,2.210000,2.240000,2.139776,359400
2015-09-03,2.290000,2.420000,2.270000,2.350000,2.244855,372800
2015-09-04,2.350000,2.390000,2.250000,2.340000,2.235303,284700
2015-09-08,2.350000,2.420000,2.300000,2.370000,2.263960,261100
2015-09-09,2.340000,2.390000,2.250000,2.300000,2.206403,298400
2015-09-10,2.330000,2.360000,2.260000,2.300000,2.206403,402400
2015-09-11,2.300000,2.460000,2.250000,2.460000,2.359892,298000
2015-09-14,2.440000,2.470000,2.350000,2.380000,2.283146,288900
2015-09-15,2.410000,2.450000,2.350000,2.370000,2.273553,234000
2015-09-16,2.430000,2.510000,2.410000,2.490000,2.388671,569500
2015-09-17,2.510000,2.650000,2.450000,2.650000,2.542160,324800
2015-09-18,2.690000,2.720000,2.550000,2.700000,2.590126,958800
2015-09-21,2.700000,2.820000,2.600000,2.720000,2.609311,335400
2015-09-22,2.600000,2.640000,2.500000,2.500000,2.398264,227900
2015-09-23,2.590000,2.650000,2.530000,2.570000,2.465415,203700
2015-09-24,2.660000,2.800000,2.630000,2.750000,2.638089,383500
2015-09-25,2.730000,2.760000,2.640000,2.640000,2.532567,226800
2015-09-28,2.550000,2.610000,2.500000,2.520000,2.417449,215000
2015-09-29,2.570000,2.630000,2.410000,2.460000,2.359892,173100
2015-09-30,2.400000,2.550000,2.270000,2.530000,2.427042,1512900
2015-10-01,2.590000,2.670000,2.460000,2.510000,2.407857,147100
2015-10-02,2.640000,2.700000,2.560000,2.670000,2.561347,282300
2015-10-05,2.700000,2.790000,2.680000,2.710000,2.599717,298100
2015-10-06,2.760000,3.150000,2.750000,2.770000,2.657275,882800
2015-10-07,2.850000,2.910000,2.680000,2.880000,2.772810,495900
2015-10-08,2.760000,2.880000,2.720000,2.820000,2.715043,334000
2015-10-09,2.920000,3.000000,2.890000,2.980000,2.869088,430100
2015-10-12,3.120000,3.150000,2.780000,2.880000,2.772810,477600
2015-10-13,2.830000,2.920000,2.760000,2.790000,2.686159,287000
2015-10-14,2.870000,3.110000,2.750000,2.980000,2.869088,465800
2015-10-15,2.980000,3.120000,2.900000,3.120000,3.003877,447500
2015-10-16,3.200000,3.200000,2.950000,3.000000,2.888343,329000
2015-10-19,3.010000,3.020000,2.750000,2.770000,2.666903,508000
