Date,Open,High,Low,Close,Adj Close,Volume
2015-04-23,4.140000,4.140000,4.000000,4.000000,4.000000,2200
2015-04-24,3.900000,4.170000,3.900000,4.160000,4.160000,3800
2015-04-27,4.070000,4.090000,4.070000,4.090000,4.090000,800
2015-04-28,4.100000,4.100000,4.070000,4.090000,4.090000,3300
2015-04-29,4.100000,4.160000,4.090000,4.160000,4.160000,4400
2015-04-30,4.160000,4.160000,4.050000,4.050000,4.050000,1800
2015-05-01,4.110000,4.110000,4.030000,4.030000,4.030000,200
2015-05-04,4.040000,4.130000,3.920000,3.930000,3.930000,1800
2015-05-05,4.090000,4.090000,3.970000,3.970000,3.970000,800
2015-05-06,4.060000,4.060000,4.060000,4.060000,4.060000,100
2015-05-07,3.890000,4.120000,3.890000,4.120000,4.120000,1900
2015-05-08,4.050000,4.430000,4.050000,4.420000,4.420000,12100
2015-05-11,4.200000,4.240000,4.180000,4.220000,4.220000,4000
2015-05-12,4.430000,4.430000,4.000000,4.100000,4.100000,15200
2015-05-13,4.010000,4.190000,3.940000,4.190000,4.190000,54400
2015-05-14,4.000000,4.170000,3.910000,3.950000,3.950000,32400
2015-05-15,3.940000,3.970000,3.880000,3.890000,3.890000,4400
2015-05-18,4.030000,4.030000,3.950000,3.950000,3.950000,800
2015-05-19,4.030000,4.030000,3.990000,4.000000,4.000000,700
2015-05-20,3.970000,3.970000,3.910000,3.930000,3.930000,800
2015-05-21,3.920000,3.920000,3.870000,3.880000,3.880000,1500
2015-05-22,3.900000,3.910000,3.860000,3.860000,3.860000,800
2015-05-26,3.940000,3.950000,3.940000,3.950000,3.950000,1100
2015-05-27,3.970000,3.970000,3.940000,3.940000,3.940000,2800
2015-05-28,3.900000,3.940000,3.900000,3.940000,3.940000,1200
2015-05-29,3.910000,4.000000,3.910000,4.000000,4.000000,1800
2015-06-01,3.900000,3.900000,3.880000,3.880000,3.880000,400
2015-06-02,3.960000,3.960000,3.850000,3.850000,3.850000,1400
2015-06-03,3.850000,3.850000,3.850000,3.850000,3.850000,0
2015-06-04,3.870000,3.960000,3.870000,3.940000,3.940000,2600
2015-06-05,3.830000,3.920000,3.830000,3.920000,3.920000,5000
2015-06-08,3.820000,3.900000,3.820000,3.900000,3.900000,900
2015-06-09,4.000000,4.000000,3.820000,3.950000,3.950000,2600
2015-06-10,3.910000,4.690000,3.910000,4.220000,4.220000,89200
2015-06-11,4.350000,4.790000,4.270000,4.560000,4.560000,22300
2015-06-12,4.370000,4.450000,4.220000,4.240000,4.240000,2400
