Date,Open,High,Low,Close,Adj Close,Volume
2015-04-23,3.010000,3.120000,2.980000,3.100000,3.045600,5301400
2015-04-24,3.090000,3.100000,3.000000,3.040000,2.986653,3996500
2015-04-27,3.070000,3.180000,3.060000,3.100000,3.045600,6072100
2015-04-28,3.100000,3.230000,3.100000,3.190000,3.134022,5430700
2015-04-29,3.190000,3.240000,3.100000,3.120000,3.065250,3619500
2015-04-30,3.070000,3.110000,3.010000,3.020000,2.967005,7069200
2015-05-01,3.010000,3.100000,3.000000,3.030000,2.976829,4821200
2015-05-04,3.080000,3.120000,3.030000,3.050000,2.996478,3806100
2015-05-05,3.090000,3.090000,2.980000,3.010000,2.957180,5475500
2015-05-06,3.020000,3.050000,2.980000,2.990000,2.937531,3906900
2015-05-07,2.960000,3.050000,2.950000,3.050000,2.996478,3360800
2015-05-08,3.060000,3.080000,2.990000,3.000000,2.947355,3324800
2015-05-11,3.010000,3.110000,3.010000,3.080000,3.025951,3604400
2015-05-12,3.090000,3.150000,3.050000,3.150000,3.094723,3518400
2015-05-13,3.190000,3.260000,3.180000,3.260000,3.202793,7093200
2015-05-14,3.280000,3.350000,3.210000,3.240000,3.183144,5690200
2015-05-15,3.230000,3.290000,3.200000,3.250000,3.192968,5235900
2015-05-18,3.250000,3.290000,3.220000,3.240000,3.183144,3109200
2015-05-19,3.210000,3.250000,3.150000,3.160000,3.104548,4681100
2015-05-20,3.170000,3.250000,3.160000,3.240000,3.185664,2995700
2015-05-21,3.230000,3.260000,3.220000,3.230000,3.175832,2754600
2015-05-22,3.230000,3.260000,3.200000,3.210000,3.156167,1695500
2015-05-26,3.160000,3.160000,3.080000,3.090000,3.038180,3302000
2015-05-27,3.090000,3.100000,3.020000,3.040000,2.989018,4092100
2015-05-28,3.040000,3.110000,3.030000,3.100000,3.048011,2574500
2015-05-29,3.110000,3.150000,3.080000,3.110000,3.057844,2386600
2015-06-01,3.140000,3.160000,3.100000,3.120000,3.067677,2321900
2015-06-02,3.120000,3.160000,3.110000,3.140000,3.087341,1771100
2015-06-03,3.120000,3.170000,3.080000,3.100000,3.048011,2491600
2015-06-04,3.070000,3.100000,3.020000,3.060000,3.008682,2661100
2015-06-05,3.030000,3.060000,3.010000,3.030000,2.979186,2321800
2015-06-08,3.040000,3.050000,3.000000,3.040000,2.989018,2316400
2015-06-09,3.050000,3.070000,2.950000,2.950000,2.900527,3901400
2015-06-10,3.000000,3.070000,2.970000,3.040000,2.989018,4008200
2015-06-11,3.030000,3.040000,3.000000,3.000000,2.949689,2702100
2015-06-12,2.980000,3.010000,2.940000,2.950000,2.900527,3565500
2015-06-15,2.950000,3.060000,2.850000,3.060000,3.008682,5897500
2015-06-16,3.040000,3.040000,2.910000,2.920000,2.871031,4689600
2015-06-17,2.940000,2.960000,2.850000,2.960000,2.910360,5540300
2015-06-18,3.030000,3.030000,2.980000,3.030000,2.979186,4114700
2015-06-19,3.020000,3.050000,2.900000,2.970000,2.920192,13928500
2015-06-22,2.950000,2.960000,2.860000,2.870000,2.821869,4501100
2015-06-23,2.860000,2.900000,2.830000,2.870000,2.821869,4677000
2015-06-24,2.850000,2.900000,2.850000,2.860000,2.812037,3289200
