Date,Open,High,Low,Close,Adj Close,Volume
2015-04-23,11.900000,12.180000,11.830000,12.150000,12.150000,399500
2015-04-24,12.230000,12.330000,11.950000,12.020000,12.020000,357100
2015-04-27,12.080000,12.080000,11.780000,11.860000,11.860000,535900
2015-04-28,11.980000,12.350000,11.700000,12.160000,12.160000,845900
2015-04-29,12.330000,13.240000,12.300000,12.560000,12.560000,1711600
2015-04-30,12.320000,12.700000,12.200000,12.530000,12.530000,645500
2015-05-01,12.630000,12.720000,12.400000,12.530000,12.530000,513700
2015-05-04,12.480000,12.640000,12.370000,12.400000,12.400000,576500
2015-05-05,12.470000,12.690000,12.380000,12.420000,12.420000,682200
2015-05-06,12.510000,12.550000,12.370000,12.470000,12.470000,404500
2015-05-07,12.400000,12.660000,12.230000,12.650000,12.650000,459600
2015-05-08,12.830000,13.010000,12.680000,12.740000,12.740000,367500
2015-05-11,12.780000,12.830000,12.640000,12.670000,12.670000,402000
2015-05-12,12.660000,12.680000,12.400000,12.530000,12.530000,466300
2015-05-13,12.570000,12.830000,12.460000,12.640000,12.640000,482800
2015-05-14,12.720000,12.870000,12.590000,12.600000,12.600000,455600
2015-05-15,12.630000,12.750000,12.480000,12.520000,12.520000,591700
2015-05-18,12.500000,12.600000,12.430000,12.490000,12.490000,426900
2015-05-19,12.450000,12.510000,12.290000,12.370000,12.370000,430500
2015-05-20,12.420000,12.480000,12.340000,12.390000,12.390000,593400
2015-05-21,12.400000,12.560000,12.310000,12.400000,12.400000,706100
2015-05-22,12.400000,12.460000,12.290000,12.400000,12.400000,376000
2015-05-26,12.300000,12.310000,11.870000,11.930000,11.930000,607600
2015-05-27,11.920000,12.040000,11.740000,11.900000,11.900000,329800
2015-05-28,11.840000,11.960000,11.640000,11.940000,11.940000,485500
2015-05-29,11.890000,11.920000,11.610000,11.620000,11.620000,614900
2015-06-01,11.590000,11.670000,11.210000,11.280000,11.280000,699400
2015-06-02,11.300000,11.540000,11.280000,11.420000,11.420000,628100
2015-06-03,11.410000,11.490000,11.380000,11.400000,11.400000,446000
2015-06-04,11.310000,11.310000,11.060000,11.250000,11.250000,563400
2015-06-05,11.190000,11.300000,11.120000,11.240000,11.240000,456800
2015-06-08,11.240000,11.240000,10.990000,11.090000,11.090000,654400
2015-06-09,11.110000,11.180000,11.000000,11.100000,11.100000,568000
2015-06-10,11.220000,11.340000,11.110000,11.110000,11.110000,935300
2015-06-11,11.150000,11.180000,11.050000,11.180000,11.180000,292000
2015-06-12,11.160000,11.210000,10.930000,11.110000,11.110000,696400
2015-06-15,11.040000,11.190000,10.980000,11.080000,11.080000,318900
2015-06-16,11.090000,11.280000,11.060000,11.190000,11.190000,718000
2015-06-17,11.180000,11.310000,11.080000,11.150000,11.150000,362300
2015-06-18,11.180000,11.330000,11.140000,11.240000,11.240000,425700
2015-06-19,11.230000,11.230000,10.930000,10.930000,10.930000,951100
2015-06-22,10.940000,11.000000,10.850000,10.910000,10.910000,559000
2015-06-23,10.890000,11.140000,10.890000,11.110000,11.110000,526900
2015-06-24,11.080000,11.110000,10.960000,11.000000,11.000000,377000
2015-06-25,11.040000,12.200000,11.030000,12.160000,12.160000,4151500
2015-06-26,12.210000,12.230000,11.890000,12.030000,12.030000,2740500
2015-06-29,11.860000,11.970000,11.710000,11.750000,11.750000,691600
2015-06-30,11.870000,11.980000,11.740000,11.940000,11.940000,680900
2015-07-01,11.970000,12.020000,11.820000,11.890000,11.890000,545500
2015-07-02,11.850000,11.900000,11.670000,11.740000,11.740000,436700
2015-07-06,11.580000,11.700000,11.410000,11.450000,11.450000,696400
2015-07-07,11.400000,11.400000,10.770000,11.030000,11.030000,1111500
2015-07-08,10.950000,11.000000,10.660000,10.760000,10.760000,1318700
2015-07-09,10.900000,10.900000,10.410000,10.470000,10.470000,838700
2015-07-10,10.620000,10.730000,10.490000,10.530000,10.530000,362800
2015-07-13,10.580000,10.930000,10.500000,10.900000,10.900000,689000
2015-07-14,10.990000,11.110000,10.830000,11.090000,11.090000,499100
2015-07-15,11.060000,11.110000,10.850000,11.000000,11.000000,822500
2015-07-16,11.040000,11.070000,10.930000,10.980000,10.980000,511000
2015-07-17,10.940000,11.170000,10.780000,10.950000,10.950000,766000
2015-07-20,10.910000,10.960000,10.410000,10.490000,10.490000,651900
2015-07-21,10.460000,10.660000,10.430000,10.550000,10.550000,400500
2015-07-22,10.390000,10.390000,9.780000,9.840000,9.840000,1564200
2015-07-23,9.870000,9.890000,9.290000,9.380000,9.380000,1314700
2015-07-24,9.270000,9.310000,8.900000,9.000000,9.000000,1187200
2015-07-27,8.900000,8.960000,8.510000,8.600000,8.600000,995200
2015-07-28,8.500000,8.760000,7.910000,8.110000,8.110000,2447000
2015-07-29,7.960000,8.520000,7.950000,8.260000,8.260000,2877700
2015-07-30,8.250000,8.630000,8.250000,8.570000,8.570000,1389700
2015-07-31,8.630000,8.700000,8.460000,8.540000,8.540000,950500
2015-08-03,8.470000,8.550000,8.090000,8.170000,8.170000,754800
2015-08-04,8.180000,8.380000,8.180000,8.300000,8.300000,478900
2015-08-05,8.360000,8.450000,8.130000,8.190000,8.190000,640400
2015-08-06,8.220000,8.340000,8.110000,8.260000,8.260000,451600
2015-08-07,8.200000,8.370000,8.190000,8.220000,8.220000,802700
2015-08-10,8.230000,8.530000,8.130000,8.480000,8.480000,559700
2015-08-11,8.360000,8.490000,7.990000,8.090000,8.090000,746200
2015-08-12,8.060000,8.200000,7.960000,8.130000,8.130000,721300
2015-08-13,8.100000,8.140000,8.000000,8.000000,8.000000,666900
2015-08-14,8.080000,8.160000,8.000000,8.080000,8.080000,442900
2015-08-17,8.070000,8.240000,8.020000,8.240000,8.240000,520900
2015-08-18,8.170000,8.250000,8.010000,8.190000,8.190000,498300
2015-08-19,8.150000,8.180000,8.000000,8.040000,8.040000,559300
2015-08-20,8.030000,8.740000,7.740000,7.760000,7.760000,1010800
2015-08-21,7.580000,7.730000,7.400000,7.470000,7.470000,726700
2015-08-24,7.020000,7.690000,6.970000,7.310000,7.310000,1073900
2015-08-25,7.640000,7.640000,6.970000,7.020000,7.020000,1058900
2015-08-26,7.180000,7.180000,7.020000,7.070000,7.070000,702300
2015-08-27,7.230000,7.740000,7.100000,7.600000,7.600000,691300
2015-08-28,7.560000,7.840000,7.530000,7.830000,7.830000,571400
2015-08-31,7.770000,7.990000,7.620000,7.910000,7.910000,574400
2015-09-01,7.790000,7.880000,7.460000,7.530000,7.530000,502800
2015-09-02,7.580000,7.670000,7.370000,7.550000,7.550000,392400
2015-09-03,7.550000,7.680000,7.450000,7.550000,7.550000,502600
2015-09-04,7.440000,7.480000,7.300000,7.330000,7.330000,293100
2015-09-08,7.430000,7.530000,7.310000,7.430000,7.430000,688000
2015-09-09,7.490000,7.590000,7.290000,7.330000,7.330000,402800
2015-09-10,7.350000,7.420000,7.250000,7.290000,7.290000,446000
2015-09-11,7.200000,7.270000,7.070000,7.230000,7.230000,383500
2015-09-14,7.210000,7.270000,7.050000,7.080000,7.080000,446700
2015-09-15,7.080000,7.230000,7.050000,7.210000,7.210000,307300
2015-09-16,7.230000,7.490000,7.200000,7.430000,7.430000,503800
2015-09-17,7.380000,7.450000,7.100000,7.140000,7.140000,1018600
2015-09-18,7.020000,7.130000,6.640000,6.690000,6.690000,899500
2015-09-21,6.700000,6.740000,6.460000,6.490000,6.490000,552300
2015-09-22,6.430000,6.430000,6.060000,6.130000,6.130000,1324400
2015-09-23,6.150000,6.150000,5.550000,5.560000,5.560000,824000
2015-09-24,5.580000,6.010000,5.400000,5.990000,5.990000,1200800
2015-09-25,6.020000,6.060000,5.820000,5.950000,5.950000,847000
2015-09-28,5.860000,5.900000,5.350000,5.690000,5.690000,1220500
2015-09-29,5.720000,5.840000,5.590000,5.690000,5.690000,564300
2015-09-30,5.710000,5.790000,5.450000,5.540000,5.540000,724200
2015-10-01,5.570000,5.660000,5.330000,5.380000,5.380000,779500
2015-10-02,5.360000,5.860000,5.340000,5.860000,5.860000,1355400
2015-10-05,5.940000,6.240000,5.930000,6.050000,6.050000,1441800
2015-10-06,6.070000,6.680000,6.050000,6.580000,6.580000,1012600
2015-10-07,6.520000,6.920000,6.510000,6.870000,6.870000,1772000
2015-10-08,6.860000,6.870000,6.680000,6.730000,6.730000,859900
2015-10-09,6.850000,7.140000,6.850000,6.910000,6.910000,912300
2015-10-12,6.900000,6.940000,6.580000,6.640000,6.640000,808000
2015-10-13,6.540000,6.630000,6.150000,6.180000,6.180000,804300
2015-10-14,6.640000,6.640000,6.280000,6.450000,6.450000,1071800
2015-10-15,6.450000,6.560000,6.380000,6.560000,6.560000,1014700
2015-10-16,6.600000,6.600000,6.230000,6.270000,6.270000,540300
2015-10-19,6.120000,6.170000,5.750000,5.950000,5.950000,956400
2015-10-20,5.920000,6.230000,5.900000,6.070000,6.070000,977900
2015-10-21,6.040000,6.100000,5.860000,5.860000,5.860000,760000
2015-10-22,5.870000,6.000000,5.780000,5.840000,5.840000,814100
2015-10-23,5.890000,6.000000,5.620000,5.720000,5.720000,1218000
2015-10-26,5.710000,5.830000,5.670000,5.700000,5.700000,720400
2015-10-27,5.500000,5.830000,4.150000,4.750000,4.750000,6417000
2015-10-28,4.640000,4.810000,3.950000,4.100000,4.100000,6010800
2015-10-29,4.100000,4.310000,4.050000,4.080000,4.080000,2483800
2015-10-30,4.060000,4.110000,3.850000,3.860000,3.860000,1248800
2015-11-02,3.850000,3.870000,3.640000,3.710000,3.710000,2301000
2015-11-03,3.790000,3.930000,3.780000,3.800000,3.800000,3818900
2015-11-04,3.840000,3.880000,3.730000,3.760000,3.760000,2054300
2015-11-05,3.770000,3.850000,3.710000,3.820000,3.820000,2231900
2015-11-06,3.790000,3.880000,3.700000,3.860000,3.860000,1805900
2015-11-09,3.870000,4.030000,3.830000,3.940000,3.940000,1432400
2015-11-10,3.910000,3.990000,3.660000,3.700000,3.700000,1146800
2015-11-11,3.700000,3.720000,3.500000,3.560000,3.560000,873700
2015-11-12,3.550000,3.660000,3.460000,3.660000,3.660000,1082900
2015-11-13,3.610000,3.680000,3.520000,3.630000,3.630000,956200
2015-11-16,3.650000,3.770000,3.500000,3.580000,3.580000,1621200
2015-11-17,3.600000,3.630000,3.440000,3.460000,3.460000,1066700
2015-11-18,3.470000,3.720000,3.460000,3.640000,3.640000,1373900
2015-11-19,3.640000,3.680000,3.490000,3.510000,3.510000,897100
2015-11-20,3.510000,3.600000,3.380000,3.430000,3.430000,957900
2015-11-23,3.400000,3.540000,3.390000,3.390000,3.390000,985200
2015-11-24,3.380000,3.410000,3.190000,3.410000,3.410000,2608000
2015-11-25,3.380000,3.540000,3.340000,3.380000,3.380000,1320700
2015-11-27,3.380000,3.460000,3.370000,3.450000,3.450000,342600
2015-11-30,3.460000,3.610000,3.450000,3.590000,3.590000,1023200
2015-12-01,3.620000,3.680000,3.530000,3.560000,3.560000,835500
2015-12-02,3.530000,3.570000,3.410000,3.420000,3.420000,833700
2015-12-03,3.450000,3.480000,3.290000,3.320000,3.320000,703000
2015-12-04,3.290000,3.310000,3.060000,3.250000,3.250000,654500
2015-12-07,3.220000,3.290000,3.010000,3.270000,3.270000,615700
2015-12-08,3.240000,3.270000,3.150000,3.170000,3.170000,718300
2015-12-09,3.210000,3.330000,3.130000,3.210000,3.210000,784800
2015-12-10,3.200000,3.370000,3.110000,3.270000,3.270000,508200
2015-12-11,3.220000,3.250000,3.150000,3.160000,3.160000,723600
2015-12-14,3.150000,3.200000,2.980000,3.010000,3.010000,1870500
2015-12-15,3.030000,3.170000,2.930000,2.960000,2.960000,1221700
2015-12-16,2.960000,3.010000,2.890000,3.000000,3.000000,1086600
2015-12-17,2.990000,3.050000,2.880000,2.880000,2.880000,812000
2015-12-18,2.860000,3.000000,2.850000,2.910000,2.910000,1921800
2015-12-21,2.960000,2.960000,2.630000,2.650000,2.650000,1610600
2015-12-22,2.650000,3.090000,2.640000,3.090000,3.090000,1453900
2015-12-23,3.140000,3.520000,3.120000,3.470000,3.470000,1283800
2015-12-24,3.470000,3.530000,3.400000,3.500000,3.500000,367000
2015-12-28,3.510000,3.540000,3.220000,3.230000,3.230000,743900
2015-12-29,3.270000,3.310000,2.970000,3.020000,3.020000,1248900
2015-12-30,3.000000,3.080000,2.880000,2.910000,2.910000,1043500
2015-12-31,2.910000,2.980000,2.840000,2.950000,2.950000,810200
2016-01-04,2.910000,3.260000,2.870000,3.070000,3.070000,1850600
2016-01-05,3.080000,3.130000,2.800000,2.840000,2.840000,948600
2016-01-06,2.790000,2.810000,2.470000,2.530000,2.530000,1393700
2016-01-07,2.430000,2.610000,2.430000,2.460000,2.460000,1030800
2016-01-08,2.480000,2.490000,2.350000,2.400000,2.400000,1175400
2016-01-11,2.400000,2.420000,2.130000,2.180000,2.180000,1031800
2016-01-12,2.200000,2.260000,2.110000,2.140000,2.140000,781300
2016-01-13,2.140000,2.170000,2.000000,2.030000,2.030000,1166700
2016-01-14,2.020000,2.110000,2.010000,2.050000,2.050000,1175800
2016-01-15,2.000000,2.170000,1.870000,2.150000,2.150000,1518900
2016-01-19,2.210000,2.270000,1.920000,1.950000,1.950000,999000
2016-01-20,1.870000,2.010000,1.790000,1.990000,1.990000,917600
2016-01-21,1.990000,2.060000,1.870000,1.940000,1.940000,1102200
2016-01-22,1.990000,2.170000,1.780000,1.860000,1.860000,1343700
2016-01-25,1.860000,1.950000,1.750000,1.790000,1.790000,650000
2016-01-26,1.800000,1.880000,1.760000,1.820000,1.820000,660300
2016-01-27,1.790000,1.990000,1.780000,1.910000,1.910000,699800
2016-01-28,1.900000,1.960000,1.840000,1.950000,1.950000,468300
2016-01-29,1.990000,2.190000,1.970000,2.180000,2.180000,832400
2016-02-01,2.180000,2.190000,1.980000,2.080000,2.080000,806300
2016-02-02,2.060000,2.090000,1.880000,1.910000,1.910000,599800
2016-02-03,1.910000,2.070000,1.850000,2.030000,2.030000,715000
2016-02-04,2.040000,2.300000,2.040000,2.290000,2.290000,1506400
2016-02-05,2.290000,2.590000,2.230000,2.550000,2.550000,1592000
2016-02-08,2.510000,2.550000,2.310000,2.390000,2.390000,1296200
2016-02-09,2.350000,2.350000,1.940000,2.030000,2.030000,1381200
2016-02-10,2.030000,2.090000,1.950000,2.000000,2.000000,451100
2016-02-11,2.000000,2.090000,1.890000,2.000000,2.000000,1082000
2016-02-12,2.010000,2.330000,1.960000,2.080000,2.080000,1376600
