Date,Open,High,Low,Close,Adj Close,Volume
2015-04-23,77.889999,79.220001,77.610001,78.910004,70.528267,147400
2015-04-24,79.269997,79.949997,78.930000,79.139999,70.733841,126500
2015-04-27,79.139999,80.529999,79.019997,79.160004,70.751724,162900
2015-04-28,79.480003,80.389999,79.110001,79.699997,71.234360,243400
2015-04-29,80.559998,81.989998,77.419998,78.830002,70.456772,241600
2015-04-30,78.410004,81.099998,78.410004,80.370003,71.833206,338100
2015-05-01,80.580002,82.690002,80.580002,81.680000,73.004066,271700
2015-05-04,81.459999,81.949997,81.129997,81.790001,73.102364,187900
2015-05-05,82.000000,82.870003,81.720001,82.480003,73.719070,239600
2015-05-06,82.430000,82.709999,80.989998,81.410004,72.762726,146100
2015-05-07,81.099998,81.690002,80.760002,81.250000,72.619728,130900
2015-05-08,81.860001,81.919998,81.190002,81.540001,72.878899,107000
2015-05-11,81.699997,82.680000,80.730003,82.080002,73.361557,169500
2015-05-12,82.709999,83.360001,81.669998,82.660004,73.879951,163500
2015-05-13,82.879997,83.650002,82.879997,83.099998,74.273201,118300
2015-05-14,83.349998,84.360001,83.180000,83.720001,74.827347,153900
2015-05-15,83.379997,83.510002,83.050003,83.230003,74.389397,113600
2015-05-18,83.180000,83.540001,82.570000,82.849998,74.049767,152300
2015-05-19,82.989998,82.989998,81.830002,82.370003,73.620750,167000
2015-05-20,82.230003,82.360001,81.870003,82.209999,73.477753,115100
2015-05-21,82.300003,82.300003,81.559998,81.879997,73.182800,180200
2015-05-22,81.879997,81.980003,81.470001,81.529999,72.869980,114000
2015-05-26,81.070000,81.559998,80.379997,80.800003,72.217529,169000
2015-05-27,80.629997,81.349998,80.360001,81.000000,72.396271,146200
2015-05-28,81.160004,81.949997,80.750000,81.540001,72.878899,166100
2015-05-29,81.220001,81.750000,80.730003,81.129997,72.512474,126400
2015-06-01,81.669998,81.669998,80.870003,81.089996,72.476715,179300
2015-06-02,80.650002,83.519997,80.650002,83.220001,74.380470,183400
2015-06-03,83.529999,84.169998,82.790001,83.110001,74.282150,119300
