Date,Open,High,Low,Close,Adj Close,Volume
2015-04-23,5.670000,6.360000,5.670000,6.360000,6.360000,129100
2015-04-24,6.480000,6.810000,6.240000,6.280000,6.280000,105200
2015-04-27,6.380000,6.640000,6.280000,6.310000,6.310000,110300
2015-04-28,6.360000,6.960000,6.360000,6.950000,6.950000,161500
2015-04-29,6.940000,7.340000,6.830000,7.040000,7.040000,106300
2015-04-30,6.880000,7.050000,6.850000,6.970000,6.970000,30000
2015-05-01,6.900000,7.000000,6.820000,6.940000,6.940000,40800
2015-05-04,7.050000,7.260000,6.970000,7.000000,7.000000,48700
2015-05-05,7.000000,7.080000,6.800000,7.000000,7.000000,48000
2015-05-06,7.010000,7.090000,6.920000,7.090000,7.090000,24500
2015-05-07,7.160000,7.160000,6.710000,6.770000,6.770000,43100
2015-05-08,6.850000,7.080000,6.790000,7.040000,7.040000,43900
2015-05-11,6.980000,7.140000,6.850000,6.950000,6.950000,27300
2015-05-12,6.960000,7.180000,6.950000,7.110000,7.110000,38400
2015-05-13,7.200000,7.520000,7.200000,7.480000,7.480000,105100
2015-05-14,7.520000,7.810000,7.360000,7.400000,7.400000,80900
2015-05-15,7.270000,7.660000,7.270000,7.530000,7.530000,48000
2015-05-18,7.570000,7.660000,7.430000,7.500000,7.500000,47900
2015-05-19,7.460000,7.460000,7.190000,7.400000,7.400000,69500
2015-05-20,7.330000,7.490000,7.330000,7.360000,7.360000,22500
2015-05-21,7.340000,7.380000,7.220000,7.330000,7.330000,18000
2015-05-22,7.360000,7.440000,7.240000,7.420000,7.420000,40800
2015-05-26,7.130000,7.130000,6.970000,7.050000,7.050000,40200
2015-05-27,6.970000,7.210000,6.960000,7.210000,7.210000,27300
2015-05-28,7.150000,7.300000,7.100000,7.230000,7.230000,29700
2015-05-29,7.270000,7.480000,7.270000,7.480000,7.480000,56400
2015-06-01,7.500000,7.550000,7.370000,7.400000,7.400000,14900
2015-06-02,7.340000,7.440000,7.220000,7.250000,7.250000,35600
2015-06-03,7.170000,7.350000,7.170000,7.340000,7.340000,18600
2015-06-04,7.300000,7.300000,7.080000,7.080000,7.080000,18100
2015-06-05,7.030000,7.210000,6.970000,7.100000,7.100000,14100
2015-06-08,7.040000,7.130000,6.900000,7.120000,7.120000,38300
2015-06-09,7.150000,7.240000,7.030000,7.070000,7.070000,12500
2015-06-10,7.200000,7.480000,7.200000,7.410000,7.410000,33300
2015-06-11,7.400000,7.420000,7.310000,7.350000,7.350000,28300
2015-06-12,7.360000,7.490000,7.340000,7.460000,7.460000,13900
2015-06-15,7.430000,7.820000,7.380000,7.550000,7.550000,80100
2015-06-16,7.540000,7.700000,7.400000,7.590000,7.590000,88700
2015-06-17,7.570000,7.950000,7.570000,7.910000,7.910000,30000
2015-06-18,8.000000,8.450000,8.000000,8.430000,8.430000,97100
2015-06-19,8.250000,8.420000,8.140000,8.410000,8.410000,135700
2015-06-22,8.220000,8.350000,8.030000,8.110000,8.110000,126000
2015-06-23,8.030000,8.400000,8.020000,8.120000,8.120000,68100
2015-06-24,8.060000,8.360000,8.060000,8.100000,8.100000,21100
2015-06-25,8.140000,8.260000,8.100000,8.220000,8.220000,31600
2015-06-26,8.190000,8.280000,8.150000,8.250000,8.250000,50800
2015-06-29,8.190000,8.310000,7.990000,8.000000,8.000000,64600
2015-06-30,7.940000,7.940000,7.770000,7.840000,7.840000,75300
2015-07-01,7.860000,7.860000,7.530000,7.550000,7.550000,20200
2015-07-02,7.610000,7.960000,7.600000,7.930000,7.930000,32100
2015-07-06,7.730000,8.060000,7.720000,7.750000,7.750000,36900
2015-07-07,7.750000,7.750000,7.270000,7.600000,7.600000,57000
2015-07-08,7.620000,7.640000,7.260000,7.290000,7.290000,45900
2015-07-09,7.300000,7.420000,7.210000,7.330000,7.330000,29600
2015-07-10,7.330000,7.400000,7.190000,7.330000,7.330000,17800
2015-07-13,7.250000,7.590000,7.130000,7.500000,7.500000,20500
2015-07-14,7.420000,7.700000,7.380000,7.380000,7.380000,25000
2015-07-15,7.310000,7.320000,7.010000,7.210000,7.210000,40800
2015-07-16,7.160000,7.270000,7.100000,7.100000,7.100000,11100
2015-07-17,7.070000,7.120000,6.940000,6.960000,6.960000,30100
2015-07-20,6.810000,6.810000,6.270000,6.350000,6.350000,60200
2015-07-21,6.390000,6.690000,6.350000,6.590000,6.590000,28900
2015-07-22,6.320000,6.720000,6.210000,6.570000,6.570000,65700
2015-07-23,6.540000,6.710000,6.390000,6.430000,6.430000,24000
2015-07-24,6.350000,6.880000,6.300000,6.830000,6.830000,66600
2015-07-27,6.730000,7.010000,6.590000,6.670000,6.670000,77300
2015-07-28,6.680000,6.830000,6.670000,6.750000,6.750000,35400
2015-07-29,6.740000,7.040000,6.660000,6.910000,6.910000,59200
2015-07-30,6.820000,7.100000,6.790000,6.980000,6.980000,50900
2015-07-31,7.040000,7.270000,7.020000,7.120000,7.120000,43200
2015-08-03,7.020000,7.050000,6.820000,6.850000,6.850000,10300
2015-08-04,6.920000,7.140000,6.870000,6.880000,6.880000,25000
2015-08-05,6.910000,7.000000,6.760000,6.760000,6.760000,31700
2015-08-06,6.820000,7.080000,6.820000,6.980000,6.980000,25000
2015-08-07,6.960000,7.240000,6.910000,7.240000,7.240000,45200
2015-08-10,7.320000,7.580000,7.220000,7.520000,7.520000,51200
2015-08-11,7.520000,7.640000,7.350000,7.640000,7.640000,38900
2015-08-12,7.730000,7.980000,7.630000,7.940000,7.940000,55800
2015-08-13,7.830000,7.980000,7.680000,7.880000,7.880000,46200
2015-08-14,7.880000,7.950000,7.660000,7.800000,7.800000,28800
2015-08-17,7.790000,7.910000,7.610000,7.910000,7.910000,21400
2015-08-18,7.750000,7.800000,7.500000,7.800000,7.800000,32700
2015-08-19,7.800000,7.950000,7.670000,7.950000,7.950000,34400
2015-08-20,7.950000,7.980000,7.840000,7.850000,7.850000,57400
2015-08-21,7.900000,7.900000,7.450000,7.470000,7.470000,38200
2015-08-24,7.230000,7.250000,7.020000,7.220000,7.220000,61800
2015-08-25,7.240000,7.340000,6.820000,7.060000,7.060000,42300
2015-08-26,7.000000,7.000000,6.740000,6.750000,6.750000,62000
2015-08-27,6.800000,7.030000,6.740000,6.920000,6.920000,50000
2015-08-28,6.830000,7.550000,6.830000,7.490000,7.490000,29100
2015-08-31,7.360000,7.400000,6.950000,7.340000,7.340000,32100
2015-09-01,7.380000,7.520000,7.250000,7.290000,7.290000,32400
2015-09-02,7.130000,7.390000,6.880000,6.990000,6.990000,46200
2015-09-03,6.950000,7.300000,6.830000,6.830000,6.830000,19300
2015-09-04,6.860000,6.940000,6.660000,6.900000,6.900000,21000
