Date,Open,High,Low,Close,Adj Close,Volume
2015-04-23,3.550000,3.650000,3.550000,3.620000,3.620000,664600
2015-04-24,3.580000,3.670000,3.560000,3.580000,3.580000,724800
2015-04-27,3.590000,3.730000,3.580000,3.720000,3.720000,1417800
2015-04-28,3.720000,3.910000,3.720000,3.890000,3.890000,2127000
2015-04-29,3.890000,4.020000,3.800000,3.980000,3.980000,2007100
2015-04-30,3.910000,3.920000,3.820000,3.840000,3.840000,1468000
2015-05-01,3.800000,3.850000,3.730000,3.760000,3.760000,1320900
2015-05-04,3.820000,3.860000,3.730000,3.860000,3.860000,828200
2015-05-05,3.890000,3.910000,3.830000,3.880000,3.880000,807500
2015-05-06,3.920000,3.920000,3.800000,3.850000,3.850000,802000
2015-05-07,3.800000,3.870000,3.720000,3.840000,3.840000,735600
2015-05-08,3.880000,3.920000,3.790000,3.920000,3.920000,705500
2015-05-11,3.970000,3.980000,3.900000,3.920000,3.920000,643700
2015-05-12,3.960000,4.010000,3.940000,3.990000,3.990000,765200
2015-05-13,4.060000,4.170000,4.030000,4.130000,4.130000,2150400
2015-05-14,4.170000,4.250000,4.080000,4.130000,4.130000,1993500
2015-05-15,4.120000,4.200000,4.090000,4.180000,4.180000,1578700
2015-05-18,4.170000,4.240000,4.100000,4.120000,4.120000,818600
2015-05-19,4.000000,4.080000,3.940000,4.010000,4.010000,1159900
2015-05-20,4.030000,4.160000,4.020000,4.120000,4.120000,777400
2015-05-21,4.120000,4.190000,4.070000,4.080000,4.080000,573800
2015-05-22,4.060000,4.150000,4.000000,4.080000,4.080000,579100
2015-05-26,4.000000,4.020000,3.920000,4.020000,4.020000,1649200
2015-05-27,4.020000,4.060000,3.980000,4.020000,4.020000,638200
2015-05-28,4.020000,4.150000,4.000000,4.110000,4.110000,1333400
2015-05-29,4.120000,4.180000,4.010000,4.090000,4.090000,980700
2015-06-01,4.120000,4.160000,4.040000,4.080000,4.080000,786700
2015-06-02,4.140000,4.180000,4.080000,4.160000,4.160000,1044900
2015-06-03,4.160000,4.160000,4.010000,4.040000,4.040000,867800
2015-06-04,4.010000,4.150000,3.910000,4.150000,4.150000,1356500
2015-06-05,4.060000,4.090000,3.990000,4.000000,4.000000,1501900
2015-06-08,4.050000,4.090000,3.990000,4.090000,4.090000,839200
2015-06-09,4.110000,4.170000,3.970000,4.010000,4.010000,1026600
2015-06-10,4.100000,4.120000,3.950000,4.000000,4.000000,922600
2015-06-11,3.950000,3.980000,3.800000,3.800000,3.800000,2007100
2015-06-12,3.800000,3.820000,3.750000,3.800000,3.800000,1215400
2015-06-15,3.810000,3.840000,3.730000,3.760000,3.760000,1359700
2015-06-16,3.730000,3.760000,3.680000,3.710000,3.710000,1248100
2015-06-17,3.690000,3.800000,3.650000,3.800000,3.800000,729700
2015-06-18,3.900000,3.900000,3.750000,3.790000,3.790000,1257600
2015-06-19,3.770000,3.960000,3.720000,3.920000,3.920000,5097500
2015-06-22,3.810000,3.910000,3.690000,3.700000,3.700000,1233900
2015-06-23,3.660000,3.740000,3.660000,3.680000,3.680000,651800
2015-06-24,3.680000,3.710000,3.600000,3.600000,3.600000,690700
2015-06-25,3.600000,3.630000,3.550000,3.610000,3.610000,1160200
2015-06-26,3.610000,3.630000,3.510000,3.520000,3.520000,854600
2015-06-29,3.540000,3.610000,3.480000,3.500000,3.500000,1160200
2015-06-30,3.480000,3.530000,3.370000,3.420000,3.420000,1927500
2015-07-01,3.400000,3.400000,3.200000,3.220000,3.220000,1255400
2015-07-02,3.230000,3.310000,3.200000,3.270000,3.270000,1538200
2015-07-06,3.290000,3.480000,3.240000,3.420000,3.420000,1402100
2015-07-07,3.320000,3.370000,3.140000,3.140000,3.140000,1772400
2015-07-08,3.240000,3.340000,3.140000,3.220000,3.220000,1309500
2015-07-09,3.250000,3.250000,3.100000,3.130000,3.130000,1191400
2015-07-10,3.180000,3.280000,3.120000,3.200000,3.200000,1178800
2015-07-13,3.210000,3.340000,3.110000,3.340000,3.340000,782900
2015-07-14,3.390000,3.460000,3.290000,3.320000,3.320000,1016600
2015-07-15,3.270000,3.290000,3.100000,3.110000,3.110000,1098900
2015-07-16,3.090000,3.150000,3.030000,3.080000,3.080000,917800
2015-07-17,3.030000,3.060000,2.950000,2.990000,2.990000,1318200
2015-07-20,2.900000,2.900000,2.650000,2.680000,2.680000,3458300
2015-07-21,2.680000,2.890000,2.670000,2.880000,2.880000,2272500
2015-07-22,2.750000,2.980000,2.750000,2.930000,2.930000,1672500
2015-07-23,2.960000,3.000000,2.800000,2.880000,2.880000,1496600
2015-07-24,2.830000,3.200000,2.790000,3.180000,3.180000,1832400
2015-07-27,3.140000,3.320000,2.990000,3.000000,3.000000,1705100
2015-07-28,3.030000,3.140000,3.020000,3.100000,3.100000,812900
2015-07-29,3.090000,3.250000,3.080000,3.190000,3.190000,1032700
2015-07-30,3.180000,3.190000,2.960000,2.960000,2.960000,1370600
2015-07-31,3.060000,3.100000,2.980000,3.050000,3.050000,599800
2015-08-03,3.010000,3.070000,2.910000,2.930000,2.930000,698800
2015-08-04,2.960000,3.070000,2.960000,3.040000,3.040000,684200
2015-08-05,3.020000,3.100000,2.940000,2.940000,2.940000,734800
2015-08-06,3.000000,3.140000,2.940000,3.120000,3.120000,1051900
2015-08-07,3.130000,3.300000,3.110000,3.110000,3.110000,1558600
2015-08-10,3.130000,3.400000,3.120000,3.400000,3.400000,1762000
2015-08-11,3.420000,3.550000,3.190000,3.530000,3.530000,2048200
2015-08-12,3.630000,3.780000,3.580000,3.740000,3.740000,2013800
2015-08-13,3.630000,3.740000,3.470000,3.490000,3.490000,1258400
2015-08-14,3.590000,3.590000,3.390000,3.470000,3.470000,809200
2015-08-17,3.480000,3.720000,3.480000,3.680000,3.680000,1292200
2015-08-18,3.620000,3.650000,3.520000,3.610000,3.610000,625400
2015-08-19,3.640000,3.750000,3.600000,3.720000,3.720000,1009300
2015-08-20,3.810000,3.880000,3.600000,3.620000,3.620000,2718900
2015-08-21,3.680000,3.740000,3.530000,3.570000,3.570000,1628900
2015-08-24,3.490000,3.600000,3.290000,3.350000,3.350000,3035700
2015-08-25,3.420000,3.500000,3.210000,3.460000,3.460000,1884200
2015-08-26,3.200000,3.540000,3.200000,3.430000,3.430000,2647000
2015-08-27,3.480000,3.650000,3.400000,3.550000,3.550000,1982000
2015-08-28,3.580000,3.820000,3.580000,3.750000,3.750000,2110000
2015-08-31,3.720000,3.760000,3.560000,3.730000,3.730000,1032000
2015-09-01,3.740000,3.790000,3.570000,3.590000,3.590000,1141300
2015-09-02,3.580000,3.630000,3.460000,3.560000,3.560000,956900
2015-09-03,3.460000,3.710000,3.460000,3.530000,3.530000,960700
2015-09-04,3.500000,3.550000,3.450000,3.530000,3.530000,657300
2015-09-08,3.620000,3.620000,3.480000,3.510000,3.510000,781300
2015-09-09,3.480000,3.560000,3.390000,3.420000,3.420000,1020100
2015-09-10,3.470000,3.570000,3.430000,3.490000,3.490000,919400
2015-09-11,3.480000,3.690000,3.440000,3.680000,3.680000,1588000
2015-09-14,3.650000,3.680000,3.450000,3.460000,3.460000,2187000
2015-09-15,3.450000,3.560000,3.440000,3.460000,3.460000,1014400
2015-09-16,3.540000,3.690000,3.530000,3.690000,3.690000,2301000
2015-09-17,3.600000,3.700000,3.540000,3.670000,3.670000,1716000
2015-09-18,3.750000,3.790000,3.630000,3.740000,3.740000,1778900
2015-09-21,3.690000,3.840000,3.680000,3.750000,3.750000,756700
2015-09-22,3.650000,3.730000,3.490000,3.520000,3.520000,992700
2015-09-23,3.580000,3.660000,3.540000,3.600000,3.600000,622600
2015-09-24,3.700000,3.860000,3.670000,3.830000,3.830000,1747800
2015-09-25,3.780000,3.850000,3.720000,3.740000,3.740000,1570400
2015-09-28,3.620000,3.680000,3.480000,3.500000,3.500000,1310600
2015-09-29,3.540000,3.650000,3.490000,3.520000,3.520000,833100
2015-09-30,3.500000,3.630000,3.460000,3.610000,3.610000,1126400
2015-10-01,3.640000,3.720000,3.450000,3.460000,3.460000,1431100
2015-10-02,3.590000,3.720000,3.570000,3.720000,3.720000,1274100
2015-10-05,3.720000,3.830000,3.700000,3.710000,3.710000,1085900
2015-10-06,3.780000,3.860000,3.720000,3.730000,3.730000,2142600
2015-10-07,3.820000,3.820000,3.560000,3.770000,3.770000,1825900
2015-10-08,3.670000,3.800000,3.630000,3.690000,3.690000,1220000
2015-10-09,3.840000,3.860000,3.700000,3.800000,3.800000,1345500
2015-10-12,3.820000,3.830000,3.700000,3.750000,3.750000,833900
2015-10-13,3.700000,3.790000,3.700000,3.750000,3.750000,806700
2015-10-14,3.810000,4.030000,3.780000,3.930000,3.930000,2533600
2015-10-15,3.930000,4.050000,3.890000,4.030000,4.030000,1677500
2015-10-16,3.980000,4.040000,3.780000,3.800000,3.800000,1450700
2015-10-19,3.750000,3.820000,3.610000,3.670000,3.670000,1610600
