Date,Open,High,Low,Close,Adj Close,Volume
2015-04-23,7.770000,8.030000,7.730000,8.030000,6.735031,65300
2015-04-24,8.240000,8.260000,8.160000,8.210000,6.886003,48200
2015-04-27,8.300000,8.500000,8.300000,8.430000,7.070524,328800
2015-04-28,8.580000,8.690000,8.560000,8.680000,7.280209,206000
2015-04-29,8.680000,8.860000,8.680000,8.860000,7.431179,189600
2015-04-30,8.340000,8.620000,8.310000,8.500000,7.129235,509300
2015-05-01,8.890000,8.910000,8.760000,8.850000,7.422793,198800
2015-05-04,8.860000,8.940000,8.710000,8.790000,7.372469,188700
2015-05-05,8.930000,9.020000,8.820000,8.830000,7.406018,85900
2015-05-06,8.860000,8.900000,8.720000,8.740000,7.330531,98900
2015-05-07,8.460000,8.460000,8.270000,8.430000,7.070524,144100
2015-05-08,8.560000,8.630000,8.470000,8.630000,7.238271,58400
2015-05-11,8.660000,8.820000,8.660000,8.820000,7.397629,80900
2015-05-12,8.650000,8.910000,8.630000,8.890000,7.456342,80400
2015-05-13,8.840000,8.930000,8.810000,8.870000,7.439568,126900
2015-05-14,8.820000,8.850000,8.710000,8.760000,7.347306,117800
2015-05-15,8.490000,8.630000,8.410000,8.620000,7.229883,72300
2015-05-18,8.390000,8.490000,8.390000,8.450000,7.087299,141000
2015-05-19,8.230000,8.310000,8.170000,8.250000,6.919553,116400
2015-05-20,8.290000,8.360000,8.260000,8.340000,6.995038,94900
2015-05-21,8.300000,8.370000,8.260000,8.340000,6.995038,75700
2015-05-22,8.290000,8.290000,8.200000,8.260000,6.927939,24300
2015-05-26,8.040000,8.040000,7.910000,7.960000,6.676320,138900
2015-05-27,7.910000,8.020000,7.900000,8.010000,6.718256,567200
2015-05-28,7.800000,7.950000,7.780000,7.920000,6.642770,71400
2015-05-29,7.840000,7.900000,7.780000,7.820000,6.558897,54100
2015-06-01,7.750000,7.770000,7.570000,7.740000,6.491797,716900
2015-06-02,7.930000,8.100000,7.900000,8.050000,6.751805,77800
2015-06-03,7.960000,8.100000,7.960000,7.990000,6.701482,827900
2015-06-04,7.830000,7.840000,7.670000,7.720000,6.475023,94600
2015-06-05,7.650000,7.800000,7.620000,7.750000,6.500185,67200
2015-06-08,7.740000,7.780000,7.630000,7.660000,6.424699,117000
2015-06-09,7.600000,7.600000,7.540000,7.540000,6.324051,109000
2015-06-10,7.830000,7.860000,7.810000,7.850000,6.584059,55800
2015-06-11,7.740000,7.820000,7.710000,7.800000,6.542123,108500
2015-06-12,7.840000,7.870000,7.760000,7.790000,6.533735,82500
2015-06-15,7.730000,7.780000,7.680000,7.720000,6.475023,119500
2015-06-16,7.570000,7.600000,7.540000,7.600000,6.374375,72700
2015-06-17,7.640000,7.680000,7.520000,7.590000,6.365988,896900
2015-06-18,7.880000,7.900000,7.810000,7.850000,6.584059,2633200
2015-06-19,7.820000,7.880000,7.770000,7.770000,6.516960,56400
2015-06-22,7.780000,7.850000,7.760000,7.800000,6.542123,57100
2015-06-23,7.740000,7.880000,7.740000,7.840000,6.575672,566300
2015-06-24,7.860000,7.990000,7.830000,7.900000,6.625996,136300
2015-06-25,7.850000,7.860000,7.770000,7.800000,6.542123,97200
2015-06-26,7.620000,7.650000,7.510000,7.560000,6.340827,61500
2015-06-29,7.460000,7.500000,7.370000,7.370000,6.181467,129300
2015-06-30,7.350000,7.370000,7.170000,7.240000,6.072432,192900
2015-07-01,7.100000,7.100000,7.030000,7.050000,5.913072,89000
2015-07-02,7.180000,7.250000,7.100000,7.150000,5.996945,87600
2015-07-06,6.890000,6.920000,6.800000,6.810000,5.711776,386800
2015-07-07,6.620000,6.660000,6.390000,6.630000,5.560804,464000
2015-07-08,6.530000,6.570000,6.440000,6.490000,5.443381,106200
2015-07-09,6.620000,6.660000,6.520000,6.530000,5.476930,237100
2015-07-10,6.650000,6.750000,6.620000,6.680000,5.602740,269600
2015-07-13,6.740000,6.870000,6.690000,6.830000,5.728551,328100
2015-07-14,6.800000,6.810000,6.730000,6.760000,5.669839,178200
2015-07-15,6.810000,6.840000,6.750000,6.780000,5.686614,267800
2015-07-16,6.870000,6.960000,6.840000,6.900000,5.787261,191800
2015-07-17,6.840000,6.840000,6.770000,6.800000,5.703389,116700
2015-07-20,6.700000,6.760000,6.680000,6.680000,5.602740,129000
2015-07-21,6.630000,6.700000,6.600000,6.630000,5.560804,307400
2015-07-22,6.290000,6.400000,6.290000,6.340000,5.317571,144600
2015-07-23,6.320000,6.320000,6.190000,6.200000,5.200148,205800
2015-07-24,6.270000,6.270000,5.980000,6.000000,5.032401,162000
2015-07-27,5.950000,6.040000,5.910000,5.960000,4.998852,291500
2015-07-28,6.120000,6.210000,6.070000,6.200000,5.200148,236000
2015-07-29,6.200000,6.340000,6.180000,6.340000,5.317571,3798500
2015-07-30,6.260000,6.280000,6.190000,6.220000,5.216923,157200
2015-07-31,6.250000,6.320000,6.230000,6.260000,5.250472,392900
2015-08-03,6.030000,6.060000,5.990000,6.010000,5.040789,78000
2015-08-04,6.110000,6.150000,6.030000,6.070000,5.091113,190700
2015-08-05,6.120000,6.200000,5.990000,6.030000,5.194487,79500
2015-08-06,5.910000,6.050000,5.900000,6.050000,5.211715,142200
2015-08-07,6.080000,6.180000,6.060000,6.140000,5.289244,138200
2015-08-10,6.070000,6.320000,6.030000,6.300000,5.427075,215300
2015-08-11,6.130000,6.140000,5.990000,6.020000,5.185871,180700
2015-08-12,5.960000,6.070000,5.930000,6.060000,5.220329,99100
2015-08-13,5.930000,5.960000,5.910000,5.940000,5.116956,91500
2015-08-14,5.910000,5.980000,5.870000,5.920000,5.099728,46300
2015-08-17,5.890000,5.900000,5.850000,5.900000,5.082499,70300
2015-08-18,5.700000,5.800000,5.680000,5.770000,4.970511,125000
2015-08-19,5.600000,5.640000,5.510000,5.580000,4.806838,199600
2015-08-20,5.790000,5.810000,5.720000,5.760000,4.961897,130700
2015-08-21,5.710000,5.770000,5.630000,5.630000,4.849910,107700
2015-08-24,5.140000,5.340000,5.130000,5.200000,4.479490,281700
2015-08-25,5.380000,5.380000,5.180000,5.200000,4.479490,352300
2015-08-26,5.270000,5.280000,5.090000,5.230000,4.505334,444000
2015-08-27,5.350000,5.610000,5.350000,5.580000,4.806838,472100
2015-08-28,5.480000,5.690000,5.480000,5.660000,4.875753,207500
2015-08-31,5.660000,5.660000,5.520000,5.620000,4.841296,172600
2015-09-01,5.260000,5.340000,5.130000,5.140000,4.427804,302700
2015-09-02,5.390000,5.390000,5.180000,5.240000,4.513948,132200
2015-09-03,5.340000,5.590000,5.330000,5.480000,4.720694,233600
2015-09-04,5.100000,5.180000,5.030000,5.050000,4.350274,163900
2015-09-08,5.320000,5.440000,5.290000,5.430000,4.677621,108600
2015-09-09,5.770000,5.800000,5.550000,5.550000,4.780994,129700
2015-09-10,5.560000,5.590000,5.500000,5.550000,4.780994,137600
2015-09-11,5.580000,5.640000,5.500000,5.580000,4.806838,111800
2015-09-14,5.450000,5.540000,5.360000,5.520000,4.755151,167000
2015-09-15,5.500000,5.690000,5.500000,5.640000,4.858524,613400
2015-09-16,5.660000,5.800000,5.660000,5.790000,4.987741,150100
2015-09-17,5.720000,5.810000,5.680000,5.720000,4.927439,111000
2015-09-18,5.570000,5.620000,5.510000,5.540000,4.772380,73000
2015-09-21,5.410000,5.410000,5.320000,5.360000,4.617321,156100
2015-09-22,4.950000,5.020000,4.930000,5.000000,4.307202,203000
2015-09-23,5.090000,5.100000,4.970000,4.980000,4.289974,90800
2015-09-24,4.750000,4.830000,4.720000,4.830000,4.160758,287700
2015-09-25,4.710000,4.720000,4.630000,4.640000,3.997083,151400
2015-09-28,4.310000,4.320000,4.160000,4.200000,3.618050,424100
2015-09-29,4.170000,4.190000,4.060000,4.080000,3.514677,3167100
2015-09-30,4.120000,4.160000,4.080000,4.120000,3.549135,1597900
