Date,Open,High,Low,Close,Adj Close,Volume
2015-04-23,8.670000,8.670000,8.375000,8.500000,7.951551,7000
2015-04-24,8.450000,8.495000,8.450000,8.495000,7.946873,3000
2015-04-27,8.625000,8.655000,8.500000,8.655000,8.096549,30200
2015-04-28,8.510000,8.750000,8.500000,8.600000,8.045098,9600
2015-04-29,8.485000,8.715000,8.485000,8.550000,7.998322,19000
2015-04-30,8.645000,8.665000,8.520000,8.660000,8.101226,16800
2015-05-01,8.665000,8.695000,8.600000,8.650000,8.091870,17400
2015-05-04,8.655000,9.435000,8.600000,9.250000,8.653157,58000
2015-05-05,9.140000,9.500000,9.135000,9.150000,8.559608,68600
2015-05-06,9.155000,9.370000,9.065000,9.370000,8.765414,6200
2015-05-07,9.155000,9.295000,8.650000,8.650000,8.091870,5800
2015-05-08,8.670000,8.760000,8.670000,8.760000,8.194775,2000
2015-05-11,8.760000,8.760000,8.760000,8.760000,8.194775,0
2015-05-12,8.760000,8.760000,8.760000,8.760000,8.194775,0
2015-05-13,8.760000,8.760000,8.760000,8.760000,8.194775,0
2015-05-14,8.920000,8.920000,8.650000,8.650000,8.091870,1000
2015-05-15,8.745000,8.780000,8.695000,8.715000,8.152677,12400
2015-05-18,8.645000,8.745000,8.620000,8.705000,8.143322,29000
2015-05-19,8.715000,9.015000,8.650000,9.015000,8.433321,17400
2015-05-20,9.105000,9.430000,9.015000,9.150000,8.559608,77600
2015-05-21,9.165000,9.365000,8.870000,9.125000,8.536223,40800
2015-05-22,9.170000,9.170000,8.630000,8.885000,8.311708,39000
2015-05-26,8.815000,8.950000,8.750000,8.750000,8.185419,42600
2015-05-27,8.750000,8.870000,8.600000,8.635000,8.077841,53400
2015-05-28,8.635000,8.635000,8.635000,8.635000,8.077841,0
2015-05-29,8.500000,8.500000,8.500000,8.500000,7.951551,4200
2015-06-01,8.550000,8.645000,8.225000,8.305000,7.769132,2600
2015-06-02,8.305000,8.305000,8.305000,8.305000,7.769132,0
2015-06-03,8.455000,8.780000,8.455000,8.630000,8.073162,800
2015-06-04,8.630000,8.630000,8.630000,8.630000,8.073162,0
2015-06-05,8.650000,8.945000,8.225000,8.410000,7.867357,6200
2015-06-08,8.475000,8.475000,8.375000,8.375000,7.834617,1400
2015-06-09,8.500000,8.500000,8.500000,8.500000,7.951551,400
2015-06-10,8.500000,8.500000,8.500000,8.500000,7.951551,1800
2015-06-11,8.830000,8.830000,8.830000,8.830000,8.260257,400
2015-06-12,8.310000,8.515000,8.280000,8.450000,7.904776,3400
2015-06-15,8.275000,8.390000,8.225000,8.255000,7.722360,19800
2015-06-16,8.225000,8.335000,8.210000,8.210000,7.680262,4400
2015-06-17,8.210000,8.210000,8.210000,8.210000,7.680262,0
2015-06-18,8.215000,8.350000,8.205000,8.350000,7.811230,600
2015-06-19,8.340000,8.340000,8.140000,8.305000,7.769132,5000
2015-06-22,8.300000,8.300000,8.280000,8.290000,7.755100,1600
2015-06-23,8.110000,8.250000,8.110000,8.250000,7.717681,10600
2015-06-24,8.195000,8.270000,8.175000,8.245000,7.713004,23800
2015-06-25,8.080000,8.250000,8.080000,8.100000,7.577360,50600
2015-06-26,8.240000,8.240000,8.240000,8.240000,7.708325,2400
2015-06-29,8.100000,8.195000,8.025000,8.195000,7.666230,3400
2015-06-30,8.030000,8.200000,8.025000,8.050000,7.530586,10000
2015-07-01,8.040000,8.040000,8.005000,8.005000,7.488489,2200
2015-07-02,8.195000,8.195000,8.125000,8.125000,7.600746,2600
2015-07-06,8.100000,8.180000,8.035000,8.035000,7.516553,11400
2015-07-07,8.050000,8.090000,8.000000,8.010000,7.493167,7200
2015-07-08,8.070000,8.115000,8.000000,8.035000,7.516553,13400
2015-07-09,8.220000,8.730000,8.205000,8.730000,8.166710,58400
2015-07-10,8.700000,8.730000,8.700000,8.730000,8.166710,7600
2015-07-13,8.750000,8.820000,8.735000,8.770000,8.204129,10200
2015-07-14,9.225000,9.240000,8.900000,8.900000,8.325740,14800
2015-07-15,9.005000,9.235000,8.890000,8.910000,8.335096,15400
2015-07-16,8.910000,8.950000,8.910000,8.950000,8.372515,1800
2015-07-17,8.945000,8.945000,8.780000,8.855000,8.283643,24600
2015-07-20,8.800000,8.905000,8.780000,8.830000,8.260257,18000
2015-07-21,8.780000,8.875000,8.595000,8.680000,8.119935,43400
2015-07-22,8.750000,8.800000,8.500000,8.500000,7.951551,42200
2015-07-23,8.425000,8.425000,8.425000,8.425000,7.881389,200
2015-07-24,8.510000,8.700000,8.405000,8.525000,7.974936,23400
2015-07-27,8.500000,8.500000,8.405000,8.445000,7.900099,2200
