Date,Open,High,Low,Close,Adj Close,Volume
2015-04-23,9.160000,9.360000,9.080000,9.330000,8.844337,1093200
2015-04-24,9.240000,9.400000,9.110000,9.180000,8.702145,1468400
2015-04-27,9.200000,9.580000,9.200000,9.500000,9.005488,2137300
2015-04-28,9.560000,9.750000,9.460000,9.700000,9.195076,2074100
2015-04-29,9.700000,9.870000,9.620000,9.720000,9.214037,1926900
2015-04-30,9.510000,9.570000,9.350000,9.520000,9.024447,1522500
2015-05-01,9.430000,9.610000,9.380000,9.500000,9.005488,1067600
2015-05-04,9.680000,9.890000,9.640000,9.730000,9.223516,1226800
2015-05-05,9.850000,9.930000,9.470000,9.580000,9.081326,1284800
2015-05-06,9.640000,9.660000,9.250000,9.320000,8.834858,1354200
2015-05-07,9.250000,9.510000,9.130000,9.510000,9.014967,1943200
2015-05-08,9.540000,9.600000,9.350000,9.490000,8.996010,1198700
2015-05-11,9.490000,9.750000,9.490000,9.710000,9.204558,1633700
2015-05-12,9.790000,9.840000,9.560000,9.750000,9.242473,1756500
2015-05-13,9.970000,10.180000,9.900000,10.100000,9.574255,3119100
2015-05-14,10.220000,10.440000,10.100000,10.180000,9.650092,2001300
2015-05-15,10.120000,10.300000,10.040000,10.150000,9.621653,1520200
2015-05-18,10.260000,10.440000,10.250000,10.330000,9.792282,1322600
2015-05-19,10.100000,10.200000,9.950000,10.050000,9.526857,1810600
2015-05-20,10.050000,10.150000,10.000000,10.080000,9.603074,1073000
2015-05-21,10.070000,10.180000,10.000000,10.000000,9.526857,1270500
2015-05-22,9.970000,9.970000,9.670000,9.780000,9.317267,1690800
2015-05-26,9.550000,9.600000,9.140000,9.220000,8.783764,3107900
2015-05-27,9.220000,9.230000,9.080000,9.200000,8.764709,1257800
2015-05-28,9.120000,9.320000,9.100000,9.320000,8.879032,1452600
2015-05-29,9.300000,9.480000,9.240000,9.440000,8.993354,1852200
2015-06-01,9.560000,9.620000,9.320000,9.380000,8.936193,1452600
2015-06-02,9.420000,9.600000,9.370000,9.510000,9.060040,1259100
2015-06-03,9.410000,9.510000,9.310000,9.370000,8.926665,846200
2015-06-04,9.270000,9.350000,9.210000,9.330000,8.888559,1039300
2015-06-05,9.180000,9.310000,9.120000,9.210000,8.774237,1195400
2015-06-08,9.260000,9.260000,8.920000,9.210000,8.774237,1803600
2015-06-09,9.250000,9.330000,8.970000,8.990000,8.564647,1954700
2015-06-10,9.130000,9.210000,9.070000,9.170000,8.736130,1317200
2015-06-11,9.130000,9.150000,8.980000,9.060000,8.631335,1380800
2015-06-12,9.050000,9.070000,8.910000,8.970000,8.545592,1044400
2015-06-15,9.060000,9.570000,9.050000,9.450000,9.002882,4363900
2015-06-16,9.400000,9.430000,9.270000,9.320000,8.879032,2667200
2015-06-17,9.300000,9.520000,9.290000,9.480000,9.031463,2798500
2015-06-18,9.650000,10.040000,9.640000,9.930000,9.460173,3066200
2015-06-19,9.920000,9.990000,9.240000,9.380000,8.936193,22248800
2015-06-22,9.440000,9.550000,9.160000,9.190000,8.755183,2347000
2015-06-23,9.080000,9.210000,9.080000,9.210000,8.774237,1706500
2015-06-24,9.170000,9.330000,9.070000,9.160000,8.726604,1760200
2015-06-25,9.170000,9.190000,9.010000,9.090000,8.659915,1365100
2015-06-26,9.060000,9.100000,8.910000,8.940000,8.517010,2072500
2015-06-29,8.900000,9.020000,8.750000,8.790000,8.374109,1739500
2015-06-30,8.740000,8.790000,8.510000,8.590000,8.183571,2704100
2015-07-01,8.590000,8.590000,8.250000,8.310000,7.916822,2128700
2015-07-02,8.410000,8.510000,8.320000,8.490000,8.088302,1850800
2015-07-06,8.410000,8.590000,8.340000,8.530000,8.126408,2236400
2015-07-07,8.330000,8.340000,8.000000,8.100000,7.716755,3263200
2015-07-08,8.170000,8.390000,8.060000,8.080000,7.697701,2748900
2015-07-09,8.270000,8.290000,7.980000,8.010000,7.631013,1854500
2015-07-10,8.050000,8.080000,7.800000,7.910000,7.535744,1912900
