Date,Open,High,Low,Close,Adj Close,Volume
2016-07-20,2.200000,2.300000,2.200000,2.300000,2.300000,2700
2016-07-21,2.290000,2.350000,2.290000,2.350000,2.350000,4500
2016-07-22,2.350000,2.350000,2.100000,2.100000,2.100000,1100
2016-07-25,2.400000,2.400000,2.400000,2.400000,2.400000,200
2016-07-26,2.400000,2.400000,2.400000,2.400000,2.400000,0
2016-07-27,2.400000,2.400000,2.400000,2.400000,2.400000,0
2016-07-28,2.250000,2.400000,2.250000,2.400000,2.400000,1200
2016-07-29,2.400000,2.400000,2.400000,2.400000,2.400000,100
2016-08-01,2.400000,2.450000,2.400000,2.450000,2.450000,600
2016-08-02,2.410000,3.000000,1.000000,1.000000,1.000000,11100
2016-08-03,2.000000,3.200000,2.000000,3.100000,3.100000,5700
2016-08-04,3.100000,3.650000,3.000000,3.300000,3.300000,18500
2016-08-05,3.300000,3.300000,3.300000,3.300000,3.300000,0
2016-08-08,3.340000,3.340000,3.340000,3.340000,3.340000,700
2016-08-09,3.350000,3.350000,1.250000,3.000000,3.000000,9100
2016-08-10,3.000000,3.250000,3.000000,3.250000,3.250000,3700
2016-08-11,4.180000,4.440000,1.750000,4.400000,4.400000,3500
2016-08-12,4.350000,4.350000,4.010000,4.010000,4.010000,2900
2016-08-15,4.010000,5.100000,4.000000,5.100000,5.100000,2000
2016-08-16,5.100000,5.100000,5.100000,5.100000,5.100000,600
2016-08-17,5.100000,5.450000,4.950000,5.000000,5.000000,2400
2016-08-18,5.500000,7.000000,5.000000,7.000000,7.000000,1700
2016-08-19,6.000000,7.000000,6.000000,7.000000,7.000000,1400
2016-08-22,7.000000,7.000000,6.000000,6.000000,6.000000,1700
2016-08-23,5.500000,6.500000,5.500000,6.500000,6.500000,300
2016-08-24,6.500000,6.500000,6.500000,6.500000,6.500000,900
2016-08-25,6.400000,6.400000,6.400000,6.400000,6.400000,1000
2016-08-26,6.400000,6.400000,6.400000,6.400000,6.400000,0
2016-08-29,5.000000,6.980000,5.000000,6.980000,6.980000,1200
2016-08-30,6.150000,6.980000,6.150000,6.980000,6.980000,400
2016-08-31,6.100000,6.100000,6.100000,6.100000,6.100000,400
2016-09-01,6.500000,6.980000,6.500000,6.980000,6.980000,1200
2016-09-02,6.000000,6.950000,6.000000,6.950000,6.950000,500
2016-09-06,6.950000,6.950000,6.950000,6.950000,6.950000,100
2016-09-07,6.350000,6.350000,6.000000,6.000000,6.000000,500
2016-09-08,6.000000,6.200000,6.000000,6.200000,6.200000,200
2016-09-09,6.200000,6.200000,5.000000,5.000000,5.000000,1500
2016-09-12,6.190000,6.190000,4.800000,6.000000,6.000000,1100
2016-09-13,6.000000,6.000000,6.000000,6.000000,6.000000,0
2016-09-14,4.700000,5.000000,4.700000,5.000000,5.000000,5600
2016-09-15,5.000000,6.300000,4.700000,5.550000,5.550000,12200
2016-09-16,5.600000,6.250000,5.300000,5.300000,5.300000,900
2016-09-19,5.000000,5.250000,4.240000,4.250000,4.250000,2100
2016-09-20,4.250000,4.250000,4.250000,4.250000,4.250000,0
2016-09-21,4.250000,4.250000,4.250000,4.250000,4.250000,0
2016-09-22,5.250000,5.250000,5.250000,5.250000,5.250000,300
2016-09-23,5.250000,5.250000,5.250000,5.250000,5.250000,0
2016-09-26,4.250000,4.250000,4.250000,4.250000,4.250000,400
2016-09-27,4.250000,4.250000,4.250000,4.250000,4.250000,0
2016-09-28,3.750000,3.750000,3.260000,3.260000,3.260000,200
2016-09-29,3.750000,3.750000,3.000000,3.000000,3.000000,1300
2016-09-30,2.550000,3.350000,2.550000,3.350000,3.350000,2300
2016-10-03,3.350000,3.350000,3.350000,3.350000,3.350000,0
2016-10-04,3.350000,3.350000,3.350000,3.350000,3.350000,0
2016-10-05,3.340000,5.000000,3.340000,4.250000,4.250000,4600
2016-10-06,4.250000,4.580000,4.000000,4.580000,4.580000,1100
2016-10-07,4.580000,4.580000,4.580000,4.580000,4.580000,0
2016-10-10,3.250000,4.750000,3.240000,4.240000,4.240000,1500
2016-10-11,4.240000,4.240000,4.240000,4.240000,4.240000,0
2016-10-12,4.240000,6.960000,4.240000,6.925000,6.925000,29300
2016-10-13,7.000000,7.000000,2.500000,2.500000,2.500000,27800
2016-10-14,6.000000,6.950000,5.720000,6.050000,6.050000,13100
2016-10-17,5.880000,7.500000,5.800000,7.500000,7.500000,32300
2016-10-18,7.450000,8.250000,6.260000,7.900000,7.900000,27000
2016-10-19,7.500000,8.180000,7.000000,7.200000,7.200000,17700
2016-10-20,7.950000,7.950000,5.500000,6.950000,6.950000,5100
2016-10-21,6.940000,6.940000,6.500000,6.500000,6.500000,1000
2016-10-24,6.000000,7.300000,5.010000,6.350000,6.350000,6300
2016-10-25,7.360000,7.360000,6.210000,6.210000,6.210000,800
2016-10-26,6.210000,6.210000,6.210000,6.210000,6.210000,0
2016-10-27,5.010000,5.010000,5.010000,5.010000,5.010000,500
2016-10-28,6.800000,7.400000,6.100000,6.500000,6.500000,2500
2016-10-31,5.750000,7.690000,5.400000,7.690000,7.690000,2600
2016-11-01,7.460000,7.460000,4.010000,4.940000,4.940000,41200
2016-11-02,5.400000,6.000000,4.368000,5.160000,5.160000,18800
2016-11-03,5.000000,5.550000,5.000000,5.510000,5.510000,35600
2016-11-04,5.650000,5.740000,5.500000,5.710000,5.710000,6800
2016-11-07,5.600000,6.000000,5.550000,5.550000,5.550000,3200
2016-11-08,5.150000,5.150000,4.650000,5.000000,5.000000,800
2016-11-09,6.000000,6.000000,5.400000,5.950000,5.950000,3000
2016-11-10,5.880000,5.950000,5.650000,5.950000,5.950000,57300
2016-11-11,5.950000,5.950000,5.950000,5.950000,5.950000,0
2016-11-14,6.260000,7.500000,5.750000,6.420000,6.420000,18000
2016-11-15,6.100000,6.880000,5.890000,6.440000,6.440000,17000
2016-11-16,6.000000,6.970000,5.000000,5.000000,5.000000,4200
2016-11-17,5.940000,5.940000,5.940000,5.940000,5.940000,100
2016-11-18,5.090000,6.000000,5.000000,6.000000,6.000000,10300
2016-11-21,6.000000,6.000000,5.000000,5.600000,5.600000,25900
2016-11-22,6.200000,6.250000,5.400000,6.060000,6.060000,4100
2016-11-23,5.500000,6.750000,5.500000,6.690000,6.690000,11300
2016-11-25,6.690000,6.690000,6.690000,6.690000,6.690000,0
2016-11-28,6.690000,6.690000,6.690000,6.690000,6.690000,0
2016-11-29,6.690000,6.690000,6.690000,6.690000,6.690000,0
2016-11-30,5.800000,6.500000,4.800000,5.300000,5.300000,80600
2016-12-01,5.400000,5.590000,4.400000,4.720000,4.720000,11100
2016-12-02,5.280000,5.280000,5.280000,5.280000,5.280000,500
2016-12-05,5.300000,5.300000,4.400000,4.790000,4.790000,3500
2016-12-06,6.000000,6.000000,6.000000,6.000000,6.000000,100
2016-12-07,5.000000,5.010000,5.000000,5.010000,5.010000,700
2016-12-08,4.410000,5.000000,4.340000,4.630000,4.630000,19000
2016-12-09,4.300000,5.550000,4.200000,5.550000,5.550000,5000
2016-12-12,4.580000,4.990000,4.510000,4.990000,4.990000,1700
2016-12-13,4.990000,4.990000,4.990000,4.990000,4.990000,0
2016-12-14,4.990000,4.990000,4.990000,4.990000,4.990000,0
2016-12-15,4.990000,4.990000,4.990000,4.990000,4.990000,0
2016-12-16,4.490000,4.980000,4.490000,4.700000,4.700000,3500
2016-12-19,4.700000,4.700000,4.700000,4.700000,4.700000,200
2016-12-20,4.210000,4.690000,4.020000,4.510000,4.510000,7000
2016-12-21,4.120000,4.380000,4.100000,4.380000,4.380000,1800
2016-12-22,4.110000,4.490000,4.110000,4.250000,4.250000,1700
2016-12-23,6.000000,6.000000,4.200000,5.300000,5.300000,14300
2016-12-27,5.300000,6.470000,4.270000,4.270000,4.270000,14700
2016-12-28,4.310000,4.970000,4.270000,4.740000,4.740000,2200
2016-12-29,4.550000,4.550000,4.500000,4.500000,4.500000,300
2016-12-30,4.425000,4.590000,4.090000,4.590000,4.590000,4100
2017-01-03,4.150000,4.600000,4.140000,4.580000,4.580000,1100
2017-01-04,4.540000,4.540000,4.500000,4.540000,4.540000,300
2017-01-05,4.540000,4.540000,4.540000,4.540000,4.540000,0
2017-01-06,4.600000,4.600000,4.600000,4.600000,4.600000,200
2017-01-09,4.600000,4.600000,4.600000,4.600000,4.600000,0
2017-01-10,4.600000,4.770000,4.500000,4.770000,4.770000,1100
2017-01-11,4.550000,4.750000,4.400000,4.750000,4.750000,1000
2017-01-12,4.750000,4.750000,4.750000,4.750000,4.750000,100
2017-01-13,4.550000,5.800000,4.550000,5.800000,5.800000,2600
2017-01-17,5.200000,5.200000,5.200000,5.200000,5.200000,400
2017-01-18,5.000000,5.550000,5.000000,5.000000,5.000000,500
2017-01-19,5.200000,5.200000,5.200000,5.200000,5.200000,100
2017-01-20,5.200000,5.200000,5.200000,5.200000,5.200000,0
2017-01-23,4.700000,5.200000,4.650000,4.750000,4.750000,1000
2017-01-24,4.750000,4.750000,4.750000,4.750000,4.750000,0
2017-01-25,4.600000,4.600000,4.600000,4.600000,4.600000,400
2017-01-26,4.600000,4.600000,4.600000,4.600000,4.600000,0
2017-01-27,4.600000,4.600000,4.600000,4.600000,4.600000,0
2017-01-30,4.455000,4.455000,3.000000,3.710000,3.710000,14500
2017-01-31,3.710000,3.710000,3.710000,3.710000,3.710000,0
2017-02-01,3.730000,4.000000,3.600000,4.000000,4.000000,1400
2017-02-02,3.790000,3.790000,3.490000,3.490000,3.490000,1000
2017-02-03,3.490000,3.490000,3.490000,3.490000,3.490000,0
2017-02-06,3.100000,3.500000,3.000000,3.500000,3.500000,7500
2017-02-07,3.490000,3.800000,3.450000,3.600000,3.600000,6500
2017-02-08,3.600000,3.600000,3.600000,3.600000,3.600000,0
2017-02-09,3.790000,3.950000,3.790000,3.950000,3.950000,1300
2017-02-10,3.740000,3.740000,3.550000,3.550000,3.550000,800
2017-02-13,3.550000,3.920000,3.400000,3.400000,3.400000,1000
2017-02-14,3.460000,3.550000,3.300000,3.470000,3.470000,7900
2017-02-15,3.460000,3.500000,3.460000,3.480000,3.480000,1400
2017-02-16,3.310000,3.470000,3.310000,3.440000,3.440000,800
2017-02-17,3.440000,3.440000,3.440000,3.440000,3.440000,0
2017-02-21,3.600000,3.700000,3.100000,3.700000,3.700000,800
2017-02-22,3.700000,3.700000,3.700000,3.700000,3.700000,0
2017-02-23,3.700000,3.700000,3.700000,3.700000,3.700000,0
2017-02-24,3.110000,3.690000,3.000000,3.590000,3.590000,1500
2017-02-27,3.590000,3.590000,3.590000,3.590000,3.590000,0
2017-02-28,3.500000,3.500000,3.500000,3.500000,3.500000,400
2017-03-01,3.500000,3.500000,3.500000,3.500000,3.500000,0
2017-03-02,3.000000,3.590000,3.000000,3.590000,3.590000,2100
2017-03-03,3.590000,3.590000,3.590000,3.590000,3.590000,800
2017-03-06,3.580000,3.680000,3.350000,3.680000,3.680000,1800
2017-03-07,3.530000,3.530000,3.530000,3.530000,3.530000,500
2017-03-08,3.530000,3.530000,3.530000,3.530000,3.530000,0
2017-03-09,3.350000,3.500000,3.350000,3.500000,3.500000,200
2017-03-10,3.500000,3.960000,3.200000,3.200000,3.200000,800
2017-03-13,3.200000,3.200000,3.200000,3.200000,3.200000,0
2017-03-14,3.500000,4.000000,3.250000,3.700000,3.700000,900
2017-03-15,4.150000,4.150000,3.350000,3.990000,3.990000,1400
2017-03-16,3.510000,3.980000,3.510000,3.980000,3.980000,300
2017-03-17,3.970000,3.970000,3.970000,3.970000,3.970000,100
2017-03-20,3.450000,3.990000,3.360000,3.850000,3.850000,1000
2017-03-21,4.150000,4.150000,3.510000,3.990000,3.990000,900
2017-03-22,3.850000,4.400000,3.850000,4.400000,4.400000,1500
2017-03-23,4.400000,4.400000,4.400000,4.400000,4.400000,0
2017-03-24,4.390000,4.400000,3.960000,4.390000,4.390000,900
2017-03-27,4.390000,4.390000,4.390000,4.390000,4.390000,0
2017-03-28,4.390000,4.390000,4.390000,4.390000,4.390000,0
2017-03-29,4.340000,4.340000,4.340000,4.340000,4.340000,100
2017-03-30,4.340000,4.340000,4.340000,4.340000,4.340000,100
2017-03-31,4.340000,4.340000,4.340000,4.340000,4.340000,0
2017-04-03,3.950000,3.950000,3.900000,3.900000,3.900000,400
2017-04-04,3.900000,3.900000,3.900000,3.900000,3.900000,0
2017-04-05,3.900000,3.900000,3.900000,3.900000,3.900000,0
2017-04-06,3.900000,3.900000,3.900000,3.900000,3.900000,0
2017-04-07,3.900000,3.900000,3.900000,3.900000,3.900000,0
2017-04-10,3.650000,3.700000,3.650000,3.700000,3.700000,200
2017-04-11,3.550000,3.700000,3.550000,3.700000,3.700000,300
2017-04-12,3.700000,3.700000,3.700000,3.700000,3.700000,0
2017-04-13,3.700000,3.700000,3.700000,3.700000,3.700000,0
2017-04-17,3.700000,3.700000,3.700000,3.700000,3.700000,0
2017-04-18,3.700000,3.700000,3.700000,3.700000,3.700000,0
2017-04-19,3.700000,3.700000,3.700000,3.700000,3.700000,0
2017-04-20,3.700000,3.700000,3.700000,3.700000,3.700000,0
2017-04-21,3.700000,3.700000,3.700000,3.700000,3.700000,0
2017-04-24,3.700000,3.700000,3.700000,3.700000,3.700000,0
2017-04-25,3.700000,3.700000,3.700000,3.700000,3.700000,0
2017-04-26,3.550000,3.550000,3.070000,3.070000,3.070000,600
2017-04-27,3.200000,3.500000,3.000000,3.330000,3.330000,800
2017-04-28,3.000000,3.500000,3.000000,3.500000,3.500000,400
2017-05-01,3.500000,3.500000,3.500000,3.500000,3.500000,0
2017-05-02,3.000000,3.500000,3.000000,3.500000,3.500000,600
2017-05-03,3.000000,3.500000,3.000000,3.500000,3.500000,1200
2017-05-04,3.500000,3.500000,3.100000,3.490000,3.490000,700
2017-05-05,3.490000,3.490000,3.490000,3.490000,3.490000,0
2017-05-08,3.490000,3.490000,3.490000,3.490000,3.490000,0
2017-05-09,3.490000,3.490000,3.490000,3.490000,3.490000,0
2017-05-10,3.490000,3.490000,3.490000,3.490000,3.490000,0
2017-05-11,3.300000,3.300000,3.300000,3.300000,3.300000,100
2017-05-12,3.490000,3.490000,3.050000,3.490000,3.490000,900
2017-05-15,3.490000,3.490000,3.490000,3.490000,3.490000,200
2017-05-16,3.490000,3.490000,3.490000,3.490000,3.490000,0
2017-05-17,3.490000,3.490000,3.490000,3.490000,3.490000,0
2017-05-18,3.490000,3.490000,3.490000,3.490000,3.490000,0
2017-05-19,3.490000,3.490000,3.490000,3.490000,3.490000,0
2017-05-22,3.490000,3.490000,3.490000,3.490000,3.490000,0
