Date,Open,High,Low,Close,Adj Close,Volume
2015-04-23,15.420000,16.049999,15.420000,15.940000,13.350498,481300
2015-04-24,16.040001,16.940001,16.040001,16.879999,14.137790,626200
2015-04-27,17.000000,17.129999,16.670000,16.770000,14.045663,539900
2015-04-28,16.840000,17.340000,16.740000,17.209999,14.414181,382400
2015-04-29,17.080000,17.209999,16.750000,17.100000,14.322052,338500
2015-04-30,17.090000,17.680000,16.820000,17.420000,14.590067,509500
2015-05-01,17.530001,17.719999,16.980000,17.139999,14.355556,369000
2015-05-04,17.070000,17.520000,17.070000,17.160000,14.372303,219100
2015-05-05,17.110001,17.540001,17.110001,17.260000,14.456059,331400
2015-05-06,17.360001,17.580000,17.030001,17.090000,14.313675,387800
2015-05-07,16.950001,17.059999,16.530001,17.020000,14.413608,471100
2015-05-08,17.260000,17.290001,16.980000,17.070000,14.455948,353700
2015-05-11,17.139999,17.990000,17.139999,17.750000,15.031815,316400
2015-05-12,17.760000,17.760000,17.059999,17.290001,14.642262,324000
2015-05-13,17.350000,17.459999,17.090000,17.430000,14.760818,300900
2015-05-14,17.530001,17.820000,17.320000,17.480000,14.803162,324600
2015-05-15,17.500000,17.650000,17.260000,17.540001,14.853975,223700
2015-05-18,18.100000,19.240000,17.830000,19.200001,16.259766,721400
2015-05-19,19.139999,19.280001,18.490000,18.900000,16.005707,403800
2015-05-20,18.940001,19.260000,18.690001,19.190001,16.251297,243500
2015-05-21,19.150000,19.280001,18.530001,18.680000,15.819398,306200
2015-05-22,18.709999,19.020000,18.600000,18.959999,16.056519,363900
2015-05-26,19.299999,19.299999,18.299999,18.629999,15.777051,320700
2015-05-27,18.650000,18.799999,18.230000,18.450001,15.624622,193600
2015-05-28,18.400000,18.559999,17.830000,18.139999,15.362092,237600
2015-05-29,18.080000,18.120001,17.790001,17.910000,15.167315,227800
2015-06-01,17.940001,18.200001,17.500000,18.190001,15.404434,338000
2015-06-02,18.219999,18.750000,18.219999,18.670000,15.810929,240500
2015-06-03,18.650000,19.000000,18.590000,18.860001,15.971832,364300
2015-06-04,18.730000,18.900000,18.500000,18.780001,15.904086,182600
2015-06-05,18.650000,18.670000,18.299999,18.629999,15.777051,161200
2015-06-08,18.650000,18.650000,17.850000,18.180000,15.395970,298100
2015-06-09,18.200001,18.379999,17.950001,17.990000,15.235065,202200
2015-06-10,18.180000,18.660000,17.980000,18.309999,15.506059,205100
2015-06-11,18.270000,18.330000,17.959999,18.299999,15.497590,267500
2015-06-12,18.200001,18.570000,17.910000,18.510000,15.675433,235200
2015-06-15,18.290001,18.549999,17.889999,18.530001,15.692369,302500
2015-06-16,18.490000,18.940001,18.270000,18.889999,15.997239,239800
2015-06-17,19.000000,19.000000,18.139999,18.389999,15.573811,169000
2015-06-18,18.379999,18.750000,18.170000,18.590000,15.743179,190300
2015-06-19,18.469999,19.110001,18.340000,19.059999,16.141207,444600
2015-06-22,19.049999,19.049999,18.620001,18.780001,15.904086,306100
2015-06-23,18.719999,19.340000,18.590000,19.260000,16.310583,209800
2015-06-24,19.260000,19.270000,19.030001,19.230000,16.285175,172700
2015-06-25,19.230000,19.240000,18.700001,18.930000,16.031115,185100
2015-06-26,19.030001,19.860001,18.719999,19.830000,16.793291,705300
2015-06-29,19.559999,19.670000,18.230000,19.270000,16.319050,619500
2015-06-30,18.510000,18.930000,16.580000,17.469999,14.794693,1090500
