Date,Open,High,Low,Close,Adj Close,Volume
2015-04-23,2.190000,2.360000,2.170000,2.310000,1.995391,3615300
2015-04-24,2.390000,2.420000,2.320000,2.390000,2.064496,5241500
2015-04-27,2.440000,2.650000,2.430000,2.610000,2.254533,6479400
2015-04-28,2.800000,2.820000,2.610000,2.610000,2.254533,9598700
2015-04-29,2.580000,2.620000,2.500000,2.570000,2.219980,4794800
2015-04-30,2.540000,2.720000,2.490000,2.690000,2.323637,8812800
2015-05-01,2.710000,2.740000,2.640000,2.720000,2.349551,2175500
2015-05-04,2.680000,2.800000,2.670000,2.750000,2.375466,5859000
2015-05-05,2.790000,2.920000,2.770000,2.890000,2.496398,5128700
2015-05-06,2.970000,2.980000,2.870000,2.890000,2.496398,4043200
2015-05-07,2.800000,2.810000,2.690000,2.760000,2.384104,4011300
2015-05-08,2.790000,2.810000,2.630000,2.700000,2.332275,4622600
2015-05-11,2.730000,2.800000,2.710000,2.710000,2.340914,2770200
2015-05-12,2.700000,2.780000,2.670000,2.690000,2.323637,2121200
2015-05-13,2.700000,2.710000,2.560000,2.590000,2.237257,2125600
2015-05-14,2.550000,2.660000,2.520000,2.610000,2.254533,2231800
2015-05-15,2.580000,2.640000,2.550000,2.610000,2.254533,1828800
2015-05-18,2.560000,2.570000,2.440000,2.450000,2.116324,4100400
2015-05-19,2.400000,2.410000,2.300000,2.300000,1.986753,3176700
2015-05-20,2.360000,2.440000,2.310000,2.400000,2.073134,2815500
2015-05-21,2.410000,2.410000,2.340000,2.400000,2.073134,1702700
2015-05-22,2.390000,2.400000,2.260000,2.320000,2.004029,2000000
2015-05-26,2.290000,2.310000,2.190000,2.220000,1.917649,1789200
2015-05-27,2.190000,2.220000,2.130000,2.200000,1.900373,2744000
2015-05-28,2.130000,2.140000,2.010000,2.080000,1.796716,2950200
2015-05-29,2.010000,2.010000,1.900000,1.910000,1.649869,6235500
2015-06-01,1.910000,2.000000,1.900000,1.960000,1.693059,4009300
2015-06-02,2.000000,2.140000,2.000000,2.100000,1.813992,5486500
2015-06-03,2.080000,2.100000,2.030000,2.040000,1.762164,2829200
2015-06-04,2.040000,2.060000,1.980000,2.020000,1.744887,1293400
2015-06-05,1.980000,1.980000,1.900000,1.930000,1.667145,2556200
2015-06-08,1.920000,1.940000,1.900000,1.920000,1.658507,1489100
2015-06-09,1.930000,1.990000,1.910000,1.920000,1.658507,1365900
2015-06-10,2.000000,2.010000,1.910000,1.920000,1.658507,1441700
2015-06-11,1.900000,1.960000,1.900000,1.960000,1.693059,1486100
2015-06-12,1.920000,1.960000,1.900000,1.950000,1.684421,2519000
2015-06-15,1.920000,1.920000,1.880000,1.890000,1.632593,2071900
2015-06-16,1.880000,1.880000,1.820000,1.830000,1.580764,1755600
2015-06-17,1.810000,1.830000,1.750000,1.810000,1.563488,1526500
2015-06-18,1.830000,1.880000,1.790000,1.860000,1.606679,2395100
2015-06-19,1.810000,1.870000,1.780000,1.780000,1.537574,2531800
2015-06-22,1.850000,1.850000,1.790000,1.830000,1.580764,2458600
2015-06-23,1.810000,1.840000,1.790000,1.830000,1.580764,1110200
2015-06-24,1.800000,1.830000,1.750000,1.780000,1.537574,1348200
2015-06-25,1.770000,1.770000,1.700000,1.710000,1.477108,1895000
2015-06-26,1.720000,1.790000,1.710000,1.760000,1.520298,1196700
2015-06-29,1.720000,1.750000,1.690000,1.690000,1.459832,1585800
2015-06-30,1.690000,1.700000,1.650000,1.650000,1.425279,2339000
2015-07-01,1.650000,1.680000,1.610000,1.610000,1.390727,1510800
2015-07-02,1.600000,1.630000,1.570000,1.600000,1.382089,1525800
2015-07-06,1.490000,1.580000,1.480000,1.520000,1.312985,2016000
2015-07-07,1.510000,1.530000,1.440000,1.530000,1.321623,3358600
2015-07-08,1.480000,1.530000,1.390000,1.400000,1.209328,3908700
2015-07-09,1.520000,1.520000,1.430000,1.430000,1.235242,1280700
2015-07-10,1.500000,1.500000,1.400000,1.410000,1.217966,1675500
2015-07-13,1.440000,1.600000,1.370000,1.570000,1.356175,5243300
2015-07-14,1.500000,1.530000,1.490000,1.500000,1.295708,1722700
2015-07-15,1.520000,1.530000,1.440000,1.460000,1.261156,1627800
2015-07-16,1.480000,1.490000,1.380000,1.420000,1.226604,2831600
2015-07-17,1.440000,1.440000,1.360000,1.360000,1.174776,1059700
2015-07-20,1.350000,1.350000,1.320000,1.330000,1.148862,1087600
2015-07-21,1.310000,1.340000,1.280000,1.290000,1.114309,2386100
2015-07-22,1.260000,1.260000,1.180000,1.190000,1.027929,3258300
2015-07-23,1.190000,1.240000,1.170000,1.170000,1.010653,2694300
2015-07-24,1.170000,1.180000,1.130000,1.150000,0.993376,1837100
2015-07-27,1.120000,1.160000,1.100000,1.100000,0.950186,1368200
2015-07-28,1.100000,1.220000,1.100000,1.200000,1.036567,2911900
2015-07-29,1.210000,1.260000,1.200000,1.250000,1.079757,2238000
2015-07-30,1.250000,1.250000,1.170000,1.200000,1.036567,2700200
2015-07-31,1.200000,1.250000,1.180000,1.250000,1.079757,3323000
2015-08-03,1.230000,1.260000,1.210000,1.210000,1.045205,2387700
2015-08-04,1.210000,1.250000,1.200000,1.230000,1.062481,3093900
2015-08-05,1.270000,1.290000,1.210000,1.220000,1.053843,3595700
2015-08-06,1.200000,1.210000,1.150000,1.180000,1.019291,1717200
2015-08-07,1.140000,1.150000,1.100000,1.110000,0.958824,1864000
2015-08-10,1.110000,1.160000,1.090000,1.140000,0.984738,1328800
2015-08-11,1.100000,1.110000,1.050000,1.060000,0.915634,1850100
2015-08-12,1.050000,1.130000,1.050000,1.120000,0.967462,1874600
2015-08-13,1.090000,1.090000,1.000000,1.000000,0.863806,2685700
2015-08-14,1.000000,1.010000,0.960000,0.970000,0.837892,2204500
2015-08-17,0.960000,0.980000,0.950000,0.960000,0.829253,3269500
2015-08-18,0.960000,0.990000,0.910000,0.910000,0.786063,1558100
2015-08-19,0.900000,0.920000,0.850000,0.860000,0.742873,1585100
2015-08-20,0.850000,0.870000,0.850000,0.870000,0.751511,763400
2015-08-21,0.870000,0.870000,0.840000,0.850000,0.734235,1388700
2015-08-24,0.750000,0.830000,0.750000,0.770000,0.665130,1442000
2015-08-25,0.840000,0.840000,0.760000,0.770000,0.665130,835100
2015-08-26,0.760000,0.900000,0.730000,0.890000,0.768787,2162300
2015-08-27,0.900000,0.990000,0.890000,0.950000,0.820615,1147000
2015-08-28,0.930000,0.980000,0.910000,0.930000,0.803339,1013400
2015-08-31,0.890000,0.950000,0.850000,0.930000,0.803339,1395200
2015-09-01,0.900000,0.960000,0.900000,0.920000,0.794701,694300
2015-09-02,0.930000,1.000000,0.890000,0.990000,0.855168,977000
2015-09-03,0.950000,1.040000,0.900000,1.010000,0.872444,1230500
2015-09-04,1.000000,1.030000,0.980000,0.980000,0.846530,1305600
2015-09-08,1.060000,1.100000,0.900000,1.090000,0.941548,1821000
2015-09-09,1.130000,1.150000,1.060000,1.100000,0.950186,1405700
2015-09-10,1.050000,1.180000,1.040000,1.150000,0.993376,2443000
2015-09-11,1.200000,1.330000,1.180000,1.260000,1.088395,3150900
2015-09-14,1.300000,1.310000,1.180000,1.260000,1.088395,1906600
2015-09-15,1.160000,1.260000,1.160000,1.230000,1.062481,2862400
2015-09-16,1.230000,1.310000,1.230000,1.300000,1.122947,1800600
2015-09-17,1.300000,1.360000,1.280000,1.340000,1.157500,1201200
2015-09-18,1.370000,1.420000,1.340000,1.350000,1.166138,3164800
2015-09-21,1.390000,1.410000,1.370000,1.380000,1.192052,1178000
2015-09-22,1.280000,1.300000,1.200000,1.250000,1.079757,2209400
2015-09-23,1.160000,1.180000,0.950000,0.990000,0.855168,2182500
