Date,Open,High,Low,Close,Adj Close,Volume
2015-04-23,8.480000,8.640000,8.420000,8.640000,8.061779,6500
2015-04-24,8.650000,8.700000,8.600000,8.600000,8.024456,3400
2015-04-27,8.610000,8.690000,8.390000,8.390000,7.828510,5800
2015-04-28,8.390000,8.490000,8.290000,8.350000,7.791187,11100
2015-04-29,8.250000,8.380000,8.250000,8.260000,7.707210,7400
2015-04-30,8.150000,8.250000,7.980000,7.980000,7.445948,7400
2015-05-01,7.980000,7.980000,7.770000,7.780000,7.259333,3600
2015-05-04,7.890000,8.080000,7.890000,8.000000,7.464610,12000
2015-05-05,8.020000,8.750000,8.020000,8.750000,8.164416,11100
2015-05-06,8.560000,8.750000,8.370000,8.750000,8.164416,17800
2015-05-07,8.680000,8.680000,8.460000,8.540000,7.968471,13700
2015-05-08,8.570000,9.000000,8.500000,9.000000,8.397686,4300
2015-05-11,8.660000,8.750000,8.510000,8.700000,8.117763,24100
2015-05-12,8.630000,8.700000,8.560000,8.700000,8.117763,40600
2015-05-13,8.690000,8.800000,8.680000,8.780000,8.192409,6600
2015-05-14,8.890000,8.970000,8.880000,8.930000,8.332371,7400
2015-05-15,8.870000,9.070000,8.870000,9.000000,8.397686,7400
2015-05-18,9.050000,9.050000,8.940000,8.990000,8.388355,1800
2015-05-19,8.860000,8.980000,8.860000,8.890000,8.295048,42600
2015-05-20,8.790000,8.890000,8.790000,8.870000,8.276386,5000
2015-05-21,8.860000,8.940000,8.840000,8.860000,8.267055,2000
2015-05-22,8.700000,8.900000,8.670000,8.900000,8.304378,1900
2015-05-26,8.890000,8.900000,8.800000,8.800000,8.211071,10800
2015-05-27,8.880000,8.960000,8.770000,8.900000,8.304378,7700
2015-05-28,8.700000,8.870000,8.700000,8.840000,8.248394,2300
2015-05-29,8.860000,9.020000,8.700000,9.020000,8.416348,3100
2015-06-01,8.910000,8.910000,8.590000,8.650000,8.071109,7300
2015-06-02,8.510000,9.140000,8.510000,8.950000,8.351032,8900
2015-06-03,8.960000,9.000000,8.760000,8.910000,8.313709,5100
2015-06-04,8.880000,8.880000,8.680000,8.730000,8.145755,2300
2015-06-05,8.720000,8.780000,8.680000,8.750000,8.164416,3800
2015-06-08,8.750000,8.900000,8.750000,8.820000,8.229732,3000
2015-06-09,8.890000,9.120000,8.890000,9.060000,8.453671,16000
2015-06-10,9.110000,9.360000,9.090000,9.270000,8.649617,44100
2015-06-11,9.290000,9.690000,9.280000,9.570000,8.929539,84200
2015-06-12,9.570000,9.570000,9.380000,9.400000,8.770916,5500
2015-06-15,9.390000,9.390000,9.300000,9.330000,8.705601,3900
2015-06-16,9.400000,9.410000,9.300000,9.300000,8.677608,5200
2015-06-17,9.210000,9.390000,9.150000,9.280000,8.658947,5800
2015-06-18,9.240000,9.360000,9.230000,9.290000,8.668278,8200
2015-06-19,9.200000,9.360000,9.150000,9.240000,8.621624,9700
2015-06-22,9.290000,9.380000,9.180000,9.210000,8.593632,12900
2015-06-23,9.160000,9.160000,8.900000,9.090000,8.481663,2600
2015-06-24,9.110000,9.170000,8.970000,8.970000,8.369694,8100
2015-06-25,9.080000,9.110000,8.940000,9.010000,8.407017,4600
2015-06-26,9.000000,9.020000,8.980000,8.990000,8.388355,6500
2015-06-29,8.860000,8.960000,8.850000,8.860000,8.267055,10400
2015-06-30,8.790000,8.850000,8.720000,8.720000,8.136425,3700
2015-07-01,8.760000,8.770000,8.760000,8.760000,8.173748,400
2015-07-02,8.700000,8.890000,8.700000,8.850000,8.257725,7100
2015-07-06,8.710000,8.800000,8.650000,8.750000,8.164416,14800
2015-07-07,8.730000,8.800000,8.570000,8.620000,8.043117,9000
2015-07-08,8.630000,8.720000,8.570000,8.620000,8.043117,4000
2015-07-09,8.700000,8.780000,8.700000,8.750000,8.164416,16500
2015-07-10,8.760000,9.110000,8.720000,9.070000,8.463001,8000
2015-07-13,9.080000,9.120000,9.030000,9.040000,8.435009,4300
2015-07-14,9.080000,9.140000,9.000000,9.000000,8.397686,2600
2015-07-15,8.940000,9.030000,8.630000,8.700000,8.117763,4100
2015-07-16,8.900000,8.950000,8.870000,8.880000,8.285717,3700
2015-07-17,8.890000,8.910000,8.700000,8.700000,8.117763,1900
2015-07-20,8.700000,8.830000,8.590000,8.590000,8.015124,37400
2015-07-21,8.780000,8.800000,8.650000,8.670000,8.089770,2900
2015-07-22,8.770000,8.770000,8.630000,8.630000,8.052447,1000
2015-07-23,8.580000,8.710000,8.430000,8.590000,8.015124,4700
2015-07-24,8.490000,8.670000,8.310000,8.440000,7.875163,7000
2015-07-27,8.450000,8.670000,8.270000,8.420000,7.856502,26200
2015-07-28,8.320000,8.550000,8.220000,8.300000,7.744533,4700
2015-07-29,8.280000,8.650000,8.000000,8.410000,7.847171,11500
2015-07-30,8.400000,8.480000,8.350000,8.470000,7.903156,5400
2015-07-31,8.540000,8.830000,8.530000,8.530000,7.959140,4900
2015-08-03,8.440000,8.590000,8.060000,8.360000,7.800517,40500
2015-08-04,8.560000,8.800000,8.410000,8.610000,8.033786,7300
2015-08-05,8.740000,8.810000,8.700000,8.770000,8.183079,32300
2015-08-06,8.590000,8.820000,8.590000,8.780000,8.192409,40900
2015-08-07,8.760000,8.900000,8.760000,8.860000,8.267055,12700
2015-08-10,8.880000,9.020000,8.800000,9.020000,8.416348,11300
2015-08-11,8.840000,8.840000,8.700000,8.820000,8.229732,3300
2015-08-12,8.770000,8.860000,8.650000,8.860000,8.267055,2600
2015-08-13,8.890000,9.050000,8.600000,8.850000,8.257725,6100
2015-08-14,8.860000,8.860000,8.740000,8.850000,8.257725,15000
2015-08-17,8.820000,8.820000,8.650000,8.650000,8.071109,1900
2015-08-18,8.660000,8.750000,8.570000,8.580000,8.005794,2600
2015-08-19,8.590000,8.590000,8.250000,8.310000,7.753864,2600
2015-08-20,8.280000,8.430000,8.260000,8.370000,7.809848,2800
2015-08-21,8.290000,8.320000,8.040000,8.100000,7.557918,17100
2015-08-24,7.690000,7.850000,7.690000,7.850000,7.324648,28800
2015-08-25,8.120000,8.170000,7.670000,7.690000,7.175356,8400
2015-08-26,7.990000,8.000000,7.680000,8.000000,7.464610,20700
2015-08-27,8.100000,8.250000,8.070000,8.180000,7.632564,9300
2015-08-28,8.190000,8.330000,8.190000,8.200000,7.651225,3500
2015-08-31,8.230000,8.300000,8.030000,8.230000,7.679217,13800
2015-09-01,7.980000,7.980000,7.650000,7.760000,7.240672,8400
2015-09-02,8.010000,8.010000,7.650000,7.730000,7.212679,5200
2015-09-03,7.630000,7.740000,7.550000,7.550000,7.044725,3600
2015-09-04,7.590000,7.620000,7.490000,7.500000,6.998072,5300
2015-09-08,7.550000,7.710000,7.530000,7.560000,7.054056,2900
2015-09-09,7.590000,7.690000,7.590000,7.650000,7.138033,3300
2015-09-10,7.890000,8.050000,7.830000,7.830000,7.305986,5400
2015-09-11,7.940000,8.020000,7.820000,8.000000,7.464610,3100
2015-09-14,8.020000,8.020000,7.930000,7.970000,7.436617,800
2015-09-15,7.960000,7.960000,7.760000,7.810000,7.287325,2200
2015-09-16,7.880000,8.030000,7.860000,8.000000,7.464610,4900
2015-09-17,7.910000,8.020000,7.870000,7.870000,7.343309,1800
2015-09-18,7.950000,8.030000,7.910000,7.940000,7.408625,6900
2015-09-21,7.860000,7.860000,7.690000,7.760000,7.240672,2000
2015-09-22,7.710000,7.720000,7.610000,7.610000,7.100710,3400
2015-09-23,7.600000,7.600000,7.340000,7.370000,6.876771,7300
2015-09-24,7.260000,7.400000,7.260000,7.380000,6.886103,900
2015-09-25,7.350000,7.690000,7.350000,7.690000,7.175356,2400
2015-09-28,7.520000,7.520000,7.340000,7.340000,6.848780,3300
2015-09-29,7.360000,7.420000,7.360000,7.420000,6.923426,1500
2015-09-30,7.430000,7.450000,7.380000,7.380000,6.886103,2300
2015-10-01,7.470000,7.470000,7.340000,7.340000,6.848780,1100
2015-10-02,7.530000,7.830000,7.440000,7.790000,7.268663,4900
2015-10-05,7.840000,7.840000,7.800000,7.800000,7.277995,800
2015-10-06,7.810000,7.940000,7.810000,7.850000,7.324648,3300
2015-10-07,8.020000,8.040000,7.850000,7.850000,7.324648,3400
2015-10-08,7.940000,8.350000,7.940000,8.310000,7.753864,2400
2015-10-09,8.400000,8.660000,8.340000,8.660000,8.080440,3100
2015-10-12,8.510000,8.730000,8.480000,8.480000,7.912486,5700
2015-10-13,8.540000,8.580000,8.350000,8.350000,7.791187,600
2015-10-14,8.460000,8.520000,8.350000,8.510000,7.940479,1100
2015-10-15,8.540000,8.650000,8.540000,8.600000,8.024456,3200
2015-10-16,8.560000,8.650000,8.530000,8.650000,8.071109,1900
2015-10-19,8.620000,8.630000,8.530000,8.610000,8.033786,800
2015-10-20,8.890000,8.890000,8.380000,8.450000,7.884494,4300
2015-10-21,8.330000,8.450000,8.330000,8.450000,7.884494,600
2015-10-22,8.390000,8.590000,8.390000,8.530000,7.959140,600
2015-10-23,8.400000,8.420000,8.350000,8.360000,7.800517,3400
2015-10-26,8.380000,8.390000,8.350000,8.350000,7.791187,4600
2015-10-27,8.340000,8.430000,8.230000,8.380000,7.819179,7000
2015-10-28,8.330000,8.390000,8.120000,8.120000,7.576579,1600
2015-10-29,8.000000,8.000000,8.000000,8.000000,7.464610,200
2015-10-30,8.100000,8.300000,7.870000,8.200000,7.651225,10000
2015-11-02,8.310000,8.310000,8.310000,8.310000,7.753864,100
2015-11-03,7.970000,7.970000,7.860000,7.870000,7.343309,3200
2015-11-04,7.770000,7.770000,7.580000,7.580000,7.072718,1700
2015-11-05,7.610000,7.650000,7.540000,7.610000,7.100710,1600
2015-11-06,7.690000,7.690000,7.450000,7.560000,7.054056,2800
2015-11-09,7.530000,7.560000,7.280000,7.280000,6.792795,2400
2015-11-10,7.340000,7.360000,7.080000,7.240000,6.755472,18900
2015-11-11,7.280000,7.320000,7.180000,7.200000,6.718149,5800
2015-11-12,7.230000,7.230000,7.080000,7.150000,6.671495,2800
2015-11-13,7.100000,7.110000,6.850000,6.850000,6.391572,5200
2015-11-16,6.970000,7.030000,6.880000,6.880000,6.419564,600
2015-11-17,7.020000,7.120000,6.780000,6.820000,6.363580,4400
2015-11-18,6.960000,6.980000,6.790000,6.810000,6.354249,4400
2015-11-19,6.970000,6.970000,6.920000,6.940000,6.475549,2200
2015-11-20,7.060000,7.060000,6.910000,6.950000,6.484879,17100
2015-11-23,6.890000,6.920000,6.810000,6.810000,6.354249,10100
2015-11-24,6.880000,6.910000,6.810000,6.860000,6.400903,22000
2015-11-25,6.940000,7.080000,6.940000,7.060000,6.587518,1200
2015-11-27,7.110000,7.110000,7.030000,7.030000,6.559526,500
2015-11-30,7.000000,7.110000,6.930000,7.110000,6.634172,5900
2015-12-01,7.190000,7.320000,7.060000,7.320000,6.830118,4000
2015-12-02,7.130000,7.200000,6.990000,7.070000,6.596849,9400
2015-12-03,6.870000,6.950000,6.710000,6.940000,6.475549,10000
2015-12-04,7.050000,7.170000,6.930000,7.000000,6.531533,10300
2015-12-07,7.070000,7.070000,6.720000,6.820000,6.363580,9600
2015-12-08,6.710000,6.730000,6.650000,6.650000,6.204957,2300
2015-12-09,6.650000,6.720000,6.560000,6.650000,6.204957,4800
2015-12-10,6.720000,6.830000,6.610000,6.610000,6.167634,1900
2015-12-11,6.500000,6.560000,6.440000,6.450000,6.018342,8300
2015-12-14,6.420000,6.600000,6.150000,6.150000,5.738419,19300
2015-12-15,6.300000,6.500000,6.300000,6.500000,6.064995,5400
2015-12-16,6.500000,6.530000,6.480000,6.520000,6.083657,1400
2015-12-17,6.520000,6.540000,6.400000,6.400000,5.971688,5200
2015-12-18,6.490000,6.500000,6.200000,6.370000,5.943695,12200
2015-12-21,6.490000,6.510000,6.340000,6.390000,5.962357,5900
2015-12-22,6.290000,6.410000,6.290000,6.380000,5.953026,2400
2015-12-23,6.640000,6.680000,6.480000,6.480000,6.046334,6000
2015-12-24,6.510000,6.560000,6.500000,6.560000,6.120980,800
2015-12-28,6.540000,6.630000,6.540000,6.600000,6.158303,1200
