Date,Open,High,Low,Close,Adj Close,Volume
2015-04-23,4.010000,4.050000,4.010000,4.040000,3.768668,25600
2015-04-24,4.040000,4.050000,4.040000,4.050000,3.777996,10800
2015-04-27,4.100000,4.100000,4.100000,4.100000,3.824638,10000
2015-04-28,4.160000,4.160000,4.160000,4.160000,3.880608,1000
2015-04-29,4.220000,4.220000,4.220000,4.220000,3.936579,1700
2015-04-30,4.220000,4.220000,4.220000,4.220000,3.936579,0
2015-05-01,3.990000,3.990000,3.980000,3.980000,3.712698,1300
2015-05-04,3.870000,3.870000,3.870000,3.870000,3.610085,500
2015-05-05,3.870000,3.870000,3.870000,3.870000,3.610085,0
2015-05-06,3.870000,3.870000,3.870000,3.870000,3.610085,3300
2015-05-07,3.870000,3.870000,3.870000,3.870000,3.610085,0
2015-05-08,3.930000,3.930000,3.930000,3.930000,3.666055,500
2015-05-11,3.940000,3.940000,3.890000,3.890000,3.628742,3800
2015-05-12,3.890000,3.890000,3.890000,3.890000,3.628742,0
2015-05-13,3.890000,3.890000,3.890000,3.890000,3.628742,0
2015-05-14,3.890000,3.890000,3.890000,3.890000,3.628742,1000
2015-05-15,3.940000,3.940000,3.940000,3.940000,3.675384,200
2015-05-18,3.940000,3.940000,3.940000,3.940000,3.675384,0
2015-05-19,3.950000,3.950000,3.950000,3.950000,3.684712,300
2015-05-20,4.040000,4.040000,4.040000,4.040000,3.768668,3000
2015-05-21,4.010000,4.010000,4.010000,4.010000,3.740683,600
2015-05-22,4.010000,4.010000,4.010000,4.010000,3.740683,0
2015-05-26,3.820000,3.820000,3.810000,3.810000,3.554115,600
2015-05-27,3.850000,3.850000,3.850000,3.850000,3.591429,200
2015-05-28,3.910000,3.940000,3.910000,3.940000,3.675384,1600
2015-05-29,3.950000,4.060000,3.950000,4.060000,3.787324,600
2015-06-01,4.060000,4.060000,4.060000,4.060000,3.787324,0
2015-06-02,3.720000,3.720000,3.720000,3.720000,3.470160,400
2015-06-03,3.640000,3.640000,3.640000,3.640000,3.395533,1000
2015-06-04,3.660000,3.770000,3.620000,3.770000,3.516801,1000
2015-06-05,3.770000,3.770000,3.770000,3.770000,3.516801,0
2015-06-08,3.540000,3.540000,3.540000,3.540000,3.302248,5000
2015-06-09,3.650000,3.670000,3.650000,3.670000,3.423517,5300
2015-06-10,3.700000,3.700000,3.680000,3.680000,3.432846,200
2015-06-11,3.760000,3.760000,3.740000,3.760000,3.507473,7300
2015-06-12,3.760000,3.760000,3.760000,3.760000,3.507473,0
2015-06-15,3.620000,3.620000,3.620000,3.620000,3.376875,200
2015-06-16,3.600000,3.600000,3.600000,3.600000,3.358219,300
2015-06-17,3.600000,3.600000,3.600000,3.600000,3.358219,0
2015-06-18,3.560000,3.560000,3.560000,3.560000,3.320905,100
2015-06-19,3.530000,3.530000,3.480000,3.480000,3.246278,600
2015-06-22,3.650000,3.650000,3.610000,3.610000,3.367547,300
2015-06-23,3.480000,3.480000,3.480000,3.480000,3.246278,2500
2015-06-24,3.520000,3.520000,3.520000,3.520000,3.283592,200
2015-06-25,3.520000,3.540000,3.500000,3.500000,3.264935,1700
2015-06-26,3.520000,3.520000,3.470000,3.470000,3.236950,200
2015-06-29,3.470000,3.470000,3.470000,3.470000,3.236950,1100
2015-06-30,3.470000,3.470000,3.470000,3.470000,3.236950,0
2015-07-01,3.530000,3.530000,3.530000,3.530000,3.292920,100
2015-07-02,3.450000,3.450000,3.450000,3.450000,3.218293,100
2015-07-06,3.400000,3.510000,3.400000,3.510000,3.274263,2200
2015-07-07,3.360000,3.360000,3.330000,3.330000,3.106352,1600
2015-07-08,3.330000,3.330000,3.220000,3.220000,3.003740,1200
2015-07-09,3.220000,3.220000,3.220000,3.220000,3.003740,0
2015-07-10,3.220000,3.220000,3.220000,3.220000,3.003740,0
2015-07-13,3.490000,3.490000,3.490000,3.490000,3.255606,1300
2015-07-14,3.400000,3.400000,3.390000,3.390000,3.162323,6000
2015-07-15,3.510000,3.510000,3.360000,3.360000,3.134337,1800
2015-07-16,3.520000,3.520000,3.380000,3.380000,3.152994,1600
2015-07-17,3.380000,3.380000,3.380000,3.380000,3.152994,100
2015-07-20,3.380000,3.380000,3.380000,3.380000,3.152994,0
2015-07-21,3.370000,3.370000,3.370000,3.370000,3.143666,700
2015-07-22,3.370000,3.370000,3.370000,3.370000,3.143666,0
2015-07-23,3.480000,3.480000,3.330000,3.330000,3.106352,600
2015-07-24,3.230000,3.230000,3.230000,3.230000,3.013068,100
2015-07-27,3.230000,3.230000,3.230000,3.230000,3.013068,0
2015-07-28,3.230000,3.230000,3.230000,3.230000,3.013068,0
2015-07-29,3.360000,3.360000,3.270000,3.270000,3.050382,200
2015-07-30,3.200000,3.200000,3.140000,3.140000,2.929113,2100
2015-07-31,3.120000,3.120000,3.120000,3.120000,2.910456,400
2015-08-03,3.170000,3.170000,3.170000,3.170000,2.957098,1300
2015-08-04,3.380000,3.380000,3.270000,3.270000,3.050382,4500
2015-08-05,3.310000,3.420000,3.310000,3.350000,3.125009,35100
2015-08-06,3.350000,3.350000,3.350000,3.350000,3.125009,0
2015-08-07,3.250000,3.250000,3.250000,3.250000,3.031725,3000
2015-08-10,3.250000,3.250000,3.250000,3.250000,3.031725,0
2015-08-11,3.160000,3.160000,3.150000,3.150000,2.938442,30000
2015-08-12,3.240000,3.240000,3.240000,3.240000,3.022397,400
2015-08-13,3.240000,3.240000,3.240000,3.240000,3.022397,0
2015-08-14,3.200000,3.200000,3.140000,3.140000,2.929113,3300
2015-08-17,3.140000,3.140000,3.140000,3.140000,2.929113,0
2015-08-18,3.120000,3.120000,3.120000,3.120000,2.910456,1200
2015-08-19,3.120000,3.150000,3.120000,3.150000,2.938442,200
2015-08-20,3.150000,3.150000,3.150000,3.150000,2.938442,0
2015-08-21,3.150000,3.150000,3.150000,3.150000,2.938442,0
2015-08-24,2.960000,2.960000,2.920000,2.920000,2.723889,2000
2015-08-25,2.970000,2.970000,2.920000,2.920000,2.723889,3800
2015-08-26,2.920000,2.920000,2.920000,2.920000,2.723889,0
2015-08-27,3.060000,3.060000,3.060000,3.060000,2.854486,400
2015-08-28,3.170000,3.170000,3.110000,3.110000,2.901128,600
2015-08-31,3.230000,3.230000,3.230000,3.230000,3.013068,100
2015-09-01,3.230000,3.230000,3.230000,3.230000,3.013068,0
2015-09-02,3.230000,3.230000,3.230000,3.230000,3.013068,0
2015-09-03,3.120000,3.120000,3.120000,3.120000,2.910456,3000
2015-09-04,2.940000,2.940000,2.890000,2.890000,2.695904,1000
2015-09-08,3.220000,3.220000,3.070000,3.120000,2.910456,6400
2015-09-09,2.970000,3.000000,2.970000,2.970000,2.770531,3500
2015-09-10,3.080000,3.080000,3.080000,3.080000,2.873143,900
2015-09-11,3.050000,3.190000,3.050000,3.190000,2.975755,900
2015-09-14,3.190000,3.190000,3.190000,3.190000,2.975755,0
2015-09-15,3.110000,3.110000,3.110000,3.110000,2.901128,500
2015-09-16,3.110000,3.110000,3.110000,3.110000,2.901128,0
2015-09-17,3.080000,3.080000,3.080000,3.080000,2.873143,100
2015-09-18,3.080000,3.080000,3.080000,3.080000,2.873143,0
2015-09-21,2.980000,2.980000,2.980000,2.980000,2.779859,100
2015-09-22,2.980000,2.980000,2.980000,2.980000,2.779859,0
2015-09-23,2.810000,2.810000,2.780000,2.780000,2.593291,300
2015-09-24,2.750000,2.750000,2.670000,2.690000,2.509336,1300
2015-09-25,2.860000,2.860000,2.860000,2.860000,2.667918,7900
2015-09-28,2.820000,2.820000,2.810000,2.810000,2.621276,300
2015-09-29,2.810000,2.810000,2.810000,2.810000,2.621276,0
2015-09-30,2.980000,2.980000,2.980000,2.980000,2.779859,800
2015-10-01,3.090000,3.110000,3.090000,3.110000,2.901128,1300
2015-10-02,3.220000,3.280000,3.220000,3.280000,3.059711,400
2015-10-05,3.280000,3.280000,3.280000,3.280000,3.059711,0
2015-10-06,3.280000,3.280000,3.280000,3.280000,3.059711,54000
2015-10-07,3.710000,3.710000,3.710000,3.710000,3.460831,500
2015-10-08,3.650000,3.650000,3.650000,3.650000,3.404861,700
