Date,Open,High,Low,Close,Adj Close,Volume
2015-04-23,15.350000,17.610001,15.350000,17.520000,16.194405,1673900
2015-04-24,17.570000,17.639999,17.170000,17.430000,16.111210,758500
2015-04-27,17.490000,17.830000,17.280001,17.340000,16.028019,503300
2015-04-28,17.410000,17.719999,17.280001,17.650000,16.314568,556100
2015-04-29,17.559999,17.959999,17.469999,17.580000,16.249863,485600
2015-04-30,17.620001,17.750000,17.400000,17.530001,16.203646,671200
2015-05-01,17.559999,17.750000,17.350000,17.440001,16.189720,458700
2015-05-04,17.410000,17.730000,17.400000,17.510000,16.254704,383400
2015-05-05,17.469999,17.740000,17.270000,17.280001,16.041193,379100
2015-05-06,17.320000,17.360001,16.620001,16.629999,15.437788,400000
2015-05-07,16.570000,16.850000,16.370001,16.730000,15.530622,805900
2015-05-08,16.930000,17.110001,16.700001,16.840000,15.632734,409100
2015-05-11,16.850000,16.990000,16.750000,16.850000,15.642018,296300
2015-05-12,16.840000,16.959999,16.480000,16.600000,15.409940,646700
2015-05-13,16.620001,16.770000,16.480000,16.520000,15.335676,639500
2015-05-14,16.549999,16.969999,16.549999,16.969999,15.753415,666500
2015-05-15,16.969999,16.969999,16.650000,16.860001,15.651300,287500
2015-05-18,16.870001,16.930000,16.639999,16.719999,15.521338,401900
2015-05-19,16.660000,16.730000,16.209999,16.330000,15.159296,360000
2015-05-20,16.400000,16.459999,16.139999,16.299999,15.131447,217800
2015-05-21,16.270000,16.410000,15.980000,16.010000,14.862238,272400
2015-05-22,16.000000,16.040001,15.540000,15.640000,14.518764,316400
2015-05-26,15.630000,15.640000,15.020000,15.200000,14.110307,521200
2015-05-27,15.140000,15.220000,15.010000,15.160000,14.073175,356600
2015-05-28,15.130000,15.660000,15.020000,15.550000,14.435215,646600
2015-05-29,15.550000,16.469999,15.500000,16.260000,15.094316,876000
2015-06-01,16.459999,16.459999,15.850000,16.090000,14.936502,517100
2015-06-02,16.049999,16.610001,15.980000,16.430000,15.252128,387100
2015-06-03,16.450001,16.740000,16.230000,16.240000,15.075748,288700
2015-06-04,16.209999,16.209999,15.820000,15.870000,14.732274,215700
2015-06-05,15.870000,15.930000,15.620000,15.840000,14.704425,275400
2015-06-08,15.820000,15.820000,15.010000,15.210000,14.119590,771300
2015-06-09,15.240000,15.530000,15.200000,15.200000,14.110307,456400
2015-06-10,15.350000,15.640000,15.240000,15.280000,14.184571,740700
2015-06-11,15.310000,15.640000,15.210000,15.400000,14.295968,850100
2015-06-12,15.360000,15.400000,14.790000,14.810000,13.748267,828000
2015-06-15,14.710000,14.710000,13.320000,14.000000,12.996335,2711500
2015-06-16,13.840000,14.780000,12.820000,14.010000,13.005618,3983900
2015-06-17,14.250000,14.600000,13.720000,14.560000,13.516190,2074500
2015-06-18,14.590000,14.650000,14.440000,14.630000,13.581171,802100
2015-06-19,14.630000,14.710000,14.200000,14.200000,13.181996,937300
2015-06-22,14.270000,14.330000,14.060000,14.210000,13.191280,628700
2015-06-23,14.250000,14.470000,14.070000,14.400000,13.367660,482400
2015-06-24,14.390000,14.390000,14.170000,14.200000,13.181996,319800
2015-06-25,14.210000,14.290000,13.790000,13.840000,12.847806,486200
2015-06-26,13.870000,13.880000,13.550000,13.800000,12.810674,686500
2015-06-29,13.650000,13.910000,13.440000,13.450000,12.485765,503400
2015-06-30,13.510000,13.590000,12.780000,13.000000,12.068026,797000
2015-07-01,13.050000,13.520000,12.800000,13.090000,12.151573,876200
2015-07-02,13.110000,13.260000,12.570000,12.650000,11.743116,1004400
2015-07-06,12.520000,12.610000,12.080000,12.500000,11.603870,1258700
2015-07-07,12.460000,12.620000,12.090000,12.590000,11.687419,901400
2015-07-08,12.520000,12.560000,11.960000,12.170000,11.297528,719000
2015-07-09,12.350000,12.570000,12.230000,12.360000,11.473907,892600
2015-07-10,12.510000,12.540000,11.960000,12.010000,11.148999,389100
2015-07-13,12.070000,12.510000,11.880000,12.450000,11.557455,925700
2015-07-14,12.470000,12.550000,12.300000,12.420000,11.529607,327900
2015-07-15,12.430000,12.430000,11.870000,11.970000,11.111867,692200
2015-07-16,12.040000,12.240000,11.920000,11.980000,11.121149,466500
2015-07-17,11.960000,11.960000,11.750000,11.880000,11.028319,461100
2015-07-20,11.850000,11.850000,11.350000,11.400000,10.582729,520300
2015-07-21,12.000000,12.870000,11.750000,12.480000,11.585304,3692700
2015-07-22,12.180000,12.390000,11.570000,12.200000,11.325377,1482300
2015-07-23,12.440000,12.560000,12.080000,12.320000,11.436775,1190800
2015-07-24,12.300000,12.310000,11.700000,12.020000,11.158283,1566000
2015-07-27,11.820000,12.270000,11.630000,12.110000,11.241830,676000
2015-07-28,12.200000,12.590000,11.960000,12.450000,11.557455,613700
2015-07-29,12.450000,12.770000,12.240000,12.620000,11.715268,574800
2015-07-30,12.590000,12.770000,12.190000,12.340000,11.455340,500900
2015-07-31,12.400000,12.560000,12.250000,12.290000,11.408926,514600
2015-08-03,12.260000,12.320000,11.930000,12.020000,11.158283,505400
2015-08-04,12.100000,12.380000,11.760000,12.240000,11.362510,540400
2015-08-05,12.390000,12.500000,12.070000,12.170000,11.297528,568000
2015-08-06,12.220000,12.510000,12.040000,12.410000,11.520323,464200
2015-08-07,12.340000,12.560000,11.530000,11.710000,10.870506,478600
2015-08-10,11.790000,12.240000,11.650000,12.130000,11.260397,577800
2015-08-11,11.910000,11.980000,11.500000,11.810000,10.963337,333800
2015-08-12,11.710000,11.950000,11.590000,11.800000,10.954054,445300
2015-08-13,11.760000,11.760000,11.180000,11.450000,10.629146,395700
2015-08-14,11.520000,11.600000,11.110000,11.130000,10.332087,1025800
2015-08-17,10.910000,11.180000,10.780000,11.100000,10.445006,537500
2015-08-18,11.070000,11.170000,10.800000,10.940000,10.294446,537600
2015-08-19,10.850000,11.150000,10.850000,10.920000,10.275627,825700
2015-08-20,10.920000,11.140000,10.670000,10.690000,10.059198,634000
2015-08-21,10.360000,10.860000,10.360000,10.780000,10.143888,682400
2015-08-24,10.400000,10.990000,10.120000,10.120000,9.522834,647100
2015-08-25,10.430000,10.750000,10.110000,10.130000,9.532244,565400
2015-08-26,10.370000,10.510000,10.150000,10.450000,9.833361,484200
2015-08-27,10.590000,11.030000,10.590000,10.900000,10.256807,762900
2015-08-28,10.880000,11.340000,10.580000,11.020000,10.369726,510500
2015-08-31,10.910000,11.510000,10.790000,11.480000,10.802582,523900
2015-09-01,11.200000,11.290000,10.480000,10.670000,10.040379,492500
2015-09-02,10.790000,11.250000,10.620000,11.240000,10.576745,501600
2015-09-03,11.260000,11.470000,11.080000,11.290000,10.623795,449900
2015-09-04,11.100000,11.250000,10.800000,10.950000,10.303857,278300
2015-09-08,11.130000,11.230000,10.850000,10.920000,10.275627,382200
2015-09-09,11.000000,11.160000,10.560000,10.580000,9.955690,409500
2015-09-10,10.550000,10.550000,10.020000,10.110000,9.513423,438800
2015-09-11,10.070000,10.290000,9.710000,10.000000,9.409915,857000
2015-09-14,10.000000,10.030000,9.760000,9.940000,9.353455,708500
2015-09-15,9.990000,10.260000,9.930000,10.200000,9.598113,300800
2015-09-16,10.200000,10.690000,10.150000,10.650000,10.021559,375400
2015-09-17,10.620000,10.660000,10.320000,10.420000,9.805131,363300
2015-09-18,10.320000,10.600000,10.260000,10.440000,9.823951,1070900
2015-09-21,10.470000,10.800000,10.320000,10.450000,9.833361,699400
2015-09-22,10.290000,10.330000,9.640000,9.690000,9.118207,940200
2015-09-23,9.740000,9.740000,8.440000,8.510000,8.007838,1201700
2015-09-24,8.420000,8.840000,8.250000,8.380000,7.885508,1051100
2015-09-25,8.470000,8.540000,8.080000,8.150000,7.669080,835800
2015-09-28,8.060000,8.090000,7.660000,7.730000,7.273864,742100
2015-09-29,7.790000,8.110000,7.710000,7.810000,7.349144,659500
2015-09-30,7.870000,8.000000,7.690000,7.780000,7.320914,944600
2015-10-01,7.840000,8.540000,7.830000,8.370000,7.876099,1158400
2015-10-02,8.340000,8.870000,8.260000,8.770000,8.252496,798100
2015-10-05,8.870000,9.200000,8.850000,9.120000,8.581842,1083700
2015-10-06,9.110000,9.460000,9.110000,9.390000,8.835910,947700
2015-10-07,9.530000,9.670000,8.880000,9.200000,8.657122,985600
2015-10-08,9.190000,9.720000,9.130000,9.630000,9.061748,910800
2015-10-09,9.730000,10.090000,9.510000,9.750000,9.174666,772600
2015-10-12,9.600000,9.700000,6.950000,7.010000,6.596351,4021300
2015-10-13,6.980000,6.980000,6.310000,6.320000,5.947066,5103700
2015-10-14,6.360000,6.640000,6.050000,6.380000,6.003526,2814700
2015-10-15,6.310000,6.500000,6.150000,6.340000,5.965886,1621400
2015-10-16,6.390000,6.430000,5.790000,5.800000,5.457751,2754100
2015-10-19,5.770000,5.840000,5.520000,5.600000,5.269552,1329100
2015-10-20,5.570000,5.590000,5.340000,5.350000,5.034305,1669000
2015-10-21,5.360000,5.580000,5.330000,5.420000,5.100174,1754300
2015-10-22,5.420000,5.580000,5.340000,5.460000,5.137814,1470700
2015-10-23,5.530000,5.570000,5.320000,5.360000,5.043714,1187200
2015-10-26,5.360000,5.390000,5.020000,5.030000,4.733187,1008300
2015-10-27,5.010000,5.030000,4.610000,4.710000,4.432070,1438500
2015-10-28,4.660000,5.090000,4.600000,5.050000,4.752007,1595400
2015-10-29,4.960000,5.090000,4.810000,4.910000,4.620268,1076500
