Date,Open,High,Low,Close,Adj Close,Volume
2015-04-23,20.309999,20.510000,19.920000,20.490000,18.045935,51700
2015-04-24,20.580000,20.850000,20.510000,20.610001,18.151619,46600
2015-04-27,20.520000,21.370001,20.360001,20.930000,18.433451,50100
2015-04-28,21.040001,21.600000,20.900000,21.430000,18.873816,70400
2015-04-29,21.400000,21.400000,20.650000,21.000000,18.495106,40900
2015-04-30,20.730000,20.820000,20.350000,20.469999,18.028322,71100
2015-05-01,20.490000,20.559999,20.030001,20.070000,17.676033,47700
2015-05-04,20.389999,21.010000,19.860001,20.090000,17.693647,51000
2015-05-05,20.040001,20.959999,19.830000,19.980000,17.596767,76700
2015-05-06,20.139999,20.490000,20.000000,20.430000,17.993088,47200
2015-05-07,20.350000,20.889999,20.260000,20.629999,18.169231,52200
2015-05-08,20.730000,20.940001,20.250000,20.360001,17.931444,50500
2015-05-11,20.420000,20.580000,19.910000,19.990000,17.605574,52000
2015-05-12,20.000000,20.090000,19.760000,20.000000,17.614386,78100
2015-05-13,20.010000,20.290001,19.650000,19.750000,17.394205,36900
2015-05-14,19.940001,20.299999,19.850000,20.250000,17.834566,42700
2015-05-15,20.230000,20.559999,19.959999,20.469999,18.028322,31900
2015-05-18,20.490000,21.290001,20.350000,20.990000,18.486296,57400
2015-05-19,20.990000,20.990000,20.250000,20.459999,18.019508,30600
2015-05-20,20.420000,20.530001,19.860001,20.150000,17.746485,66100
2015-05-21,20.049999,20.400000,19.820000,20.270000,17.852173,47000
2015-05-22,20.260000,20.370001,19.680000,20.200001,17.790524,52600
2015-05-26,20.129999,20.129999,19.670000,19.850000,17.482271,39300
2015-05-27,19.730000,20.200001,19.730000,20.139999,17.737679,30400
2015-05-28,20.070000,20.299999,19.790001,20.049999,17.658413,35400
2015-05-29,20.010000,20.389999,19.740000,19.850000,17.482271,37400
2015-06-01,20.040001,20.389999,19.700001,20.209999,17.799334,40100
2015-06-02,20.219999,20.670000,20.000000,20.309999,17.887403,35100
2015-06-03,20.389999,20.840000,20.389999,20.660000,18.195656,34000
2015-06-04,20.370001,20.660000,20.170000,20.410000,17.975479,61100
2015-06-05,20.230000,20.559999,19.760000,20.490000,18.045935,59700
2015-06-08,20.379999,20.660000,20.200001,20.469999,18.028322,29300
2015-06-09,20.400000,20.840000,20.379999,20.770000,18.292538,42700
2015-06-10,20.990000,22.559999,20.950001,22.190001,19.543156,89900
2015-06-11,22.270000,22.559999,22.129999,22.370001,19.701685,27900
2015-06-12,22.430000,22.799999,22.280001,22.570000,19.877829,46200
2015-06-15,22.500000,22.570000,21.920000,22.080000,19.446278,46400
2015-06-16,22.010000,23.000000,21.930000,22.760000,20.045166,105900
2015-06-17,22.840000,23.000000,22.559999,22.580000,19.983217,38400
2015-06-18,22.830000,23.250000,22.309999,22.830000,20.204462,93900
2015-06-19,22.799999,23.209999,22.520000,22.770000,20.151369,91800
2015-06-22,23.059999,23.059999,22.549999,22.850000,20.222170,55000
2015-06-23,22.709999,23.230000,22.650000,22.990000,20.346066,62600
2015-06-24,22.879999,23.280001,22.780001,23.059999,20.408012,49800
2015-06-25,23.090000,23.270000,22.910000,23.160000,20.496511,32600
2015-06-26,23.400000,24.000000,22.629999,22.820000,20.195614,283000
2015-06-29,22.500000,23.040001,22.170000,22.610001,20.009769,154600
2015-06-30,22.799999,23.030001,22.049999,22.110001,19.567268,97400
2015-07-01,22.450001,22.450001,21.760000,22.030001,19.496469,85300
2015-07-02,22.080000,22.400000,21.559999,21.760000,19.257521,52100
2015-07-06,21.440001,21.830000,21.280001,21.709999,19.213270,61000
2015-07-07,21.610001,21.870001,21.260000,21.790001,19.284073,85600
2015-07-08,21.469999,22.000000,21.209999,21.520000,19.045118,170500
2015-07-09,21.760000,22.049999,21.049999,21.459999,18.992022,157500
2015-07-10,21.629999,22.700001,21.620001,22.430000,19.850470,79200
2015-07-13,22.459999,22.809999,22.400000,22.580000,19.983217,46800
2015-07-14,22.540001,23.010000,22.360001,22.740000,20.124815,34900
2015-07-15,22.740000,22.889999,22.370001,22.690001,20.080566,57000
2015-07-16,22.920000,24.129999,22.700001,23.760000,21.027514,121500
2015-07-17,23.799999,23.799999,22.480000,22.620001,20.018620,55100
2015-07-20,22.600000,22.820000,21.870001,21.959999,19.434519,73500
2015-07-21,21.950001,22.260000,21.490000,21.770000,19.266369,45000
2015-07-22,21.790001,22.260000,21.629999,21.809999,19.301769,40400
2015-07-23,21.719999,21.990000,21.150000,21.379999,18.921221,41300
2015-07-24,21.230000,21.459999,20.480000,21.030001,18.611471,167300
2015-07-27,20.750000,20.910000,20.059999,20.100000,17.788424,135200
2015-07-28,20.160000,20.160000,19.400000,19.490000,17.248581,92600
2015-07-29,19.389999,20.350000,19.389999,19.830000,17.549480,110200
2015-07-30,19.549999,19.980000,19.309999,19.410000,17.177778,97400
2015-07-31,19.459999,19.459999,16.059999,16.860001,14.921034,438000
2015-08-03,17.000000,17.379999,16.450001,17.320000,15.328137,198200
2015-08-04,17.440001,17.770000,17.010000,17.040001,15.080337,194700
2015-08-05,17.230000,17.350000,16.510000,16.540001,14.637843,143600
2015-08-06,16.610001,16.830000,16.170000,16.730000,14.805985,151300
2015-08-07,16.510000,16.820000,16.100000,16.170000,14.310390,63800
2015-08-10,16.180000,16.670000,16.080000,16.510000,14.611289,136400
2015-08-11,16.379999,16.389999,16.000000,16.240000,14.372341,46800
2015-08-12,16.150000,16.180000,15.680000,15.980000,14.142241,70200
2015-08-13,16.000000,16.170000,15.160000,15.250000,13.496195,118300
2015-08-14,15.220000,15.460000,14.820000,15.020000,13.292645,98500
2015-08-17,15.000000,15.490000,14.870000,15.450000,13.673194,63100
2015-08-18,15.320000,15.340000,14.630000,14.850000,13.142195,75300
