Date,Open,High,Low,Close,Adj Close,Volume
2015-04-23,6.230000,6.230000,6.230000,6.230000,6.230000,0
2015-04-24,6.450000,6.450000,6.450000,6.450000,6.450000,300
2015-04-27,6.450000,6.450000,6.450000,6.450000,6.450000,0
2015-04-28,6.450000,6.450000,6.450000,6.450000,6.450000,0
2015-04-29,6.450000,6.450000,6.450000,6.450000,6.450000,0
2015-04-30,6.450000,6.450000,6.450000,6.450000,6.450000,0
2015-05-01,6.530000,6.540000,6.320000,6.370000,6.370000,5500
2015-05-04,6.660000,6.660000,6.660000,6.660000,6.660000,100
2015-05-05,6.230000,6.320000,6.150000,6.320000,6.320000,1800
2015-05-06,6.350000,6.410000,6.350000,6.410000,6.410000,2000
2015-05-07,6.230000,6.310000,6.150000,6.200000,6.200000,6200
2015-05-08,6.240000,6.240000,6.200000,6.200000,6.200000,400
2015-05-11,6.170000,6.340000,6.170000,6.340000,6.340000,1500
2015-05-12,6.220000,6.300000,6.220000,6.260000,6.260000,2000
2015-05-13,6.160000,6.210000,6.160000,6.210000,6.210000,800
2015-05-14,6.350000,6.850000,6.340000,6.550000,6.550000,6300
2015-05-15,6.520000,6.700000,6.520000,6.700000,6.700000,1400
2015-05-18,6.520000,6.700000,6.520000,6.550000,6.550000,3800
2015-05-19,6.550000,6.550000,6.550000,6.550000,6.550000,0
2015-05-20,6.350000,6.350000,6.350000,6.350000,6.350000,100
2015-05-21,6.290000,6.290000,6.240000,6.240000,6.240000,900
2015-05-22,6.280000,6.570000,6.280000,6.330000,6.330000,4400
2015-05-26,6.200000,6.520000,6.200000,6.310000,6.310000,1700
2015-05-27,6.310000,6.310000,6.310000,6.310000,6.310000,0
2015-05-28,6.310000,6.310000,6.310000,6.310000,6.310000,0
2015-05-29,6.250000,6.700000,6.250000,6.610000,6.610000,10300
2015-06-01,6.450000,6.450000,6.260000,6.450000,6.450000,1500
2015-06-02,6.700000,6.800000,6.220000,6.550000,6.550000,2300
2015-06-03,6.550000,6.550000,6.550000,6.550000,6.550000,0
2015-06-04,6.680000,6.750000,6.680000,6.750000,6.750000,600
2015-06-05,6.750000,6.750000,6.750000,6.750000,6.750000,0
2015-06-08,7.000000,7.000000,6.500000,6.960000,6.960000,600
2015-06-09,6.970000,6.970000,6.700000,6.700000,6.700000,2900
2015-06-10,6.180000,6.700000,6.180000,6.690000,6.690000,600
2015-06-11,6.730000,6.730000,6.670000,6.670000,6.670000,400
2015-06-12,6.650000,6.650000,6.650000,6.650000,6.650000,100
2015-06-15,6.650000,6.650000,6.650000,6.650000,6.650000,0
2015-06-16,6.750000,6.750000,6.750000,6.750000,6.750000,300
2015-06-17,6.690000,6.700000,6.690000,6.690000,6.690000,2800
2015-06-18,6.740000,6.740000,6.260000,6.440000,6.440000,1400
2015-06-19,6.280000,6.280000,6.280000,6.280000,6.280000,1600
2015-06-22,6.300000,6.500000,6.300000,6.450000,6.450000,800
2015-06-23,6.450000,6.450000,6.440000,6.450000,6.450000,3200
2015-06-24,6.280000,6.480000,6.280000,6.280000,6.280000,2900
2015-06-25,6.280000,6.310000,6.150000,6.310000,6.310000,4000
2015-06-26,6.100000,6.100000,6.100000,6.100000,6.100000,9800
2015-06-29,6.100000,6.250000,6.080000,6.250000,6.250000,2300
2015-06-30,6.300000,6.300000,6.250000,6.250000,6.250000,1200
2015-07-01,6.260000,6.260000,6.080000,6.080000,6.080000,5600
2015-07-02,6.080000,6.090000,6.050000,6.070000,6.070000,8200
2015-07-06,6.070000,6.070000,6.070000,6.070000,6.070000,200
2015-07-07,6.070000,6.070000,6.070000,6.070000,6.070000,0
2015-07-08,6.130000,6.150000,6.070000,6.070000,6.070000,500
2015-07-09,6.050000,6.100000,6.050000,6.100000,6.100000,600
2015-07-10,6.050000,6.050000,5.860000,5.910000,5.910000,1700
2015-07-13,5.870000,6.050000,5.870000,6.050000,6.050000,4000
2015-07-14,5.890000,5.890000,5.880000,5.880000,5.880000,600
2015-07-15,5.880000,5.880000,5.860000,5.860000,5.860000,1400
2015-07-16,5.870000,5.900000,5.860000,5.900000,5.900000,1300
2015-07-17,6.050000,6.050000,6.050000,6.050000,6.050000,100
2015-07-20,6.050000,6.050000,6.050000,6.050000,6.050000,0
2015-07-21,5.910000,5.910000,5.910000,5.910000,5.910000,500
2015-07-22,5.900000,5.900000,5.860000,5.900000,5.900000,4600
2015-07-23,5.800000,5.900000,5.790000,5.900000,5.900000,4500
2015-07-24,6.000000,6.000000,6.000000,6.000000,6.000000,100
2015-07-27,5.900000,5.900000,5.900000,5.900000,5.900000,1100
2015-07-28,5.720000,5.990000,5.720000,5.760000,5.760000,4900
2015-07-29,5.720000,5.720000,5.720000,5.720000,5.720000,400
2015-07-30,5.800000,5.800000,5.750000,5.750000,5.750000,2400
2015-07-31,5.800000,5.800000,5.750000,5.800000,5.800000,4000
2015-08-03,5.800000,5.800000,5.570000,5.600000,5.600000,5300
2015-08-04,5.570000,5.590000,5.370000,5.490000,5.490000,12200
2015-08-05,5.790000,5.790000,5.650000,5.650000,5.650000,400
2015-08-06,5.560000,5.560000,5.500000,5.510000,5.510000,600
2015-08-07,5.550000,5.550000,5.420000,5.470000,5.470000,1100
2015-08-10,5.410000,5.410000,5.410000,5.410000,5.410000,100
2015-08-11,5.370000,5.400000,5.120000,5.400000,5.400000,6700
2015-08-12,5.740000,5.740000,5.500000,5.620000,5.620000,2400
2015-08-13,5.700000,5.700000,5.650000,5.680000,5.680000,1700
2015-08-14,5.680000,5.680000,5.680000,5.680000,5.680000,0
2015-08-17,5.570000,5.650000,5.570000,5.650000,5.650000,500
