Date,Open,High,Low,Close,Adj Close,Volume
2015-04-23,0.410000,0.410000,0.390000,0.410000,0.410000,108300
2015-04-24,0.410000,0.420000,0.410000,0.410000,0.410000,59100
2015-04-27,0.410000,0.420000,0.410000,0.420000,0.420000,92900
2015-04-28,0.420000,0.440000,0.400000,0.410000,0.410000,271700
2015-04-29,0.410000,0.430000,0.400000,0.410000,0.410000,278300
2015-04-30,0.410000,0.410000,0.400000,0.410000,0.410000,332100
2015-05-01,0.410000,0.410000,0.400000,0.400000,0.400000,62200
2015-05-04,0.400000,0.410000,0.380000,0.400000,0.400000,148400
2015-05-05,0.390000,0.410000,0.380000,0.380000,0.380000,116400
2015-05-06,0.380000,0.380000,0.340000,0.350000,0.350000,415900
2015-05-07,0.340000,0.370000,0.340000,0.370000,0.370000,459300
2015-05-08,0.370000,0.380000,0.350000,0.350000,0.350000,327400
2015-05-11,0.350000,0.370000,0.340000,0.350000,0.350000,475200
2015-05-12,0.370000,0.370000,0.340000,0.350000,0.350000,336600
2015-05-13,0.370000,0.400000,0.350000,0.350000,0.350000,393500
2015-05-14,0.360000,0.370000,0.350000,0.350000,0.350000,304800
2015-05-15,0.350000,0.370000,0.340000,0.340000,0.340000,385900
2015-05-18,0.350000,0.350000,0.320000,0.330000,0.330000,492600
2015-05-19,0.330000,0.340000,0.310000,0.320000,0.320000,292400
2015-05-20,0.340000,0.340000,0.300000,0.320000,0.320000,254300
2015-05-21,0.340000,0.340000,0.280000,0.290000,0.290000,554000
2015-05-22,0.320000,0.320000,0.290000,0.310000,0.310000,647100
2015-05-26,0.310000,0.320000,0.280000,0.290000,0.290000,632100
2015-05-27,0.300000,0.300000,0.280000,0.290000,0.290000,652300
2015-05-28,0.280000,0.300000,0.270000,0.280000,0.280000,531000
2015-05-29,0.300000,0.320000,0.280000,0.320000,0.320000,534300
2015-06-01,0.350000,0.350000,0.300000,0.310000,0.310000,431100
2015-06-02,0.320000,0.320000,0.300000,0.310000,0.310000,191900
2015-06-03,0.310000,0.310000,0.280000,0.290000,0.290000,530600
2015-06-04,0.290000,0.310000,0.280000,0.290000,0.290000,251500
2015-06-05,0.300000,0.310000,0.280000,0.290000,0.290000,664500
2015-06-08,0.300000,0.310000,0.280000,0.280000,0.280000,202200
2015-06-09,0.300000,0.300000,0.280000,0.280000,0.280000,323000
