Date,Open,High,Low,Close,Adj Close,Volume
2015-04-23,6.540000,7.150000,6.540000,7.120000,6.237938,63828300
2015-04-24,7.450000,7.930000,7.430000,7.920000,6.938830,76806100
2015-04-27,8.260000,8.450000,8.040000,8.100000,7.096531,73463300
2015-04-28,8.140000,8.160000,7.610000,7.690000,6.737324,42815100
2015-04-29,7.390000,7.400000,7.180000,7.260000,6.360594,42543900
2015-04-30,7.060000,7.720000,6.880000,7.680000,6.728562,80309700
2015-05-01,7.900000,8.120000,7.750000,8.070000,7.070247,35376700
2015-05-04,7.960000,8.100000,7.870000,8.030000,7.035203,26201500
2015-05-05,8.170000,8.830000,8.130000,8.800000,7.709811,58733400
2015-05-06,8.950000,9.140000,8.170000,8.190000,7.175381,69358400
2015-05-07,8.090000,8.100000,7.800000,7.840000,6.868741,51065200
2015-05-08,8.100000,8.190000,7.600000,7.630000,6.684757,45621900
2015-05-11,7.800000,7.950000,7.570000,7.660000,6.711040,33917100
2015-05-12,7.610000,7.740000,7.350000,7.370000,6.456966,34561700
2015-05-13,7.350000,7.460000,7.060000,7.120000,6.237938,39119300
2015-05-14,7.090000,7.330000,7.010000,7.130000,6.246700,34702300
2015-05-15,7.140000,7.200000,7.050000,7.120000,6.237938,26605500
2015-05-18,7.120000,7.140000,6.660000,6.680000,5.852448,48592300
2015-05-19,6.610000,6.680000,6.510000,6.610000,5.791120,37951900
2015-05-20,6.690000,6.770000,6.530000,6.610000,5.791120,36176300
2015-05-21,6.640000,6.760000,6.530000,6.650000,5.826164,32613700
2015-05-22,6.700000,6.750000,6.560000,6.570000,5.756075,20093300
2015-05-26,6.650000,6.780000,6.500000,6.540000,5.729792,43984500
2015-05-27,6.450000,6.690000,6.390000,6.640000,5.817402,25904800
2015-05-28,6.530000,6.540000,6.380000,6.500000,5.694747,24667300
2015-05-29,6.460000,6.520000,6.300000,6.300000,5.519524,21601000
2015-06-01,6.330000,6.420000,6.220000,6.290000,5.510763,31681200
2015-06-02,6.460000,6.840000,6.440000,6.810000,5.966343,46605300
2015-06-03,6.830000,6.930000,6.610000,6.660000,5.834925,26246200
2015-06-04,6.690000,6.710000,6.380000,6.480000,5.677225,24590300
2015-06-05,6.440000,6.620000,6.380000,6.510000,5.703508,30784400
2015-06-08,6.560000,6.580000,6.450000,6.470000,5.668463,29118100
2015-06-09,6.480000,6.670000,6.410000,6.430000,5.633419,24257500
2015-06-10,6.720000,6.920000,6.690000,6.770000,5.931298,33148800
2015-06-11,6.780000,6.910000,6.700000,6.860000,6.010149,32750600
2015-06-12,6.810000,6.850000,6.700000,6.810000,5.966343,15201600
2015-06-15,6.640000,6.690000,6.460000,6.470000,5.668463,27510200
2015-06-16,6.420000,6.450000,6.310000,6.370000,5.580852,29705400
2015-06-17,6.350000,6.410000,6.220000,6.380000,5.589613,29557200
2015-06-18,6.480000,6.680000,6.350000,6.680000,5.852448,29258600
2015-06-19,6.550000,6.550000,6.420000,6.510000,5.703508,23711000
2015-06-22,6.590000,6.610000,6.390000,6.390000,5.598374,14984900
2015-06-23,6.390000,6.490000,6.370000,6.440000,5.642181,20308900
2015-06-24,6.470000,6.520000,6.340000,6.400000,5.607136,22875300
2015-06-25,6.330000,6.340000,6.110000,6.160000,5.396867,30822800
2015-06-26,6.110000,6.260000,6.060000,6.230000,5.458196,14747600
2015-06-29,6.060000,6.200000,6.050000,6.120000,5.361824,17049900
2015-06-30,6.050000,6.100000,5.830000,5.890000,5.160316,36936400
2015-07-01,5.910000,5.960000,5.720000,5.760000,5.046422,20120200
2015-07-02,5.740000,5.880000,5.690000,5.850000,5.125272,25475100
2015-07-06,5.570000,5.620000,5.480000,5.610000,4.915004,28939500
2015-07-07,5.480000,5.680000,5.200000,5.620000,4.923766,51111900
2015-07-08,5.410000,5.510000,5.290000,5.320000,4.660931,47688100
2015-07-09,5.570000,5.800000,5.330000,5.420000,4.748543,33092200
2015-07-10,5.630000,5.670000,5.410000,5.430000,4.757304,19275200
2015-07-13,5.480000,5.930000,5.340000,5.900000,5.169078,66531100
2015-07-14,5.780000,5.800000,5.640000,5.700000,4.993855,25711500
2015-07-15,5.700000,5.710000,5.450000,5.480000,4.801110,30076800
2015-07-16,5.570000,5.610000,5.480000,5.580000,4.888721,23157700
2015-07-17,5.560000,5.560000,5.400000,5.460000,4.783588,18915900
2015-07-20,5.480000,5.590000,5.410000,5.410000,4.739781,23290900
2015-07-21,5.410000,5.670000,5.400000,5.550000,4.862437,23637400
2015-07-22,5.340000,5.450000,5.270000,5.390000,4.722259,36931800
2015-07-23,5.330000,5.460000,5.260000,5.280000,4.625887,26967900
2015-07-24,5.230000,5.240000,4.960000,5.050000,4.424381,36492200
2015-07-27,4.990000,5.240000,4.910000,4.990000,4.371813,29217400
2015-07-28,5.110000,5.420000,5.070000,5.400000,4.731020,40946800
2015-07-29,5.550000,5.610000,5.440000,5.550000,4.862437,28164300
2015-07-30,5.770000,5.920000,5.140000,5.190000,4.547036,42924500
2015-07-31,5.250000,5.320000,5.040000,5.260000,4.608365,28893000
2015-08-03,5.160000,5.210000,5.040000,5.100000,4.468186,21766700
2015-08-04,5.190000,5.290000,5.150000,5.230000,4.582082,15684900
2015-08-05,5.430000,5.540000,5.340000,5.430000,4.757304,30204600
2015-08-06,5.360000,5.610000,5.320000,5.580000,4.888721,30395000
2015-08-07,5.470000,5.520000,5.270000,5.280000,4.625887,23917600
2015-08-10,5.270000,5.690000,5.230000,5.640000,4.941288,33728400
2015-08-11,5.420000,5.470000,5.170000,5.320000,4.660931,38553600
2015-08-12,5.230000,5.490000,5.220000,5.460000,4.783588,39225000
2015-08-13,5.470000,5.500000,5.240000,5.270000,4.617126,19986700
2015-08-14,5.250000,5.380000,5.220000,5.230000,4.582082,16086600
2015-08-17,5.180000,5.280000,5.150000,5.190000,4.547036,18851000
2015-08-18,5.120000,5.130000,5.020000,5.080000,4.450663,19479700
2015-08-19,4.970000,5.030000,4.770000,4.850000,4.249157,29744900
2015-08-20,4.910000,5.030000,4.820000,4.990000,4.371813,27715400
2015-08-21,4.860000,4.930000,4.750000,4.750000,4.161547,24142400
2015-08-24,4.290000,4.640000,4.130000,4.330000,3.793578,32345300
2015-08-25,4.610000,4.640000,4.280000,4.290000,3.758533,27214900
2015-08-26,4.300000,4.440000,4.200000,4.440000,3.889951,21243200
2015-08-27,4.560000,5.000000,4.560000,5.000000,4.380575,41342700
2015-08-28,4.920000,5.180000,4.800000,4.830000,4.231635,29223100
2015-08-31,4.670000,5.000000,4.640000,4.950000,4.336769,16617400
2015-09-01,4.670000,4.900000,4.660000,4.710000,4.126501,23584100
2015-09-02,4.830000,4.900000,4.600000,4.830000,4.231635,24354900
2015-09-03,4.860000,5.100000,4.860000,4.980000,4.363052,20620200
2015-09-04,4.860000,4.920000,4.700000,4.730000,4.144024,14348600
2015-09-08,4.980000,5.020000,4.880000,4.990000,4.371813,18658100
2015-09-09,5.190000,5.280000,4.980000,4.990000,4.371813,16797800
2015-09-10,4.940000,5.210000,4.940000,5.190000,4.547036,27481500
2015-09-11,5.280000,5.290000,4.920000,4.980000,4.363052,23118400
2015-09-14,4.980000,5.070000,4.820000,5.030000,4.406858,23271700
2015-09-15,4.860000,4.940000,4.780000,4.840000,4.240396,23718400
2015-09-16,4.890000,5.030000,4.850000,5.030000,4.406858,25491700
2015-09-17,4.930000,5.300000,4.920000,5.150000,4.511992,23804600
2015-09-18,5.050000,5.240000,4.970000,4.980000,4.363052,28482000
2015-09-21,5.050000,5.110000,4.940000,5.060000,4.433142,16794000
2015-09-22,4.770000,4.890000,4.650000,4.770000,4.179069,22251900
2015-09-23,4.790000,4.800000,4.570000,4.590000,4.021367,20916800
2015-09-24,4.440000,4.690000,4.380000,4.680000,4.100217,21729900
2015-09-25,4.690000,4.760000,4.500000,4.520000,3.960039,15114100
2015-09-28,4.310000,4.330000,4.060000,4.070000,3.565788,21539400
2015-09-29,4.140000,4.150000,4.030000,4.030000,3.530744,20470000
2015-09-30,4.220000,4.230000,4.080000,4.200000,3.679683,27479300
2015-10-01,4.210000,4.360000,4.210000,4.260000,3.732250,26243000
2015-10-02,4.210000,4.540000,4.170000,4.480000,3.924995,41732800
2015-10-05,4.540000,4.670000,4.530000,4.630000,4.056412,37179600
2015-10-06,4.670000,4.810000,4.640000,4.790000,4.196590,42434900
2015-10-07,5.090000,5.350000,5.030000,5.160000,4.520753,37936100
2015-10-08,5.110000,5.290000,5.080000,5.270000,4.617126,21284800
2015-10-09,5.430000,5.530000,5.390000,5.480000,4.801110,27385200
2015-10-12,5.490000,5.500000,5.180000,5.250000,4.599603,15205500
2015-10-13,5.090000,5.090000,4.740000,4.750000,4.161547,29950600
2015-10-14,4.860000,4.940000,4.780000,4.880000,4.275440,18860400
2015-10-15,4.890000,5.010000,4.760000,5.000000,4.380575,17037400
2015-10-16,4.900000,4.910000,4.710000,4.790000,4.279635,27767700
2015-10-19,4.720000,4.720000,4.520000,4.600000,4.109879,22270300
2015-10-20,4.550000,4.560000,4.460000,4.460000,3.984796,20374300
2015-10-21,4.550000,4.620000,4.440000,4.510000,4.029469,19066000
2015-10-22,4.690000,4.850000,4.650000,4.730000,4.226027,39527400
2015-10-23,4.840000,4.930000,4.690000,4.730000,4.226027,45347600
2015-10-26,4.710000,4.730000,4.530000,4.600000,4.109879,17473100
2015-10-27,4.490000,4.510000,4.270000,4.300000,3.841844,34938000
2015-10-28,4.250000,4.370000,4.160000,4.240000,3.788236,40429300
2015-10-29,4.150000,4.250000,4.110000,4.190000,3.743564,25043000
2015-10-30,4.280000,4.390000,4.210000,4.360000,3.895451,23081600
2015-11-02,4.330000,4.540000,4.260000,4.530000,4.047338,20954800
2015-11-03,4.470000,4.770000,4.460000,4.720000,4.217093,37332300
2015-11-04,4.840000,4.850000,4.470000,4.560000,4.074141,35922900
2015-11-05,4.470000,4.520000,4.360000,4.390000,3.922255,24958900
2015-11-06,4.170000,4.200000,4.030000,4.140000,3.698891,65212200
2015-11-09,4.110000,4.140000,4.020000,4.050000,3.618481,23976300
2015-11-10,4.010000,4.130000,3.970000,4.110000,3.672088,28682000
2015-11-11,4.200000,4.210000,3.980000,4.040000,3.609546,25526000
2015-11-12,3.950000,4.010000,3.910000,3.930000,3.511266,21376800
2015-11-13,4.010000,4.020000,3.900000,3.970000,3.547004,14321600
2015-11-16,3.960000,4.000000,3.890000,3.980000,3.555939,20712200
2015-11-17,3.880000,3.900000,3.750000,3.760000,3.359380,24563900
2015-11-18,3.890000,3.920000,3.800000,3.900000,3.484463,20917500
2015-11-19,3.910000,3.930000,3.850000,3.890000,3.475528,13685100
2015-11-20,3.870000,3.950000,3.790000,3.800000,3.395118,21648900
2015-11-23,3.760000,3.830000,3.730000,3.790000,3.386183,28283900
2015-11-24,3.760000,3.940000,3.740000,3.890000,3.475528,17142700
2015-11-25,3.770000,3.850000,3.730000,3.730000,3.332576,15140500
