Date,Open,High,Low,Close,Adj Close,Volume
2015-04-23,6.830000,6.890000,6.720000,6.730000,5.761603,38200
2015-04-24,6.750000,6.750000,6.650000,6.730000,5.761603,14300
2015-04-27,6.690000,6.790000,6.680000,6.790000,5.812971,21100
2015-04-28,6.810000,6.810000,6.470000,6.630000,5.675992,35700
2015-04-29,6.600000,6.750000,6.600000,6.710000,5.744482,18000
2015-04-30,6.560000,6.720000,6.480000,6.530000,5.590382,25300
2015-05-01,6.500000,6.660000,6.500000,6.610000,5.658871,19700
2015-05-04,6.590000,6.690000,6.560000,6.670000,5.710237,10500
2015-05-05,6.640000,6.640000,6.470000,6.500000,5.564698,21300
2015-05-06,6.590000,6.590000,6.500000,6.510000,5.573260,13300
2015-05-07,6.530000,6.580000,6.340000,6.530000,5.590382,26000
2015-05-08,6.510000,6.510000,6.280000,6.460000,5.530456,30400
2015-05-11,6.380000,6.450000,6.290000,6.430000,5.504772,15700
2015-05-12,6.300000,6.590000,6.300000,6.520000,5.581821,10200
2015-05-13,6.580000,6.580000,6.450000,6.500000,5.564698,18900
2015-05-14,6.540000,6.540000,6.430000,6.440000,5.513332,22800
2015-05-15,6.500000,6.550000,6.360000,6.530000,5.590382,15300
2015-05-18,6.490000,6.670000,6.380000,6.610000,5.658871,68300
2015-05-19,6.550000,6.660000,6.460000,6.550000,5.607504,59700
2015-05-20,6.500000,6.600000,6.500000,6.510000,5.573260,12700
2015-05-21,6.570000,6.630000,6.380000,6.380000,5.461967,27700
2015-05-22,6.380000,6.410000,6.280000,6.310000,5.402038,21200
2015-05-26,6.160000,6.490000,6.100000,6.230000,5.333549,79300
2015-05-27,6.290000,6.350000,6.170000,6.180000,5.290744,21800
2015-05-28,6.180000,6.410000,6.180000,6.340000,5.427723,44300
2015-05-29,6.370000,6.550000,6.320000,6.390000,5.470527,36200
2015-06-01,6.390000,6.450000,6.270000,6.300000,5.393478,16700
2015-06-02,6.260000,6.480000,6.260000,6.370000,5.453405,27700
2015-06-03,6.380000,6.380000,6.230000,6.260000,5.359233,20300
2015-06-04,6.230000,6.290000,6.180000,6.200000,5.324878,15800
2015-06-05,6.200000,6.290000,6.170000,6.240000,5.359232,16500
2015-06-08,6.270000,6.290000,6.180000,6.190000,5.316290,9300
2015-06-09,6.260000,6.280000,6.190000,6.200000,5.324878,11000
2015-06-10,6.230000,6.290000,6.220000,6.280000,5.393589,10600
2015-06-11,6.280000,6.470000,6.150000,6.420000,5.513826,51100
2015-06-12,6.410000,6.410000,6.380000,6.380000,5.479472,10000
2015-06-15,6.600000,7.320000,6.550000,7.100000,6.097846,356600
2015-06-16,7.090000,7.330000,6.750000,6.980000,5.994783,391200
2015-06-17,6.920000,7.150000,6.800000,7.000000,6.011961,89400
2015-06-18,7.010000,7.070000,6.800000,6.960000,5.977606,76300
2015-06-19,6.910000,6.940000,6.720000,6.800000,5.840190,44700
2015-06-22,6.830000,6.890000,6.670000,6.700000,5.754305,71700
2015-06-23,6.730000,6.800000,6.660000,6.750000,5.797247,60400
2015-06-24,6.770000,6.770000,6.430000,6.560000,5.634066,49700
2015-06-25,6.600000,6.620000,6.460000,6.620000,5.685596,146200
2015-06-26,6.630000,6.640000,6.130000,6.340000,5.445119,1256000
2015-06-29,6.420000,6.440000,5.990000,6.060000,5.204641,105200
2015-06-30,5.980000,6.150000,5.640000,5.660000,4.861099,158700
2015-07-01,5.670000,5.700000,5.210000,5.310000,4.560502,170200
2015-07-02,5.310000,5.350000,5.040000,5.060000,4.345789,76300
2015-07-06,5.020000,5.130000,4.600000,4.820000,4.139666,223400
2015-07-07,4.510000,4.770000,4.440000,4.710000,4.045190,214800
2015-07-08,4.670000,4.750000,4.530000,4.580000,3.933540,62700
2015-07-09,4.660000,5.050000,4.570000,4.730000,4.062367,249400
2015-07-10,4.760000,4.810000,4.560000,4.570000,3.924951,66700
2015-07-13,4.570000,4.850000,4.570000,4.810000,4.131075,110600
2015-07-14,4.770000,5.050000,4.660000,4.730000,4.062367,84600
2015-07-15,4.770000,4.900000,4.670000,4.730000,4.062367,72900
2015-07-16,4.740000,4.740000,4.510000,4.670000,4.010836,39600
2015-07-17,4.690000,4.730000,4.520000,4.550000,3.907774,47800
2015-07-20,4.580000,4.580000,4.300000,4.390000,3.770358,39200
2015-07-21,4.390000,4.560000,4.240000,4.340000,3.727415,36200
2015-07-22,4.370000,4.460000,4.270000,4.340000,3.727415,35300
2015-07-23,4.360000,4.530000,4.270000,4.380000,3.761770,45300
2015-07-24,4.340000,4.470000,4.260000,4.270000,3.667296,50500
2015-07-27,4.260000,4.330000,4.120000,4.270000,3.667296,32400
2015-07-28,4.270000,4.270000,4.110000,4.150000,3.564233,83100
2015-07-29,4.120000,4.440000,4.080000,4.340000,3.727415,58900
2015-07-30,4.310000,4.460000,4.240000,4.440000,3.813301,63100
