Date,Open,High,Low,Close,Adj Close,Volume
2015-04-23,1.460000,1.500000,1.440000,1.500000,1.500000,178000
2015-04-24,1.460000,1.470000,1.380000,1.410000,1.410000,253900
2015-04-27,1.450000,1.510000,1.440000,1.510000,1.510000,104700
2015-04-28,1.490000,1.550000,1.480000,1.530000,1.530000,188800
2015-04-29,1.520000,1.560000,1.480000,1.490000,1.490000,177400
2015-04-30,1.470000,1.500000,1.440000,1.500000,1.500000,41600
2015-05-01,1.480000,1.480000,1.440000,1.460000,1.460000,87600
2015-05-04,1.460000,1.490000,1.450000,1.470000,1.470000,31600
2015-05-05,1.480000,1.530000,1.480000,1.510000,1.510000,54600
2015-05-06,1.510000,1.520000,1.470000,1.510000,1.510000,59800
2015-05-07,1.490000,1.510000,1.440000,1.510000,1.510000,46600
2015-05-08,1.510000,1.510000,1.460000,1.480000,1.480000,49900
2015-05-11,1.510000,1.520000,1.480000,1.520000,1.520000,80200
2015-05-12,1.510000,1.520000,1.500000,1.500000,1.500000,51300
2015-05-13,1.510000,1.590000,1.510000,1.530000,1.530000,178200
2015-05-14,1.570000,1.640000,1.550000,1.640000,1.640000,189400
2015-05-15,1.620000,1.720000,1.590000,1.670000,1.670000,247200
2015-05-18,1.690000,1.690000,1.640000,1.650000,1.650000,109600
2015-05-19,1.600000,1.660000,1.550000,1.590000,1.590000,336900
2015-05-20,1.590000,1.690000,1.560000,1.620000,1.620000,142400
2015-05-21,1.610000,1.650000,1.610000,1.640000,1.640000,77100
2015-05-22,1.650000,1.650000,1.600000,1.620000,1.620000,104600
2015-05-26,1.610000,1.640000,1.550000,1.610000,1.610000,207700
2015-05-27,1.600000,1.720000,1.600000,1.690000,1.690000,161900
2015-05-28,1.690000,1.720000,1.650000,1.700000,1.700000,115800
2015-05-29,1.700000,1.700000,1.640000,1.670000,1.670000,71100
2015-06-01,1.670000,1.700000,1.620000,1.630000,1.630000,64000
2015-06-02,1.660000,1.670000,1.620000,1.620000,1.620000,74100
2015-06-03,1.620000,1.670000,1.610000,1.630000,1.630000,197900
2015-06-04,1.620000,1.630000,1.570000,1.570000,1.570000,67900
2015-06-05,1.560000,1.570000,1.530000,1.560000,1.560000,59800
2015-06-08,1.560000,1.650000,1.520000,1.650000,1.650000,68800
2015-06-09,1.630000,1.740000,1.630000,1.710000,1.710000,179200
2015-06-10,1.720000,1.820000,1.720000,1.810000,1.810000,362200
2015-06-11,1.800000,1.820000,1.770000,1.790000,1.790000,251100
2015-06-12,1.790000,1.790000,1.770000,1.790000,1.790000,39700
2015-06-15,1.760000,1.810000,1.760000,1.800000,1.800000,312100
2015-06-16,1.780000,1.790000,1.750000,1.770000,1.770000,39300
2015-06-17,1.760000,1.830000,1.740000,1.820000,1.820000,62300
2015-06-18,1.850000,1.910000,1.840000,1.860000,1.860000,83700
2015-06-19,1.840000,1.900000,1.830000,1.850000,1.850000,82900
2015-06-22,1.820000,1.840000,1.800000,1.830000,1.830000,47900
2015-06-23,1.810000,1.840000,1.780000,1.820000,1.820000,41000
2015-06-24,1.770000,1.840000,1.750000,1.750000,1.750000,50300
2015-06-25,1.800000,1.830000,1.780000,1.800000,1.800000,67600
2015-06-26,1.770000,1.940000,1.770000,1.870000,1.870000,132500
2015-06-29,1.880000,1.880000,1.740000,1.740000,1.740000,100400
2015-06-30,1.770000,1.800000,1.710000,1.710000,1.710000,64000
2015-07-01,1.740000,1.760000,1.700000,1.730000,1.730000,65900
2015-07-02,1.720000,1.780000,1.710000,1.780000,1.780000,49700
