Date,Open,High,Low,Close,Adj Close,Volume
2015-04-23,45.849998,46.220001,45.470001,45.810001,40.354332,203200
2015-04-24,45.860001,46.240002,45.320000,45.680000,40.239811,132200
2015-04-27,45.759998,45.910000,45.340000,45.610001,40.178150,400500
2015-04-28,45.430000,46.200001,45.380001,46.180000,40.680256,196300
2015-04-29,46.000000,46.759998,44.639999,45.389999,39.984352,1169100
2015-04-30,47.110001,48.000000,41.020000,42.740002,37.649952,2461100
2015-05-01,42.610001,44.730000,42.490002,43.959999,38.724655,601700
2015-05-04,43.950001,44.509998,43.599998,43.650002,38.451572,517400
2015-05-05,43.389999,43.980000,41.919998,42.049999,37.042122,560000
2015-05-06,42.490002,42.520000,41.830002,42.029999,37.024509,400400
2015-05-07,41.849998,42.799999,41.639999,42.770000,37.676373,542300
2015-05-08,43.290001,43.500000,42.990002,43.119999,37.984688,215900
2015-05-11,43.000000,43.119999,42.639999,42.730000,37.641148,395200
2015-05-12,42.650002,42.990002,41.950001,42.400002,37.350433,561600
2015-05-13,42.520000,43.040001,42.230000,42.970001,37.852551,354000
2015-05-14,43.020000,43.540001,42.810001,43.279999,38.125637,571400
2015-05-15,43.240002,43.340000,42.889999,43.189999,38.046360,336400
2015-05-18,43.130001,43.619999,42.680000,43.520000,38.337055,687700
2015-05-19,43.580002,43.669998,43.209999,43.430000,38.257778,493600
2015-05-20,43.540001,43.720001,43.070000,43.340000,38.178497,1118000
2015-05-21,43.349998,43.750000,42.889999,43.160000,38.019932,469900
2015-05-22,42.930000,43.369999,42.849998,43.209999,38.063969,277700
2015-05-26,42.759998,43.130001,41.849998,42.410000,37.359257,416200
2015-05-27,42.160000,42.500000,41.779999,42.299999,37.456661,435900
2015-05-28,42.020000,42.150002,41.590000,41.830002,37.040462,264400
2015-05-29,41.750000,41.990002,41.340000,41.470001,36.721687,433200
2015-06-01,41.669998,41.880001,41.020000,41.139999,36.429474,577300
2015-06-02,41.169998,41.740002,41.070000,41.450001,36.703979,857500
2015-06-03,41.669998,42.070000,41.439999,41.709999,36.934216,435700
2015-06-04,41.480000,41.779999,41.220001,41.389999,36.650848,238000
2015-06-05,41.320000,41.709999,41.080002,41.549999,36.792526,168600
2015-06-08,41.480000,41.790001,41.169998,41.290001,36.562302,171800
2015-06-09,41.340000,41.730000,41.189999,41.529999,36.774818,295900
2015-06-10,41.860001,42.180000,41.799999,41.869999,37.075890,478500
2015-06-11,41.889999,42.099998,41.740002,41.900002,37.102459,294100
2015-06-12,41.680000,41.860001,41.509998,41.720001,36.943069,370000
2015-06-15,41.500000,41.680000,41.040001,41.250000,36.526882,336400
2015-06-16,41.250000,41.680000,41.070000,41.490002,36.739403,360500
2015-06-17,41.599998,41.840000,41.189999,41.259998,36.535736,210200
2015-06-18,41.419998,41.759998,41.000000,41.650002,36.881084,298500
2015-06-19,41.599998,41.750000,41.290001,41.299999,36.571152,302700
2015-06-22,41.560001,41.740002,41.369999,41.580002,36.819096,345000
2015-06-23,41.529999,41.779999,41.259998,41.290001,36.562302,373800
2015-06-24,41.259998,41.259998,40.709999,41.009998,36.314358,285200
2015-06-25,41.049999,41.240002,40.830002,41.150002,36.438324,361500
2015-06-26,41.180000,41.369999,40.689999,40.689999,36.030998,713100
2015-06-29,40.389999,40.650002,37.919998,37.980000,33.631294,1513900
2015-06-30,38.509998,38.509998,37.240002,37.290001,33.020306,894100
2015-07-01,37.650002,38.000000,37.330002,37.349998,33.073433,491600
2015-07-02,37.490002,37.849998,37.439999,37.810001,33.480766,780500
