Date,Open,High,Low,Close,Adj Close,Volume
2015-04-23,12.940000,13.020000,12.350000,12.940000,12.940000,2940800
2015-04-24,12.940000,13.430000,12.900000,13.040000,13.040000,1275900
2015-04-27,13.090000,13.580000,13.040000,13.400000,13.400000,2674300
2015-04-28,13.450000,13.840000,13.180000,13.240000,13.240000,2040300
2015-04-29,13.200000,13.300000,12.910000,13.100000,13.100000,1933900
2015-04-30,12.990000,13.140000,12.600000,12.890000,12.890000,3138800
2015-05-01,13.730000,14.980000,13.440000,14.600000,14.600000,7615000
2015-05-04,14.520000,14.740000,14.230000,14.330000,14.330000,3079300
2015-05-05,14.410000,14.560000,13.960000,14.320000,14.320000,2606300
2015-05-06,14.310000,14.450000,13.250000,13.540000,13.540000,3098600
2015-05-07,13.440000,13.630000,13.030000,13.350000,13.350000,2366900
2015-05-08,13.600000,13.990000,13.300000,13.930000,13.930000,2931700
2015-05-11,13.970000,14.350000,13.940000,14.070000,14.070000,2537500
2015-05-12,14.030000,14.200000,13.740000,14.160000,14.160000,2817900
2015-05-13,14.160000,14.740000,14.140000,14.240000,14.240000,2300200
2015-05-14,14.360000,14.740000,14.090000,14.170000,14.170000,1813200
2015-05-15,14.080000,14.140000,13.670000,13.790000,13.790000,1922700
2015-05-18,13.720000,13.780000,13.450000,13.720000,13.720000,1962700
2015-05-19,13.750000,13.780000,13.000000,13.090000,13.090000,2033900
2015-05-20,13.230000,13.230000,12.520000,12.610000,12.610000,2354800
2015-05-21,12.610000,13.050000,12.610000,12.970000,12.970000,2089200
2015-05-22,12.920000,13.070000,12.680000,12.730000,12.730000,1690700
2015-05-26,12.640000,12.640000,12.130000,12.280000,12.280000,1794000
2015-05-27,12.280000,12.420000,12.090000,12.290000,12.290000,1371600
2015-05-28,12.160000,12.160000,11.010000,11.510000,11.510000,4636500
2015-05-29,11.440000,11.470000,11.110000,11.180000,11.180000,3038900
2015-06-01,11.160000,11.730000,10.670000,11.730000,11.730000,7162000
2015-06-02,11.760000,12.600000,11.680000,12.210000,12.210000,3292000
