Date,Open,High,Low,Close,Adj Close,Volume
2015-04-23,6.990000,7.010000,6.880000,7.010000,5.340436,50100
2015-04-24,7.020000,7.040000,6.980000,6.980000,5.317580,82300
2015-04-27,7.130000,7.360000,7.040000,7.360000,5.607076,51300
2015-04-28,7.850000,7.850000,7.400000,7.480000,5.698496,17200
2015-04-29,7.680000,8.160000,7.660000,7.890000,6.010846,16500
2015-04-30,7.790000,8.230000,7.700000,7.950000,6.056556,8300
2015-05-01,7.940000,7.940000,7.940000,7.940000,6.048938,200
2015-05-04,7.800000,7.930000,7.720000,7.830000,5.965137,15200
2015-05-05,7.670000,7.830000,7.650000,7.770000,5.919427,20900
2015-05-06,7.720000,7.920000,7.720000,7.880000,6.003228,3500
2015-05-07,7.970000,7.970000,7.770000,7.800000,5.942282,26800
2015-05-08,7.790000,7.830000,7.740000,7.820000,5.957519,185200
2015-05-11,7.770000,7.810000,7.770000,7.800000,5.942282,3500
2015-05-12,7.770000,7.960000,7.770000,7.800000,5.942282,35500
2015-05-13,7.770000,7.850000,7.680000,7.680000,5.850862,40500
2015-05-14,7.700000,7.750000,7.680000,7.750000,5.904190,26300
2015-05-15,7.800000,8.060000,7.750000,7.950000,6.056556,282200
2015-05-18,7.610000,8.080000,7.610000,7.870000,5.995610,114300
2015-05-19,7.980000,7.980000,7.180000,7.400000,5.637549,638000
2015-05-20,7.350000,7.630000,7.180000,7.430000,5.660405,54500
2015-05-21,7.620000,7.790000,7.430000,7.430000,5.660405,5900
2015-05-22,7.480000,7.580000,7.390000,7.510000,5.721351,6800
2015-05-26,7.520000,7.600000,7.300000,7.510000,5.721351,21200
2015-05-27,7.510000,7.630000,7.370000,7.460000,5.683259,2800
2015-05-28,7.020000,7.590000,7.000000,7.400000,5.637549,7500
2015-05-29,7.380000,7.640000,7.200000,7.600000,5.789916,31700
2015-06-01,7.560000,7.680000,7.500000,7.540000,5.744205,161200
2015-06-02,7.720000,7.780000,7.540000,7.590000,5.782298,80500
2015-06-03,7.610000,7.700000,7.600000,7.600000,5.789916,6600
2015-06-04,7.660000,7.710000,7.460000,7.610000,5.797534,6200
2015-06-05,7.440000,7.680000,7.140000,7.430000,5.660405,45400
2015-06-08,7.420000,7.560000,7.400000,7.410000,5.645167,12200
2015-06-09,7.400000,7.610000,7.350000,7.420000,5.652786,22000
2015-06-10,7.540000,7.560000,7.420000,7.420000,5.652786,8200
2015-06-11,7.460000,7.650000,7.420000,7.500000,5.713732,15500
2015-06-12,7.450000,7.560000,7.450000,7.490000,5.706114,2800
2015-06-15,7.500000,7.510000,7.310000,7.490000,5.706114,56500
2015-06-16,7.440000,7.780000,7.340000,7.520000,5.728969,104600
2015-06-17,7.570000,7.570000,7.270000,7.280000,5.546130,98600
2015-06-18,7.410000,7.550000,7.400000,7.490000,5.706114,34400
2015-06-19,7.520000,7.690000,7.510000,7.630000,5.812770,60400
2015-06-22,7.610000,7.920000,7.580000,7.840000,5.972755,76100
2015-06-23,7.920000,8.020000,7.890000,7.900000,6.018465,30700
2015-06-24,7.980000,8.160000,7.880000,7.920000,6.033702,45300
2015-06-25,7.950000,7.950000,7.780000,7.860000,5.987992,3500
2015-06-26,7.860000,8.080000,7.860000,8.030000,6.117503,12000
