Date,Open,High,Low,Close,Adj Close,Volume
2015-04-23,6.490000,6.490000,6.490000,6.490000,6.490000,0
2015-04-24,6.490000,6.490000,6.490000,6.490000,6.490000,0
2015-04-27,6.490000,6.490000,6.490000,6.490000,6.490000,0
2015-04-28,6.490000,6.490000,6.490000,6.490000,6.490000,0
2015-04-29,6.450000,6.450000,6.450000,6.450000,6.450000,100
2015-04-30,4.910000,4.910000,4.910000,4.910000,4.910000,200
2015-05-01,4.910000,5.100000,4.910000,5.100000,5.100000,300
2015-05-04,5.100000,5.100000,5.100000,5.100000,5.100000,0
2015-05-05,4.900000,4.900000,4.900000,4.900000,4.900000,300
2015-05-06,4.900000,4.900000,4.900000,4.900000,4.900000,0
2015-05-07,4.900000,4.900000,4.900000,4.900000,4.900000,0
2015-05-08,4.900000,4.900000,4.900000,4.900000,4.900000,0
2015-05-11,4.910000,4.910000,4.910000,4.910000,4.910000,300
2015-05-12,4.910000,4.910000,4.910000,4.910000,4.910000,0
2015-05-13,4.910000,4.910000,4.910000,4.910000,4.910000,0
2015-05-14,4.910000,4.910000,4.910000,4.910000,4.910000,0
2015-05-15,6.400000,6.400000,6.400000,6.400000,6.400000,500
2015-05-18,6.400000,6.400000,6.400000,6.400000,6.400000,0
2015-05-19,5.100000,5.100000,5.100000,5.100000,5.100000,300
2015-05-20,5.100000,5.100000,5.100000,5.100000,5.100000,500
2015-05-21,5.100000,5.100000,5.100000,5.100000,5.100000,0
2015-05-22,5.100000,5.100000,5.100000,5.100000,5.100000,0
2015-05-26,5.100000,5.100000,5.100000,5.100000,5.100000,0
2015-05-27,5.100000,5.100000,5.100000,5.100000,5.100000,0
2015-05-28,5.100000,5.100000,5.100000,5.100000,5.100000,0
2015-05-29,5.100000,5.100000,5.100000,5.100000,5.100000,0
2015-06-01,5.100000,5.100000,5.100000,5.100000,5.100000,0
2015-06-02,4.900000,4.910000,4.900000,4.910000,4.910000,1000
2015-06-03,4.910000,4.910000,4.910000,4.910000,4.910000,0
2015-06-04,4.910000,4.910000,4.910000,4.910000,4.910000,200
2015-06-05,5.000000,5.000000,5.000000,5.000000,5.000000,200
2015-06-08,5.000000,5.000000,5.000000,5.000000,5.000000,0
2015-06-09,5.000000,5.000000,5.000000,5.000000,5.000000,0
2015-06-10,5.000000,5.000000,5.000000,5.000000,5.000000,0
2015-06-11,5.000000,5.000000,5.000000,5.000000,5.000000,0
2015-06-12,4.910000,4.910000,4.910000,4.910000,4.910000,1000
2015-06-15,4.910000,4.910000,4.910000,4.910000,4.910000,0
2015-06-16,4.900000,4.900000,4.900000,4.900000,4.900000,100
2015-06-17,4.900000,4.900000,4.900000,4.900000,4.900000,0
2015-06-18,4.900000,4.900000,4.900000,4.900000,4.900000,0
2015-06-19,4.900000,4.900000,4.900000,4.900000,4.900000,0
2015-06-22,4.900000,4.900000,4.900000,4.900000,4.900000,0
2015-06-23,4.900000,4.900000,4.900000,4.900000,4.900000,0
2015-06-24,5.000000,5.000000,5.000000,5.000000,5.000000,500
2015-06-25,5.000000,5.000000,5.000000,5.000000,5.000000,0
2015-06-26,5.000000,5.000000,5.000000,5.000000,5.000000,0
2015-06-29,4.010000,4.100000,4.010000,4.100000,4.100000,500
2015-06-30,4.010000,4.250000,4.010000,4.250000,4.250000,1100
2015-07-01,4.140000,4.140000,4.140000,4.140000,4.140000,300
2015-07-02,4.140000,4.140000,4.140000,4.140000,4.140000,0
2015-07-06,4.140000,4.140000,4.140000,4.140000,4.140000,0
2015-07-07,4.750000,4.750000,4.750000,4.750000,4.750000,100
2015-07-08,5.000000,5.000000,4.990000,4.990000,4.990000,300
2015-07-09,4.990000,4.990000,4.990000,4.990000,4.990000,0
2015-07-10,4.210000,4.210000,4.210000,4.210000,4.210000,100
2015-07-13,4.210000,4.210000,4.210000,4.210000,4.210000,0
2015-07-14,4.210000,4.210000,4.210000,4.210000,4.210000,0
2015-07-15,4.210000,4.210000,4.210000,4.210000,4.210000,100
2015-07-16,4.210000,4.210000,4.210000,4.210000,4.210000,0
2015-07-17,4.210000,4.210000,4.210000,4.210000,4.210000,0
2015-07-20,4.210000,4.210000,4.210000,4.210000,4.210000,0
2015-07-21,4.200000,4.200000,2.510000,2.510000,2.510000,400
2015-07-22,3.600000,3.600000,3.600000,3.600000,3.600000,200
2015-07-23,3.600000,3.600000,3.600000,3.600000,3.600000,0
2015-07-24,3.600000,3.600000,3.600000,3.600000,3.600000,0
2015-07-27,3.600000,3.600000,3.600000,3.600000,3.600000,0
2015-07-28,5.000000,5.000000,4.990000,4.990000,4.990000,500
2015-07-29,4.990000,4.990000,4.990000,4.990000,4.990000,0
2015-07-30,4.990000,4.990000,4.990000,4.990000,4.990000,0
2015-07-31,4.990000,4.990000,4.990000,4.990000,4.990000,0
2015-08-03,4.990000,4.990000,4.990000,4.990000,4.990000,0
2015-08-04,4.990000,4.990000,4.990000,4.990000,4.990000,0
2015-08-05,4.990000,4.990000,4.990000,4.990000,4.990000,0
2015-08-06,3.750000,3.750000,3.500000,3.500000,3.500000,3200
2015-08-07,3.500000,3.500000,3.500000,3.500000,3.500000,0
2015-08-10,3.500000,3.500000,3.500000,3.500000,3.500000,0
2015-08-11,3.500000,3.500000,3.500000,3.500000,3.500000,300
2015-08-12,3.750000,3.750000,3.500000,3.500000,3.500000,2200
2015-08-13,4.000000,4.000000,4.000000,4.000000,4.000000,1800
2015-08-14,4.000000,4.000000,4.000000,4.000000,4.000000,0
2015-08-17,4.000000,4.000000,4.000000,4.000000,4.000000,0
2015-08-18,4.000000,4.000000,4.000000,4.000000,4.000000,200
2015-08-19,4.000000,4.000000,4.000000,4.000000,4.000000,0
2015-08-20,4.000000,4.000000,4.000000,4.000000,4.000000,0
2015-08-21,4.750000,4.750000,4.740000,4.740000,4.740000,1300
2015-08-24,4.740000,4.740000,4.740000,4.740000,4.740000,0
2015-08-25,3.510000,4.270000,3.510000,4.270000,4.270000,800
2015-08-26,3.510000,3.510000,3.510000,3.510000,3.510000,500
2015-08-27,3.510000,3.510000,3.510000,3.510000,3.510000,0
2015-08-28,3.510000,3.510000,3.510000,3.510000,3.510000,0
2015-08-31,4.490000,4.490000,4.470000,4.470000,4.470000,300
2015-09-01,4.490000,4.750000,4.490000,4.500000,4.500000,11300
2015-09-02,4.500000,4.500000,4.500000,4.500000,4.500000,0
2015-09-03,4.500000,4.500000,4.500000,4.500000,4.500000,0
