Date,Open,High,Low,Close,Adj Close,Volume
2015-04-23,1.050000,1.100000,1.050000,1.050000,1.050000,288300
2015-04-24,1.050000,1.050000,1.050000,1.050000,1.050000,106300
2015-04-27,1.050000,1.050000,1.000000,1.000000,1.000000,157500
2015-04-28,1.050000,1.050000,1.000000,1.050000,1.050000,305900
2015-04-29,1.050000,1.100000,1.050000,1.050000,1.050000,293100
2015-04-30,1.050000,1.100000,1.050000,1.100000,1.100000,214200
2015-05-01,1.100000,1.100000,1.050000,1.100000,1.100000,154500
2015-05-04,1.050000,1.100000,1.050000,1.050000,1.050000,303600
2015-05-05,1.100000,1.100000,1.050000,1.050000,1.050000,249900
2015-05-06,1.050000,1.100000,1.000000,1.050000,1.050000,121500
2015-05-07,1.050000,1.150000,1.000000,1.150000,1.150000,246500
2015-05-08,1.150000,1.350000,1.150000,1.300000,1.300000,633100
2015-05-11,1.500000,1.600000,1.500000,1.500000,1.500000,755400
2015-05-12,1.550000,1.750000,1.550000,1.700000,1.700000,738700
2015-05-13,1.750000,2.100000,1.750000,1.850000,1.850000,2210300
2015-05-14,1.850000,1.950000,1.650000,1.750000,1.750000,727200
2015-05-15,1.750000,1.900000,1.750000,1.850000,1.850000,245700
2015-05-18,1.850000,1.850000,1.750000,1.800000,1.800000,118600
2015-05-19,1.750000,1.800000,1.550000,1.650000,1.650000,281800
2015-05-20,1.650000,1.700000,1.550000,1.700000,1.700000,124900
2015-05-21,1.700000,1.750000,1.600000,1.600000,1.600000,81400
2015-05-22,1.700000,1.700000,1.600000,1.650000,1.650000,84900
2015-05-26,1.600000,1.650000,1.600000,1.600000,1.600000,199600
2015-05-27,1.600000,1.650000,1.600000,1.650000,1.650000,127600
2015-05-28,1.650000,1.750000,1.600000,1.700000,1.700000,139500
2015-05-29,1.650000,1.800000,1.650000,1.750000,1.750000,131100
2015-06-01,1.800000,1.800000,1.700000,1.700000,1.700000,77000
2015-06-02,1.650000,1.700000,1.650000,1.700000,1.700000,43700
2015-06-03,1.650000,1.700000,1.600000,1.700000,1.700000,60400
2015-06-04,1.650000,1.750000,1.550000,1.550000,1.550000,130200
2015-06-05,1.550000,1.600000,1.550000,1.600000,1.600000,57900
2015-06-08,1.650000,1.700000,1.600000,1.650000,1.650000,41400
2015-06-09,1.700000,1.700000,1.600000,1.700000,1.700000,67300
2015-06-10,1.700000,1.750000,1.650000,1.650000,1.650000,33900
2015-06-11,1.600000,1.700000,1.500000,1.600000,1.600000,59400
2015-06-12,1.600000,1.600000,1.550000,1.600000,1.600000,71100
2015-06-15,1.550000,1.600000,1.550000,1.600000,1.600000,36100
2015-06-16,1.550000,1.600000,1.550000,1.550000,1.550000,133500
2015-06-17,1.550000,1.600000,1.500000,1.550000,1.550000,80400
2015-06-18,1.550000,1.650000,1.550000,1.600000,1.600000,111000
2015-06-19,1.600000,1.650000,1.550000,1.600000,1.600000,55400
2015-06-22,1.550000,1.650000,1.550000,1.650000,1.650000,39800
2015-06-23,1.600000,1.700000,1.550000,1.700000,1.700000,90700
2015-06-24,1.700000,1.700000,1.600000,1.650000,1.650000,58100
2015-06-25,1.650000,1.650000,1.600000,1.600000,1.600000,29500
2015-06-26,1.600000,1.650000,1.550000,1.650000,1.650000,31900
2015-06-29,1.600000,1.650000,1.550000,1.650000,1.650000,81600
2015-06-30,1.650000,1.700000,1.550000,1.700000,1.700000,68200
2015-07-01,1.550000,1.650000,1.550000,1.650000,1.650000,72700
2015-07-02,1.600000,1.650000,1.550000,1.600000,1.600000,57800
2015-07-06,1.550000,1.600000,1.500000,1.550000,1.550000,82200
2015-07-07,1.500000,1.500000,1.300000,1.450000,1.450000,258500
2015-07-08,1.300000,1.400000,1.300000,1.350000,1.350000,107700
2015-07-09,1.350000,1.450000,1.350000,1.350000,1.350000,108100
2015-07-10,1.350000,1.400000,1.300000,1.350000,1.350000,101500
2015-07-13,1.350000,1.400000,1.300000,1.400000,1.400000,103500
2015-07-14,1.400000,1.400000,1.350000,1.400000,1.400000,37800
2015-07-15,1.400000,1.400000,1.300000,1.300000,1.300000,91600
2015-07-16,1.300000,1.350000,1.200000,1.250000,1.250000,130000
2015-07-17,1.250000,1.250000,1.200000,1.250000,1.250000,108500
2015-07-20,1.150000,1.700000,1.100000,1.450000,1.450000,364100
2015-07-21,1.450000,1.450000,1.300000,1.350000,1.350000,84400
2015-07-22,1.250000,1.300000,1.250000,1.250000,1.250000,93600
2015-07-23,1.250000,1.300000,1.200000,1.250000,1.250000,64500
2015-07-24,1.250000,1.250000,1.100000,1.250000,1.250000,113400
2015-07-27,1.200000,1.400000,1.200000,1.300000,1.300000,161300
2015-07-28,1.400000,1.400000,1.150000,1.200000,1.200000,183700
2015-07-29,1.200000,1.300000,1.150000,1.300000,1.300000,67500
2015-07-30,1.250000,1.300000,1.150000,1.150000,1.150000,155000
2015-07-31,1.200000,1.250000,1.100000,1.150000,1.150000,126600
2015-08-03,1.150000,1.200000,1.050000,1.100000,1.100000,118500
2015-08-04,1.150000,1.250000,1.000000,1.050000,1.050000,115200
