Date,Open,High,Low,Close,Adj Close,Volume
2015-04-23,42.590000,44.540001,42.450001,44.330002,39.106373,35600
2015-04-24,44.340000,45.500000,44.340000,45.349998,40.006176,24500
2015-04-27,45.990002,46.500000,45.349998,45.750000,40.359047,26100
2015-04-28,46.000000,46.830002,46.000000,46.669998,41.170643,23300
2015-04-29,46.590000,46.590000,45.150002,45.330002,39.988544,20100
2015-04-30,45.040001,45.779999,43.480000,44.470001,39.229877,36700
2015-05-01,44.650002,44.650002,43.509998,44.560001,39.309269,32700
2015-05-04,44.500000,45.419998,44.400002,44.610001,39.353382,22800
2015-05-05,44.320000,44.680000,43.369999,44.270000,39.053448,34500
2015-05-06,44.380001,44.689999,42.090000,43.919998,38.744686,29100
2015-05-07,43.099998,43.310001,42.509998,42.950001,37.888981,32800
2015-05-08,46.799999,49.869999,46.799999,48.520000,42.802643,80100
2015-05-11,48.540001,49.200001,47.900002,48.150002,42.476242,59900
2015-05-12,48.270000,49.290001,47.470001,48.990002,43.217262,59100
2015-05-13,49.430000,49.430000,47.820000,48.400002,42.696777,42200
2015-05-14,48.500000,49.169998,48.340000,48.790001,43.040836,33400
2015-05-15,48.820000,48.820000,47.240002,47.770000,42.141018,50500
2015-05-18,47.860001,48.660000,47.340000,48.160000,42.485058,29200
2015-05-19,48.150002,48.900002,47.029999,48.520000,42.802643,60100
2015-05-20,48.500000,49.509998,48.160000,49.450001,43.623066,37400
2015-05-21,49.400002,49.790001,48.660000,48.860001,43.102585,28300
2015-05-22,48.919998,49.480000,47.330002,47.730000,42.105736,35900
2015-05-26,47.459999,48.360001,46.040001,48.139999,42.467434,54000
2015-05-27,48.470001,48.470001,46.880001,48.299999,42.608566,25600
2015-05-28,47.810001,47.900002,47.029999,47.599998,42.183193,21000
2015-05-29,47.599998,48.090000,46.500000,47.150002,41.784405,55200
2015-06-01,47.779999,47.779999,46.099998,46.380001,41.102028,41800
2015-06-02,46.410000,47.950001,45.790001,47.209999,41.837574,73000
2015-06-03,47.500000,48.430000,46.869999,47.680000,42.254082,57300
2015-06-04,47.599998,47.759998,46.360001,46.930000,41.589436,24100
2015-06-05,46.860001,47.369999,46.000000,47.000000,41.651470,37800
2015-06-08,46.709999,47.119999,46.430000,46.750000,41.429916,24300
2015-06-09,46.820000,46.950001,46.400002,46.779999,41.456501,40000
2015-06-10,46.750000,48.349998,46.750000,47.700001,42.271816,52000
2015-06-11,47.750000,48.520000,47.410000,48.450001,42.936470,31500
2015-06-12,48.389999,49.430000,48.270000,48.770000,43.220043,49500
2015-06-15,48.669998,48.860001,47.189999,48.020000,42.555397,43900
2015-06-16,48.160000,49.790001,47.430000,49.000000,43.423878,64200
2015-06-17,49.389999,49.389999,48.270000,48.860001,43.299809,43400
2015-06-18,48.880001,50.099998,48.500000,49.529999,43.893555,43900
2015-06-19,49.669998,50.020000,48.209999,48.470001,42.954185,71500
2015-06-22,49.049999,49.299999,48.340000,48.750000,43.202324,68100
2015-06-23,49.029999,49.570000,48.509998,49.529999,43.893555,54100
2015-06-24,49.279999,50.380001,49.279999,50.220001,44.505035,76400
2015-06-25,50.169998,50.560001,49.630001,50.450001,44.708858,44000
2015-06-26,50.500000,51.700001,49.529999,51.700001,45.816628,157700
2015-06-29,51.160000,51.599998,49.820000,49.970001,44.283493,70500
2015-06-30,50.459999,50.590000,49.040001,49.320000,43.707458,68200
2015-07-01,50.110001,50.360001,48.980000,50.040001,44.345516,76900
2015-07-02,50.040001,50.220001,48.380001,49.520000,43.884701,35200
2015-07-06,49.020000,50.500000,48.279999,49.770000,44.106243,64200
2015-07-07,49.419998,49.419998,47.520000,47.889999,42.440201,77400
2015-07-08,47.680000,48.189999,47.680000,48.040001,42.573120,90500
2015-07-09,48.770000,48.799999,47.150002,47.840000,42.395878,64100
2015-07-10,48.750000,48.750000,47.529999,47.790001,42.351566,40900
2015-07-13,48.200001,48.200001,47.770000,48.049999,42.581978,86800
2015-07-14,48.180000,48.200001,47.669998,47.880001,42.431328,52000
2015-07-15,47.930000,47.930000,45.570000,45.790001,40.579166,56200
2015-07-16,46.299999,46.299999,45.490002,46.009998,40.774132,60600
2015-07-17,46.180000,46.209999,45.310001,45.720001,40.517132,54900
2015-07-20,45.680000,45.730000,44.250000,44.310001,39.267597,46300
2015-07-21,44.230000,45.200001,43.759998,44.299999,39.258724,40300
2015-07-22,44.349998,44.509998,43.650002,44.080002,39.063751,42200
2015-07-23,44.340000,44.369999,42.959999,43.110001,38.204147,54600
2015-07-24,43.250000,43.250000,40.889999,41.610001,36.874844,78500
2015-07-27,41.480000,42.700001,41.480000,41.980000,37.202744,80300
2015-07-28,42.150002,43.090000,41.770000,42.580002,37.734459,72000
2015-07-29,42.709999,43.490002,42.709999,43.080002,38.177555,74300
2015-07-30,42.900002,43.150002,41.709999,42.779999,37.911705,77800
2015-07-31,43.060001,43.270000,42.299999,42.570000,37.725590,48600
2015-08-03,42.490002,42.990002,41.849998,42.419998,37.592670,59000
2015-08-04,42.720001,43.349998,41.820000,42.130001,37.335663,48600
2015-08-05,42.669998,43.240002,41.950001,42.049999,37.264767,57600
2015-08-06,42.230000,43.299999,41.180000,42.910000,38.026909,80800
2015-08-07,36.650002,42.349998,36.650002,40.270000,35.687328,168200
2015-08-10,40.320000,43.650002,40.049999,43.160000,38.248455,138500
2015-08-11,42.820000,42.820000,41.139999,41.689999,36.945747,68000
2015-08-12,41.360001,41.669998,40.400002,41.320000,36.617847,67300
2015-08-13,41.380001,41.380001,40.080002,40.180000,35.607578,47700
2015-08-14,40.259998,41.209999,40.250000,41.000000,36.334259,95400
2015-08-17,40.639999,41.410000,39.919998,41.020000,36.351990,63800
2015-08-18,40.759998,40.759998,39.540001,39.830002,35.297409,40100
2015-08-19,39.770000,39.770000,38.709999,39.080002,34.632755,41300
2015-08-20,38.930000,39.240002,38.279999,38.360001,33.994690,79300
2015-08-21,37.709999,38.619999,37.709999,37.880001,33.569317,49400
2015-08-24,36.099998,37.770000,34.799999,36.000000,31.903255,125600
2015-08-25,37.310001,37.310001,35.160000,35.380001,31.353809,59500
2015-08-26,36.220001,36.369999,35.000000,36.369999,32.231152,78400
2015-08-27,36.770000,38.470001,36.470001,38.369999,34.003548,102200
2015-08-28,37.939999,38.520000,37.500000,38.310001,34.146164,56300
2015-08-31,37.889999,38.330002,37.400002,38.220001,34.065952,45000
2015-09-01,37.480000,38.040001,37.320000,37.340000,33.281586,44400
2015-09-02,37.759998,38.599998,37.549999,38.599998,34.404640,51000
2015-09-03,38.619999,39.529999,37.849998,38.180000,34.030293,68800
