Date,Open,High,Low,Close,Adj Close,Volume
2015-04-23,1.650000,1.680000,1.590000,1.660000,1.660000,40500
2015-04-24,1.640000,1.870000,1.610000,1.860000,1.860000,66000
2015-04-27,1.900000,1.900000,1.810000,1.840000,1.840000,37300
2015-04-28,1.810000,1.830000,1.800000,1.810000,1.810000,15500
2015-04-29,1.810000,1.820000,1.800000,1.800000,1.800000,12300
2015-04-30,1.810000,1.820000,1.770000,1.800000,1.800000,12500
2015-05-01,1.800000,1.800000,1.770000,1.800000,1.800000,16200
2015-05-04,1.800000,1.810000,1.780000,1.790000,1.790000,6600
2015-05-05,1.800000,1.800000,1.790000,1.800000,1.800000,4300
2015-05-06,1.820000,1.820000,1.670000,1.740000,1.740000,19500
2015-05-07,1.750000,1.750000,1.710000,1.710000,1.710000,3200
2015-05-08,1.710000,1.710000,1.680000,1.700000,1.700000,8600
2015-05-11,1.680000,1.700000,1.650000,1.700000,1.700000,6100
2015-05-12,1.660000,1.660000,1.660000,1.660000,1.660000,1100
2015-05-13,1.690000,1.690000,1.650000,1.660000,1.660000,18100
2015-05-14,1.650000,1.660000,1.610000,1.640000,1.640000,16800
2015-05-15,1.630000,1.640000,1.630000,1.640000,1.640000,18500
2015-05-18,1.630000,1.640000,1.600000,1.630000,1.630000,55100
2015-05-19,1.620000,1.640000,1.600000,1.630000,1.630000,10500
2015-05-20,1.600000,1.610000,1.580000,1.590000,1.590000,5400
2015-05-21,1.590000,1.610000,1.580000,1.610000,1.610000,29300
2015-05-22,1.580000,1.590000,1.580000,1.580000,1.580000,3500
2015-05-26,1.580000,1.580000,1.580000,1.580000,1.580000,9600
2015-05-27,1.560000,1.580000,1.520000,1.550000,1.550000,19500
2015-05-28,1.530000,1.560000,1.530000,1.530000,1.530000,22600
2015-05-29,1.530000,1.600000,1.530000,1.550000,1.550000,67700
2015-06-01,1.610000,1.610000,1.560000,1.560000,1.560000,5800
2015-06-02,1.560000,1.560000,1.530000,1.540000,1.540000,31500
2015-06-03,1.540000,1.540000,1.530000,1.540000,1.540000,43200
