Date,Open,High,Low,Close,Adj Close,Volume
2015-04-23,2.040000,2.250000,2.040000,2.190000,2.190000,7300
2015-04-24,2.190000,2.190000,2.100000,2.100000,2.100000,2000
2015-04-27,2.070000,2.190000,2.070000,2.190000,2.190000,11200
2015-04-28,2.100000,2.130000,2.070000,2.130000,2.130000,9900
2015-04-29,2.100000,2.130000,2.040000,2.100000,2.100000,15300
2015-04-30,2.100000,2.100000,2.040000,2.040000,2.040000,2600
2015-05-01,2.040000,2.070000,2.010000,2.010000,2.010000,4000
2015-05-04,1.980000,2.100000,1.950000,2.010000,2.010000,4900
2015-05-05,1.980000,2.100000,1.950000,1.950000,1.950000,1400
2015-05-06,2.010000,2.100000,1.980000,2.100000,2.100000,36300
2015-05-07,2.100000,2.100000,1.860000,2.070000,2.070000,38700
2015-05-08,2.100000,2.100000,2.070000,2.100000,2.100000,4200
2015-05-11,2.010000,2.100000,1.980000,2.100000,2.100000,3700
2015-05-12,2.100000,2.100000,2.100000,2.100000,2.100000,2600
2015-05-13,2.100000,2.100000,1.920000,2.100000,2.100000,11300
2015-05-14,2.100000,2.100000,1.980000,2.100000,2.100000,79700
2015-05-15,2.040000,2.100000,2.040000,2.070000,2.070000,1900
2015-05-18,2.070000,2.070000,1.980000,1.980000,1.980000,100
2015-05-19,2.070000,2.100000,2.010000,2.010000,2.010000,6300
2015-05-20,2.100000,2.130000,2.010000,2.100000,2.100000,7000
2015-05-21,2.100000,2.100000,2.100000,2.100000,2.100000,600
2015-05-22,2.040000,2.100000,2.010000,2.010000,2.010000,1300
2015-05-26,2.100000,2.340000,2.100000,2.280000,2.280000,99400
2015-05-27,2.190000,2.250000,2.070000,2.250000,2.250000,5100
2015-05-28,2.310000,2.340000,2.130000,2.160000,2.160000,6500
2015-05-29,2.310000,2.460000,2.160000,2.340000,2.340000,11300
2015-06-01,2.370000,2.370000,2.370000,2.370000,2.370000,1900
2015-06-02,2.460000,2.850000,2.460000,2.730000,2.730000,42500
2015-06-03,2.730000,2.850000,2.700000,2.790000,2.790000,62800
2015-06-04,2.820000,2.970000,2.790000,2.940000,2.940000,60400
2015-06-05,2.790000,2.940000,2.400000,2.670000,2.670000,7900
2015-06-08,2.760000,2.850000,2.640000,2.640000,2.640000,8700
2015-06-09,2.700000,2.790000,2.640000,2.760000,2.760000,7600
2015-06-10,2.760000,2.760000,2.610000,2.670000,2.670000,2100
2015-06-11,2.760000,2.850000,2.610000,2.850000,2.850000,16100
2015-06-12,2.700000,2.850000,2.580000,2.850000,2.850000,4000
2015-06-15,2.850000,2.880000,2.640000,2.700000,2.700000,800
2015-06-16,2.640000,2.880000,2.640000,2.820000,2.820000,8000
2015-06-17,2.790000,2.820000,2.790000,2.820000,2.820000,1400
2015-06-18,2.730000,2.880000,2.670000,2.820000,2.820000,3100
2015-06-19,2.850000,2.850000,2.640000,2.670000,2.670000,700
2015-06-22,2.850000,2.850000,2.640000,2.670000,2.670000,4900
2015-06-23,2.670000,2.880000,2.670000,2.880000,2.880000,2200
2015-06-24,2.880000,2.880000,2.400000,2.670000,2.670000,14700
2015-06-25,2.610000,2.730000,2.400000,2.610000,2.610000,20500
2015-06-26,2.610000,2.730000,2.430000,2.730000,2.730000,1800
2015-06-29,2.730000,2.730000,2.550000,2.700000,2.700000,2800
2015-06-30,2.700000,3.000000,2.520000,2.940000,2.940000,112500
2015-07-01,2.880000,3.240000,2.760000,3.240000,3.240000,185400
2015-07-02,3.240000,3.270000,3.090000,3.120000,3.120000,4900
2015-07-06,3.120000,3.180000,3.000000,3.000000,3.000000,8500
2015-07-07,3.120000,3.120000,3.000000,3.000000,3.000000,81800
2015-07-08,3.000000,3.060000,2.880000,3.030000,3.030000,31700
2015-07-09,3.030000,3.060000,3.000000,3.000000,3.000000,18000
2015-07-10,3.000000,3.060000,2.730000,3.030000,3.030000,59300
2015-07-13,3.060000,3.060000,3.030000,3.060000,3.060000,2600
2015-07-14,3.030000,3.060000,3.000000,3.030000,3.030000,12900
2015-07-15,3.060000,3.060000,3.000000,3.030000,3.030000,17400
2015-07-16,3.000000,3.060000,3.000000,3.060000,3.060000,500
2015-07-17,3.030000,3.060000,3.000000,3.060000,3.060000,6900
2015-07-20,3.060000,3.060000,3.000000,3.060000,3.060000,4000
2015-07-21,3.000000,3.060000,3.000000,3.030000,3.030000,3300
2015-07-22,3.060000,3.060000,3.000000,3.060000,3.060000,2300
2015-07-23,3.060000,3.060000,3.000000,3.000000,3.000000,3300
2015-07-24,2.910000,3.060000,2.850000,3.060000,3.060000,43200
2015-07-27,3.030000,3.300000,3.030000,3.210000,3.210000,20200
2015-07-28,3.300000,3.300000,3.060000,3.300000,3.300000,15100
2015-07-29,3.300000,3.300000,3.180000,3.210000,3.210000,1200
2015-07-30,3.270000,3.270000,3.060000,3.060000,3.060000,8400
2015-07-31,3.270000,3.270000,2.880000,3.000000,3.000000,69200
2015-08-03,3.150000,3.420000,3.030000,3.420000,3.420000,9200
2015-08-04,3.120000,3.420000,3.060000,3.420000,3.420000,8800
2015-08-05,3.300000,3.300000,2.850000,3.090000,3.090000,9000
2015-08-06,3.270000,3.300000,2.940000,2.970000,2.970000,700
2015-08-07,3.090000,3.090000,2.670000,2.670000,2.670000,8500
2015-08-10,2.700000,2.820000,2.460000,2.550000,2.550000,5800
2015-08-11,2.430000,2.520000,2.430000,2.430000,2.430000,3100
2015-08-12,2.790000,2.790000,2.430000,2.520000,2.520000,3100
2015-08-13,2.400000,2.760000,2.400000,2.550000,2.550000,700
2015-08-14,2.610000,2.610000,2.430000,2.430000,2.430000,3800
2015-08-17,2.550000,2.550000,2.430000,2.430000,2.430000,1400
2015-08-18,2.520000,2.520000,2.400000,2.400000,2.400000,10700
2015-08-19,2.340000,2.580000,2.280000,2.280000,2.280000,5300
2015-08-20,2.280000,2.310000,2.280000,2.280000,2.280000,1000
2015-08-21,2.280000,2.460000,2.280000,2.280000,2.280000,300
2015-08-24,2.280000,2.460000,2.280000,2.280000,2.280000,1500
2015-08-25,2.400000,2.400000,2.280000,2.280000,2.280000,300
2015-08-26,2.370000,2.370000,2.100000,2.130000,2.130000,9200
2015-08-27,2.340000,2.370000,2.100000,2.370000,2.370000,4600
2015-08-28,2.130000,2.400000,2.100000,2.310000,2.310000,8400
2015-08-31,2.130000,2.250000,2.130000,2.220000,2.220000,600
2015-09-01,2.340000,2.340000,2.160000,2.340000,2.340000,600
2015-09-02,2.340000,2.340000,2.310000,2.340000,2.340000,200
2015-09-03,2.130000,2.370000,2.130000,2.250000,2.250000,800
2015-09-04,2.250000,2.340000,2.250000,2.340000,2.340000,800
2015-09-08,2.370000,2.370000,2.250000,2.340000,2.340000,200
2015-09-09,2.370000,2.370000,2.340000,2.340000,2.340000,200
2015-09-10,2.220000,2.370000,2.220000,2.310000,2.310000,1500
2015-09-11,2.370000,2.370000,2.340000,2.340000,2.340000,2800
2015-09-14,2.370000,2.370000,2.250000,2.340000,2.340000,2500
2015-09-15,2.370000,3.210000,2.310000,3.000000,3.000000,44500
2015-09-16,3.000000,3.000000,2.730000,2.970000,2.970000,7500
2015-09-17,2.940000,2.970000,2.820000,2.880000,2.880000,2300
2015-09-18,2.970000,2.970000,2.760000,2.760000,2.760000,2300
2015-09-21,2.940000,2.970000,2.760000,2.940000,2.940000,2600
2015-09-22,2.970000,2.970000,2.790000,2.820000,2.820000,1000
2015-09-23,2.970000,3.000000,2.670000,3.000000,3.000000,4900
2015-09-24,2.880000,2.880000,2.550000,2.850000,2.850000,800
2015-09-25,3.000000,3.000000,2.880000,2.940000,2.940000,4000
2015-09-28,2.850000,3.000000,2.430000,2.430000,2.430000,5500
2015-09-29,3.000000,3.000000,2.760000,2.760000,2.760000,600
2015-09-30,2.820000,3.000000,2.820000,2.880000,2.880000,2600
2015-10-01,2.850000,2.970000,2.730000,2.970000,2.970000,600
2015-10-02,2.910000,2.940000,2.700000,2.940000,2.940000,300
2015-10-05,2.940000,3.000000,2.790000,3.000000,3.000000,200
2015-10-06,2.850000,2.940000,2.580000,2.940000,2.940000,1200
2015-10-07,2.820000,2.940000,2.820000,2.940000,2.940000,200
2015-10-08,2.940000,2.940000,2.940000,2.940000,2.940000,0
2015-10-09,2.820000,2.940000,2.520000,2.940000,2.940000,500
2015-10-12,2.940000,2.940000,2.940000,2.940000,2.940000,0
2015-10-13,2.940000,2.940000,2.850000,2.850000,2.850000,300
2015-10-14,2.790000,2.790000,2.550000,2.550000,2.550000,1900
2015-10-15,2.820000,2.910000,2.790000,2.820000,2.820000,100
2015-10-16,2.850000,2.850000,2.760000,2.790000,2.790000,100
2015-10-19,2.850000,2.940000,2.850000,2.850000,2.850000,7900
2015-10-20,2.760000,2.790000,2.760000,2.790000,2.790000,2300
2015-10-21,2.850000,2.850000,2.790000,2.850000,2.850000,4600
2015-10-22,2.700000,2.850000,2.700000,2.850000,2.850000,100
2015-10-23,2.850000,2.850000,2.850000,2.850000,2.850000,100
2015-10-26,2.790000,2.850000,2.790000,2.790000,2.790000,800
2015-10-27,2.850000,2.850000,2.850000,2.850000,2.850000,400
2015-10-28,2.820000,2.820000,2.820000,2.820000,2.820000,1000
2015-10-29,2.760000,2.850000,2.760000,2.850000,2.850000,400
2015-10-30,2.850000,2.850000,2.790000,2.850000,2.850000,700
2015-11-02,2.850000,2.850000,2.850000,2.850000,2.850000,0
2015-11-03,2.820000,2.820000,2.820000,2.820000,2.820000,0
2015-11-04,2.820000,2.820000,2.820000,2.820000,2.820000,0
2015-11-05,2.850000,2.850000,2.820000,2.850000,2.850000,400
2015-11-06,2.850000,2.850000,2.820000,2.850000,2.850000,3800
2015-11-09,2.850000,2.850000,2.760000,2.760000,2.760000,100
2015-11-10,2.850000,2.850000,2.790000,2.790000,2.790000,1100
2015-11-11,2.850000,2.850000,2.820000,2.820000,2.820000,1100
2015-11-12,2.820000,2.820000,2.820000,2.820000,2.820000,0
2015-11-13,2.850000,2.850000,2.460000,2.850000,2.850000,200
2015-11-16,2.430000,2.850000,2.430000,2.850000,2.850000,800
2015-11-17,2.850000,2.850000,2.760000,2.760000,2.760000,100
2015-11-18,2.850000,2.850000,2.820000,2.820000,2.820000,200
2015-11-19,2.820000,2.820000,2.820000,2.820000,2.820000,100
2015-11-20,2.850000,2.850000,2.850000,2.850000,2.850000,0
2015-11-23,2.850000,2.850000,2.850000,2.850000,2.850000,1000
2015-11-24,2.940000,2.940000,2.760000,2.760000,2.760000,1400
2015-11-25,2.850000,2.850000,2.850000,2.850000,2.850000,0
2015-11-27,2.550000,2.940000,2.550000,2.940000,2.940000,0
2015-11-30,2.580000,2.580000,2.580000,2.580000,2.580000,100
2015-12-01,2.880000,2.880000,2.730000,2.730000,2.730000,500
2015-12-02,2.610000,2.610000,2.610000,2.610000,2.610000,200
2015-12-03,2.700000,2.700000,2.520000,2.520000,2.520000,400
2015-12-04,2.700000,2.700000,2.520000,2.520000,2.520000,100
2015-12-07,2.550000,2.670000,2.550000,2.670000,2.670000,700
2015-12-08,2.760000,2.940000,2.520000,2.760000,2.760000,16300
2015-12-09,2.940000,2.940000,2.850000,2.940000,2.940000,5800
2015-12-10,3.000000,3.480000,2.910000,2.910000,2.910000,17300
