Date,Open,High,Low,Close,Adj Close,Volume
2015-04-23,185.000000,191.666672,185.000000,190.000000,190.000000,5400
2015-04-24,190.000000,193.333328,181.666672,181.666672,181.666672,3100
2015-04-27,186.666672,191.666672,183.333328,190.000000,190.000000,7300
2015-04-28,191.666672,196.666672,188.333328,193.333328,193.333328,7800
2015-04-29,193.333328,205.000000,190.000000,191.666672,191.666672,6700
2015-04-30,186.666672,188.333328,181.666672,183.333328,183.333328,7000
2015-05-01,180.000000,183.333328,176.666672,176.666672,176.666672,4700
2015-05-04,180.000000,186.666672,180.000000,186.666672,186.666672,3100
2015-05-05,188.333328,190.000000,183.333328,186.666672,186.666672,2800
2015-05-06,188.333328,191.666672,176.666672,180.000000,180.000000,4300
2015-05-07,180.000000,180.000000,173.333328,173.333328,173.333328,3300
2015-05-08,178.333328,185.000000,176.666672,181.666672,181.666672,3400
2015-05-11,178.333328,188.333328,178.333328,183.333328,183.333328,3300
2015-05-12,186.666672,190.000000,183.333328,190.000000,190.000000,2900
2015-05-13,191.666672,195.000000,180.000000,183.333328,183.333328,4700
2015-05-14,186.666672,193.333328,185.000000,191.666672,191.666672,4900
2015-05-15,188.333328,193.333328,185.000000,186.666672,186.666672,5800
2015-05-18,193.333328,195.000000,185.000000,186.666672,186.666672,2100
2015-05-19,185.000000,186.666672,178.333328,178.333328,178.333328,3900
2015-05-20,178.333328,183.333328,178.333328,180.000000,180.000000,1900
2015-05-21,180.000000,183.333328,178.333328,183.333328,183.333328,1100
2015-05-22,181.666672,185.000000,180.000000,185.000000,185.000000,1400
2015-05-26,180.000000,183.333328,178.333328,181.666672,181.666672,1900
2015-05-27,181.666672,185.000000,178.333328,180.000000,180.000000,2000
2015-05-28,180.000000,185.000000,178.333328,180.000000,180.000000,3800
2015-05-29,183.333328,185.000000,180.000000,183.333328,183.333328,1500
2015-06-01,186.666672,188.333328,180.000000,183.333328,183.333328,2300
2015-06-02,183.333328,195.000000,183.333328,193.333328,193.333328,4000
2015-06-03,191.666672,200.000000,186.666672,190.000000,190.000000,3400
2015-06-04,188.333328,190.000000,183.333328,185.000000,185.000000,3400
2015-06-05,181.666672,186.666672,178.333328,181.666672,181.666672,2700
2015-06-08,183.333328,186.666672,183.333328,185.000000,185.000000,900
2015-06-09,186.666672,193.333328,185.000000,190.000000,190.000000,3300
2015-06-10,191.666672,195.000000,190.000000,193.333328,193.333328,2000
2015-06-11,188.333328,191.666672,181.666672,186.666672,186.666672,2700
2015-06-12,183.333328,190.000000,181.666672,185.000000,185.000000,2700
2015-06-15,181.666672,186.666672,176.666672,178.333328,178.333328,5100
2015-06-16,178.333328,178.333328,173.333328,175.000000,175.000000,3500
2015-06-17,173.333328,188.333328,173.333328,186.666672,186.666672,3600
2015-06-18,190.000000,195.000000,183.333328,190.000000,190.000000,4000
2015-06-19,185.000000,188.333328,175.000000,175.000000,175.000000,7200
2015-06-22,175.000000,178.333328,171.666672,175.000000,175.000000,3900
2015-06-23,175.000000,180.000000,171.666672,180.000000,180.000000,5000
2015-06-24,181.666672,181.666672,175.000000,180.000000,180.000000,3400
2015-06-25,178.333328,180.000000,173.333328,176.666672,176.666672,2200
2015-06-26,173.333328,175.000000,171.666672,175.000000,175.000000,1900
2015-06-29,176.666672,176.666672,168.333328,173.333328,173.333328,3900
2015-06-30,168.333328,176.666672,166.666672,175.000000,175.000000,4100
2015-07-01,170.000000,173.333328,166.666672,166.666672,166.666672,2300
2015-07-02,170.000000,171.666672,163.333328,170.000000,170.000000,3800
2015-07-06,165.000000,170.000000,165.000000,166.666672,166.666672,4500
2015-07-07,165.000000,165.000000,155.000000,161.666672,161.666672,6500
2015-07-08,160.000000,165.000000,150.000000,151.666672,151.666672,5300
2015-07-09,153.333328,158.333328,153.333328,158.333328,158.333328,3700
2015-07-10,155.000000,163.333328,155.000000,158.333328,158.333328,4200
2015-07-13,156.666672,163.333328,153.333328,163.333328,163.333328,2600
2015-07-14,163.333328,170.000000,161.666672,166.666672,166.666672,1500
2015-07-15,161.666672,165.000000,160.000000,163.333328,163.333328,4300
2015-07-16,160.000000,166.666672,160.000000,166.666672,166.666672,2100
2015-07-17,163.333328,163.333328,150.000000,155.000000,155.000000,7200
2015-07-20,150.000000,155.000000,136.666672,140.000000,140.000000,9300
2015-07-21,143.333328,145.000000,135.000000,138.333328,138.333328,7000
2015-07-22,131.666672,138.333328,126.666664,135.000000,135.000000,4000
2015-07-23,133.333328,138.333328,128.333328,131.666672,131.666672,6100
2015-07-24,130.000000,145.000000,128.333328,141.666672,141.666672,5800
2015-07-27,143.333328,153.333328,140.000000,141.666672,141.666672,4500
2015-07-28,141.666672,145.000000,138.333328,143.333328,143.333328,1500
2015-07-29,141.666672,143.333328,135.000000,141.666672,141.666672,3600
2015-07-30,140.000000,143.333328,138.333328,143.333328,143.333328,4100
2015-07-31,141.666672,143.333328,138.333328,138.333328,138.333328,2700
2015-08-03,138.333328,145.000000,138.333328,140.000000,140.000000,1400
2015-08-04,143.333328,143.333328,135.000000,135.000000,135.000000,2500
2015-08-05,135.000000,138.333328,133.333328,133.333328,133.333328,2400
2015-08-06,135.000000,138.333328,130.000000,136.666672,136.666672,3100
2015-08-07,136.666672,141.666672,131.666672,131.666672,131.666672,2500
2015-08-10,133.333328,140.000000,131.666672,138.333328,138.333328,4000
2015-08-11,138.333328,148.333328,133.333328,146.666672,146.666672,5300
2015-08-12,148.333328,165.000000,148.333328,165.000000,165.000000,5900
2015-08-13,163.333328,163.333328,151.666672,155.000000,155.000000,3300
2015-08-14,155.000000,160.000000,155.000000,158.333328,158.333328,2100
2015-08-17,155.000000,160.000000,141.666672,148.333328,148.333328,5200
2015-08-18,141.666672,141.666672,130.000000,138.333328,138.333328,6700
2015-08-19,140.000000,141.666672,135.000000,136.666672,136.666672,5500
2015-08-20,140.000000,140.000000,121.666664,126.666664,126.666664,17800
2015-08-21,130.000000,135.000000,125.000000,125.000000,125.000000,6400
2015-08-24,125.000000,125.000000,118.333336,118.333336,118.333336,10900
2015-08-25,121.666664,121.666664,116.666664,116.666664,116.666664,5500
2015-08-26,116.666664,118.333336,111.666664,111.666664,111.666664,6800
2015-08-27,113.333336,118.333336,110.000000,115.000000,115.000000,4700
2015-08-28,115.000000,133.333328,115.000000,126.666664,126.666664,4600
2015-08-31,126.666664,131.666672,121.666664,131.666672,131.666672,3500
2015-09-01,131.666672,136.666672,126.666664,126.666664,126.666664,2300
2015-09-02,128.333328,130.000000,118.333336,120.000000,120.000000,2900
2015-09-03,121.666664,125.000000,118.333336,118.333336,118.333336,5400
2015-09-04,120.000000,123.333336,118.333336,123.333336,123.333336,3300
2015-09-08,126.666664,126.666664,120.000000,120.000000,120.000000,3200
2015-09-09,120.000000,123.333336,118.333336,121.666664,121.666664,3100
2015-09-10,123.333336,123.333336,120.000000,121.666664,121.666664,3300
2015-09-11,121.666664,126.666664,118.333336,126.666664,126.666664,6700
2015-09-14,130.000000,130.000000,121.666664,126.666664,126.666664,3700
2015-09-15,128.333328,128.333328,120.000000,121.666664,121.666664,2600
2015-09-16,123.333336,133.333328,123.333336,131.666672,131.666672,4100
2015-09-17,133.333328,136.666672,128.333328,136.666672,136.666672,6300
2015-09-18,145.000000,145.000000,128.333328,135.000000,135.000000,8700
2015-09-21,135.000000,135.000000,130.000000,130.000000,130.000000,2500
2015-09-22,130.000000,130.000000,125.000000,126.666664,126.666664,2800
2015-09-23,126.666664,131.666672,126.666664,128.333328,128.333328,1900
2015-09-24,130.000000,135.000000,128.333328,128.333328,128.333328,5200
