Date,Open,High,Low,Close,Adj Close,Volume
2015-04-23,15599.700195,15599.700195,15599.700195,15599.700195,15599.700195,0
2015-04-24,17999.599609,23999.500000,17999.599609,23999.500000,23999.500000,0
2015-04-27,23999.500000,23999.500000,23999.500000,23999.500000,23999.500000,0
2015-04-28,23999.500000,23999.500000,23999.500000,23999.500000,23999.500000,0
2015-04-29,19799.599609,23993.500000,19799.599609,20219.599609,20219.599609,0
2015-04-30,17399.699219,19799.599609,15599.700195,19799.599609,19799.599609,0
2015-05-01,19799.599609,19799.599609,19799.599609,19799.599609,19799.599609,0
2015-05-04,19799.599609,19799.599609,19799.599609,19799.599609,19799.599609,0
2015-05-05,16559.699219,16559.699219,15599.700195,15599.700195,15599.700195,0
2015-05-06,16199.700195,16199.700195,16199.700195,16199.700195,16199.700195,0
2015-05-07,15569.700195,15569.700195,15569.700195,15569.700195,15569.700195,0
2015-05-08,13799.700195,15569.700195,13799.700195,15569.700195,15569.700195,0
2015-05-11,15569.700195,15569.700195,15569.700195,15569.700195,15569.700195,0
2015-05-12,15272.700195,15563.700195,15272.700195,15563.700195,15563.700195,0
2015-05-13,15599.700195,23999.500000,15599.700195,23999.500000,23999.500000,0
2015-05-14,23399.500000,23399.500000,23399.500000,23399.500000,23399.500000,0
2015-05-15,22799.500000,22799.500000,22799.500000,22799.500000,22799.500000,0
2015-05-18,22080.199219,22080.199219,22080.199219,22080.199219,22080.199219,0
2015-05-19,20999.599609,20999.599609,20999.599609,20999.599609,20999.599609,0
2015-05-20,17999.599609,20999.599609,17999.599609,20999.599609,20999.599609,0
2015-05-21,20999.599609,20999.599609,20999.599609,20999.599609,20999.599609,0
2015-05-22,20999.599609,20999.599609,20999.599609,20999.599609,20999.599609,0
2015-05-26,19199.599609,19199.599609,19199.599609,19199.599609,19199.599609,0
2015-05-27,17999.599609,17999.599609,17999.599609,17999.599609,17999.599609,0
2015-05-28,17999.599609,17999.599609,17999.599609,17999.599609,17999.599609,0
2015-05-29,14999.700195,20399.599609,14999.700195,20399.599609,20399.599609,0
2015-06-01,15005.700195,17399.699219,11999.799805,14999.700195,14999.700195,0
2015-06-02,14399.700195,15599.700195,14399.700195,15599.700195,15599.700195,0
2015-06-03,16199.700195,16199.700195,12599.700195,16199.700195,16199.700195,0
2015-06-04,16199.700195,16199.700195,16199.700195,16199.700195,16199.700195,0
2015-06-05,20939.599609,20939.599609,17999.599609,19799.599609,19799.599609,1
2015-06-08,20399.599609,20969.599609,16199.700195,18773.599609,18773.599609,1
2015-06-09,19199.599609,19199.599609,19199.599609,19199.599609,19199.599609,0
2015-06-10,18599.599609,18599.599609,18599.599609,18599.599609,18599.599609,0
2015-06-11,16205.700195,16205.700195,16196.700195,16196.700195,16196.700195,0
2015-06-12,13805.700195,16199.700195,13805.700195,16199.700195,16199.700195,0
2015-06-15,17999.599609,17999.599609,17999.599609,17999.599609,17999.599609,0
2015-06-16,17999.599609,17999.599609,17999.599609,17999.599609,17999.599609,0
2015-06-17,17999.599609,17999.599609,17999.599609,17999.599609,17999.599609,0
2015-06-18,17999.599609,17999.599609,17999.599609,17999.599609,17999.599609,0
2015-06-19,15005.700195,15005.700195,14999.700195,14999.700195,14999.700195,0
2015-06-22,14999.700195,14999.700195,14999.700195,14999.700195,14999.700195,0
2015-06-23,11999.799805,11999.799805,11999.799805,11999.799805,11999.799805,0
2015-06-24,11999.799805,11999.799805,11999.799805,11999.799805,11999.799805,0
2015-06-25,11999.799805,11999.799805,11999.799805,11999.799805,11999.799805,0
2015-06-26,12599.700195,12599.700195,12599.700195,12599.700195,12599.700195,0
2015-06-29,12599.700195,12599.700195,12599.700195,12599.700195,12599.700195,0
2015-06-30,12599.700195,12599.700195,12599.700195,12599.700195,12599.700195,0
2015-07-01,12599.700195,12599.700195,12599.700195,12599.700195,12599.700195,0
2015-07-02,12599.700195,12599.700195,12599.700195,12599.700195,12599.700195,0
2015-07-06,12599.700195,12599.700195,12599.700195,12599.700195,12599.700195,0
2015-07-07,12599.700195,12599.700195,12599.700195,12599.700195,12599.700195,0
2015-07-08,12599.700195,12599.700195,12599.700195,12599.700195,12599.700195,0
2015-07-09,12599.700195,12599.700195,12599.700195,12599.700195,12599.700195,0
2015-07-10,12599.700195,12599.700195,12599.700195,12599.700195,12599.700195,0
2015-07-13,12599.700195,12599.700195,12599.700195,12599.700195,12599.700195,0
2015-07-14,12599.700195,12599.700195,12599.700195,12599.700195,12599.700195,0
2015-07-15,12599.700195,12599.700195,12599.700195,12599.700195,12599.700195,0
2015-07-16,12599.700195,12599.700195,12599.700195,12599.700195,12599.700195,0
2015-07-17,12599.700195,12599.700195,12599.700195,12599.700195,12599.700195,0
2015-07-20,12599.700195,12599.700195,12599.700195,12599.700195,12599.700195,0
2015-07-21,17999.599609,17999.599609,17999.599609,17999.599609,17999.599609,0
2015-07-22,18599.599609,18599.599609,18599.599609,18599.599609,18599.599609,0
2015-07-23,17999.599609,17999.599609,17999.599609,17999.599609,17999.599609,0
2015-07-24,17999.599609,18605.599609,17999.599609,18599.599609,18599.599609,0
2015-07-27,17999.599609,17999.599609,17999.599609,17999.599609,17999.599609,0
2015-07-28,17999.599609,17999.599609,17999.599609,17999.599609,17999.599609,0
2015-07-29,18005.599609,18005.599609,17999.599609,17999.599609,17999.599609,0
2015-07-30,19205.599609,19205.599609,19199.599609,19199.599609,19199.599609,0
2015-07-31,19199.599609,19199.599609,19199.599609,19199.599609,19199.599609,0
2015-08-03,19199.599609,19199.599609,19199.599609,19199.599609,19199.599609,0
2015-08-04,15599.700195,15599.700195,14999.700195,14999.700195,14999.700195,0
2015-08-05,14999.700195,14999.700195,14999.700195,14999.700195,14999.700195,0
2015-08-06,19199.599609,19229.599609,19199.599609,19205.599609,19205.599609,0
2015-08-07,19205.599609,19205.599609,19205.599609,19205.599609,19205.599609,0
2015-08-10,19205.599609,19205.599609,19205.599609,19205.599609,19205.599609,0
2015-08-11,19205.599609,19205.599609,19205.599609,19205.599609,19205.599609,0
2015-08-12,19205.599609,19205.599609,19205.599609,19205.599609,19205.599609,0
2015-08-13,19205.599609,19205.599609,19205.599609,19205.599609,19205.599609,0
2015-08-14,19199.599609,19205.599609,19199.599609,19205.599609,19205.599609,0
2015-08-17,17399.699219,17399.699219,17399.699219,17399.699219,17399.699219,0
2015-08-18,14999.700195,14999.700195,14999.700195,14999.700195,14999.700195,0
2015-08-19,14999.700195,14999.700195,14999.700195,14999.700195,14999.700195,0
2015-08-20,14999.700195,14999.700195,14999.700195,14999.700195,14999.700195,0
2015-08-21,14999.700195,14999.700195,14999.700195,14999.700195,14999.700195,0
2015-08-24,14999.700195,14999.700195,14999.700195,14999.700195,14999.700195,0
2015-08-25,14999.700195,14999.700195,14999.700195,14999.700195,14999.700195,0
2015-08-26,11999.799805,13499.700195,8999.820313,8999.820313,8999.820313,1
2015-08-27,16799.699219,20399.599609,14999.700195,14999.700195,14999.700195,0
2015-08-28,15299.700195,17399.699219,15299.700195,17399.699219,17399.699219,0
2015-08-31,17399.699219,17399.699219,17399.699219,17399.699219,17399.699219,0
2015-09-01,16799.699219,17999.599609,14999.700195,14999.700195,14999.700195,0
2015-09-02,14999.700195,14999.700195,14999.700195,14999.700195,14999.700195,0
2015-09-03,14999.700195,14999.700195,14999.700195,14999.700195,14999.700195,0
2015-09-04,14999.700195,14999.700195,14999.700195,14999.700195,14999.700195,0
2015-09-08,16799.699219,16799.699219,16799.699219,16799.699219,16799.699219,0
2015-09-09,15599.700195,15599.700195,15599.700195,15599.700195,15599.700195,0
2015-09-10,15899.700195,18599.599609,15899.700195,17999.599609,17999.599609,0
2015-09-11,17999.599609,17999.599609,17999.599609,17999.599609,17999.599609,0
2015-09-14,17999.599609,17999.599609,17999.599609,17999.599609,17999.599609,0
2015-09-15,17399.699219,17399.699219,16799.699219,16799.699219,16799.699219,0
