Date,Open,High,Low,Close,Adj Close,Volume
2015-04-23,8.760000,8.800000,8.760000,8.780000,7.509129,3400
2015-04-24,8.790000,8.960000,8.790000,8.960000,7.663074,2000
2015-04-27,8.740000,8.740000,8.740000,8.740000,7.474919,200
2015-04-28,8.900000,9.200000,8.900000,9.200000,7.868335,13900
2015-04-29,8.610000,8.630000,8.570000,8.570000,7.329525,3300
2015-04-30,8.580000,8.580000,8.420000,8.420000,7.201237,1100
2015-05-01,8.520000,8.520000,8.500000,8.500000,7.269657,3800
2015-05-04,8.580000,8.580000,8.570000,8.570000,7.329525,3100
2015-05-05,8.420000,8.440000,8.420000,8.440000,7.218342,2100
2015-05-06,8.370000,8.420000,8.370000,8.400000,7.184132,7000
2015-05-07,8.290000,8.290000,8.250000,8.270000,7.072949,2700
2015-05-08,8.300000,8.300000,8.250000,8.250000,7.055844,4300
2015-05-11,8.250000,8.260000,8.210000,8.230000,7.038739,4400
2015-05-12,8.230000,8.240000,8.210000,8.240000,7.047290,2300
2015-05-13,8.370000,8.370000,8.310000,8.350000,7.141370,14100
2015-05-14,8.300000,8.410000,8.300000,8.410000,7.192685,1400
2015-05-15,8.420000,8.420000,8.410000,8.420000,7.201237,2300
2015-05-18,8.520000,8.520000,8.500000,8.500000,7.269657,3500
2015-05-19,8.570000,8.570000,8.510000,8.520000,7.286762,3300
2015-05-20,8.510000,8.550000,8.510000,8.520000,7.286762,1600
2015-05-21,8.550000,8.580000,8.550000,8.560000,7.320972,2200
2015-05-22,8.600000,8.610000,8.550000,8.570000,7.329525,9700
2015-05-26,8.600000,8.640000,8.580000,8.620000,7.372288,900
2015-05-27,8.660000,8.700000,8.660000,8.680000,7.423603,1300
2015-05-28,8.690000,8.710000,8.610000,8.610000,7.363734,5300
2015-05-29,8.760000,8.800000,8.760000,8.800000,7.526235,2400
2015-06-01,8.530000,8.670000,8.530000,8.550000,7.312421,50300
2015-06-02,8.330000,8.550000,8.330000,8.540000,7.303867,5500
2015-06-03,8.640000,8.660000,8.640000,8.660000,7.406497,3700
2015-06-04,8.410000,8.480000,8.410000,8.440000,7.218342,7300
2015-06-05,8.300000,8.300000,8.300000,8.300000,7.098607,400
2015-06-08,8.380000,8.430000,8.380000,8.420000,7.201237,2400
2015-06-09,8.310000,8.310000,8.200000,8.210000,7.021633,6800
2015-06-10,8.450000,8.450000,8.450000,8.450000,7.226895,1100
2015-06-11,8.450000,8.450000,8.450000,8.450000,7.226895,0
2015-06-12,8.450000,8.450000,8.450000,8.450000,7.226895,0
2015-06-15,8.460000,8.460000,8.420000,8.420000,7.201237,1000
2015-06-16,8.420000,8.420000,8.420000,8.420000,7.201237,0
2015-06-17,8.330000,8.450000,8.330000,8.390000,7.175581,4700
2015-06-18,8.450000,8.620000,8.450000,8.590000,7.346631,7400
2015-06-19,8.510000,8.510000,8.470000,8.480000,7.252551,900
2015-06-22,8.480000,8.480000,8.430000,8.430000,7.209790,300
2015-06-23,8.430000,8.440000,8.430000,8.440000,7.218342,1000
2015-06-24,8.470000,8.470000,8.420000,8.420000,7.201237,500
2015-06-25,8.250000,8.250000,8.250000,8.250000,7.055844,600
2015-06-26,8.150000,8.160000,8.140000,8.140000,6.961766,3900
2015-06-29,8.010000,8.010000,7.850000,7.850000,6.713743,15000
2015-06-30,7.960000,7.980000,7.930000,7.980000,6.824926,3800
2015-07-01,7.870000,7.870000,7.790000,7.850000,6.713743,8500
2015-07-02,7.940000,8.000000,7.890000,7.890000,6.747952,13500
2015-07-06,7.510000,7.850000,7.510000,7.730000,6.611112,5100
2015-07-07,7.510000,7.640000,7.510000,7.640000,6.534139,26200
2015-07-08,7.410000,7.500000,7.230000,7.250000,6.200590,12400
2015-07-09,7.430000,7.440000,7.360000,7.370000,6.303221,31400
2015-07-10,7.410000,7.430000,7.410000,7.420000,6.345983,2100
2015-07-13,7.470000,7.470000,7.170000,7.260000,6.209143,13700
2015-07-14,7.240000,7.240000,7.220000,7.230000,6.183485,19000
2015-07-15,7.190000,7.220000,6.930000,6.930000,5.926908,39700
2015-07-16,6.770000,6.960000,6.770000,6.900000,5.901251,17800
2015-07-17,6.920000,6.930000,6.920000,6.930000,5.926908,2300
2015-07-20,6.920000,6.950000,6.920000,6.930000,5.926908,2100
2015-07-21,6.920000,7.060000,6.920000,7.040000,6.020988,8600
2015-07-22,7.000000,7.020000,7.000000,7.000000,5.986777,5300
2015-07-23,6.920000,6.920000,6.870000,6.870000,5.875593,6800
2015-07-24,6.610000,6.610000,6.600000,6.610000,5.653228,4900
2015-07-27,6.680000,6.680000,6.600000,6.600000,5.644675,6300
2015-07-28,6.620000,6.640000,6.590000,6.640000,5.678885,4800
2015-07-29,6.750000,6.810000,6.740000,6.810000,5.824278,47900
2015-07-30,6.920000,6.920000,6.890000,6.900000,5.901251,1600
2015-07-31,6.890000,6.890000,6.890000,6.890000,5.892698,2000
2015-08-03,6.700000,6.700000,6.670000,6.670000,5.704543,1400
2015-08-04,6.890000,6.930000,6.870000,6.870000,5.875593,5300
2015-08-05,6.920000,6.920000,6.870000,6.890000,5.892698,5400
2015-08-06,6.850000,6.890000,6.850000,6.860000,5.867042,4100
2015-08-07,6.870000,6.870000,6.870000,6.870000,5.875593,100
2015-08-10,6.900000,6.930000,6.890000,6.900000,5.901251,3100
2015-08-11,6.850000,6.850000,6.810000,6.830000,5.841383,4600
2015-08-12,6.740000,6.770000,6.740000,6.770000,5.790069,21500
2015-08-13,6.770000,6.780000,6.770000,6.770000,5.790069,7400
2015-08-14,6.830000,6.830000,6.790000,6.790000,5.807173,400
2015-08-17,6.850000,6.910000,6.850000,6.910000,5.909803,17700
2015-08-18,7.000000,7.000000,6.720000,6.770000,5.790069,21300
2015-08-19,6.830000,6.840000,6.770000,6.820000,5.832831,67900
2015-08-20,6.820000,6.820000,6.770000,6.770000,5.790069,39000
2015-08-21,7.320000,7.520000,7.320000,7.480000,6.397298,17700
2015-08-24,7.680000,7.680000,7.420000,7.420000,6.345983,4300
2015-08-25,7.720000,7.850000,7.720000,7.720000,6.602559,81200
2015-08-26,7.590000,7.880000,7.590000,7.860000,6.722295,20000
2015-08-27,7.770000,7.900000,7.770000,7.890000,6.747952,7200
2015-08-28,7.900000,8.070000,7.900000,8.050000,6.884794,23200
2015-08-31,8.070000,8.110000,8.070000,8.110000,6.936108,5100
2015-09-01,8.300000,8.500000,8.090000,8.100000,6.927556,7500
2015-09-02,8.080000,8.270000,8.040000,8.270000,7.072949,3100
2015-09-03,8.270000,8.270000,8.270000,8.270000,7.072949,0
2015-09-04,7.740000,7.780000,7.650000,7.680000,6.568349,17100
2015-09-08,7.920000,7.960000,7.920000,7.960000,6.807820,900
2015-09-09,8.190000,8.190000,8.060000,8.060000,6.893345,2000
2015-09-10,7.960000,8.000000,7.960000,8.000000,6.842030,600
2015-09-11,7.950000,7.950000,7.940000,7.940000,6.790716,2500
2015-09-14,7.720000,7.840000,7.720000,7.810000,6.679532,4400
2015-09-15,7.670000,7.740000,7.670000,7.740000,6.619664,3700
2015-09-16,7.740000,7.740000,7.740000,7.740000,6.619664,0
2015-09-17,7.740000,7.740000,7.740000,7.740000,6.619664,0
2015-09-18,7.730000,7.730000,7.530000,7.570000,6.474272,8300
2015-09-21,7.460000,7.480000,7.460000,7.480000,6.397298,700
2015-09-22,7.090000,7.090000,7.090000,7.090000,6.063749,700
2015-09-23,7.040000,7.040000,6.970000,6.970000,5.961119,3200
2015-09-24,6.730000,6.780000,6.730000,6.780000,5.798621,6500
2015-09-25,6.750000,6.750000,6.720000,6.720000,5.747305,2100
