Date,Open,High,Low,Close,Adj Close,Volume
2015-04-23,5.410000,5.530000,5.300000,5.430000,5.430000,1155200
2015-04-24,5.370000,5.550000,5.180000,5.240000,5.240000,1250900
2015-04-27,5.340000,5.690000,5.330000,5.510000,5.510000,1621900
2015-04-28,5.550000,5.850000,5.550000,5.740000,5.740000,1740900
2015-04-29,5.720000,5.890000,5.600000,5.770000,5.770000,1599300
2015-04-30,5.630000,5.630000,5.400000,5.450000,5.450000,2229000
2015-05-01,5.350000,5.630000,5.350000,5.520000,5.520000,821800
2015-05-04,5.670000,5.750000,5.540000,5.600000,5.600000,907800
2015-05-05,5.700000,5.740000,5.480000,5.540000,5.540000,928300
2015-05-06,5.560000,5.600000,5.210000,5.280000,5.280000,1580100
2015-05-07,5.250000,5.300000,5.110000,5.300000,5.300000,1168000
2015-05-08,5.320000,5.400000,5.220000,5.360000,5.360000,774300
2015-05-11,5.370000,5.520000,5.320000,5.480000,5.480000,1121900
2015-05-12,5.580000,5.580000,5.370000,5.480000,5.480000,1214500
2015-05-13,5.750000,6.470000,5.690000,6.240000,6.240000,5799600
2015-05-14,6.320000,6.730000,6.320000,6.520000,6.520000,3494700
2015-05-15,6.480000,6.640000,6.360000,6.550000,6.550000,1885700
2015-05-18,6.600000,6.700000,6.540000,6.600000,6.600000,859500
2015-05-19,6.320000,6.500000,6.220000,6.360000,6.360000,1567400
2015-05-20,6.360000,6.450000,6.220000,6.240000,6.240000,1038700
2015-05-21,6.220000,6.320000,6.160000,6.290000,6.290000,1061600
2015-05-22,6.270000,6.370000,6.150000,6.200000,6.200000,773000
2015-05-26,6.020000,6.090000,5.860000,6.020000,6.020000,2025000
2015-05-27,6.030000,6.030000,5.880000,6.000000,6.000000,803300
2015-05-28,5.990000,6.210000,5.900000,6.160000,6.160000,1036600
2015-05-29,6.190000,6.370000,6.170000,6.220000,6.220000,800800
2015-06-01,6.280000,6.390000,6.230000,6.290000,6.290000,1054800
2015-06-02,6.340000,6.560000,6.310000,6.420000,6.420000,1288700
2015-06-03,6.370000,6.550000,6.340000,6.410000,6.410000,702200
2015-06-04,6.300000,6.580000,6.220000,6.450000,6.450000,1346600
2015-06-05,6.330000,6.500000,6.280000,6.410000,6.410000,941300
2015-06-08,6.460000,6.460000,6.210000,6.430000,6.430000,809600
2015-06-09,6.470000,6.580000,6.330000,6.350000,6.350000,858300
2015-06-10,6.520000,6.580000,6.410000,6.430000,6.430000,626500
2015-06-11,6.390000,6.450000,6.280000,6.420000,6.420000,857800
2015-06-12,6.400000,6.470000,6.290000,6.320000,6.320000,598500
2015-06-15,6.270000,6.540000,6.140000,6.540000,6.540000,1634400
2015-06-16,6.460000,6.480000,6.300000,6.430000,6.430000,1011300
2015-06-17,6.430000,6.670000,6.310000,6.620000,6.620000,1691800
