Date,Open,High,Low,Close,Adj Close,Volume
2015-04-23,19.680000,20.639999,19.480000,20.620001,16.700943,322200
2015-04-24,20.820000,21.049999,20.590000,21.040001,17.041119,280000
2015-04-27,21.170000,21.559999,21.120001,21.260000,17.219301,301500
2015-04-28,21.440001,21.799999,21.290001,21.700001,17.575678,241600
2015-04-29,21.500000,21.610001,20.820000,21.139999,17.122110,240900
2015-04-30,20.820000,21.480000,20.030001,21.200001,17.170706,522800
2015-05-01,21.430000,21.520000,20.590000,20.969999,16.984421,328600
2015-05-04,21.090000,21.299999,21.000000,21.180000,17.154507,151000
2015-05-05,21.299999,21.459999,21.080000,21.250000,17.211203,350500
2015-05-06,21.440001,21.500000,20.660000,20.799999,16.846733,459700
2015-05-07,20.799999,20.820000,20.170000,20.620001,16.700943,347000
2015-05-08,19.990000,20.299999,19.590000,20.209999,17.115923,618400
2015-05-11,20.139999,20.389999,20.070000,20.209999,17.115923,503000
2015-05-12,20.160000,20.459999,20.049999,20.150000,17.065109,810000
2015-05-13,20.320000,20.480000,20.100000,20.219999,17.124392,535900
2015-05-14,20.510000,20.620001,20.120001,20.129999,17.048172,205300
2015-05-15,20.110001,20.510000,20.070000,20.299999,17.192144,196700
2015-05-18,19.920000,20.170000,19.510000,19.889999,16.844913,268500
2015-05-19,19.719999,19.719999,19.160000,19.420000,16.446871,269900
2015-05-20,19.490000,19.820000,19.270000,19.799999,16.768692,248700
2015-05-21,19.920000,20.080000,19.690001,19.840000,16.802568,186900
2015-05-22,19.760000,20.020000,19.610001,19.950001,16.895729,193200
2015-05-26,19.750000,19.920000,19.389999,19.510000,16.523094,213000
2015-05-27,19.500000,19.980000,19.500000,19.750000,16.726347,196700
2015-05-28,19.600000,19.780001,19.459999,19.690001,16.675535,144900
2015-05-29,19.700001,19.830000,19.440001,19.520000,16.531561,190800
2015-06-01,19.120001,19.360001,18.990000,19.040001,16.125048,323000
2015-06-02,19.219999,20.110001,19.070000,19.910000,16.861855,285000
2015-06-03,20.000000,20.430000,19.940001,20.040001,16.971951,277600
2015-06-04,19.870001,20.180000,19.660000,19.760000,16.734819,195400
2015-06-05,19.639999,19.850000,19.420000,19.690001,16.675535,276100
2015-06-08,19.680000,19.959999,19.540001,19.650000,16.641657,386200
2015-06-09,19.709999,20.709999,19.709999,20.270000,17.166740,379000
2015-06-10,20.570000,21.030001,20.490000,20.650000,17.488560,230700
2015-06-11,20.620001,20.730000,20.180000,20.360001,17.242960,136100
2015-06-12,20.330000,20.410000,19.940001,20.110001,17.031235,143400
2015-06-15,19.950001,19.990000,19.510000,19.610001,16.607784,178800
2015-06-16,19.530001,19.920000,19.440001,19.809999,16.777163,164000
2015-06-17,19.840000,19.910000,19.290001,19.879999,16.836443,222000
2015-06-18,20.120001,20.230000,19.760000,19.980000,16.921137,154700
2015-06-19,19.930000,20.020000,19.480000,19.490000,16.506153,170400
2015-06-22,19.500000,19.680000,19.299999,19.410000,16.438400,139500
2015-06-23,19.389999,19.490000,19.200001,19.469999,16.489216,79700
2015-06-24,19.469999,19.469999,18.610001,18.840000,15.955666,211200
2015-06-25,18.790001,18.889999,18.350000,18.440001,15.616904,185000
2015-06-26,18.420000,18.530001,18.059999,18.240000,15.447523,144100
2015-06-29,17.260000,17.900000,17.200001,17.480000,14.803876,328200
2015-06-30,17.680000,17.900000,17.270000,17.309999,14.659904,195900
2015-07-01,17.500000,17.690001,17.200001,17.240000,14.600620,205600
2015-07-02,17.250000,17.580000,17.200001,17.270000,14.626027,249900
2015-07-06,17.070000,17.260000,16.770000,17.000000,14.397364,147200
2015-07-07,16.850000,16.850000,16.000000,16.700001,14.143293,218600
2015-07-08,16.510000,16.580000,16.090000,16.250000,13.762185,124200
2015-07-09,16.650000,16.650000,16.100000,16.120001,13.652088,118300
2015-07-10,16.260000,16.430000,15.960000,16.219999,13.736778,145000
2015-07-13,16.219999,16.740000,16.030001,16.629999,14.084007,219900
2015-07-14,16.559999,16.610001,16.389999,16.430000,13.914627,137500
2015-07-15,16.360001,16.360001,15.550000,15.860000,13.431892,303600
2015-07-16,15.950000,16.080000,15.750000,15.820000,13.398016,241200
2015-07-17,15.770000,15.770000,15.490000,15.500000,13.127007,275100
2015-07-20,15.390000,15.540000,14.650000,14.820000,12.551112,410000
2015-07-21,14.800000,15.550000,14.800000,15.320000,12.974566,184100
2015-07-22,15.060000,15.290000,14.830000,15.160000,12.839061,292400
2015-07-23,15.210000,15.330000,14.920000,15.130000,12.813653,157600
2015-07-24,14.990000,15.090000,14.830000,14.980000,12.686618,303100
2015-07-27,14.750000,15.140000,14.420000,15.080000,12.771309,209500
2015-07-28,15.170000,15.500000,15.170000,15.280000,12.940689,329600
2015-07-29,15.240000,16.030001,15.150000,16.020000,13.567397,328500
2015-07-30,16.020000,16.280001,15.770000,15.940000,13.499644,272900
2015-07-31,16.110001,16.120001,15.520000,15.550000,13.169353,113900
2015-08-03,15.390000,15.410000,14.990000,15.160000,12.839061,126300
2015-08-04,15.090000,15.340000,15.000000,15.130000,12.813653,148400
2015-08-05,15.060000,15.670000,14.680000,15.010000,12.712026,300400
2015-08-06,14.840000,15.380000,14.570000,15.200000,12.872936,437200
2015-08-07,15.120000,15.300000,14.720000,14.780000,12.517237,144200
2015-08-10,15.000000,15.730000,14.700000,15.620000,13.228636,235600
2015-08-11,15.370000,15.520000,15.020000,15.230000,12.898343,97100
2015-08-12,15.120000,15.450000,14.900000,15.400000,13.042316,232600
2015-08-13,15.350000,15.550000,15.250000,15.410000,13.050786,399800
2015-08-14,15.390000,15.670000,15.300000,15.450000,13.084661,438500
2015-08-17,15.380000,15.380000,14.970000,15.310000,12.966097,264200
2015-08-18,15.210000,15.240000,14.920000,15.190000,12.864468,207300
2015-08-19,15.070000,15.220000,14.820000,15.100000,12.788246,335900
2015-08-20,15.000000,15.250000,14.800000,14.820000,12.551112,257500
2015-08-21,14.720000,14.810000,14.070000,14.090000,11.932874,173700
2015-08-24,13.340000,14.000000,12.860000,13.710000,11.611050,722700
2015-08-25,14.180000,14.180000,13.330000,13.380000,11.331572,216300
2015-08-26,13.600000,13.600000,13.150000,13.340000,11.297695,147400
2015-08-27,13.560000,14.440000,13.490000,14.270000,12.085316,195100
2015-08-28,14.220000,14.450000,13.960000,14.110000,11.949811,177000
2015-08-31,13.960000,14.330000,13.630000,14.220000,12.042971,120300
2015-09-01,13.680000,13.920000,13.310000,13.500000,11.433201,189300
2015-09-02,13.690000,13.810000,13.270000,13.810000,11.695742,182300
2015-09-03,13.830000,14.300000,13.830000,14.250000,12.068378,144800
2015-09-04,14.040000,14.180000,13.850000,14.020000,11.873590,99300
2015-09-08,14.410000,14.880000,14.240000,14.740000,12.483360,188700
2015-09-09,14.850000,15.140000,14.340000,14.520000,12.297041,150700
2015-09-10,14.350000,14.620000,14.140000,14.500000,12.280105,92300
2015-09-11,14.400000,14.440000,14.200000,14.400000,12.195414,54400
2015-09-14,14.260000,14.370000,13.690000,13.890000,11.763493,116200
2015-09-15,13.820000,13.990000,13.650000,13.830000,11.712678,108000
2015-09-16,13.850000,14.410000,13.850000,14.150000,11.983687,189500
2015-09-17,14.010000,14.490000,13.930000,14.190000,12.017563,161500
2015-09-18,13.800000,13.890000,13.420000,13.520000,11.450139,132100
2015-09-21,13.480000,13.510000,13.130000,13.140000,11.128314,211400
2015-09-22,12.770000,12.940000,12.170000,12.550000,10.628642,287800
2015-09-23,12.640000,12.640000,11.940000,12.000000,10.162845,158000
2015-09-24,11.780000,12.280000,11.770000,12.080000,10.230597,456100
2015-09-25,12.220000,12.320000,11.900000,11.980000,10.145906,345900
2015-09-28,11.800000,11.890000,11.590000,11.710000,9.917242,165100
2015-09-29,11.700000,11.950000,11.690000,11.800000,9.993464,253200
2015-09-30,11.880000,12.420000,11.830000,12.290000,10.408447,504000
2015-10-01,12.470000,12.670000,12.130000,12.260000,10.383040,141100
2015-10-02,12.230000,12.760000,12.030000,12.760000,10.806491,231800
2015-10-05,12.890000,13.790000,12.890000,13.600000,11.517891,278400
2015-10-06,13.650000,14.070000,13.470000,13.860000,11.738085,185600
2015-10-07,14.080000,14.740000,13.900000,14.310000,12.119192,280700
2015-10-08,14.210000,14.950000,14.060000,14.760000,12.500299,353500
2015-10-09,14.930000,15.210000,14.570000,14.870000,12.593458,134600
2015-10-12,14.910000,14.910000,14.100000,14.110000,11.949811,206700
2015-10-13,13.940000,14.520000,13.790000,14.220000,12.042971,96000
2015-10-14,14.370000,14.980000,14.090000,14.840000,12.568051,242700
2015-10-15,14.810000,15.380000,14.560000,15.240000,12.906813,163500
2015-10-16,15.190000,15.190000,14.550000,14.920000,12.635803,265300
2015-10-19,14.720000,14.870000,14.360000,14.580000,12.347857,225600
2015-10-20,14.490000,14.700000,14.280000,14.450000,12.237759,154800
2015-10-21,14.530000,14.530000,13.800000,13.840000,11.721148,215900
2015-10-22,13.780000,14.170000,13.220000,14.140000,11.975219,315000
