Date,Open,High,Low,Close,Adj Close,Volume
2015-04-23,13.480000,13.570000,13.390000,13.480000,9.809047,169200
2015-04-24,13.190000,13.210000,13.020000,13.050000,9.496148,137800
2015-04-27,13.370000,13.400000,13.210000,13.220000,9.619852,171300
2015-04-28,13.300000,13.450000,13.300000,13.420000,9.765386,154000
2015-04-29,13.260000,13.330000,13.090000,13.090000,9.525253,119600
2015-04-30,13.180000,13.270000,13.070000,13.140000,9.561638,117400
2015-05-01,13.250000,13.430000,13.180000,13.400000,9.750832,72800
2015-05-04,13.510000,13.510000,13.380000,13.440000,9.779940,58900
2015-05-05,14.200000,14.320000,14.150000,14.190000,10.325696,344800
2015-05-06,14.030000,14.030000,13.670000,13.790000,10.034625,166600
2015-05-07,13.750000,13.760000,13.480000,13.700000,9.969134,416000
2015-05-08,13.770000,14.000000,13.720000,13.970000,10.165608,197600
2015-05-11,14.260000,14.430000,14.260000,14.320000,10.420291,87900
2015-05-12,13.750000,13.870000,13.620000,13.810000,10.049179,328900
2015-05-13,13.730000,13.870000,13.490000,13.540000,9.852707,319400
2015-05-14,13.530000,13.600000,13.440000,13.530000,9.845430,154200
2015-05-15,13.330000,13.340000,13.170000,13.290000,9.670789,122100
2015-05-18,13.380000,13.380000,13.180000,13.220000,9.619852,92700
2015-05-19,13.420000,13.430000,13.270000,13.280000,9.663512,162500
2015-05-20,13.490000,13.700000,13.470000,13.620000,9.910921,210300
2015-05-21,13.180000,13.310000,12.980000,13.000000,9.459764,201800
2015-05-22,12.930000,12.980000,12.870000,12.880000,9.372443,58200
2015-05-26,11.650000,12.220000,11.650000,12.100000,8.804857,175200
2015-05-27,12.040000,12.080000,11.950000,12.030000,8.753920,107300
2015-05-28,12.100000,12.250000,12.030000,12.230000,8.899453,127700
2015-05-29,12.300000,12.600000,12.300000,12.460000,9.066818,511100
2015-06-01,12.530000,12.660000,12.310000,12.340000,8.979500,96400
2015-06-02,12.330000,12.460000,12.220000,12.340000,8.979500,124900
2015-06-03,11.900000,12.030000,11.800000,11.830000,8.608383,502400
2015-06-04,11.540000,11.620000,11.370000,11.410000,8.302762,148600
2015-06-05,11.300000,11.380000,11.230000,11.320000,8.237271,67900
2015-06-08,11.000000,11.690000,10.830000,11.000000,8.004416,376300
2015-06-09,11.170000,11.550000,11.170000,11.510000,8.375529,378100
2015-06-10,11.590000,11.880000,11.530000,11.760000,8.557447,301000
2015-06-11,11.750000,11.860000,11.750000,11.800000,8.586554,284500
2015-06-12,11.530000,11.690000,11.490000,11.660000,8.484681,164600
2015-06-15,11.310000,11.570000,11.310000,11.400000,8.295485,397300
2015-06-16,11.270000,11.270000,11.090000,11.140000,8.106290,186200
2015-06-17,10.880000,10.980000,10.680000,10.920000,7.946202,241800
2015-06-18,10.990000,11.180000,10.890000,11.160000,8.120845,310000
2015-06-19,11.060000,11.190000,11.050000,11.170000,8.128119,231700
2015-06-22,11.200000,11.210000,11.100000,11.130000,8.099012,129100
2015-06-23,11.250000,11.340000,11.150000,11.230000,8.171781,164600
2015-06-24,11.140000,11.210000,11.110000,11.150000,8.113567,197600
2015-06-25,11.280000,11.320000,11.110000,11.130000,8.099012,163100
2015-06-26,11.040000,11.100000,10.870000,11.070000,8.055352,124500
2015-06-29,10.850000,10.850000,10.630000,10.680000,7.771560,191000
2015-06-30,10.870000,10.920000,10.760000,10.800000,7.858881,167900
2015-07-01,10.960000,11.010000,10.870000,10.910000,7.938924,116500
2015-07-02,10.890000,10.920000,10.680000,10.690000,7.885811,117900
2015-07-06,10.340000,10.400000,10.190000,10.220000,7.539103,142700
2015-07-07,9.930000,9.960000,9.510000,9.880000,7.288289,296500
2015-07-08,9.150000,9.170000,8.270000,8.700000,6.417826,1093200
2015-07-09,8.700000,8.870000,8.700000,8.720000,6.432580,312100
2015-07-10,8.970000,9.270000,8.950000,9.210000,6.794044,144000
2015-07-13,9.220000,9.430000,9.220000,9.420000,6.948956,93800
2015-07-14,9.230000,9.290000,9.130000,9.220000,6.801421,99500
2015-07-15,9.130000,9.170000,9.030000,9.090000,6.705521,73400
2015-07-16,9.100000,9.140000,9.040000,9.090000,6.705521,43500
2015-07-17,9.080000,9.150000,9.020000,9.070000,6.690768,106800
2015-07-20,8.970000,8.990000,8.590000,8.670000,6.395696,451200
