Date,Open,High,Low,Close,Adj Close,Volume
2015-04-23,3.300000,3.300000,3.250000,3.300000,3.058991,1300
2015-04-24,3.280000,3.280000,3.220000,3.250000,3.012643,1400
2015-04-27,3.310000,3.310000,3.250000,3.250000,3.012643,2800
2015-04-28,3.190000,3.280000,3.190000,3.280000,3.040452,6300
2015-04-29,3.200000,3.320000,3.200000,3.290000,3.049721,14400
2015-04-30,3.320000,3.320000,3.260000,3.300000,3.058991,2900
2015-05-01,3.340000,3.340000,3.220000,3.300000,3.058991,13100
2015-05-04,3.360000,3.360000,3.360000,3.360000,3.114609,1100
2015-05-05,3.300000,3.310000,3.240000,3.250000,3.012643,16200
2015-05-06,3.300000,3.340000,3.260000,3.340000,3.096070,20400
2015-05-07,3.390000,3.400000,3.320000,3.320000,3.077530,6500
2015-05-08,3.440000,3.460000,3.400000,3.460000,3.207306,15200
2015-05-11,3.440000,3.440000,3.440000,3.440000,3.188767,4100
2015-05-12,3.440000,3.440000,3.390000,3.400000,3.151688,81000
2015-05-13,3.410000,3.460000,3.390000,3.390000,3.142418,7000
2015-05-14,3.400000,3.450000,3.400000,3.410000,3.160958,4300
2015-05-15,3.470000,3.470000,3.440000,3.470000,3.216575,3800
2015-05-18,3.500000,3.500000,3.450000,3.500000,3.244385,60500
2015-05-19,3.460000,3.460000,3.320000,3.320000,3.077530,28200
2015-05-20,3.300000,3.420000,3.300000,3.340000,3.096070,5400
2015-05-21,3.390000,3.390000,3.250000,3.390000,3.174736,3800
2015-05-22,3.230000,3.230000,3.220000,3.220000,3.015531,4300
2015-05-26,3.220000,3.220000,3.030000,3.040000,2.846961,5700
2015-05-27,3.170000,3.180000,3.160000,3.180000,2.978071,6800
2015-05-28,3.220000,3.220000,3.210000,3.220000,3.015531,4500
2015-05-29,3.260000,3.260000,3.260000,3.260000,3.052991,600
2015-06-01,3.150000,3.280000,3.150000,3.280000,3.071721,9100
2015-06-02,3.340000,3.360000,3.340000,3.360000,3.146641,4800
2015-06-03,3.450000,3.520000,3.450000,3.510000,3.287116,54700
2015-06-04,3.480000,3.480000,3.380000,3.470000,3.249656,7800
2015-06-05,3.230000,3.390000,3.230000,3.390000,3.174736,8400
2015-06-08,3.390000,3.420000,3.280000,3.280000,3.071721,5600
2015-06-09,3.390000,3.390000,3.310000,3.310000,3.099816,2300
2015-06-10,3.380000,3.440000,3.370000,3.430000,3.212196,7100
2015-06-11,3.300000,3.430000,3.300000,3.430000,3.212196,17300
2015-06-12,3.340000,3.380000,3.280000,3.280000,3.071721,6700
2015-06-15,3.330000,3.350000,3.290000,3.320000,3.109180,16700
2015-06-16,3.190000,3.210000,3.120000,3.210000,3.006166,7500
2015-06-17,3.170000,3.190000,3.030000,3.030000,2.837596,1600
2015-06-18,3.070000,3.260000,3.070000,3.260000,3.052991,3700
2015-06-19,3.250000,3.260000,3.250000,3.250000,3.043626,2200
