Date,Open,High,Low,Close,Adj Close,Volume
2015-04-23,25.950001,27.250000,25.520000,26.950001,25.610157,8066600
2015-04-24,27.270000,27.620001,26.590000,26.780001,25.448608,5883000
2015-04-27,26.950001,27.410000,26.190001,26.260000,24.954464,7647300
2015-04-28,26.340000,27.250000,26.120001,26.780001,25.448608,12567200
2015-04-29,24.730000,25.480000,23.459999,23.670000,22.493223,25347600
2015-04-30,23.510000,24.360001,23.490000,24.020000,22.825827,11938900
2015-05-01,24.299999,24.400000,23.190001,23.260000,22.103613,8823600
2015-05-04,23.469999,24.080000,23.410000,23.740000,22.559748,8529200
2015-05-05,23.980000,24.520000,23.930000,24.010000,22.816320,7710300
2015-05-06,24.190001,24.690001,23.870001,24.070000,22.873341,7253900
2015-05-07,23.959999,23.959999,23.200001,23.809999,22.626266,6351100
2015-05-08,24.090000,24.490000,23.760000,24.320000,23.110909,6364300
2015-05-11,24.469999,25.740000,24.370001,25.580000,24.358349,8227100
2015-05-12,25.650000,26.580000,25.650000,25.799999,24.567841,10605100
2015-05-13,25.860001,26.629999,25.770000,26.330000,25.072529,6616600
2015-05-14,26.799999,27.090000,25.840000,26.040001,24.796377,8816800
2015-05-15,26.049999,26.190001,25.690001,26.070000,24.824944,5738700
2015-05-18,25.770000,26.030001,25.410000,25.480000,24.263124,5844000
2015-05-19,25.219999,25.290001,24.160000,24.309999,23.148998,7752100
2015-05-20,24.650000,24.650000,23.730000,24.440001,23.272791,6709900
2015-05-21,24.389999,24.480000,23.760000,23.910000,22.768103,6613700
2015-05-22,23.799999,25.299999,23.500000,25.030001,23.834618,11726900
2015-05-26,24.790001,25.010000,24.240000,24.420000,23.253750,5849600
2015-05-27,24.350000,24.879999,24.219999,24.639999,23.463242,4949600
2015-05-28,24.350000,24.580000,24.110001,24.420000,23.253750,4560600
2015-05-29,24.430000,24.889999,24.379999,24.400000,23.234703,6619200
2015-06-01,24.370001,24.410000,23.860001,23.889999,22.749060,6718400
2015-06-02,24.040001,25.860001,24.040001,25.780001,24.548800,10189500
2015-06-03,25.719999,26.950001,25.400000,25.639999,24.415483,12013100
2015-06-04,25.469999,26.010000,25.299999,25.549999,24.329779,4349700
2015-06-05,25.389999,25.389999,24.770000,24.900000,23.710825,5816800
2015-06-08,24.910000,25.230000,24.540001,24.610001,23.434677,4322600
2015-06-09,24.680000,25.160000,24.590000,24.680000,23.501331,4968900
2015-06-10,25.160000,25.230000,24.120001,24.370001,23.206141,7739500
2015-06-11,24.320000,24.610001,24.100000,24.260000,23.101395,4027000
2015-06-12,24.190001,24.580000,23.900000,24.559999,23.387062,4737000
2015-06-15,24.299999,24.299999,23.240000,23.309999,22.196756,9811100
2015-06-16,23.200001,23.500000,23.000000,23.400000,22.282461,4957500
2015-06-17,23.440001,23.600000,22.660000,23.520000,22.396734,7921000
2015-06-18,23.389999,23.629999,22.930000,23.389999,22.272940,6222900
2015-06-19,23.270000,23.780001,23.100000,23.139999,22.034876,4959000
2015-06-22,23.200001,23.219999,22.580000,22.620001,21.539717,7478500
2015-06-23,22.570000,23.139999,22.549999,22.910000,21.815865,6964700
2015-06-24,22.950001,23.150000,22.260000,22.410000,21.339741,6268300
2015-06-25,22.420000,22.520000,21.910000,22.040001,20.987410,5481900
2015-06-26,22.049999,22.049999,21.500000,21.600000,20.568428,6303400
2015-06-29,21.330000,21.660000,20.889999,20.900000,19.901855,7086100
2015-06-30,21.049999,21.129999,20.260000,20.620001,19.635227,8880400
2015-07-01,20.770000,21.010000,20.379999,20.510000,19.530481,5034700
2015-07-02,20.549999,20.549999,19.549999,19.780001,18.835342,10610800
2015-07-06,19.400000,19.920000,19.320000,19.670000,18.730597,5878100
2015-07-07,19.299999,20.440001,18.520000,19.990000,19.035316,16184800
2015-07-08,19.660000,19.959999,19.059999,19.160000,18.244953,9234600
2015-07-09,19.629999,19.719999,18.910000,18.930000,18.025940,9023500
2015-07-10,19.299999,19.430000,18.730000,18.930000,18.025940,7382900
2015-07-13,19.129999,19.990000,18.840000,19.889999,18.940086,9203000
2015-07-14,19.760000,19.990000,19.260000,19.920000,18.968658,5456000
2015-07-15,19.870001,19.889999,18.379999,18.520000,17.635523,12366600
2015-07-16,18.650000,18.830000,17.690001,18.010000,17.149879,13165100
2015-07-17,18.000000,18.440001,17.549999,17.799999,16.949902,11391100
2015-07-20,17.760000,17.820000,17.180000,17.719999,16.873728,8686200
2015-07-21,17.700001,18.389999,17.559999,17.700001,16.854685,8361100
2015-07-22,17.459999,17.459999,16.809999,17.190001,16.369034,8892600
2015-07-23,17.250000,17.770000,16.900000,16.969999,16.159540,10516300
2015-07-24,16.900000,16.959999,16.180000,16.250000,15.473930,12220800
2015-07-27,16.250000,16.969999,15.680000,16.799999,15.997661,13607700
2015-07-28,17.150000,17.750000,16.830000,17.730000,16.883251,14931600
2015-07-29,18.290001,20.180000,18.270000,20.040001,19.082926,29629100
2015-07-30,20.260000,20.670000,19.309999,20.090000,19.130541,23033300
2015-07-31,20.219999,20.459999,19.270000,19.469999,18.540148,14955300
2015-08-03,19.270000,19.850000,19.020000,19.790001,18.844870,11685100
2015-08-04,20.040001,20.330000,19.420000,19.600000,18.663940,11278900
2015-08-05,20.170000,20.750000,19.709999,19.870001,18.921049,11732200
2015-08-06,19.639999,20.730000,19.469999,20.650000,19.663792,10004500
2015-08-07,20.600000,21.150000,20.180000,20.530001,19.549528,9686800
2015-08-10,20.639999,21.490000,19.990000,21.389999,20.418180,9863600
2015-08-11,20.250000,20.629999,19.250000,19.480000,18.594954,14155100
2015-08-12,19.170000,19.290001,18.410000,19.139999,18.270403,14294500
2015-08-13,18.780001,19.410000,18.610001,19.110001,18.241768,7695200
2015-08-14,19.070000,19.480000,18.910000,19.270000,18.394499,4771300
2015-08-17,19.139999,19.450001,18.910000,19.000000,18.136772,5402100
2015-08-18,18.639999,18.850000,18.420000,18.459999,17.621298,6828000
2015-08-19,18.200001,18.299999,17.010000,17.030001,16.256271,12805200
2015-08-20,17.059999,17.150000,16.600000,16.910000,16.141724,10511600
2015-08-21,16.299999,16.540001,15.850000,15.910000,15.187157,13663100
2015-08-24,14.800000,16.180000,14.540000,15.240000,14.547596,13164300
2015-08-25,16.049999,16.059999,14.250000,14.330000,13.678941,17657500
2015-08-26,14.590000,14.810000,14.190000,14.600000,13.936674,12334600
2015-08-27,15.040000,16.950001,14.870000,16.889999,16.122629,18696700
2015-08-28,16.690001,17.719999,16.360001,16.780001,16.017626,12793800
2015-08-31,16.520000,16.840000,16.139999,16.379999,15.635801,10080200
2015-09-01,15.830000,16.400000,15.750000,15.890000,15.168064,8686700
2015-09-02,16.530001,16.530001,15.760000,16.330000,15.588074,8413100
2015-09-03,16.490000,16.639999,15.720000,15.930000,15.206249,9149300
2015-09-04,15.640000,15.840000,15.040000,15.060000,14.375774,10003900
2015-09-08,15.390000,15.490000,14.700000,14.950000,14.270773,12606300
2015-09-09,15.170000,15.300000,14.120000,14.690000,14.022585,15556400
2015-09-10,14.670000,14.750000,14.200000,14.460000,13.803036,11891000
2015-09-11,14.390000,14.550000,13.910000,14.100000,13.459392,8972000
2015-09-14,13.960000,14.030000,13.380000,13.590000,12.972563,9238500
2015-09-15,13.550000,13.760000,13.400000,13.540000,12.924832,7710300
2015-09-16,13.610000,14.070000,13.320000,13.730000,13.106198,10068500
2015-09-17,13.650000,14.280000,13.530000,13.790000,13.163473,11420800
2015-09-18,13.630000,13.670000,13.070000,13.220000,12.619371,14570400
2015-09-21,13.260000,13.290000,12.780000,12.900000,12.313910,12925800
2015-09-22,12.500000,12.690000,11.810000,11.820000,11.282977,15861700
2015-09-23,11.910000,11.930000,11.160000,11.230000,10.719785,12552800
2015-09-24,11.030000,11.700000,10.900000,11.480000,10.958426,16144500
2015-09-25,11.580000,11.650000,10.750000,10.790000,10.299775,14393300
2015-09-28,10.480000,10.510000,10.020000,10.200000,9.736581,14212400
2015-09-29,10.290000,10.750000,10.120000,10.450000,9.975222,12722600
2015-09-30,10.580000,10.770000,10.210000,10.420000,9.946588,10786600
2015-10-01,10.330000,10.640000,9.800000,9.910000,9.459755,12959000
2015-10-02,9.850000,10.620000,9.660000,10.550000,10.070678,14189600
2015-10-05,10.820000,11.590000,10.710000,11.430000,10.910695,16756100
2015-10-06,11.550000,11.920000,11.180000,11.800000,11.263886,12147400
2015-10-07,12.300000,12.900000,11.880000,12.290000,11.731625,17914200
2015-10-08,12.210000,12.800000,11.910000,12.620000,12.046633,8944600
2015-10-09,12.950000,13.080000,12.140000,12.380000,11.817534,11673200
2015-10-12,12.540000,12.600000,11.500000,11.690000,11.158884,8035300
2015-10-13,11.500000,12.320000,11.500000,11.870000,11.330706,7295000
2015-10-14,12.070000,12.350000,11.750000,12.180000,11.626623,6818200
2015-10-15,12.160000,12.560000,12.000000,12.530000,11.960720,6454300
