Date,Open,High,Low,Close,Adj Close,Volume
2015-04-23,10.720000,11.600000,10.700000,11.480000,11.205616,104100
2015-04-24,11.530000,11.920000,11.480000,11.520000,11.244662,46000
2015-04-27,11.530000,12.130000,11.290000,11.470000,11.195855,56900
2015-04-28,11.510000,11.940000,11.390000,11.430000,11.156810,73100
2015-04-29,11.360000,12.160000,10.840000,10.950000,10.688282,90000
2015-04-30,10.980000,11.140000,10.750000,10.950000,10.688282,98000
2015-05-01,13.930000,13.930000,12.160000,13.700000,13.372556,229900
2015-05-04,14.940000,16.000000,14.500000,15.940000,15.559016,357600
2015-05-05,16.420000,17.590000,16.379999,17.110001,16.701054,383700
2015-05-06,17.120001,17.990000,17.120001,17.580000,17.159819,270900
2015-05-07,17.559999,18.730000,17.420000,18.670000,18.223766,246600
2015-05-08,19.010000,19.020000,18.040001,18.240000,17.804047,168300
2015-05-11,18.480000,19.680000,18.290001,19.540001,19.072971,213400
2015-05-12,19.639999,19.780001,18.760000,19.250000,18.789902,160000
2015-05-13,19.260000,19.690001,19.260000,19.379999,18.916798,146000
2015-05-14,19.420000,19.820000,18.770000,18.990000,18.536116,139000
2015-05-15,18.980000,19.500000,18.190001,19.200001,18.741104,160800
2015-05-18,19.309999,20.930000,19.309999,20.389999,19.902657,483800
2015-05-19,20.549999,20.760000,19.549999,20.010000,19.531738,138700
2015-05-20,20.049999,20.360001,19.799999,19.980000,19.502455,100200
2015-05-21,20.040001,20.250000,19.799999,20.000000,19.521980,99600
2015-05-22,20.000000,20.129999,19.580000,19.930000,19.453653,99400
2015-05-26,20.000000,20.080000,19.610001,19.889999,19.414612,159300
2015-05-27,19.870001,19.870001,19.100000,19.629999,19.160824,173100
2015-05-28,19.629999,19.629999,18.870001,18.900000,18.467087,112800
2015-05-29,18.910000,19.040001,17.440001,17.540001,17.138239,236700
2015-06-01,17.500000,18.059999,17.370001,17.610001,17.206636,142000
2015-06-02,17.480000,18.959999,17.480000,18.910000,18.476858,206900
2015-06-03,18.900000,19.799999,18.889999,19.670000,19.219446,177500
2015-06-04,19.490000,19.850000,19.280001,19.760000,19.307384,95100
